exp,verb,frameNum,uid,gender,cond,pronoun,sent,target
About,did disturb,7,7_M_his,m,Match,poss,The essay about Craig did disturb,his
About,did disturb,7,7_F_his,f,Mismatch,poss,The essay about Tara did disturb,his
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his
About,is stunning,61,61_F_his,f,Mismatch,poss,The pamphlet about Dana is stunning,his
About,harms,62,62_M_him,m,Match,obj,The brochure about Theodore harms,him
About,harms,62,62_F_him,f,Mismatch,obj,The brochure about Pamela harms,him
About,harms,62,62_M_his,m,Match,poss,The brochure about Theodore harms,his
About,harms,62,62_F_his,f,Mismatch,poss,The brochure about Pamela harms,his
About,should bore,63,63_M_him,m,Match,obj,The play about Jason should bore,him
About,should bore,63,63_F_him,f,Mismatch,obj,The play about Jacqueline should bore,him
About,should bore,63,63_M_his,m,Match,poss,The play about Jason should bore,his
About,should bore,63,63_F_his,f,Mismatch,poss,The play about Jacqueline should bore,his
About,will upset,64,64_M_him,m,Match,obj,The movie about that boy will upset,him
About,will upset,64,64_F_him,f,Mismatch,obj,The movie about Melissa will upset,him
About,will upset,64,64_M_his,m,Match,poss,The movie about that boy will upset,his
About,will upset,64,64_F_his,f,Mismatch,poss,The movie about Melissa will upset,his
About,is shocking,65,65_M_him,m,Match,obj,The newspaper article about Craig is shocking,him
About,is shocking,65,65_F_him,f,Mismatch,obj,The newspaper article about Connie is shocking,him
About,is shocking,65,65_M_his,m,Match,poss,The newspaper article about Craig is shocking,his
About,is shocking,65,65_F_his,f,Mismatch,poss,The newspaper article about Connie is shocking,his
About,has aggravated,66,66_M_him,m,Match,obj,The story about Jeffrey has aggravated,him
About,has aggravated,66,66_F_him,f,Mismatch,obj,The story about Sally has aggravated,him
About,has aggravated,66,66_M_his,m,Match,poss,The story about Jeffrey has aggravated,his
About,has aggravated,66,66_F_his,f,Mismatch,poss,The story about Sally has aggravated,his
About,would distract,67,67_M_him,m,Match,obj,The essay about Patrick would distract,him
About,would distract,67,67_F_him,f,Mismatch,obj,The essay about April would distract,him
About,would distract,67,67_M_his,m,Match,poss,The essay about Patrick would distract,his
About,would distract,67,67_F_his,f,Mismatch,poss,The essay about April would distract,his
About,had impressed,68,68_M_him,m,Match,obj,The report about Aaron had impressed,him
About,had impressed,68,68_F_him,f,Mismatch,obj,The report about Monica had impressed,him
About,had impressed,68,68_M_his,m,Match,poss,The report about Aaron had impressed,his
About,had impressed,68,68_F_his,f,Mismatch,poss,The report about Monica had impressed,his
About,distracted,69,69_M_him,m,Match,obj,The documentary about Guy distracted,him
About,distracted,69,69_F_him,f,Mismatch,obj,The documentary about this grandmother distracted,him
About,distracted,69,69_M_his,m,Match,poss,The documentary about Guy distracted,his
About,distracted,69,69_F_his,f,Mismatch,poss,The documentary about this grandmother distracted,his
About,confused,70,70_M_him,m,Match,obj,The commentary about Steve confused,him
About,confused,70,70_F_him,f,Mismatch,obj,The commentary about Christina confused,him
About,confused,70,70_M_his,m,Match,poss,The commentary about Steve confused,his
About,confused,70,70_F_his,f,Mismatch,poss,The commentary about Christina confused,his
About,scares,71,71_M_him,m,Match,obj,The show about Scott scares,him
About,scares,71,71_F_him,f,Mismatch,obj,The show about Anna scares,him
About,scares,71,71_M_his,m,Match,poss,The show about Scott scares,his
About,scares,71,71_F_his,f,Mismatch,poss,The show about Anna scares,his
About,isn't hurting,72,72_M_him,m,Match,obj,The book about Brad isn't hurting,him
About,isn't hurting,72,72_F_him,f,Mismatch,obj,The book about Carrie isn't hurting,him
About,isn't hurting,72,72_M_his,m,Match,poss,The book about Brad isn't hurting,his
About,isn't hurting,72,72_F_his,f,Mismatch,poss,The book about Carrie isn't hurting,his
About,hasn't aided,73,73_M_him,m,Match,obj,The pamphlet about Carl hasn't aided,him
About,hasn't aided,73,73_F_him,f,Mismatch,obj,The pamphlet about Jodi hasn't aided,him
About,hasn't aided,73,73_M_his,m,Match,poss,The pamphlet about Carl hasn't aided,his
About,hasn't aided,73,73_F_his,f,Mismatch,poss,The pamphlet about Jodi hasn't aided,his
About,hasn't alarmed,74,74_M_him,m,Match,obj,The brochure about Craig hasn't alarmed,him
About,hasn't alarmed,74,74_F_him,f,Mismatch,obj,The brochure about Heidi hasn't alarmed,him
About,hasn't alarmed,74,74_M_his,m,Match,poss,The brochure about Craig hasn't alarmed,his
About,hasn't alarmed,74,74_F_his,f,Mismatch,poss,The brochure about Heidi hasn't alarmed,his
About,wouldn't annoy,75,75_M_him,m,Match,obj,The play about Phillip wouldn't annoy,him
About,wouldn't annoy,75,75_F_him,f,Mismatch,obj,The play about Melanie wouldn't annoy,him
About,wouldn't annoy,75,75_M_his,m,Match,poss,The play about Phillip wouldn't annoy,his
About,wouldn't annoy,75,75_F_his,f,Mismatch,poss,The play about Melanie wouldn't annoy,his
About,bothered,76,76_M_him,m,Match,obj,The movie about Bruce bothered,him
About,bothered,76,76_F_him,f,Mismatch,obj,The movie about Teresa bothered,him
About,bothered,76,76_M_his,m,Match,poss,The movie about Bruce bothered,his
About,bothered,76,76_F_his,f,Mismatch,poss,The movie about Teresa bothered,his
About,alarmed,77,77_M_him,m,Match,obj,The newspaper article about Edward alarmed,him
About,alarmed,77,77_F_him,f,Mismatch,obj,The newspaper article about Deanna alarmed,him
About,alarmed,77,77_M_his,m,Match,poss,The newspaper article about Edward alarmed,his
About,alarmed,77,77_F_his,f,Mismatch,poss,The newspaper article about Deanna alarmed,his
About,doesn't overwhelm,78,78_M_him,m,Match,obj,The story about that man doesn't overwhelm,him
About,doesn't overwhelm,78,78_F_him,f,Mismatch,obj,The story about this waitress doesn't overwhelm,him
About,doesn't overwhelm,78,78_M_his,m,Match,poss,The story about that man doesn't overwhelm,his
About,doesn't overwhelm,78,78_F_his,f,Mismatch,poss,The story about this waitress doesn't overwhelm,his
About,can upset,79,79_M_him,m,Match,obj,The essay about Joel can upset,him
About,can upset,79,79_F_him,f,Mismatch,obj,The essay about Michelle can upset,him
About,can upset,79,79_M_his,m,Match,poss,The essay about Joel can upset,his
About,can upset,79,79_F_his,f,Mismatch,poss,The essay about Michelle can upset,his
About,alarms,80,80_M_him,m,Match,obj,The report about Vincent alarms,him
About,alarms,80,80_F_him,f,Mismatch,obj,The report about Sarah alarms,him
About,alarms,80,80_M_his,m,Match,poss,The report about Vincent alarms,his
About,alarms,80,80_F_his,f,Mismatch,poss,The report about Sarah alarms,his
About,disturbs,81,81_M_him,m,Match,obj,The documentary about Patrick disturbs,him
About,disturbs,81,81_F_him,f,Mismatch,obj,The documentary about that granddaughter disturbs,him
About,disturbs,81,81_M_his,m,Match,poss,The documentary about Patrick disturbs,his
About,disturbs,81,81_F_his,f,Mismatch,poss,The documentary about that granddaughter disturbs,his
About,hasn't distracted,82,82_M_him,m,Match,obj,The commentary about Gregory hasn't distracted,him
About,hasn't distracted,82,82_F_him,f,Mismatch,obj,The commentary about Sharon hasn't distracted,him
About,hasn't distracted,82,82_M_his,m,Match,poss,The commentary about Gregory hasn't distracted,his
About,hasn't distracted,82,82_F_his,f,Mismatch,poss,The commentary about Sharon hasn't distracted,his
About,harmed,83,83_M_him,m,Match,obj,The show about Lawrence harmed,him
About,harmed,83,83_F_him,f,Mismatch,obj,The show about this ex-girlfriend harmed,him
About,harmed,83,83_M_his,m,Match,poss,The show about Lawrence harmed,his
About,harmed,83,83_F_his,f,Mismatch,poss,The show about this ex-girlfriend harmed,his
About,distracts,84,84_M_him,m,Match,obj,The book about the grandson distracts,him
About,distracts,84,84_F_him,f,Mismatch,obj,The book about Nicole distracts,him
About,distracts,84,84_M_his,m,Match,poss,The book about the grandson distracts,his
About,distracts,84,84_F_his,f,Mismatch,poss,The book about Nicole distracts,his
About,isn't alarming,85,85_M_him,m,Match,obj,The pamphlet about Thomas isn't alarming,him
About,isn't alarming,85,85_F_him,f,Mismatch,obj,The pamphlet about Beth isn't alarming,him
About,isn't alarming,85,85_M_his,m,Match,poss,The pamphlet about Thomas isn't alarming,his
About,isn't alarming,85,85_F_his,f,Mismatch,poss,The pamphlet about Beth isn't alarming,his
About,embarrasses,86,86_M_him,m,Match,obj,The brochure about Liam embarrasses,him
About,embarrasses,86,86_F_him,f,Mismatch,obj,The brochure about Ellen embarrasses,him
