exp,verb,frameNum,uid,gender,cond,pronoun,sent,target
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his
simple,left,47,47_M_him,m,Match,obj,Bruce left,him
simple,left,47,47_M_his,m,Match,poss,Bruce left,his
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his
simple,led,51,51_M_him,m,Match,obj,This boy led,him
simple,led,51,51_M_his,m,Match,poss,This boy led,his
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him
simple,hires,78,78_M_his,m,Match,poss,Jason hires,his
simple,hires,78,78_F_him,f,Mismatch,obj,Ann hires,him
simple,hires,78,78_F_his,f,Mismatch,poss,Ann hires,his
simple,had shocked,79,79_M_him,m,Match,obj,That ex-boyfriend had shocked,him
simple,had shocked,79,79_M_his,m,Match,poss,That ex-boyfriend had shocked,his
simple,had shocked,79,79_F_him,f,Mismatch,obj,Barbara had shocked,him
simple,had shocked,79,79_F_his,f,Mismatch,poss,Barbara had shocked,his
simple,could talk to,80,80_M_him,m,Match,obj,Steven could talk to,him
simple,could talk to,80,80_M_his,m,Match,poss,Steven could talk to,his
simple,could talk to,80,80_F_him,f,Mismatch,obj,Irene could talk to,him
simple,could talk to,80,80_F_his,f,Mismatch,poss,Irene could talk to,his
simple,did scan,81,81_M_him,m,Match,obj,This grandson did scan,him
simple,did scan,81,81_M_his,m,Match,poss,This grandson did scan,his
simple,did scan,81,81_F_him,f,Mismatch,obj,Brenda did scan,him
simple,did scan,81,81_F_his,f,Mismatch,poss,Brenda did scan,his
simple,noticed,82,82_M_him,m,Match,obj,Thomas noticed,him
simple,noticed,82,82_M_his,m,Match,poss,Thomas noticed,his
simple,noticed,82,82_F_him,f,Mismatch,obj,Dawn noticed,him
simple,noticed,82,82_F_his,f,Mismatch,poss,Dawn noticed,his
simple,liked,83,83_M_him,m,Match,obj,Wayne liked,him
simple,liked,83,83_M_his,m,Match,poss,Wayne liked,his
simple,liked,83,83_F_him,f,Mismatch,obj,Rachel liked,him
simple,liked,83,83_F_his,f,Mismatch,poss,Rachel liked,his
simple,didn't hear,84,84_M_him,m,Match,obj,Lawrence didn't hear,him
simple,didn't hear,84,84_M_his,m,Match,poss,Lawrence didn't hear,his
simple,didn't hear,84,84_F_him,f,Mismatch,obj,The waitress didn't hear,him
simple,didn't hear,84,84_F_his,f,Mismatch,poss,The waitress didn't hear,his
simple,has boasted about,85,85_M_him,m,Match,obj,Frank has boasted about,him
simple,has boasted about,85,85_M_his,m,Match,poss,Frank has boasted about,his
simple,has boasted about,85,85_F_him,f,Mismatch,obj,Nicole has boasted about,him
simple,has boasted about,85,85_F_his,f,Mismatch,poss,Nicole has boasted about,his
simple,would love,86,86_M_him,m,Match,obj,Peter would love,him
simple,would love,86,86_M_his,m,Match,poss,Peter would love,his
simple,would love,86,86_F_him,f,Mismatch,obj,Sandra would love,him
simple,would love,86,86_F_his,f,Mismatch,poss,Sandra would love,his
simple,works with,87,87_M_him,m,Match,obj,Todd works with,him
simple,works with,87,87_M_his,m,Match,poss,Todd works with,his
simple,works with,87,87_F_him,f,Mismatch,obj,Janet works with,him
simple,works with,87,87_F_his,f,Mismatch,poss,Janet works with,his
simple,can fight,88,88_M_him,m,Match,obj,Joel can fight,him
simple,can fight,88,88_M_his,m,Match,poss,Joel can fight,his
simple,can fight,88,88_F_him,f,Mismatch,obj,Catherine can fight,him
simple,can fight,88,88_F_his,f,Mismatch,poss,Catherine can fight,his
simple,talks about,89,89_M_him,m,Match,obj,Daniel talks about,him
simple,talks about,89,89_M_his,m,Match,poss,Daniel talks about,his
simple,talks about,89,89_F_him,f,Mismatch,obj,Stacey talks about,him
simple,talks about,89,89_F_his,f,Mismatch,poss,Stacey talks about,his
simple,has investigated,90,90_M_him,m,Match,obj,Ronald has investigated,him
simple,has investigated,90,90_M_his,m,Match,poss,Ronald has investigated,his
simple,has investigated,90,90_F_him,f,Mismatch,obj,Leslie has investigated,him
simple,has investigated,90,90_F_his,f,Mismatch,poss,Leslie has investigated,his
simple,wouldn't astound,91,91_M_him,m,Match,obj,Omar wouldn't astound,him
simple,wouldn't astound,91,91_M_his,m,Match,poss,Omar wouldn't astound,his
simple,wouldn't astound,91,91_F_him,f,Mismatch,obj,Claire wouldn't astound,him
simple,wouldn't astound,91,91_F_his,f,Mismatch,poss,Claire wouldn't astound,his
simple,wasn't praising,92,92_M_him,m,Match,obj,Donald wasn't praising,him
simple,wasn't praising,92,92_M_his,m,Match,poss,Donald wasn't praising,his
simple,wasn't praising,92,92_F_him,f,Mismatch,obj,Diane wasn't praising,him
simple,wasn't praising,92,92_F_his,f,Mismatch,poss,Diane wasn't praising,his
simple,had argued about,93,93_M_him,m,Match,obj,Dennis had argued about,him
simple,had argued about,93,93_M_his,m,Match,poss,Dennis had argued about,his
simple,had argued about,93,93_F_him,f,Mismatch,obj,Kristin had argued about,him
simple,had argued about,93,93_F_his,f,Mismatch,poss,Kristin had argued about,his
simple,astounds,94,94_M_him,m,Match,obj,Carl astounds,him
simple,astounds,94,94_M_his,m,Match,poss,Carl astounds,his
simple,astounds,94,94_F_him,f,Mismatch,obj,Stacy astounds,him
simple,astounds,94,94_F_his,f,Mismatch,poss,Stacy astounds,his
simple,is praising,95,95_M_him,m,Match,obj,Bradley is praising,him
simple,is praising,95,95_M_his,m,Match,poss,Bradley is praising,his
simple,is praising,95,95_F_him,f,Mismatch,obj,Holly is praising,him
simple,is praising,95,95_F_his,f,Mismatch,poss,Holly is praising,his
simple,sounded like,96,96_M_him,m,Match,obj,Gary sounded like,him
simple,sounded like,96,96_M_his,m,Match,poss,Gary sounded like,his
simple,sounded like,96,96_F_him,f,Mismatch,obj,Danielle sounded like,him
