exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-xl_surp
About,alarmed,8,8_M_him,m,Match,obj,The report about Samuel alarmed,him,2.580839157104492
About,alarmed,8,8_F_him,f,Mismatch,obj,The report about Nicole alarmed,him,3.9660351276397705
About,alarmed,8,8_M_his,m,Match,poss,The report about Samuel alarmed,his,5.394492149353027
About,alarmed,8,8_F_his,f,Mismatch,poss,The report about Nicole alarmed,his,6.420748710632324
About,should shock,9,9_M_him,m,Match,obj,The documentary about Daniel should shock,him,6.780001163482666
About,should shock,9,9_F_him,f,Mismatch,obj,The documentary about the ex-wife should shock,him,8.464563369750977
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,7.0851664543151855
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,8.439070701599121
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,7.300674915313721
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,8.41585636138916
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,9.563563346862793
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,11.080151557922363
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,6.120133399963379
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,6.618244647979736
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,9.028803825378418
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,9.969970703125
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,3.978525161743164
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,5.533229351043701
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,5.807581424713135
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,7.727779388427734
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,5.101504325866699
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,5.121488094329834
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,6.71658992767334
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,7.237246513366699
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,4.370124340057373
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,5.028961181640625
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,4.369491100311279
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,5.3795576095581055
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,5.166530132293701
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,6.0416436195373535
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,7.414459705352783
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,8.621898651123047
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,7.776120662689209
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,8.574055671691895
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,8.983687400817871
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,9.53231143951416
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,3.027339458465576
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,3.2749059200286865
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,6.0743584632873535
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,7.39103364944458
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,3.1066031455993652
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,5.684518337249756
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,4.421510696411133
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,7.592703819274902
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,4.424722194671631
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,4.729000568389893
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,8.471875190734863
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,8.877008438110352
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,3.442476511001587
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,4.4621076583862305
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,8.625852584838867
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,9.869409561157227
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,5.887773036956787
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,6.337425708770752
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,7.786332607269287
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,8.749554634094238
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,8.369698524475098
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,9.946825981140137
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,9.604963302612305
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,10.9197359085083
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,4.681429386138916
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him,4.634128093719482
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his,5.389904975891113
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his,6.510285377502441
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him,4.23927116394043
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him,5.536250591278076
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his,2.570347309112549
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his,4.186916351318359
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him,3.4758265018463135
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him,3.257054090499878
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his,7.808143615722656
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his,8.522171974182129
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him,4.242147445678711
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him,5.807725429534912
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his,4.3599700927734375
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his,5.853461265563965
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him,4.002098083496094
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him,5.251435279846191
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his,6.14836311340332
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his,6.993825912475586
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him,7.421420097351074
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him,8.055520057678223
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his,6.719152927398682
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his,7.711566925048828
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him,3.5944669246673584
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him,4.3078460693359375
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his,6.879509449005127
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his,8.022562980651855
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him,5.437381267547607
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him,5.376589298248291
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his,7.783859729766846
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his,8.83488655090332
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him,14.20942497253418
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him,14.945932388305664
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his,13.194125175476074
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his,14.030327796936035
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him,4.026392459869385
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him,4.261402606964111
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his,6.610175132751465
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his,6.9689130783081055
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him,4.856091022491455
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him,5.404087543487549
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his,4.114974021911621
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his,5.054927349090576
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him,4.324087619781494
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him,5.679342269897461
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his,3.524632453918457
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his,4.917770862579346
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him,8.478409767150879
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him,9.474106788635254
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his,9.17237663269043
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his,10.455548286437988
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him,3.9654836654663086
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him,4.1903605461120605
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his,6.79535436630249
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his,8.426385879516602
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him,3.208587408065796
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him,5.312114238739014
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his,3.5505332946777344
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his,5.323036193847656
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him,3.484161853790283
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him,4.66485071182251
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his,8.256691932678223
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his,9.755023956298828
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him,2.6869144439697266
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him,2.7357375621795654
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his,6.514588356018066
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his,6.153771877288818
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him,4.445859432220459
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him,4.973227500915527
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his,5.445626735687256
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his,6.187530040740967
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him,2.4184165000915527
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him,3.3752899169921875
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his,5.344127655029297
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his,6.517582893371582
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him,5.710831165313721
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him,6.544776916503906
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his,7.0954132080078125
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his,8.852864265441895
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him,5.207863807678223
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him,5.191109657287598
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his,5.646615505218506
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his,7.030106067657471
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him,2.266697406768799
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him,2.600553512573242
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his,5.723033428192139
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his,6.759401798248291
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him,3.17052960395813
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him,6.244625091552734
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his,6.654240608215332
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his,9.67906379699707
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him,5.960321426391602
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him,6.39993953704834
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his,3.64945125579834
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his,5.249216556549072
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him,3.7437994480133057
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him,4.946029186248779
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his,2.38511061668396
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his,4.397579669952393
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him,16.5765380859375
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him,17.02570915222168
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his,15.433349609375
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his,15.997118949890137
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him,3.1029505729675293
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him,4.335285663604736
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his,2.7422711849212646
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his,4.23326301574707
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him,2.9688446521759033
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him,3.901196002960205
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his,5.925329685211182
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his,7.982995510101318
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him,3.9293735027313232
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him,4.814547061920166
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his,6.807302951812744
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his,7.517411231994629
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him,4.488292217254639
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him,4.922066688537598
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his,8.381423950195312
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his,9.173741340637207
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him,3.62248158454895
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him,3.5706968307495117
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his,6.715190410614014
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his,7.502336025238037
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him,4.070786952972412
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him,3.8380470275878906
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his,7.488675594329834
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his,7.541371822357178
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him,4.561550140380859
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him,4.685530185699463
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his,5.280423164367676
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his,6.54046106338501
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him,4.509490489959717
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him,5.872372150421143
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his,6.004919528961182
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his,7.509417533874512
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him,4.506251811981201
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him,5.916696548461914
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his,8.109134674072266
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his,8.887149810791016
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him,3.782384157180786
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him,4.693980693817139
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his,9.19418716430664
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his,10.182950973510742
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him,4.306710243225098
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him,5.453200340270996
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his,4.372095584869385
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his,6.062477111816406
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him,15.75829029083252
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him,15.967995643615723
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his,15.061934471130371
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his,15.501551628112793
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him,15.994564056396484
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him,15.967103958129883
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his,15.247910499572754
About,is stunning,61,61_F_his,f,Mismatch,poss,The pamphlet about Dana is stunning,his,15.297937393188477
About,harms,62,62_M_him,m,Match,obj,The brochure about Theodore harms,him,5.193904876708984
About,harms,62,62_F_him,f,Mismatch,obj,The brochure about Pamela harms,him,5.786320209503174
About,harms,62,62_M_his,m,Match,poss,The brochure about Theodore harms,his,4.784198760986328
About,harms,62,62_F_his,f,Mismatch,poss,The brochure about Pamela harms,his,5.915567398071289
About,should bore,63,63_M_him,m,Match,obj,The play about Jason should bore,him,6.585104942321777
About,should bore,63,63_F_him,f,Mismatch,obj,The play about Jacqueline should bore,him,7.734009265899658
About,should bore,63,63_M_his,m,Match,poss,The play about Jason should bore,his,7.790773391723633
About,should bore,63,63_F_his,f,Mismatch,poss,The play about Jacqueline should bore,his,9.636821746826172
About,will upset,64,64_M_him,m,Match,obj,The movie about that boy will upset,him,4.619345664978027
About,will upset,64,64_F_him,f,Mismatch,obj,The movie about Melissa will upset,him,6.858142375946045
About,will upset,64,64_M_his,m,Match,poss,The movie about that boy will upset,his,6.786829948425293
About,will upset,64,64_F_his,f,Mismatch,poss,The movie about Melissa will upset,his,8.50826358795166
About,is shocking,65,65_M_him,m,Match,obj,The newspaper article about Craig is shocking,him,14.018586158752441
About,is shocking,65,65_F_him,f,Mismatch,obj,The newspaper article about Connie is shocking,him,13.367732048034668
About,is shocking,65,65_M_his,m,Match,poss,The newspaper article about Craig is shocking,his,13.335016250610352
About,is shocking,65,65_F_his,f,Mismatch,poss,The newspaper article about Connie is shocking,his,13.57242488861084
About,has aggravated,66,66_M_him,m,Match,obj,The story about Jeffrey has aggravated,him,5.16851282119751
About,has aggravated,66,66_F_him,f,Mismatch,obj,The story about Sally has aggravated,him,4.439731597900391
About,has aggravated,66,66_M_his,m,Match,poss,The story about Jeffrey has aggravated,his,5.203400611877441
About,has aggravated,66,66_F_his,f,Mismatch,poss,The story about Sally has aggravated,his,5.583611488342285
About,would distract,67,67_M_him,m,Match,obj,The essay about Patrick would distract,him,4.510165691375732
About,would distract,67,67_F_him,f,Mismatch,obj,The essay about April would distract,him,4.251842975616455
About,would distract,67,67_M_his,m,Match,poss,The essay about Patrick would distract,his,8.389477729797363
About,would distract,67,67_F_his,f,Mismatch,poss,The essay about April would distract,his,8.344422340393066
About,had impressed,68,68_M_him,m,Match,obj,The report about Aaron had impressed,him,2.8324697017669678
About,had impressed,68,68_F_him,f,Mismatch,obj,The report about Monica had impressed,him,2.69915771484375
About,had impressed,68,68_M_his,m,Match,poss,The report about Aaron had impressed,his,6.23998498916626
About,had impressed,68,68_F_his,f,Mismatch,poss,The report about Monica had impressed,his,6.297153472900391
About,distracted,69,69_M_him,m,Match,obj,The documentary about Guy distracted,him,2.1613388061523438
About,distracted,69,69_F_him,f,Mismatch,obj,The documentary about this grandmother distracted,him,4.17289924621582
About,distracted,69,69_M_his,m,Match,poss,The documentary about Guy distracted,his,5.154774188995361
About,distracted,69,69_F_his,f,Mismatch,poss,The documentary about this grandmother distracted,his,8.213152885437012
About,confused,70,70_M_him,m,Match,obj,The commentary about Steve confused,him,5.81760835647583
About,confused,70,70_F_him,f,Mismatch,obj,The commentary about Christina confused,him,7.34570837020874
About,confused,70,70_M_his,m,Match,poss,The commentary about Steve confused,his,8.1662015914917
About,confused,70,70_F_his,f,Mismatch,poss,The commentary about Christina confused,his,9.503631591796875
About,scares,71,71_M_him,m,Match,obj,The show about Scott scares,him,3.680083751678467
About,scares,71,71_F_him,f,Mismatch,obj,The show about Anna scares,him,5.260191917419434
About,scares,71,71_M_his,m,Match,poss,The show about Scott scares,his,6.326075077056885
About,scares,71,71_F_his,f,Mismatch,poss,The show about Anna scares,his,9.598782539367676
About,isn't hurting,72,72_M_him,m,Match,obj,The book about Brad isn't hurting,him,4.592802047729492
