exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_him,mfm,MatchMismatchMatch,obj,Ronald alerted Angela that Scott wasn't alarming,him,6.815296649932861
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_him,mff,MatchMismatchMismatch,obj,Ronald alerted Angela that Alice wasn't alarming,him,3.921696662902832
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_him,fmm,MismatchMatchMatch,obj,Christina alerted Donald that Scott wasn't alarming,him,2.940152168273926
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_him,fmf,MismatchMatchMismatch,obj,Christina alerted Donald that Alice wasn't alarming,him,1.8727418184280396
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_him,ffm,MismatchMismatchMatch,obj,Christina alerted Angela that Scott wasn't alarming,him,7.734002113342285
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_him,fff,MismatchMismatchMismatch,obj,Christina alerted Angela that Alice wasn't alarming,him,5.127110481262207
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_his,mmm,MatchMatchMatch,poss,Ronald alerted Donald that Scott wasn't alarming,his,5.241025924682617
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_his,mmf,MatchMatchMismatch,poss,Ronald alerted Donald that Alice wasn't alarming,his,6.470872402191162
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_his,mfm,MatchMismatchMatch,poss,Ronald alerted Angela that Scott wasn't alarming,his,5.618805885314941
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_his,mff,MatchMismatchMismatch,poss,Ronald alerted Angela that Alice wasn't alarming,his,8.021492004394531
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_his,fmm,MismatchMatchMatch,poss,Christina alerted Donald that Scott wasn't alarming,his,5.675500392913818
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_his,fmf,MismatchMatchMismatch,poss,Christina alerted Donald that Alice wasn't alarming,his,6.834206581115723
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_his,ffm,MismatchMismatchMatch,poss,Christina alerted Angela that Scott wasn't alarming,his,6.457371234893799
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_his,fff,MismatchMismatchMismatch,poss,Christina alerted Angela that Alice wasn't alarming,his,9.37353801727295
TwoEmbedding,warned,was investigating,6,6_MMM_him,mmm,MatchMatchMatch,obj,The brother warned Jason that Adam was investigating,him,3.615751266479492
TwoEmbedding,warned,was investigating,6,6_MMF_him,mmf,MatchMatchMismatch,obj,The brother warned Jason that Victoria was investigating,him,2.6670761108398438
TwoEmbedding,warned,was investigating,6,6_MFM_him,mfm,MatchMismatchMatch,obj,The brother warned Amanda that Adam was investigating,him,4.842830657958984
TwoEmbedding,warned,was investigating,6,6_MFF_him,mff,MatchMismatchMismatch,obj,The brother warned Amanda that Victoria was investigating,him,3.421207904815674
TwoEmbedding,warned,was investigating,6,6_FMM_him,fmm,MismatchMatchMatch,obj,Jennifer warned Jason that Adam was investigating,him,4.213536262512207
TwoEmbedding,warned,was investigating,6,6_FMF_him,fmf,MismatchMatchMismatch,obj,Jennifer warned Jason that Victoria was investigating,him,2.9293429851531982
TwoEmbedding,warned,was investigating,6,6_FFM_him,ffm,MismatchMismatchMatch,obj,Jennifer warned Amanda that Adam was investigating,him,6.186375617980957
TwoEmbedding,warned,was investigating,6,6_FFF_him,fff,MismatchMismatchMismatch,obj,Jennifer warned Amanda that Victoria was investigating,him,5.132180690765381
TwoEmbedding,warned,was investigating,6,6_MMM_his,mmm,MatchMatchMatch,poss,The brother warned Jason that Adam was investigating,his,3.503845453262329
TwoEmbedding,warned,was investigating,6,6_MMF_his,mmf,MatchMatchMismatch,poss,The brother warned Jason that Victoria was investigating,his,3.4476253986358643
TwoEmbedding,warned,was investigating,6,6_MFM_his,mfm,MatchMismatchMatch,poss,The brother warned Amanda that Adam was investigating,his,4.6065354347229
TwoEmbedding,warned,was investigating,6,6_MFF_his,mff,MatchMismatchMismatch,poss,The brother warned Amanda that Victoria was investigating,his,4.697025775909424
TwoEmbedding,warned,was investigating,6,6_FMM_his,fmm,MismatchMatchMatch,poss,Jennifer warned Jason that Adam was investigating,his,4.3363037109375
TwoEmbedding,warned,was investigating,6,6_FMF_his,fmf,MismatchMatchMismatch,poss,Jennifer warned Jason that Victoria was investigating,his,4.035102367401123
TwoEmbedding,warned,was investigating,6,6_FFM_his,ffm,MismatchMismatchMatch,poss,Jennifer warned Amanda that Adam was investigating,his,5.105066776275635
TwoEmbedding,warned,was investigating,6,6_FFF_his,fff,MismatchMismatchMismatch,poss,Jennifer warned Amanda that Victoria was investigating,his,6.687726020812988
TwoEmbedding,warned,can reference,7,7_MMM_him,mmm,MatchMatchMatch,obj,Daniel warned Timothy that this husband can reference,him,5.443289279937744
TwoEmbedding,warned,can reference,7,7_MMF_him,mmf,MatchMatchMismatch,obj,Daniel warned Timothy that Jodi can reference,him,3.5086421966552734
TwoEmbedding,warned,can reference,7,7_MFM_him,mfm,MatchMismatchMatch,obj,Daniel warned Tiffany that this husband can reference,him,6.856027603149414
TwoEmbedding,warned,can reference,7,7_MFF_him,mff,MatchMismatchMismatch,obj,Daniel warned Tiffany that Jodi can reference,him,4.1445536613464355
TwoEmbedding,warned,can reference,7,7_FMM_him,fmm,MismatchMatchMatch,obj,Donna warned Timothy that this husband can reference,him,5.873153209686279
TwoEmbedding,warned,can reference,7,7_FMF_him,fmf,MismatchMatchMismatch,obj,Donna warned Timothy that Jodi can reference,him,3.4234619140625
TwoEmbedding,warned,can reference,7,7_FFM_him,ffm,MismatchMismatchMatch,obj,Donna warned Tiffany that this husband can reference,him,7.709153652191162
TwoEmbedding,warned,can reference,7,7_FFF_him,fff,MismatchMismatchMismatch,obj,Donna warned Tiffany that Jodi can reference,him,5.026621341705322
TwoEmbedding,warned,can reference,7,7_MMM_his,mmm,MatchMatchMatch,poss,Daniel warned Timothy that this husband can reference,his,3.9540107250213623
TwoEmbedding,warned,can reference,7,7_MMF_his,mmf,MatchMatchMismatch,poss,Daniel warned Timothy that Jodi can reference,his,4.1886677742004395
TwoEmbedding,warned,can reference,7,7_MFM_his,mfm,MatchMismatchMatch,poss,Daniel warned Tiffany that this husband can reference,his,4.2427144050598145
TwoEmbedding,warned,can reference,7,7_MFF_his,mff,MatchMismatchMismatch,poss,Daniel warned Tiffany that Jodi can reference,his,4.702904224395752
TwoEmbedding,warned,can reference,7,7_FMM_his,fmm,MismatchMatchMatch,poss,Donna warned Timothy that this husband can reference,his,3.937723398208618
TwoEmbedding,warned,can reference,7,7_FMF_his,fmf,MismatchMatchMismatch,poss,Donna warned Timothy that Jodi can reference,his,4.178781986236572
TwoEmbedding,warned,can reference,7,7_FFM_his,ffm,MismatchMismatchMatch,poss,Donna warned Tiffany that this husband can reference,his,4.300200462341309
TwoEmbedding,warned,can reference,7,7_FFF_his,fff,MismatchMismatchMismatch,poss,Donna warned Tiffany that Jodi can reference,his,5.683138370513916
TwoEmbedding,informs,didn't reference,8,8_MMM_him,mmm,MatchMatchMatch,obj,Dennis informs Scott that Guy didn't reference,him,4.304874420166016
TwoEmbedding,informs,didn't reference,8,8_MMF_him,mmf,MatchMatchMismatch,obj,Dennis informs Scott that Kristen didn't reference,him,4.394947528839111
TwoEmbedding,informs,didn't reference,8,8_MFM_him,mfm,MatchMismatchMatch,obj,Dennis informs Stacy that Guy didn't reference,him,4.2325358390808105
TwoEmbedding,informs,didn't reference,8,8_MFF_him,mff,MatchMismatchMismatch,obj,Dennis informs Stacy that Kristen didn't reference,him,4.367578506469727
TwoEmbedding,informs,didn't reference,8,8_FMM_him,fmm,MismatchMatchMatch,obj,Christine informs Scott that Guy didn't reference,him,5.196105003356934
TwoEmbedding,informs,didn't reference,8,8_FMF_him,fmf,MismatchMatchMismatch,obj,Christine informs Scott that Kristen didn't reference,him,5.3425116539001465
TwoEmbedding,informs,didn't reference,8,8_FFM_him,ffm,MismatchMismatchMatch,obj,Christine informs Stacy that Guy didn't reference,him,5.4346089363098145
TwoEmbedding,informs,didn't reference,8,8_FFF_him,fff,MismatchMismatchMismatch,obj,Christine informs Stacy that Kristen didn't reference,him,6.019782066345215
TwoEmbedding,informs,didn't reference,8,8_MMM_his,mmm,MatchMatchMatch,poss,Dennis informs Scott that Guy didn't reference,his,3.815988779067993
TwoEmbedding,informs,didn't reference,8,8_MMF_his,mmf,MatchMatchMismatch,poss,Dennis informs Scott that Kristen didn't reference,his,4.524308204650879
TwoEmbedding,informs,didn't reference,8,8_MFM_his,mfm,MatchMismatchMatch,poss,Dennis informs Stacy that Guy didn't reference,his,3.8092360496520996
TwoEmbedding,informs,didn't reference,8,8_MFF_his,mff,MatchMismatchMismatch,poss,Dennis informs Stacy that Kristen didn't reference,his,4.675084590911865
TwoEmbedding,informs,didn't reference,8,8_FMM_his,fmm,MismatchMatchMatch,poss,Christine informs Scott that Guy didn't reference,his,3.858367443084717
TwoEmbedding,informs,didn't reference,8,8_FMF_his,fmf,MismatchMatchMismatch,poss,Christine informs Scott that Kristen didn't reference,his,5.344202518463135
TwoEmbedding,informs,didn't reference,8,8_FFM_his,ffm,MismatchMismatchMatch,poss,Christine informs Stacy that Guy didn't reference,his,3.9050257205963135
TwoEmbedding,informs,didn't reference,8,8_FFF_his,fff,MismatchMismatchMismatch,poss,Christine informs Stacy that Kristen didn't reference,his,6.068670749664307
TwoEmbedding,alerted,forgave,9,9_MMM_him,mmm,MatchMatchMatch,obj,Eric alerted Walter that Curtis forgave,him,1.624645471572876
TwoEmbedding,alerted,forgave,9,9_MMF_him,mmf,MatchMatchMismatch,obj,Eric alerted Walter that Jill forgave,him,0.8422677516937256
TwoEmbedding,alerted,forgave,9,9_MFM_him,mfm,MatchMismatchMatch,obj,Eric alerted Sharon that Curtis forgave,him,2.7263410091400146
TwoEmbedding,alerted,forgave,9,9_MFF_him,mff,MatchMismatchMismatch,obj,Eric alerted Sharon that Jill forgave,him,1.776749849319458
TwoEmbedding,alerted,forgave,9,9_FMM_him,fmm,MismatchMatchMatch,obj,Heather alerted Walter that Curtis forgave,him,2.1038784980773926
TwoEmbedding,alerted,forgave,9,9_FMF_him,fmf,MismatchMatchMismatch,obj,Heather alerted Walter that Jill forgave,him,1.1526297330856323
TwoEmbedding,alerted,forgave,9,9_FFM_him,ffm,MismatchMismatchMatch,obj,Heather alerted Sharon that Curtis forgave,him,3.0574400424957275
TwoEmbedding,alerted,forgave,9,9_FFF_him,fff,MismatchMismatchMismatch,obj,Heather alerted Sharon that Jill forgave,him,2.24919056892395
TwoEmbedding,alerted,forgave,9,9_MMM_his,mmm,MatchMatchMatch,poss,Eric alerted Walter that Curtis forgave,his,2.937596082687378
TwoEmbedding,alerted,forgave,9,9_MMF_his,mmf,MatchMatchMismatch,poss,Eric alerted Walter that Jill forgave,his,5.5776567459106445
TwoEmbedding,alerted,forgave,9,9_MFM_his,mfm,MatchMismatchMatch,poss,Eric alerted Sharon that Curtis forgave,his,3.7780914306640625
TwoEmbedding,alerted,forgave,9,9_MFF_his,mff,MatchMismatchMismatch,poss,Eric alerted Sharon that Jill forgave,his,6.771493911743164
TwoEmbedding,alerted,forgave,9,9_FMM_his,fmm,MismatchMatchMatch,poss,Heather alerted Walter that Curtis forgave,his,2.757962703704834
TwoEmbedding,alerted,forgave,9,9_FMF_his,fmf,MismatchMatchMismatch,poss,Heather alerted Walter that Jill forgave,his,5.888115406036377
TwoEmbedding,alerted,forgave,9,9_FFM_his,ffm,MismatchMismatchMatch,poss,Heather alerted Sharon that Curtis forgave,his,3.415637254714966
TwoEmbedding,alerted,forgave,9,9_FFF_his,fff,MismatchMismatchMismatch,poss,Heather alerted Sharon that Jill forgave,his,7.340314865112305
TwoEmbedding,informs,astounds,10,10_MMM_him,mmm,MatchMatchMatch,obj,Stephen informs this guy that Mark astounds,him,0.8391419649124146
TwoEmbedding,informs,astounds,10,10_MMF_him,mmf,MatchMatchMismatch,obj,Stephen informs this guy that Tracy astounds,him,0.4794241487979889
TwoEmbedding,informs,astounds,10,10_MFM_him,mfm,MatchMismatchMatch,obj,Stephen informs Meredith that Mark astounds,him,2.5027871131896973
TwoEmbedding,informs,astounds,10,10_MFF_him,mff,MatchMismatchMismatch,obj,Stephen informs Meredith that Tracy astounds,him,1.5188523530960083
TwoEmbedding,informs,astounds,10,10_FMM_him,fmm,MismatchMatchMatch,obj,Suzanne informs this guy that Mark astounds,him,1.7235116958618164
TwoEmbedding,informs,astounds,10,10_FMF_him,fmf,MismatchMatchMismatch,obj,Suzanne informs this guy that Tracy astounds,him,0.6718890070915222
TwoEmbedding,informs,astounds,10,10_FFM_him,ffm,MismatchMismatchMatch,obj,Suzanne informs Meredith that Mark astounds,him,4.236752510070801
TwoEmbedding,informs,astounds,10,10_FFF_him,fff,MismatchMismatchMismatch,obj,Suzanne informs Meredith that Tracy astounds,him,2.642575979232788
TwoEmbedding,informs,astounds,10,10_MMM_his,mmm,MatchMatchMatch,poss,Stephen informs this guy that Mark astounds,his,6.773364543914795
TwoEmbedding,informs,astounds,10,10_MMF_his,mmf,MatchMatchMismatch,poss,Stephen informs this guy that Tracy astounds,his,7.7144999504089355
TwoEmbedding,informs,astounds,10,10_MFM_his,mfm,MatchMismatchMatch,poss,Stephen informs Meredith that Mark astounds,his,6.072610855102539
TwoEmbedding,informs,astounds,10,10_MFF_his,mff,MatchMismatchMismatch,poss,Stephen informs Meredith that Tracy astounds,his,7.407190799713135
TwoEmbedding,informs,astounds,10,10_FMM_his,fmm,MismatchMatchMatch,poss,Suzanne informs this guy that Mark astounds,his,6.6635026931762695
TwoEmbedding,informs,astounds,10,10_FMF_his,fmf,MismatchMatchMismatch,poss,Suzanne informs this guy that Tracy astounds,his,7.754004955291748
TwoEmbedding,informs,astounds,10,10_FFM_his,ffm,MismatchMismatchMatch,poss,Suzanne informs Meredith that Mark astounds,his,6.022489070892334
TwoEmbedding,informs,astounds,10,10_FFF_his,fff,MismatchMismatchMismatch,poss,Suzanne informs Meredith that Tracy astounds,his,7.995762825012207
TwoEmbedding,informed,isn't shocking,11,11_MMM_him,mmm,MatchMatchMatch,obj,Christopher informed Guy that Aaron isn't shocking,him,3.399199962615967
TwoEmbedding,informed,isn't shocking,11,11_MMF_him,mmf,MatchMatchMismatch,obj,Christopher informed Guy that the woman isn't shocking,him,4.495693683624268
TwoEmbedding,informed,isn't shocking,11,11_MFM_him,mfm,MatchMismatchMatch,obj,Christopher informed Jill that Aaron isn't shocking,him,5.545629978179932
TwoEmbedding,informed,isn't shocking,11,11_MFF_him,mff,MatchMismatchMismatch,obj,Christopher informed Jill that the woman isn't shocking,him,5.660974979400635
TwoEmbedding,informed,isn't shocking,11,11_FMM_him,fmm,MismatchMatchMatch,obj,Stephanie informed Guy that Aaron isn't shocking,him,4.1922173500061035
TwoEmbedding,informed,isn't shocking,11,11_FMF_him,fmf,MismatchMatchMismatch,obj,Stephanie informed Guy that the woman isn't shocking,him,5.224390983581543
TwoEmbedding,informed,isn't shocking,11,11_FFM_him,ffm,MismatchMismatchMatch,obj,Stephanie informed Jill that Aaron isn't shocking,him,6.666290283203125
TwoEmbedding,informed,isn't shocking,11,11_FFF_him,fff,MismatchMismatchMismatch,obj,Stephanie informed Jill that the woman isn't shocking,him,7.819001197814941
TwoEmbedding,informed,isn't shocking,11,11_MMM_his,mmm,MatchMatchMatch,poss,Christopher informed Guy that Aaron isn't shocking,his,6.087228298187256
TwoEmbedding,informed,isn't shocking,11,11_MMF_his,mmf,MatchMatchMismatch,poss,Christopher informed Guy that the woman isn't shocking,his,8.0435209274292
TwoEmbedding,informed,isn't shocking,11,11_MFM_his,mfm,MatchMismatchMatch,poss,Christopher informed Jill that Aaron isn't shocking,his,6.527091026306152
