exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-xl_surp
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,6.147722244262695
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,9.253580093383789
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,8.933385848999023
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,7.602774143218994
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,3.2038509845733643
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,6.68738317489624
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,6.8515119552612305
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,6.719507694244385
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,3.142630100250244
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,7.491338729858398
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,6.37216329574585
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,3.564244031906128
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,4.485198020935059
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,3.1273655891418457
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,4.841046333312988
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,9.26900577545166
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,5.4426164627075195
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,7.486383438110352
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,5.2493205070495605
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,7.302914142608643
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,5.809080600738525
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,5.600968360900879
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,7.0349578857421875
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,4.654866695404053
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,4.416756629943848
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,3.7426702976226807
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,5.605663299560547
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,7.541298866271973
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,3.946751832962036
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,6.236545085906982
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,4.426397800445557
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,4.3561553955078125
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,4.534188270568848
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,8.820630073547363
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,8.495378494262695
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,9.057491302490234
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,6.367311477661133
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,8.50449275970459
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,8.017650604248047
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,8.654505729675293
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,8.346543312072754
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,6.678939342498779
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,8.54090690612793
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,8.737967491149902
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,7.131852149963379
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,6.994523525238037
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,8.04266357421875
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,5.3198676109313965
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,5.239613056182861
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,5.5737128257751465
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,8.224024772644043
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,5.173153877258301
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,4.348274230957031
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,5.1762285232543945
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,6.028004169464111
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,7.098832130432129
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,4.79364538192749
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,4.8637871742248535
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,5.056477069854736
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,6.639125347137451
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,4.299239158630371
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,6.653092384338379
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,8.965319633483887
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,3.7341630458831787
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,5.712090492248535
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,3.318685531616211
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,8.6798734664917
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,7.001835823059082
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,5.2126994132995605
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,7.071402072906494
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,7.589625835418701
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,7.062198638916016
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,8.328581809997559
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,7.547379493713379
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,10.552522659301758
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,9.406988143920898
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,3.0678298473358154
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,4.0145721435546875
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,6.409877300262451
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,9.871718406677246
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,6.793315410614014
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,9.967574119567871
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,7.403372764587402
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,7.199751377105713
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,4.2022480964660645
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,5.221923828125
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,5.080249309539795
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,4.733378887176514
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,6.299773216247559
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,3.236574411392212
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,7.309286117553711
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,5.468475818634033
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,4.4480133056640625
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,5.1072893142700195
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,5.9050984382629395
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,7.036771297454834
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,5.563968658447266
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,6.173102378845215
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,7.760972023010254
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,8.304583549499512
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,5.556187629699707
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,7.407434463500977
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,6.752340793609619
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,10.204629898071289
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,3.3085947036743164
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,9.99382209777832
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,3.920006036758423
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,7.419905185699463
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,7.28558349609375
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,3.755401849746704
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,7.676933765411377
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,5.044231414794922
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,3.627807378768921
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,4.259255409240723
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,5.255773067474365
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,5.550322532653809
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,3.538259506225586
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,3.372286081314087
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,5.1086745262146
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,7.38815450668335
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,6.724910736083984
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,7.349031925201416
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,8.833133697509766
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,8.426641464233398
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,4.3378190994262695
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,7.939061164855957
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,6.4602460861206055
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,7.22391939163208
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,5.44730806350708
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,5.9631171226501465
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,6.480604648590088
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,6.269031524658203
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,4.2527899742126465
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,6.995288372039795
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,6.245636463165283
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,3.587506055831909
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,4.049859046936035
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,3.435497283935547
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,5.058610916137695
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,5.8829345703125
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,4.733734130859375
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,4.610486030578613
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,7.572982311248779
simple,led,51,51_M_him,m,Match,obj,This boy led,him,5.304650783538818
simple,led,51,51_M_his,m,Match,poss,This boy led,his,5.050971031188965
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,2.7550246715545654
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,7.588710784912109
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,8.68482494354248
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,5.01838493347168
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,6.802727699279785
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,8.20201301574707
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,11.39315128326416
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,5.723381042480469
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,10.854856491088867
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,7.496981143951416
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,5.155254364013672
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,5.13917875289917
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,4.014383316040039
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,5.3489766120910645
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,7.1566691398620605
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,7.032379627227783
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,7.70657205581665
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,8.563847541809082
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,4.941886901855469
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,4.159451961517334
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,4.013940334320068
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,4.683651447296143
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,7.052326202392578
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,4.521265983581543
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,6.539073467254639
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,5.894861221313477
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,7.928437232971191
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,4.750409126281738
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,8.069632530212402
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,5.82525110244751
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,4.481255054473877
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,5.482326030731201
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,4.963969707489014
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,6.658559322357178
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,6.948777198791504
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,3.7357335090637207
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,6.838925838470459
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,7.235697269439697
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,7.568097114562988
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,7.073829174041748
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,4.300807952880859
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,8.09665584564209
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,6.718010902404785
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,5.577598571777344
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,7.056995868682861
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,6.515605449676514
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,7.429156303405762
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,5.493507385253906
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,6.626638889312744
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,7.873700141906738
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,7.792354106903076
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,4.606647968292236
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him,6.073116779327393
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his,5.820998191833496
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him,7.0849199295043945
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his,6.728296756744385
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him,6.22025203704834
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his,7.401439189910889
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him,8.174403190612793
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his,5.03430700302124
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him,5.000677585601807
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his,6.535370826721191
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him,9.667572021484375
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his,7.224044322967529
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him,9.897107124328613
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his,10.234098434448242
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him,3.598658800125122
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his,2.9690473079681396
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him,3.2739484310150146
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his,6.942458152770996
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him,6.591540336608887
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his,5.139091491699219
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him,6.830709934234619
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his,6.0050764083862305
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him,4.2536845207214355
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his,5.049087047576904
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him,6.93588399887085
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his,10.820535659790039
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him,6.181942462921143
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his,4.910098075866699
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him,5.777081489562988
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his,8.01085376739502
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him,6.356156826019287
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his,6.324911117553711
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him,3.839365005493164
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his,5.281645774841309
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him,6.8869309425354
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his,3.766179323196411
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him,7.332828998565674
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his,6.9143500328063965
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him,4.196222305297852
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his,4.720271587371826
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him,3.004122734069824
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his,7.4055328369140625
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him,7.594646453857422
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his,5.459140300750732
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him,6.9127116203308105
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his,7.175801753997803
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him,7.256089687347412
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his,2.766780376434326
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him,6.49595308303833
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his,5.846147060394287
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him,7.059859752655029
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his,4.1492815017700195
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him,4.5000104904174805
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his,4.982519149780273
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him,6.301423072814941
simple,hires,78,78_M_his,m,Match,poss,Jason hires,his,5.443176746368408
