exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2_surp
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,6.760805606842041
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,6.332230567932129
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,7.148531913757324
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,2.1792736053466797
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,7.072103500366211
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,2.6650543212890625
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,3.764986276626587
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,4.282134056091309
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,4.070082187652588
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,4.936148643493652
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,8.687209129333496
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,5.181471347808838
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,8.363184928894043
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,4.555208206176758
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,4.770572185516357
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,3.6123063564300537
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,4.753355979919434
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,5.248721599578857
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,4.730800151824951
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,3.6341288089752197
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,3.7760190963745117
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,4.650923728942871
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,7.583108425140381
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,4.923612594604492
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,8.06279182434082
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,6.982817649841309
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,6.742232799530029
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,4.083706855773926
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,5.857226848602295
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,4.50735330581665
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,7.533257484436035
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,5.807663440704346
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,7.589422225952148
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,6.809023380279541
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,8.192445755004883
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,5.109360694885254
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,7.941580772399902
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,6.921352386474609
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,8.85389518737793
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,6.428119659423828
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,8.110933303833008
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,7.720155239105225
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,4.944663047790527
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,6.546671390533447
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,5.57789945602417
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,7.5665693283081055
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,4.252832412719727
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,4.412883758544922
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,4.821117401123047
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,5.109167575836182
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,4.492748737335205
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,3.4031217098236084
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,4.698368072509766
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,5.540153503417969
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,5.925342082977295
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,4.205185413360596
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,5.423842906951904
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,5.474122524261475
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,4.511153221130371
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,5.959968090057373
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,4.211349010467529
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,7.629528045654297
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,6.058567523956299
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,4.609818935394287
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,6.757474899291992
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,5.497681617736816
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,7.34079647064209
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,7.782756328582764
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,9.114619255065918
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,10.763330459594727
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,7.379886150360107
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,2.7123489379882812
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,3.3911759853363037
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,5.31787633895874
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,11.9071626663208
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,7.083425998687744
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,10.917280197143555
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,7.4170122146606445
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,4.542078018188477
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,4.224111080169678
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,4.206522464752197
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,4.374058246612549
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,4.254522800445557
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,4.4444684982299805
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,4.591412544250488
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,6.41279935836792
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,5.569690227508545
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,4.528988838195801
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,5.9796833992004395
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,5.598361015319824
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,7.1897711753845215
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,4.9549102783203125
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,6.404040813446045
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,7.7021164894104
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,7.675551414489746
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,4.530949115753174
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,8.15429973602295
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,5.055595874786377
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,10.425225257873535
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,2.8743669986724854
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,9.417651176452637
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,4.300173759460449
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,5.958740711212158
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,6.8060078620910645
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,4.790002346038818
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,7.967812538146973
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,3.906487226486206
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,3.7953946590423584
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,2.260096788406372
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,4.716933727264404
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,6.612994194030762
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,3.1699187755584717
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,5.869137763977051
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,4.234097003936768
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,7.091893672943115
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,7.394561290740967
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,6.749765396118164
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,8.521973609924316
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,6.334141731262207
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,3.9495649337768555
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,5.874678134918213
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,4.787131309509277
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,7.3557047843933105
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,5.289909839630127
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,5.726199150085449
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,5.664307117462158
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,7.188390254974365
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,3.2037856578826904
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,7.5336594581604
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,4.060798645019531
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,4.0013813972473145
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,4.0352935791015625
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,4.223052501678467
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,4.629954814910889
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,6.601848602294922
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,3.8449087142944336
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,5.534486770629883
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,5.304750919342041
simple,led,51,51_M_him,m,Match,obj,This boy led,him,6.124968528747559
simple,led,51,51_M_his,m,Match,poss,This boy led,his,4.483280181884766
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,6.479834079742432
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,6.439208030700684
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,7.558757781982422
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,6.889715671539307
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,7.79052209854126
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,6.06194543838501
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,10.00627326965332
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,5.424798488616943
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,9.581568717956543
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,5.191988468170166
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,5.002072811126709
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,4.373292922973633
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,4.693269729614258
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,4.297835826873779
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,6.868575096130371
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,6.841905117034912
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,7.458385944366455
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,9.057290077209473
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,4.295954704284668
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,3.388338088989258
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,4.1944499015808105
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,4.350539207458496
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,7.528511047363281
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,3.162804365158081
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,8.287224769592285
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,4.143076419830322
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,7.673166751861572
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,4.36079740524292
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,7.283897876739502
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,5.875291347503662
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,5.647799968719482
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,4.494564056396484
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,4.987983703613281
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,5.25647497177124
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,5.52146577835083
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,4.15629243850708
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,7.445027828216553
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,6.643549919128418
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,9.561516761779785
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,7.237500190734863
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,6.078413009643555
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,8.023451805114746
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,6.7469682693481445
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,5.678022861480713
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,6.181918144226074
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,5.456630229949951
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,6.298550128936768
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,4.452452182769775
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,6.559576988220215
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,6.234521865844727
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,6.361742973327637
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,4.188597202301025
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him,6.493940353393555
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his,5.375200271606445
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him,6.666656494140625
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his,6.421258449554443
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him,6.206665515899658
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his,7.0451812744140625
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him,8.076468467712402
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his,5.20139217376709
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him,6.846038818359375
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his,6.9722981452941895
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him,7.349966049194336
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his,5.8812174797058105
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him,9.462175369262695
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his,8.557937622070312
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him,3.24275803565979
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his,3.9051966667175293
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him,3.209393262863159
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his,4.400635719299316
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him,6.54428243637085
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his,5.850694179534912
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him,6.328807830810547
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his,5.306642055511475
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him,3.895427942276001
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his,5.597830295562744
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him,6.209030628204346
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his,8.123591423034668
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him,6.422613620758057
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his,5.373018741607666
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him,6.400295734405518
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his,5.999908924102783
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him,5.95884370803833
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his,4.525130271911621
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him,5.798254013061523
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his,4.131986618041992
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him,7.150703430175781
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his,3.817608118057251
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him,7.685870170593262
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his,6.722646236419678
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him,4.015714168548584
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his,4.9439802169799805
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him,4.286985397338867
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his,5.708756446838379
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him,8.888879776000977
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his,4.78469705581665
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him,9.155031204223633
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his,5.863816738128662
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him,8.851340293884277
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his,1.5708444118499756
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him,8.690114974975586
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his,2.157327651977539
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him,6.068374156951904
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his,4.104733943939209
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him,4.319908142089844
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his,4.365796089172363
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him,5.479372501373291
simple,hires,78,78_M_his,m,Match,poss,Jason hires,his,5.016819000244141
