exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-j-6B_surp
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,8.17706298828125
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,10.024710655212402
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,3.700665235519409
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,4.505879878997803
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,6.090128421783447
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,7.402541160583496
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,4.176252365112305
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,3.445113182067871
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,6.035976409912109
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,7.142019271850586
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,3.7768847942352295
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,4.604684829711914
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,3.213332176208496
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,4.841376781463623
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,4.141875267028809
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,4.198091983795166
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,6.452441692352295
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,7.162379741668701
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,6.0529279708862305
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,8.308694839477539
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,7.033509731292725
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,9.672492980957031
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,3.0139877796173096
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,2.5727438926696777
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,5.831751346588135
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,7.114978790283203
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,3.8300940990448
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,4.309089183807373
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,5.216434001922607
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,5.909578800201416
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,5.730395317077637
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,6.35789155960083
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,6.722248077392578
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,7.868213176727295
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,4.963815212249756
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,5.140752792358398
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,10.261210441589355
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,11.384917259216309
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,5.233774185180664
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,5.979459762573242
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,7.882472515106201
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,8.425278663635254
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,6.995416164398193
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,8.223031044006348
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,8.19014835357666
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,9.395220756530762
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,3.899404525756836
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him,5.140264987945557
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his,3.899404525756836
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his,7.721336364746094
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him,3.742863178253174
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him,5.088335037231445
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his,2.4354207515716553
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his,4.254277229309082
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him,2.6017699241638184
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him,2.3518619537353516
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his,6.456470966339111
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his,8.4044189453125
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him,2.7111074924468994
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him,5.886642932891846
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his,3.04923939704895
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his,5.6386799812316895
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him,3.6483347415924072
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him,4.172126293182373
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his,5.801105976104736
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his,6.572861194610596
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him,4.428225040435791
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him,5.727973461151123
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his,4.586019992828369
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his,6.325338840484619
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him,6.4225640296936035
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him,4.1169047355651855
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his,9.307953834533691
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his,7.757455348968506
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him,6.50372314453125
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him,5.250439167022705
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his,8.431074142456055
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his,9.40945816040039
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him,11.887020111083984
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him,14.199569702148438
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his,12.089899063110352
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his,13.940335273742676
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him,3.0074715614318848
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him,3.94779634475708
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his,6.783275127410889
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his,7.4756364822387695
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him,5.660902976989746
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him,7.410391807556152
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his,4.995911121368408
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his,7.207512855529785
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him,4.436194896697998
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him,4.7936530113220215
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his,3.376715898513794
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his,3.9032397270202637
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him,7.767556190490723
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him,8.948963165283203
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his,8.917203903198242
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his,10.459284782409668
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him,4.326178073883057
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him,5.938933849334717
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his,6.557847023010254
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his,10.526252746582031
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him,2.308021306991577
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him,4.895499229431152
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his,3.9197821617126465
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his,6.202941417694092
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him,3.131462812423706
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him,3.9030606746673584
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his,8.992411613464355
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his,9.696383476257324
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him,2.2274749279022217
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him,2.5823023319244385
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his,5.935652256011963
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his,6.808948040008545
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him,4.912403106689453
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him,5.39489221572876
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his,4.833506107330322
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his,7.141905784606934
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him,1.9623825550079346
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him,2.4016451835632324
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his,6.245383262634277
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his,7.405993938446045
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him,4.158819675445557
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him,4.001591205596924
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his,6.67226505279541
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his,7.991544723510742
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him,4.006243705749512
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him,4.260148048400879
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his,5.809612274169922
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his,6.953929901123047
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him,1.8013241291046143
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him,1.9425121545791626
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his,5.667295932769775
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his,7.780918598175049
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him,4.181097507476807
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him,6.257802486419678
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his,7.2919087409973145
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his,9.684203147888184
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him,7.239740371704102
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him,7.855562210083008
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his,6.292971611022949
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his,6.694643497467041
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him,4.103700637817383
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him,5.963887691497803
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his,3.3485400676727295
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his,5.558130264282227
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him,16.25429916381836
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him,16.392309188842773
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his,15.318800926208496
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his,16.262693405151367
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him,3.6212315559387207
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him,4.732545375823975
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his,2.8660709857940674
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his,4.67618989944458
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him,1.9149930477142334
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him,2.9502484798431396
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his,6.930612564086914
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his,9.76923656463623
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him,4.642111778259277
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him,4.676035404205322
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his,6.524377822875977
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his,7.820659637451172
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him,4.050975799560547
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him,4.366186618804932
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his,7.364665508270264
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his,8.220887184143066
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him,4.801657199859619
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him,3.548192024230957
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his,7.405271053314209
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his,7.853734970092773
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him,4.455358028411865
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him,4.527259349822998
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his,9.52733325958252
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his,9.576692581176758
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him,4.953744888305664
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him,4.8521952629089355
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his,4.378921031951904
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his,6.249805927276611
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him,4.45847225189209
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him,4.29807710647583
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his,7.343862533569336
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his,7.262364864349365
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him,6.2032365798950195
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him,8.343954086303711
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his,5.944002151489258
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his,10.429099082946777
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him,4.736660957336426
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him,3.7332112789154053
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his,10.045327186584473
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his,9.740683555603027
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him,5.028499603271484
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him,7.741024971008301
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his,4.611470699310303
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his,7.571959018707275
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him,15.166914939880371
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him,15.558908462524414
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his,14.997848510742188
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his,15.49128246307373
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him,16.578392028808594
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him,17.053359985351562
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his,16.92215919494629
About,is stunning,61,61_F_his,f,Mismatch,poss,The pamphlet about Dana is stunning,his,17.611276626586914
About,harms,62,62_M_him,m,Match,obj,The brochure about Theodore harms,him,9.39117431640625
About,harms,62,62_F_him,f,Mismatch,obj,The brochure about Pamela harms,him,9.102245330810547
About,harms,62,62_M_his,m,Match,poss,The brochure about Theodore harms,his,6.539597511291504
About,harms,62,62_F_his,f,Mismatch,poss,The brochure about Pamela harms,his,8.673945426940918
About,should bore,63,63_M_him,m,Match,obj,The play about Jason should bore,him,3.188190221786499
About,should bore,63,63_F_him,f,Mismatch,obj,The play about Jacqueline should bore,him,4.129952430725098
About,should bore,63,63_M_his,m,Match,poss,The play about Jason should bore,his,7.166872501373291
About,should bore,63,63_F_his,f,Mismatch,poss,The play about Jacqueline should bore,his,7.714148044586182
About,will upset,64,64_M_him,m,Match,obj,The movie about that boy will upset,him,4.268195629119873
About,will upset,64,64_F_him,f,Mismatch,obj,The movie about Melissa will upset,him,6.72385835647583
About,will upset,64,64_M_his,m,Match,poss,The movie about that boy will upset,his,5.665806293487549
About,will upset,64,64_F_his,f,Mismatch,poss,The movie about Melissa will upset,his,9.124592781066895
About,is shocking,65,65_M_him,m,Match,obj,The newspaper article about Craig is shocking,him,12.142507553100586
About,is shocking,65,65_F_him,f,Mismatch,obj,The newspaper article about Connie is shocking,him,11.885910987854004
About,is shocking,65,65_M_his,m,Match,poss,The newspaper article about Craig is shocking,his,13.934605598449707
About,is shocking,65,65_F_his,f,Mismatch,poss,The newspaper article about Connie is shocking,his,14.224654197692871
About,has aggravated,66,66_M_him,m,Match,obj,The story about Jeffrey has aggravated,him,4.642568588256836
About,has aggravated,66,66_F_him,f,Mismatch,obj,The story about Sally has aggravated,him,4.434980392456055
About,has aggravated,66,66_M_his,m,Match,poss,The story about Jeffrey has aggravated,his,5.420271396636963
About,has aggravated,66,66_F_his,f,Mismatch,poss,The story about Sally has aggravated,his,5.212683200836182
About,would distract,67,67_M_him,m,Match,obj,The essay about Patrick would distract,him,3.3968582153320312
About,would distract,67,67_F_him,f,Mismatch,obj,The essay about April would distract,him,4.079806327819824
About,would distract,67,67_M_his,m,Match,poss,The essay about Patrick would distract,his,6.6429219245910645
About,would distract,67,67_F_his,f,Mismatch,poss,The essay about April would distract,his,7.562561988830566
About,had impressed,68,68_M_him,m,Match,obj,The report about Aaron had impressed,him,2.0899722576141357
About,had impressed,68,68_F_him,f,Mismatch,obj,The report about Monica had impressed,him,1.971137285232544
About,had impressed,68,68_M_his,m,Match,poss,The report about Aaron had impressed,his,6.418057441711426
About,had impressed,68,68_F_his,f,Mismatch,poss,The report about Monica had impressed,his,7.0994672775268555
About,distracted,69,69_M_him,m,Match,obj,The documentary about Guy distracted,him,2.8930130004882812
About,distracted,69,69_F_him,f,Mismatch,obj,The documentary about this grandmother distracted,him,5.784520626068115
About,distracted,69,69_M_his,m,Match,poss,The documentary about Guy distracted,his,5.767131805419922
About,distracted,69,69_F_his,f,Mismatch,poss,The documentary about this grandmother distracted,his,7.768226623535156
About,confused,70,70_M_him,m,Match,obj,The commentary about Steve confused,him,5.258841037750244
About,confused,70,70_F_him,f,Mismatch,obj,The commentary about Christina confused,him,5.865960121154785
About,confused,70,70_M_his,m,Match,poss,The commentary about Steve confused,his,8.324567794799805
About,confused,70,70_F_his,f,Mismatch,poss,The commentary about Christina confused,his,8.954229354858398
About,scares,71,71_M_him,m,Match,obj,The show about Scott scares,him,6.200705528259277
About,scares,71,71_F_him,f,Mismatch,obj,The show about Anna scares,him,7.9953293800354
About,scares,71,71_M_his,m,Match,poss,The show about Scott scares,his,7.598316669464111
About,scares,71,71_F_his,f,Mismatch,poss,The show about Anna scares,his,10.553858757019043
About,isn't hurting,72,72_M_him,m,Match,obj,The book about Brad isn't hurting,him,3.8510873317718506
