exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,model,surp
simple,wasn't alarming,5,5_F_his,f,Mismatch,poss,Alice wasn't alarming,his,gpt-neo-125M,8.347315788269043
simple,was investigating,6,6_M_him,m,Match,obj,Adam was investigating,him,gpt-neo-125M,8.541646003723145
simple,was investigating,6,6_M_his,m,Match,poss,Adam was investigating,his,gpt-neo-125M,5.238977432250977
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,gpt-neo-125M,7.988317012786865
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,gpt-neo-125M,6.74605655670166
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,gpt-neo-125M,6.250368118286133
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,gpt-neo-125M,3.5142343044281006
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,gpt-neo-125M,8.7666654586792
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,gpt-neo-125M,6.752046585083008
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,gpt-neo-125M,4.488154888153076
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,gpt-neo-125M,4.2226433753967285
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,gpt-neo-125M,4.359810829162598
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,gpt-neo-125M,4.341780185699463
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,gpt-neo-125M,3.167773962020874
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,gpt-neo-125M,5.344996929168701
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,gpt-neo-125M,4.2016448974609375
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,gpt-neo-125M,5.990818023681641
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,gpt-neo-125M,7.485607147216797
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,gpt-neo-125M,9.654075622558594
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,gpt-neo-125M,5.751621723175049
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,gpt-neo-125M,8.675904273986816
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,gpt-neo-125M,14.229446411132812
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,gpt-neo-125M,13.66490650177002
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,gpt-neo-125M,9.87484359741211
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,gpt-neo-125M,12.877887725830078
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,gpt-neo-125M,6.56508207321167
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,gpt-neo-125M,2.070647954940796
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,gpt-neo-125M,5.611083030700684
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,gpt-neo-125M,2.806049346923828
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,gpt-neo-125M,6.515490531921387
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,gpt-neo-125M,9.029123306274414
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,gpt-neo-125M,4.879626274108887
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,gpt-neo-125M,8.675575256347656
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,gpt-neo-125M,6.49609375
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,gpt-neo-125M,1.0304726362228394
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,gpt-neo-125M,6.0987935066223145
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,gpt-neo-125M,1.6206165552139282
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,gpt-neo-125M,8.363312721252441
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,gpt-neo-125M,6.545365333557129
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,gpt-neo-125M,7.410254955291748
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,gpt-neo-125M,6.649008274078369
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,gpt-neo-125M,6.856348514556885
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,gpt-neo-125M,7.028783798217773
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,gpt-neo-125M,3.9097166061401367
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,gpt-neo-125M,5.308926582336426
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,gpt-neo-125M,6.351995944976807
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,gpt-neo-125M,3.3364269733428955
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,gpt-neo-125M,7.020408630371094
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,gpt-neo-125M,4.280906200408936
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,gpt-neo-125M,3.569988965988159
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,gpt-neo-125M,4.042006969451904
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,gpt-neo-125M,3.9549598693847656
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,gpt-neo-125M,4.232293605804443
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,gpt-neo-125M,6.624887943267822
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,gpt-neo-125M,4.244429111480713
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,gpt-neo-125M,7.435895919799805
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,gpt-neo-125M,4.671645641326904
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,gpt-neo-125M,5.0870280265808105
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,gpt-neo-125M,5.606987953186035
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,gpt-neo-125M,5.064328193664551
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,gpt-neo-125M,6.550386905670166
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,gpt-neo-125M,4.11653470993042
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,gpt-neo-125M,3.833674430847168
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,gpt-neo-125M,3.8564608097076416
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,gpt-neo-125M,4.736809730529785
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,gpt-neo-125M,9.754409790039062
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,gpt-neo-125M,10.28544807434082
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,gpt-neo-125M,14.415152549743652
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,gpt-neo-125M,14.972702026367188
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,gpt-neo-125M,7.951848983764648
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,gpt-neo-125M,6.038211822509766
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,gpt-neo-125M,10.407346725463867
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,gpt-neo-125M,11.99440860748291
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,gpt-neo-125M,6.041701793670654
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,gpt-neo-125M,6.0356526374816895
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,gpt-neo-125M,6.210720539093018
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,gpt-neo-125M,7.065699577331543
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,gpt-neo-125M,12.04771614074707
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,gpt-neo-125M,10.543146133422852
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,gpt-neo-125M,14.492677688598633
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,gpt-neo-125M,10.542353630065918
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,gpt-neo-125M,8.097999572753906
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,gpt-neo-125M,6.701448440551758
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,gpt-neo-125M,9.941078186035156
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,gpt-neo-125M,12.55508518218994
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,gpt-neo-125M,4.241311550140381
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,gpt-neo-125M,7.045633792877197
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,gpt-neo-125M,5.131519317626953
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,gpt-neo-125M,6.436428546905518
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,gpt-neo-125M,2.920949935913086
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,gpt-neo-125M,4.556325435638428
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,gpt-neo-125M,2.9141764640808105
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,gpt-neo-125M,5.460448741912842
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,gpt-neo-125M,4.150411128997803
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,gpt-neo-125M,3.215251445770264
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,gpt-neo-125M,4.890581130981445
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,gpt-neo-125M,5.439516067504883
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,gpt-neo-125M,5.675233840942383
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,gpt-neo-125M,4.730981349945068
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,gpt-neo-125M,6.09142017364502
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,gpt-neo-125M,6.564141750335693
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,gpt-neo-125M,2.775663375854492
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,gpt-neo-125M,6.220989227294922
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,gpt-neo-125M,2.490135908126831
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,gpt-neo-125M,7.461597919464111
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,gpt-neo-125M,21.464582443237305
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,gpt-neo-125M,17.167272567749023
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,gpt-neo-125M,5.735719203948975
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,gpt-neo-125M,6.045499801635742
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,gpt-neo-125M,7.6240315437316895
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,gpt-neo-125M,10.548224449157717
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,gpt-neo-125M,10.558274269104004
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,gpt-neo-125M,16.33544158935547
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,gpt-neo-125M,5.259579658508301
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,gpt-neo-125M,3.708789348602295
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,gpt-neo-125M,4.154680252075195
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,gpt-neo-125M,7.487020969390869
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,gpt-neo-125M,6.707645416259766
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,gpt-neo-125M,6.765981197357178
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,gpt-neo-125M,7.12027645111084
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,gpt-neo-125M,8.099539756774902
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,gpt-neo-125M,4.402924537658691
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,gpt-neo-125M,5.386428356170654
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,gpt-neo-125M,4.181074142456055
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,gpt-neo-125M,5.466068267822266
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,gpt-neo-125M,3.4549546241760254
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,gpt-neo-125M,3.993046998977661
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,gpt-neo-125M,3.301324844360352
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,gpt-neo-125M,5.259726047515869
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,gpt-neo-125M,4.59356164932251
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,gpt-neo-125M,3.693912506103516
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,gpt-neo-125M,5.9070963859558105
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,gpt-neo-125M,5.497586250305176
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,gpt-neo-125M,4.400946617126465
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,gpt-neo-125M,5.414992809295654
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,gpt-neo-125M,4.11493444442749
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,gpt-neo-125M,7.691877365112305
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,gpt-neo-125M,10.63929843902588
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,gpt-neo-125M,5.0896525382995605
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,gpt-neo-125M,11.441118240356444
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,gpt-neo-125M,6.163013458251953
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,gpt-neo-125M,9.160091400146484
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,gpt-neo-125M,3.467531442642212
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,gpt-neo-125M,9.329814910888672
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,gpt-neo-125M,6.655997276306152
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,gpt-neo-125M,4.831761837005615
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,gpt-neo-125M,5.644467830657959
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,gpt-neo-125M,3.860310077667236
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,gpt-neo-125M,7.495388984680176
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,gpt-neo-125M,3.6842665672302246
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,gpt-neo-125M,4.450452327728272
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,gpt-neo-125M,5.761762619018555
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,gpt-neo-125M,5.536276340484619
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,gpt-neo-125M,5.353693962097168
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,gpt-neo-125M,3.6141088008880615
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,gpt-neo-125M,6.967442035675049
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,gpt-neo-125M,4.768120765686035
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,gpt-neo-125M,5.572326183319092
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,gpt-neo-125M,5.807683944702148
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,gpt-neo-125M,6.057698249816895
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,gpt-neo-125M,9.567106246948242
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,gpt-neo-125M,6.645666599273682
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,gpt-neo-125M,4.557217597961426
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,gpt-neo-125M,6.826242446899414
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,gpt-neo-125M,5.874521255493164
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,gpt-neo-125M,7.63015604019165
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,gpt-neo-125M,9.684037208557127
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,gpt-neo-125M,5.7941107749938965
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,gpt-neo-125M,5.969876766204834
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,gpt-neo-125M,5.759270191192627
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,gpt-neo-125M,3.163207054138184
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,gpt-neo-125M,6.516810417175293
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,gpt-neo-125M,2.9759364128112797
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,gpt-neo-125M,2.299730062484741
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,gpt-neo-125M,3.3682637214660645
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,gpt-neo-125M,2.8533644676208496
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,gpt-neo-125M,4.321881294250488
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,gpt-neo-125M,11.208805084228516
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,gpt-neo-125M,10.21369743347168
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,gpt-neo-125M,8.676191329956055
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,gpt-neo-125M,8.977357864379883
simple,led,51,51_M_him,m,Match,obj,This boy led,him,gpt-neo-125M,3.6402218341827393
simple,led,51,51_M_his,m,Match,poss,This boy led,his,gpt-neo-125M,4.920993804931641
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,gpt-neo-125M,3.965634346008301
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,gpt-neo-125M,8.025883674621582
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,gpt-neo-125M,4.942498207092285
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,gpt-neo-125M,6.76772928237915
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,gpt-neo-125M,5.173243045806885
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,gpt-neo-125M,5.34853982925415
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,gpt-neo-125M,8.456899642944336
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,gpt-neo-125M,5.5019073486328125
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,gpt-neo-125M,9.324874877929688
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,gpt-neo-125M,5.5760498046875
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,gpt-neo-125M,5.707691192626953
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,gpt-neo-125M,3.9422202110290527
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,gpt-neo-125M,4.596658229827881
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,gpt-neo-125M,4.090582370758057
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,gpt-neo-125M,4.9267168045043945
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,gpt-neo-125M,8.12999439239502
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,gpt-neo-125M,5.032874584197998
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,gpt-neo-125M,8.473074913024902
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,gpt-neo-125M,4.072031021118164
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,gpt-neo-125M,3.7418384552001953
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,gpt-neo-125M,3.020723819732666
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,gpt-neo-125M,3.6771392822265625
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,gpt-neo-125M,7.234180450439453
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,gpt-neo-125M,4.871571063995361
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,gpt-neo-125M,7.889095783233643
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,gpt-neo-125M,4.349740505218506
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,gpt-neo-125M,8.95894718170166
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,gpt-neo-125M,5.171034336090088
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,gpt-neo-125M,8.343852043151855
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,gpt-neo-125M,5.4278059005737305
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,gpt-neo-125M,6.331927299499512
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,gpt-neo-125M,6.588267803192139
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,gpt-neo-125M,6.149194240570068
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,gpt-neo-125M,9.357623100280762
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,gpt-neo-125M,5.2144775390625
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,gpt-neo-125M,4.098019599914551
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,gpt-neo-125M,7.069284915924072
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,gpt-neo-125M,6.25363302230835
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,gpt-neo-125M,9.014097213745115
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,gpt-neo-125M,9.20723819732666
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,gpt-neo-125M,5.05937385559082
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,gpt-neo-125M,7.413971900939941
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,gpt-neo-125M,5.891987323760986
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,gpt-neo-125M,5.989408493041992
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,gpt-neo-125M,5.34749174118042
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,gpt-neo-125M,5.679749965667725
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,gpt-neo-125M,4.637232780456543
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,gpt-neo-125M,5.3481292724609375
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,gpt-neo-125M,4.598272323608398
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,gpt-neo-125M,6.440462589263916
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,gpt-neo-125M,6.874102592468262
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,gpt-neo-125M,4.155765533447266
