exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-j-6B_surp
OneEmbedding,was disliking,can't astound,2,2_MF_him,mf,MatchMismatch,obj,The guy was disliking that Sara can't astound,him,2.0207831859588623
OneEmbedding,was disliking,can't astound,2,2_FM_him,fm,MismatchMatch,obj,Christina was disliking that Vincent can't astound,him,7.680828094482422
OneEmbedding,was disliking,can't astound,2,2_FF_him,ff,MismatchMismatch,obj,Christina was disliking that Sara can't astound,him,5.447962284088135
OneEmbedding,was disliking,can't astound,2,2_MM_his,mm,MatchMatch,poss,The guy was disliking that Vincent can't astound,his,4.491672515869141
OneEmbedding,was disliking,can't astound,2,2_MF_his,mf,MatchMismatch,poss,The guy was disliking that Sara can't astound,his,5.75150203704834
OneEmbedding,was disliking,can't astound,2,2_FM_his,fm,MismatchMatch,poss,Christina was disliking that Vincent can't astound,his,4.434764385223389
OneEmbedding,was disliking,can't astound,2,2_FF_his,ff,MismatchMismatch,poss,Christina was disliking that Sara can't astound,his,9.392831802368164
OneEmbedding,wasn't expecting,fired,3,3_MM_him,mm,MatchMatch,obj,Rodney wasn't expecting that Marcus fired,him,2.833193778991699
OneEmbedding,wasn't expecting,fired,3,3_MF_him,mf,MatchMismatch,obj,Rodney wasn't expecting that Naomi fired,him,3.1660656929016113
OneEmbedding,wasn't expecting,fired,3,3_FM_him,fm,MismatchMatch,obj,Margaret wasn't expecting that Marcus fired,him,4.565753936767578
OneEmbedding,wasn't expecting,fired,3,3_FF_him,ff,MismatchMismatch,obj,Margaret wasn't expecting that Naomi fired,him,4.863085746765137
OneEmbedding,wasn't expecting,fired,3,3_MM_his,mm,MatchMatch,poss,Rodney wasn't expecting that Marcus fired,his,4.163178443908691
OneEmbedding,wasn't expecting,fired,3,3_MF_his,mf,MatchMismatch,poss,Rodney wasn't expecting that Naomi fired,his,7.708301067352295
OneEmbedding,wasn't expecting,fired,3,3_FM_his,fm,MismatchMatch,poss,Margaret wasn't expecting that Marcus fired,his,4.081098556518555
OneEmbedding,wasn't expecting,fired,3,3_FF_his,ff,MismatchMismatch,poss,Margaret wasn't expecting that Naomi fired,his,8.819226264953613
OneEmbedding,had speculated,returns to,4,4_MM_him,mm,MatchMatch,obj,Aaron had speculated that Eric returns to,him,10.118664741516113
OneEmbedding,had speculated,returns to,4,4_MF_him,mf,MatchMismatch,obj,Aaron had speculated that Tracy returns to,him,7.8721137046813965
OneEmbedding,had speculated,returns to,4,4_FM_him,fm,MismatchMatch,obj,Tamara had speculated that Eric returns to,him,10.919133186340332
OneEmbedding,had speculated,returns to,4,4_FF_him,ff,MismatchMismatch,obj,Tamara had speculated that Tracy returns to,him,9.340607643127441
OneEmbedding,had speculated,returns to,4,4_MM_his,mm,MatchMatch,poss,Aaron had speculated that Eric returns to,his,3.795602798461914
OneEmbedding,had speculated,returns to,4,4_MF_his,mf,MatchMismatch,poss,Aaron had speculated that Tracy returns to,his,5.505192279815674
OneEmbedding,had speculated,returns to,4,4_FM_his,fm,MismatchMatch,poss,Tamara had speculated that Eric returns to,his,3.7620127201080322
OneEmbedding,had speculated,returns to,4,4_FF_his,ff,MismatchMismatch,poss,Tamara had speculated that Tracy returns to,his,5.790225028991699
OneEmbedding,conceals,wasn't alarming,5,5_MM_him,mm,MatchMatch,obj,Donald conceals that Scott wasn't alarming,him,5.4132609367370605
OneEmbedding,conceals,wasn't alarming,5,5_MF_him,mf,MatchMismatch,obj,Donald conceals that Alice wasn't alarming,him,4.347151279449463
OneEmbedding,conceals,wasn't alarming,5,5_FM_him,fm,MismatchMatch,obj,Angela conceals that Scott wasn't alarming,him,8.129472732543945
OneEmbedding,conceals,wasn't alarming,5,5_FF_him,ff,MismatchMismatch,obj,Angela conceals that Alice wasn't alarming,him,6.755629062652588
OneEmbedding,conceals,wasn't alarming,5,5_MM_his,mm,MatchMatch,poss,Donald conceals that Scott wasn't alarming,his,4.770810604095459
OneEmbedding,conceals,wasn't alarming,5,5_MF_his,mf,MatchMismatch,poss,Donald conceals that Alice wasn't alarming,his,7.232541084289551
OneEmbedding,conceals,wasn't alarming,5,5_FM_his,fm,MismatchMatch,poss,Angela conceals that Scott wasn't alarming,his,4.545277118682861
OneEmbedding,conceals,wasn't alarming,5,5_FF_his,ff,MismatchMismatch,poss,Angela conceals that Alice wasn't alarming,his,9.145092964172363
OneEmbedding,hadn't expected,was investigating,6,6_MM_him,mm,MatchMatch,obj,Jason hadn't expected that Adam was investigating,him,4.068747043609619
OneEmbedding,hadn't expected,was investigating,6,6_MF_him,mf,MatchMismatch,obj,Jason hadn't expected that Victoria was investigating,him,3.055652141571045
OneEmbedding,hadn't expected,was investigating,6,6_FM_him,fm,MismatchMatch,obj,Amanda hadn't expected that Adam was investigating,him,7.956676959991455
OneEmbedding,hadn't expected,was investigating,6,6_FF_him,ff,MismatchMismatch,obj,Amanda hadn't expected that Victoria was investigating,him,5.736148834228516
OneEmbedding,hadn't expected,was investigating,6,6_MM_his,mm,MatchMatch,poss,Jason hadn't expected that Adam was investigating,his,4.305439472198486
OneEmbedding,hadn't expected,was investigating,6,6_MF_his,mf,MatchMismatch,poss,Jason hadn't expected that Victoria was investigating,his,4.611057758331299
OneEmbedding,hadn't expected,was investigating,6,6_FM_his,fm,MismatchMatch,poss,Amanda hadn't expected that Adam was investigating,his,4.8120527267456055
OneEmbedding,hadn't expected,was investigating,6,6_FF_his,ff,MismatchMismatch,poss,Amanda hadn't expected that Victoria was investigating,his,7.663499355316162
OneEmbedding,concluded,can reference,7,7_MM_him,mm,MatchMatch,obj,Timothy concluded that this husband can reference,him,7.891573905944824
OneEmbedding,concluded,can reference,7,7_MF_him,mf,MatchMismatch,obj,Timothy concluded that Jodi can reference,him,6.306175231933594
OneEmbedding,concluded,can reference,7,7_FM_him,fm,MismatchMatch,obj,Tiffany concluded that this husband can reference,him,8.474818229675293
OneEmbedding,concluded,can reference,7,7_FF_him,ff,MismatchMismatch,obj,Tiffany concluded that Jodi can reference,him,7.244893550872803
OneEmbedding,concluded,can reference,7,7_MM_his,mm,MatchMatch,poss,Timothy concluded that this husband can reference,his,4.0030598640441895
OneEmbedding,concluded,can reference,7,7_MF_his,mf,MatchMismatch,poss,Timothy concluded that Jodi can reference,his,6.599222660064697
OneEmbedding,concluded,can reference,7,7_FM_his,fm,MismatchMatch,poss,Tiffany concluded that this husband can reference,his,4.541220188140869
OneEmbedding,concluded,can reference,7,7_FF_his,ff,MismatchMismatch,poss,Tiffany concluded that Jodi can reference,his,6.71515417098999
OneEmbedding,isn't knowing,didn't reference,8,8_MM_him,mm,MatchMatch,obj,Scott isn't knowing that Guy didn't reference,him,3.5692391395568848
OneEmbedding,isn't knowing,didn't reference,8,8_MF_him,mf,MatchMismatch,obj,Scott isn't knowing that Kristen didn't reference,him,3.8326354026794434
OneEmbedding,isn't knowing,didn't reference,8,8_FM_him,fm,MismatchMatch,obj,Stacy isn't knowing that Guy didn't reference,him,5.407664775848389
OneEmbedding,isn't knowing,didn't reference,8,8_FF_him,ff,MismatchMismatch,obj,Stacy isn't knowing that Kristen didn't reference,him,5.606984615325928
OneEmbedding,isn't knowing,didn't reference,8,8_MM_his,mm,MatchMatch,poss,Scott isn't knowing that Guy didn't reference,his,4.403297424316406
OneEmbedding,isn't knowing,didn't reference,8,8_MF_his,mf,MatchMismatch,poss,Scott isn't knowing that Kristen didn't reference,his,5.6698174476623535
OneEmbedding,isn't knowing,didn't reference,8,8_FM_his,fm,MismatchMatch,poss,Stacy isn't knowing that Guy didn't reference,his,4.325643539428711
OneEmbedding,isn't knowing,didn't reference,8,8_FF_his,ff,MismatchMismatch,poss,Stacy isn't knowing that Kristen didn't reference,his,7.263829708099365
OneEmbedding,hasn't discovered,forgave,9,9_MM_him,mm,MatchMatch,obj,Walter hasn't discovered that Curtis forgave,him,1.4928666353225708
OneEmbedding,hasn't discovered,forgave,9,9_MF_him,mf,MatchMismatch,obj,Walter hasn't discovered that Jill forgave,him,0.8279731273651123
OneEmbedding,hasn't discovered,forgave,9,9_FM_him,fm,MismatchMatch,obj,Sharon hasn't discovered that Curtis forgave,him,2.8537139892578125
OneEmbedding,hasn't discovered,forgave,9,9_FF_him,ff,MismatchMismatch,obj,Sharon hasn't discovered that Jill forgave,him,2.5829977989196777
OneEmbedding,hasn't discovered,forgave,9,9_MM_his,mm,MatchMatch,poss,Walter hasn't discovered that Curtis forgave,his,3.972498655319214
OneEmbedding,hasn't discovered,forgave,9,9_MF_his,mf,MatchMismatch,poss,Walter hasn't discovered that Jill forgave,his,6.508584976196289
OneEmbedding,hasn't discovered,forgave,9,9_FM_his,fm,MismatchMatch,poss,Sharon hasn't discovered that Curtis forgave,his,4.645811557769775
OneEmbedding,hasn't discovered,forgave,9,9_FF_his,ff,MismatchMismatch,poss,Sharon hasn't discovered that Jill forgave,his,8.297422409057617
OneEmbedding,agreed,astounds,10,10_MM_him,mm,MatchMatch,obj,This guy agreed that Mark astounds,him,1.7562612295150757
OneEmbedding,agreed,astounds,10,10_MF_him,mf,MatchMismatch,obj,This guy agreed that Tracy astounds,him,1.4069979190826416
OneEmbedding,agreed,astounds,10,10_FM_him,fm,MismatchMatch,obj,Meredith agreed that Mark astounds,him,2.203634738922119
OneEmbedding,agreed,astounds,10,10_FF_him,ff,MismatchMismatch,obj,Meredith agreed that Tracy astounds,him,1.2669886350631714
OneEmbedding,agreed,astounds,10,10_MM_his,mm,MatchMatch,poss,This guy agreed that Mark astounds,his,4.991054058074951
OneEmbedding,agreed,astounds,10,10_MF_his,mf,MatchMismatch,poss,This guy agreed that Tracy astounds,his,6.7382073402404785
OneEmbedding,agreed,astounds,10,10_FM_his,fm,MismatchMatch,poss,Meredith agreed that Mark astounds,his,4.31132173538208
OneEmbedding,agreed,astounds,10,10_FF_his,ff,MismatchMismatch,poss,Meredith agreed that Tracy astounds,his,6.7898054122924805
OneEmbedding,claimed,isn't shocking,11,11_MM_him,mm,MatchMatch,obj,Guy claimed that Aaron isn't shocking,him,7.516616344451904
OneEmbedding,claimed,isn't shocking,11,11_MF_him,mf,MatchMismatch,obj,Guy claimed that the woman isn't shocking,him,5.697319507598877
OneEmbedding,claimed,isn't shocking,11,11_FM_him,fm,MismatchMatch,obj,Jill claimed that Aaron isn't shocking,him,8.492274284362793
OneEmbedding,claimed,isn't shocking,11,11_FF_him,ff,MismatchMismatch,obj,Jill claimed that the woman isn't shocking,him,5.614162445068359
OneEmbedding,claimed,isn't shocking,11,11_MM_his,mm,MatchMatch,poss,Guy claimed that Aaron isn't shocking,his,5.048255443572998
OneEmbedding,claimed,isn't shocking,11,11_MF_his,mf,MatchMismatch,poss,Guy claimed that the woman isn't shocking,his,8.346016883850098
OneEmbedding,claimed,isn't shocking,11,11_FM_his,fm,MismatchMatch,poss,Jill claimed that Aaron isn't shocking,his,5.223668098449707
OneEmbedding,claimed,isn't shocking,11,11_FF_his,ff,MismatchMismatch,poss,Jill claimed that the woman isn't shocking,his,9.423778533935547
OneEmbedding,wrote,has boasted about,12,12_MM_him,mm,MatchMatch,obj,Walter wrote that Larry has boasted about,him,8.764463424682617
OneEmbedding,wrote,has boasted about,12,12_MF_him,mf,MatchMismatch,obj,Walter wrote that Helen has boasted about,him,8.665206909179688
OneEmbedding,wrote,has boasted about,12,12_FM_him,fm,MismatchMatch,obj,Elizabeth wrote that Larry has boasted about,him,9.376770973205566
OneEmbedding,wrote,has boasted about,12,12_FF_him,ff,MismatchMismatch,obj,Elizabeth wrote that Helen has boasted about,him,8.955881118774414
OneEmbedding,wrote,has boasted about,12,12_MM_his,mm,MatchMatch,poss,Walter wrote that Larry has boasted about,his,2.0356435775756836
OneEmbedding,wrote,has boasted about,12,12_MF_his,mf,MatchMismatch,poss,Walter wrote that Helen has boasted about,his,6.602603912353516
OneEmbedding,wrote,has boasted about,12,12_FM_his,fm,MismatchMatch,poss,Elizabeth wrote that Larry has boasted about,his,1.8589774370193481
OneEmbedding,wrote,has boasted about,12,12_FF_his,ff,MismatchMismatch,poss,Elizabeth wrote that Helen has boasted about,his,8.313430786132812
OneEmbedding,had concluded,leads,13,13_MM_him,mm,MatchMatch,obj,Phillip had concluded that Brett leads,him,5.512409210205078
OneEmbedding,had concluded,leads,13,13_MF_him,mf,MatchMismatch,obj,Phillip had concluded that that lady leads,him,5.297796726226807
OneEmbedding,had concluded,leads,13,13_FM_him,fm,MismatchMatch,obj,Julie had concluded that Brett leads,him,6.064354419708252
OneEmbedding,had concluded,leads,13,13_FF_him,ff,MismatchMismatch,obj,Julie had concluded that that lady leads,him,7.788034915924072
OneEmbedding,had concluded,leads,13,13_MM_his,mm,MatchMatch,poss,Phillip had concluded that Brett leads,his,6.470448970794678
OneEmbedding,had concluded,leads,13,13_MF_his,mf,MatchMismatch,poss,Phillip had concluded that that lady leads,his,8.295896530151367
OneEmbedding,had concluded,leads,13,13_FM_his,fm,MismatchMatch,poss,Julie had concluded that Brett leads,his,6.346130847930908
OneEmbedding,had concluded,leads,13,13_FF_his,ff,MismatchMismatch,poss,Julie had concluded that that lady leads,his,10.481817245483398
OneEmbedding,has said,didn't shake,14,14_MM_him,mm,MatchMatch,obj,Aaron has said that Robert didn't shake,him,5.394817352294922
OneEmbedding,has said,didn't shake,14,14_MF_him,mf,MatchMismatch,obj,Aaron has said that Carmen didn't shake,him,3.8916749954223633
OneEmbedding,has said,didn't shake,14,14_FM_him,fm,MismatchMatch,obj,Donna has said that Robert didn't shake,him,7.881683349609375
OneEmbedding,has said,didn't shake,14,14_FF_him,ff,MismatchMismatch,obj,Donna has said that Carmen didn't shake,him,5.603851795196533
OneEmbedding,has said,didn't shake,14,14_MM_his,mm,MatchMatch,poss,Aaron has said that Robert didn't shake,his,1.2357981204986572
OneEmbedding,has said,didn't shake,14,14_MF_his,mf,MatchMismatch,poss,Aaron has said that Carmen didn't shake,his,3.21541166305542
OneEmbedding,has said,didn't shake,14,14_FM_his,fm,MismatchMatch,poss,Donna has said that Robert didn't shake,his,2.820979356765747
OneEmbedding,has said,didn't shake,14,14_FF_his,ff,MismatchMismatch,poss,Donna has said that Carmen didn't shake,his,4.826148986816406
OneEmbedding,was expecting,doesn't observe,15,15_MM_him,mm,MatchMatch,obj,Keith was expecting that Bill doesn't observe,him,3.3125791549682617
OneEmbedding,was expecting,doesn't observe,15,15_MF_him,mf,MatchMismatch,obj,Keith was expecting that Heather doesn't observe,him,2.772165536880493
OneEmbedding,was expecting,doesn't observe,15,15_FM_him,fm,MismatchMatch,obj,Katherine was expecting that Bill doesn't observe,him,7.6478800773620605
OneEmbedding,was expecting,doesn't observe,15,15_FF_him,ff,MismatchMismatch,obj,Katherine was expecting that Heather doesn't observe,him,5.965179443359375
OneEmbedding,was expecting,doesn't observe,15,15_MM_his,mm,MatchMatch,poss,Keith was expecting that Bill doesn't observe,his,4.079010963439941
OneEmbedding,was expecting,doesn't observe,15,15_MF_his,mf,MatchMismatch,poss,Keith was expecting that Heather doesn't observe,his,4.135963439941406
OneEmbedding,was expecting,doesn't observe,15,15_FM_his,fm,MismatchMatch,poss,Katherine was expecting that Bill doesn't observe,his,5.100621700286865
OneEmbedding,was expecting,doesn't observe,15,15_FF_his,ff,MismatchMismatch,poss,Katherine was expecting that Heather doesn't observe,his,7.3064351081848145
OneEmbedding,whispers,can't find,16,16_MM_him,mm,MatchMatch,obj,Roger whispers that Peter can't find,him,4.65276575088501
OneEmbedding,whispers,can't find,16,16_MF_him,mf,MatchMismatch,obj,Roger whispers that Holly can't find,him,4.266167163848877
OneEmbedding,whispers,can't find,16,16_FM_him,fm,MismatchMatch,obj,Debra whispers that Peter can't find,him,7.5301194190979
OneEmbedding,whispers,can't find,16,16_FF_him,ff,MismatchMismatch,obj,Debra whispers that Holly can't find,him,6.553656101226807
OneEmbedding,whispers,can't find,16,16_MM_his,mm,MatchMatch,poss,Roger whispers that Peter can't find,his,2.781770944595337
OneEmbedding,whispers,can't find,16,16_MF_his,mf,MatchMismatch,poss,Roger whispers that Holly can't find,his,5.934283256530762
OneEmbedding,whispers,can't find,16,16_FM_his,fm,MismatchMatch,poss,Debra whispers that Peter can't find,his,2.5144999027252197
OneEmbedding,whispers,can't find,16,16_FF_his,ff,MismatchMismatch,poss,Debra whispers that Holly can't find,his,7.22991943359375
OneEmbedding,thinks,should hide,17,17_MM_him,mm,MatchMatch,obj,Theodore thinks that Joel should hide,him,7.997152805328369
OneEmbedding,thinks,should hide,17,17_MF_him,mf,MatchMismatch,obj,Theodore thinks that Kirsten should hide,him,6.251707077026367
OneEmbedding,thinks,should hide,17,17_FM_him,fm,MismatchMatch,obj,Amelia thinks that Joel should hide,him,8.954678535461426
OneEmbedding,thinks,should hide,17,17_FF_him,ff,MismatchMismatch,obj,Amelia thinks that Kirsten should hide,him,7.584685325622559
OneEmbedding,thinks,should hide,17,17_MM_his,mm,MatchMatch,poss,Theodore thinks that Joel should hide,his,3.2971227169036865
OneEmbedding,thinks,should hide,17,17_MF_his,mf,MatchMismatch,poss,Theodore thinks that Kirsten should hide,his,6.995596408843994
OneEmbedding,thinks,should hide,17,17_FM_his,fm,MismatchMatch,poss,Amelia thinks that Joel should hide,his,3.1838982105255127
OneEmbedding,thinks,should hide,17,17_FF_his,ff,MismatchMismatch,poss,Amelia thinks that Kirsten should hide,his,8.384929656982422
OneEmbedding,did claim,had praised,18,18_MM_him,mm,MatchMatch,obj,This ex-boyfriend did claim that Carl had praised,him,2.0499379634857178
OneEmbedding,did claim,had praised,18,18_MF_him,mf,MatchMismatch,obj,This ex-boyfriend did claim that Teresa had praised,him,1.3817436695098877
OneEmbedding,did claim,had praised,18,18_FM_him,fm,MismatchMatch,obj,Anne did claim that Carl had praised,him,4.854587078094482
OneEmbedding,did claim,had praised,18,18_FF_him,ff,MismatchMismatch,obj,Anne did claim that Teresa had praised,him,4.735630989074707
OneEmbedding,did claim,had praised,18,18_MM_his,mm,MatchMatch,poss,This ex-boyfriend did claim that Carl had praised,his,2.444424867630005
OneEmbedding,did claim,had praised,18,18_MF_his,mf,MatchMismatch,poss,This ex-boyfriend did claim that Teresa had praised,his,2.8695228099823
OneEmbedding,did claim,had praised,18,18_FM_his,fm,MismatchMatch,poss,Anne did claim that Carl had praised,his,4.415016174316406
OneEmbedding,did claim,had praised,18,18_FF_his,ff,MismatchMismatch,poss,Anne did claim that Teresa had praised,his,6.065615653991699
OneEmbedding,says,argued about,19,19_MM_him,mm,MatchMatch,obj,Benjamin says that Benjamin argued about,him,7.575377464294434
OneEmbedding,says,argued about,19,19_MF_him,mf,MatchMismatch,obj,Benjamin says that Jodi argued about,him,5.731682777404785
OneEmbedding,says,argued about,19,19_FM_him,fm,MismatchMatch,obj,Teresa says that Benjamin argued about,him,7.622280120849609
OneEmbedding,says,argued about,19,19_FF_him,ff,MismatchMismatch,obj,Teresa says that Jodi argued about,him,6.789405822753906
OneEmbedding,says,argued about,19,19_MM_his,mm,MatchMatch,poss,Benjamin says that Benjamin argued about,his,4.983035087585449
OneEmbedding,says,argued about,19,19_MF_his,mf,MatchMismatch,poss,Benjamin says that Jodi argued about,his,5.506261825561523
OneEmbedding,says,argued about,19,19_FM_his,fm,MismatchMatch,poss,Teresa says that Benjamin argued about,his,3.98172926902771
OneEmbedding,says,argued about,19,19_FF_his,ff,MismatchMismatch,poss,Teresa says that Jodi argued about,his,6.135684490203857
OneEmbedding,can conceal,isn't harming,20,20_MM_him,mm,MatchMatch,obj,Steve can conceal that Aaron isn't harming,him,2.7593157291412354
OneEmbedding,can conceal,isn't harming,20,20_MF_him,mf,MatchMismatch,obj,Steve can conceal that Nina isn't harming,him,2.2572412490844727
OneEmbedding,can conceal,isn't harming,20,20_FM_him,fm,MismatchMatch,obj,Martha can conceal that Aaron isn't harming,him,5.982805252075195
OneEmbedding,can conceal,isn't harming,20,20_FF_him,ff,MismatchMismatch,obj,Martha can conceal that Nina isn't harming,him,4.9537434577941895
OneEmbedding,can conceal,isn't harming,20,20_MM_his,mm,MatchMatch,poss,Steve can conceal that Aaron isn't harming,his,4.337263584136963
OneEmbedding,can conceal,isn't harming,20,20_MF_his,mf,MatchMismatch,poss,Steve can conceal that Nina isn't harming,his,5.6047444343566895
OneEmbedding,can conceal,isn't harming,20,20_FM_his,fm,MismatchMatch,poss,Martha can conceal that Aaron isn't harming,his,4.607736110687256
OneEmbedding,can conceal,isn't harming,20,20_FF_his,ff,MismatchMismatch,poss,Martha can conceal that Nina isn't harming,his,8.3576021194458
OneEmbedding,imagined,would hurt,21,21_MM_him,mm,MatchMatch,obj,Ronald imagined that William would hurt,him,1.3498069047927856
OneEmbedding,imagined,would hurt,21,21_MF_him,mf,MatchMismatch,obj,Ronald imagined that Christine would hurt,him,1.5819928646087646
OneEmbedding,imagined,would hurt,21,21_FM_him,fm,MismatchMatch,obj,Jessica imagined that William would hurt,him,5.170683860778809
OneEmbedding,imagined,would hurt,21,21_FF_him,ff,MismatchMismatch,obj,Jessica imagined that Christine would hurt,him,4.108748912811279
OneEmbedding,imagined,would hurt,21,21_MM_his,mm,MatchMatch,poss,Ronald imagined that William would hurt,his,4.111215114593506
OneEmbedding,imagined,would hurt,21,21_MF_his,mf,MatchMismatch,poss,Ronald imagined that Christine would hurt,his,6.146770000457764
OneEmbedding,imagined,would hurt,21,21_FM_his,fm,MismatchMatch,poss,Jessica imagined that William would hurt,his,5.181954860687256
OneEmbedding,imagined,would hurt,21,21_FF_his,ff,MismatchMismatch,poss,Jessica imagined that Christine would hurt,his,9.022929191589355
OneEmbedding,has prayed,leaves,22,22_MM_him,mm,MatchMatch,obj,Marcus has prayed that William leaves,him,4.336336612701416
OneEmbedding,has prayed,leaves,22,22_MF_him,mf,MatchMismatch,obj,Marcus has prayed that Lori leaves,him,2.3958122730255127
OneEmbedding,has prayed,leaves,22,22_FM_him,fm,MismatchMatch,obj,Nancy has prayed that William leaves,him,8.430301666259766
OneEmbedding,has prayed,leaves,22,22_FF_him,ff,MismatchMismatch,obj,Nancy has prayed that Lori leaves,him,4.7699689865112305
OneEmbedding,has prayed,leaves,22,22_MM_his,mm,MatchMatch,poss,Marcus has prayed that William leaves,his,3.0627076625823975
OneEmbedding,has prayed,leaves,22,22_MF_his,mf,MatchMismatch,poss,Marcus has prayed that Lori leaves,his,5.8222126960754395
OneEmbedding,has prayed,leaves,22,22_FM_his,fm,MismatchMatch,poss,Nancy has prayed that William leaves,his,2.8849422931671143
OneEmbedding,has prayed,leaves,22,22_FF_his,ff,MismatchMismatch,poss,Nancy has prayed that Lori leaves,his,8.511959075927734
OneEmbedding,has prayed,watches,23,23_MM_him,mm,MatchMatch,obj,Kenneth has prayed that Theodore watches,him,3.718458414077759
OneEmbedding,has prayed,watches,23,23_MF_him,mf,MatchMismatch,obj,Kenneth has prayed that Sonia watches,him,4.282836437225342
OneEmbedding,has prayed,watches,23,23_FM_him,fm,MismatchMatch,obj,Cynthia has prayed that Theodore watches,him,7.224887371063232
OneEmbedding,has prayed,watches,23,23_FF_him,ff,MismatchMismatch,obj,Cynthia has prayed that Sonia watches,him,7.041775703430176
OneEmbedding,has prayed,watches,23,23_MM_his,mm,MatchMatch,poss,Kenneth has prayed that Theodore watches,his,3.1323635578155518
OneEmbedding,has prayed,watches,23,23_MF_his,mf,MatchMismatch,poss,Kenneth has prayed that Sonia watches,his,4.553341865539551
OneEmbedding,has prayed,watches,23,23_FM_his,fm,MismatchMatch,poss,Cynthia has prayed that Theodore watches,his,3.2236626148223877
OneEmbedding,has prayed,watches,23,23_FF_his,ff,MismatchMismatch,poss,Cynthia has prayed that Sonia watches,his,7.627870559692383
OneEmbedding,believes,can shoot,24,24_MM_him,mm,MatchMatch,obj,Edward believes that Samuel can shoot,him,3.336984395980835
OneEmbedding,believes,can shoot,24,24_MF_him,mf,MatchMismatch,obj,Edward believes that Kristen can shoot,him,4.624788284301758
OneEmbedding,believes,can shoot,24,24_FM_him,fm,MismatchMatch,obj,Rachel believes that Samuel can shoot,him,6.217413425445557
OneEmbedding,believes,can shoot,24,24_FF_him,ff,MismatchMismatch,obj,Rachel believes that Kristen can shoot,him,8.077390670776367
OneEmbedding,believes,can shoot,24,24_MM_his,mm,MatchMatch,poss,Edward believes that Samuel can shoot,his,5.365774154663086
OneEmbedding,believes,can shoot,24,24_MF_his,mf,MatchMismatch,poss,Edward believes that Kristen can shoot,his,7.048065185546875
OneEmbedding,believes,can shoot,24,24_FM_his,fm,MismatchMatch,poss,Rachel believes that Samuel can shoot,his,5.744029521942139
OneEmbedding,believes,can shoot,24,24_FF_his,ff,MismatchMismatch,poss,Rachel believes that Kristen can shoot,his,11.120575904846191
OneEmbedding,is confessing,bit,25,25_MM_him,mm,MatchMatch,obj,Omar is confessing that Roger bit,him,2.1263070106506348
OneEmbedding,is confessing,bit,25,25_MF_him,mf,MatchMismatch,obj,Omar is confessing that Alice bit,him,2.2827398777008057
OneEmbedding,is confessing,bit,25,25_FM_him,fm,MismatchMatch,obj,Anne is confessing that Roger bit,him,3.8116796016693115
OneEmbedding,is confessing,bit,25,25_FF_him,ff,MismatchMismatch,obj,Anne is confessing that Alice bit,him,3.82619571685791
OneEmbedding,is confessing,bit,25,25_MM_his,mm,MatchMatch,poss,Omar is confessing that Roger bit,his,3.185786008834839
OneEmbedding,is confessing,bit,25,25_MF_his,mf,MatchMismatch,poss,Omar is confessing that Alice bit,his,4.4242401123046875
OneEmbedding,is confessing,bit,25,25_FM_his,fm,MismatchMatch,poss,Anne is confessing that Roger bit,his,4.499214172363281
