exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-medium_surp
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his,6.106592178344727
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his,8.44649887084961
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him,3.323875665664673
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him,5.122840404510498
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his,3.0072624683380127
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his,4.7681427001953125
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him,4.268301010131836
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him,6.410669803619385
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his,6.4632062911987305
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his,8.994030952453613
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him,4.101646423339844
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him,5.426411151885986
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his,5.456814289093018
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his,6.917867183685303
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him,4.127440929412842
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him,5.697595119476318
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his,6.084499359130859
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his,8.548698425292969
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him,8.614289283752441
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him,9.288217544555664
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his,10.928894996643066
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his,11.552301406860352
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him,15.022421836853027
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him,15.325782775878906
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his,14.01202392578125
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his,14.4201021194458
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him,2.9485483169555664
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him,4.27350378036499
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his,6.059426307678223
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his,7.479283332824707
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him,4.615311145782471
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him,5.822237491607666
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his,5.667811870574951
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his,6.6186842918396
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him,4.842934608459473
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him,5.689373016357422
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his,3.193518877029419
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his,4.248681545257568
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him,6.7857584953308105
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him,7.779230117797852
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his,3.48976731300354
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his,9.552912712097168
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him,4.676911354064941
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him,5.181830406188965
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his,6.492244720458984
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his,8.62649154663086
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him,4.901147842407227
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him,6.5898118019104
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his,5.227094650268555
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his,7.436020851135254
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him,4.661562442779541
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him,7.258131980895996
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his,9.439729690551758
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his,11.140735626220703
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him,2.1720404624938965
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him,3.808093547821045
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his,5.856959342956543
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his,7.293975353240967
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him,4.1378865242004395
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him,4.450473308563232
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his,4.331882953643799
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his,6.054331302642822
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him,3.094733953475952
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him,3.493405818939209
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his,5.615939140319824
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his,6.884110927581787
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him,5.806421279907227
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him,6.69707727432251
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his,7.674554347991943
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his,9.242133140563965
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him,6.6006364822387695
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him,7.001797676086426
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his,7.803215503692627
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his,8.803339004516602
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him,3.0451467037200928
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him,3.7184488773345947
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his,6.166227340698242
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his,7.156109809875488
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him,3.587135076522827
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him,4.483232021331787
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his,7.795982360839844
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his,8.400870323181152
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him,4.625027656555176
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him,4.85723352432251
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his,5.678056716918945
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his,5.328306198120117
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him,4.913956642150879
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him,5.919692516326904
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his,4.074196815490723
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his,5.9259772300720215
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him,16.60309410095215
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him,16.536727905273438
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his,15.133124351501465
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his,15.490357398986816
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him,3.8312389850616455
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him,4.399753093719482
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his,2.3622922897338867
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his,3.7186856269836426
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him,3.4212398529052734
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him,4.725364685058594
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his,6.894596099853516
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his,9.280219078063965
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him,4.966367244720459
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him,5.455316066741943
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his,7.336601734161377
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his,8.708105087280273
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him,7.046318531036377
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him,6.800117015838623
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his,8.642833709716797
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his,9.295278549194336
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him,5.555500507354736
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him,5.274049282073975
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his,8.742215156555176
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his,7.742047309875488
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him,5.388129711151123
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him,6.966740608215332
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his,9.542961120605469
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his,10.994606971740723
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him,5.640578746795654
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him,5.675371170043945
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his,6.500932216644287
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his,6.596879005432129
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him,4.8200578689575195
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him,5.875110149383545
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his,6.642171382904053
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his,8.087913513183594
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him,5.90086555480957
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him,5.267559051513672
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his,7.378914833068848
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his,7.032216548919678
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him,4.021664142608643
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him,4.083615779876709
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his,8.487863540649414
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his,9.141765594482422
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him,3.4082345962524414
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him,5.535701751708984
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his,4.653482437133789
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his,7.087920665740967
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him,14.980987548828125
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him,15.30803394317627
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his,14.098686218261719
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his,14.68903923034668
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him,17.217517852783203
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him,16.935081481933594
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his,16.37851333618164
About,is stunning,61,61_F_his,f,Mismatch,poss,The pamphlet about Dana is stunning,his,16.140323638916016
About,harms,62,62_M_him,m,Match,obj,The brochure about Theodore harms,him,6.391463279724121
About,harms,62,62_F_him,f,Mismatch,obj,The brochure about Pamela harms,him,7.775759220123291
About,harms,62,62_M_his,m,Match,poss,The brochure about Theodore harms,his,5.040125370025635
About,harms,62,62_F_his,f,Mismatch,poss,The brochure about Pamela harms,his,7.989083766937256
About,should bore,63,63_M_him,m,Match,obj,The play about Jason should bore,him,7.048733711242676
About,should bore,63,63_F_him,f,Mismatch,obj,The play about Jacqueline should bore,him,7.157203674316406
About,should bore,63,63_M_his,m,Match,poss,The play about Jason should bore,his,8.332147598266602
About,should bore,63,63_F_his,f,Mismatch,poss,The play about Jacqueline should bore,his,8.485801696777344
About,will upset,64,64_M_him,m,Match,obj,The movie about that boy will upset,him,6.205085754394531
About,will upset,64,64_F_him,f,Mismatch,obj,The movie about Melissa will upset,him,7.658142566680908
About,will upset,64,64_M_his,m,Match,poss,The movie about that boy will upset,his,7.167021751403809
About,will upset,64,64_F_his,f,Mismatch,poss,The movie about Melissa will upset,his,7.962681770324707
About,is shocking,65,65_M_him,m,Match,obj,The newspaper article about Craig is shocking,him,14.996439933776855
About,is shocking,65,65_F_him,f,Mismatch,obj,The newspaper article about Connie is shocking,him,14.865681648254395
About,is shocking,65,65_M_his,m,Match,poss,The newspaper article about Craig is shocking,his,14.469606399536133
About,is shocking,65,65_F_his,f,Mismatch,poss,The newspaper article about Connie is shocking,his,14.771120071411133
About,has aggravated,66,66_M_him,m,Match,obj,The story about Jeffrey has aggravated,him,4.6230292320251465
About,has aggravated,66,66_F_him,f,Mismatch,obj,The story about Sally has aggravated,him,5.370606899261475
About,has aggravated,66,66_M_his,m,Match,poss,The story about Jeffrey has aggravated,his,4.765050888061523
About,has aggravated,66,66_F_his,f,Mismatch,poss,The story about Sally has aggravated,his,5.874138832092285
About,would distract,67,67_M_him,m,Match,obj,The essay about Patrick would distract,him,5.656010150909424
About,would distract,67,67_F_him,f,Mismatch,obj,The essay about April would distract,him,5.844764232635498
About,would distract,67,67_M_his,m,Match,poss,The essay about Patrick would distract,his,7.916780948638916
About,would distract,67,67_F_his,f,Mismatch,poss,The essay about April would distract,his,8.14332103729248
About,had impressed,68,68_M_him,m,Match,obj,The report about Aaron had impressed,him,2.8270134925842285
About,had impressed,68,68_F_him,f,Mismatch,obj,The report about Monica had impressed,him,3.236708641052246
About,had impressed,68,68_M_his,m,Match,poss,The report about Aaron had impressed,his,6.050777435302734
About,had impressed,68,68_F_his,f,Mismatch,poss,The report about Monica had impressed,his,7.112912178039551
About,distracted,69,69_M_him,m,Match,obj,The documentary about Guy distracted,him,5.529905796051025
About,distracted,69,69_F_him,f,Mismatch,obj,The documentary about this grandmother distracted,him,7.139908313751221
About,distracted,69,69_M_his,m,Match,poss,The documentary about Guy distracted,his,7.052412033081055
About,distracted,69,69_F_his,f,Mismatch,poss,The documentary about this grandmother distracted,his,9.413041114807129
About,confused,70,70_M_him,m,Match,obj,The commentary about Steve confused,him,4.570080280303955
About,confused,70,70_F_him,f,Mismatch,obj,The commentary about Christina confused,him,5.80334997177124
About,confused,70,70_M_his,m,Match,poss,The commentary about Steve confused,his,6.0939412117004395
About,confused,70,70_F_his,f,Mismatch,poss,The commentary about Christina confused,his,8.060973167419434
About,scares,71,71_M_him,m,Match,obj,The show about Scott scares,him,5.9506754875183105
About,scares,71,71_F_him,f,Mismatch,obj,The show about Anna scares,him,5.884001731872559
About,scares,71,71_M_his,m,Match,poss,The show about Scott scares,his,8.269539833068848
About,scares,71,71_F_his,f,Mismatch,poss,The show about Anna scares,his,9.703514099121094
About,isn't hurting,72,72_M_him,m,Match,obj,The book about Brad isn't hurting,him,3.884244203567505
About,isn't hurting,72,72_F_him,f,Mismatch,obj,The book about Carrie isn't hurting,him,5.075030326843262
