exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-125M_surp
OneEmbedding,wasn't expecting,fired,3,3_MF_him,mf,MatchMismatch,obj,Rodney wasn't expecting that Naomi fired,him,3.038074254989624
OneEmbedding,wasn't expecting,fired,3,3_FM_him,fm,MismatchMatch,obj,Margaret wasn't expecting that Marcus fired,him,4.282511234283447
OneEmbedding,wasn't expecting,fired,3,3_FF_him,ff,MismatchMismatch,obj,Margaret wasn't expecting that Naomi fired,him,4.5820112228393555
OneEmbedding,wasn't expecting,fired,3,3_MM_his,mm,MatchMatch,poss,Rodney wasn't expecting that Marcus fired,his,4.222177028656006
OneEmbedding,wasn't expecting,fired,3,3_MF_his,mf,MatchMismatch,poss,Rodney wasn't expecting that Naomi fired,his,5.3224101066589355
OneEmbedding,wasn't expecting,fired,3,3_FM_his,fm,MismatchMatch,poss,Margaret wasn't expecting that Marcus fired,his,4.310398578643799
OneEmbedding,wasn't expecting,fired,3,3_FF_his,ff,MismatchMismatch,poss,Margaret wasn't expecting that Naomi fired,his,5.955367088317871
OneEmbedding,had speculated,returns to,4,4_MM_him,mm,MatchMatch,obj,Aaron had speculated that Eric returns to,him,10.039271354675293
OneEmbedding,had speculated,returns to,4,4_MF_him,mf,MatchMismatch,obj,Aaron had speculated that Tracy returns to,him,8.705981254577637
OneEmbedding,had speculated,returns to,4,4_FM_him,fm,MismatchMatch,obj,Tamara had speculated that Eric returns to,him,9.094926834106445
OneEmbedding,had speculated,returns to,4,4_FF_him,ff,MismatchMismatch,obj,Tamara had speculated that Tracy returns to,him,8.444075584411621
OneEmbedding,had speculated,returns to,4,4_MM_his,mm,MatchMatch,poss,Aaron had speculated that Eric returns to,his,3.5697646141052246
OneEmbedding,had speculated,returns to,4,4_MF_his,mf,MatchMismatch,poss,Aaron had speculated that Tracy returns to,his,4.666423320770264
OneEmbedding,had speculated,returns to,4,4_FM_his,fm,MismatchMatch,poss,Tamara had speculated that Eric returns to,his,3.3840208053588867
OneEmbedding,had speculated,returns to,4,4_FF_his,ff,MismatchMismatch,poss,Tamara had speculated that Tracy returns to,his,4.308865547180176
OneEmbedding,conceals,wasn't alarming,5,5_MM_him,mm,MatchMatch,obj,Donald conceals that Scott wasn't alarming,him,3.9238839149475098
OneEmbedding,conceals,wasn't alarming,5,5_MF_him,mf,MatchMismatch,obj,Donald conceals that Alice wasn't alarming,him,2.916140556335449
OneEmbedding,conceals,wasn't alarming,5,5_FM_him,fm,MismatchMatch,obj,Angela conceals that Scott wasn't alarming,him,4.373382091522217
OneEmbedding,conceals,wasn't alarming,5,5_FF_him,ff,MismatchMismatch,obj,Angela conceals that Alice wasn't alarming,him,3.4543445110321045
OneEmbedding,conceals,wasn't alarming,5,5_MM_his,mm,MatchMatch,poss,Donald conceals that Scott wasn't alarming,his,5.3824872970581055
OneEmbedding,conceals,wasn't alarming,5,5_MF_his,mf,MatchMismatch,poss,Donald conceals that Alice wasn't alarming,his,7.821499824523926
OneEmbedding,conceals,wasn't alarming,5,5_FM_his,fm,MismatchMatch,poss,Angela conceals that Scott wasn't alarming,his,5.073672771453857
OneEmbedding,conceals,wasn't alarming,5,5_FF_his,ff,MismatchMismatch,poss,Angela conceals that Alice wasn't alarming,his,8.206971168518066
OneEmbedding,hadn't expected,was investigating,6,6_MM_him,mm,MatchMatch,obj,Jason hadn't expected that Adam was investigating,him,5.061306953430176
OneEmbedding,hadn't expected,was investigating,6,6_MF_him,mf,MatchMismatch,obj,Jason hadn't expected that Victoria was investigating,him,4.166129112243652
OneEmbedding,hadn't expected,was investigating,6,6_FM_him,fm,MismatchMatch,obj,Amanda hadn't expected that Adam was investigating,him,5.904793739318848
OneEmbedding,hadn't expected,was investigating,6,6_FF_him,ff,MismatchMismatch,obj,Amanda hadn't expected that Victoria was investigating,him,5.050315856933594
OneEmbedding,hadn't expected,was investigating,6,6_MM_his,mm,MatchMatch,poss,Jason hadn't expected that Adam was investigating,his,4.217892169952393
OneEmbedding,hadn't expected,was investigating,6,6_MF_his,mf,MatchMismatch,poss,Jason hadn't expected that Victoria was investigating,his,6.178379535675049
OneEmbedding,hadn't expected,was investigating,6,6_FM_his,fm,MismatchMatch,poss,Amanda hadn't expected that Adam was investigating,his,3.7987124919891357
OneEmbedding,hadn't expected,was investigating,6,6_FF_his,ff,MismatchMismatch,poss,Amanda hadn't expected that Victoria was investigating,his,6.412674427032471
OneEmbedding,concluded,can reference,7,7_MM_him,mm,MatchMatch,obj,Timothy concluded that this husband can reference,him,8.395832061767578
OneEmbedding,concluded,can reference,7,7_MF_him,mf,MatchMismatch,obj,Timothy concluded that Jodi can reference,him,7.018327236175537
OneEmbedding,concluded,can reference,7,7_FM_him,fm,MismatchMatch,obj,Tiffany concluded that this husband can reference,him,7.525258541107178
OneEmbedding,concluded,can reference,7,7_FF_him,ff,MismatchMismatch,obj,Tiffany concluded that Jodi can reference,him,6.527319431304932
OneEmbedding,concluded,can reference,7,7_MM_his,mm,MatchMatch,poss,Timothy concluded that this husband can reference,his,3.266881227493286
OneEmbedding,concluded,can reference,7,7_MF_his,mf,MatchMismatch,poss,Timothy concluded that Jodi can reference,his,4.269458770751953
OneEmbedding,concluded,can reference,7,7_FM_his,fm,MismatchMatch,poss,Tiffany concluded that this husband can reference,his,3.488882541656494
OneEmbedding,concluded,can reference,7,7_FF_his,ff,MismatchMismatch,poss,Tiffany concluded that Jodi can reference,his,4.977122783660889
OneEmbedding,isn't knowing,didn't reference,8,8_MM_him,mm,MatchMatch,obj,Scott isn't knowing that Guy didn't reference,him,4.319908142089844
OneEmbedding,isn't knowing,didn't reference,8,8_MF_him,mf,MatchMismatch,obj,Scott isn't knowing that Kristen didn't reference,him,3.6944596767425537
OneEmbedding,isn't knowing,didn't reference,8,8_FM_him,fm,MismatchMatch,obj,Stacy isn't knowing that Guy didn't reference,him,4.781294822692871
OneEmbedding,isn't knowing,didn't reference,8,8_FF_him,ff,MismatchMismatch,obj,Stacy isn't knowing that Kristen didn't reference,him,4.659544944763184
OneEmbedding,isn't knowing,didn't reference,8,8_MM_his,mm,MatchMatch,poss,Scott isn't knowing that Guy didn't reference,his,3.4451756477355957
OneEmbedding,isn't knowing,didn't reference,8,8_MF_his,mf,MatchMismatch,poss,Scott isn't knowing that Kristen didn't reference,his,5.61348295211792
OneEmbedding,isn't knowing,didn't reference,8,8_FM_his,fm,MismatchMatch,poss,Stacy isn't knowing that Guy didn't reference,his,3.188870668411255
OneEmbedding,isn't knowing,didn't reference,8,8_FF_his,ff,MismatchMismatch,poss,Stacy isn't knowing that Kristen didn't reference,his,5.992177963256836
OneEmbedding,hasn't discovered,forgave,9,9_MM_him,mm,MatchMatch,obj,Walter hasn't discovered that Curtis forgave,him,1.638594150543213
OneEmbedding,hasn't discovered,forgave,9,9_MF_him,mf,MatchMismatch,obj,Walter hasn't discovered that Jill forgave,him,0.7461476922035217
OneEmbedding,hasn't discovered,forgave,9,9_FM_him,fm,MismatchMatch,obj,Sharon hasn't discovered that Curtis forgave,him,1.7464009523391724
OneEmbedding,hasn't discovered,forgave,9,9_FF_him,ff,MismatchMismatch,obj,Sharon hasn't discovered that Jill forgave,him,1.0147099494934082
OneEmbedding,hasn't discovered,forgave,9,9_MM_his,mm,MatchMatch,poss,Walter hasn't discovered that Curtis forgave,his,3.71286940574646
OneEmbedding,hasn't discovered,forgave,9,9_MF_his,mf,MatchMismatch,poss,Walter hasn't discovered that Jill forgave,his,5.934441566467285
OneEmbedding,hasn't discovered,forgave,9,9_FM_his,fm,MismatchMatch,poss,Sharon hasn't discovered that Curtis forgave,his,3.9124133586883545
OneEmbedding,hasn't discovered,forgave,9,9_FF_his,ff,MismatchMismatch,poss,Sharon hasn't discovered that Jill forgave,his,5.94370174407959
OneEmbedding,agreed,astounds,10,10_MM_him,mm,MatchMatch,obj,This guy agreed that Mark astounds,him,4.2618794441223145
OneEmbedding,agreed,astounds,10,10_MF_him,mf,MatchMismatch,obj,This guy agreed that Tracy astounds,him,3.2051215171813965
OneEmbedding,agreed,astounds,10,10_FM_him,fm,MismatchMatch,obj,Meredith agreed that Mark astounds,him,3.6935343742370605
OneEmbedding,agreed,astounds,10,10_FF_him,ff,MismatchMismatch,obj,Meredith agreed that Tracy astounds,him,3.5413200855255127
OneEmbedding,agreed,astounds,10,10_MM_his,mm,MatchMatch,poss,This guy agreed that Mark astounds,his,7.367696762084961
OneEmbedding,agreed,astounds,10,10_MF_his,mf,MatchMismatch,poss,This guy agreed that Tracy astounds,his,8.03791618347168
OneEmbedding,agreed,astounds,10,10_FM_his,fm,MismatchMatch,poss,Meredith agreed that Mark astounds,his,6.3733720779418945
OneEmbedding,agreed,astounds,10,10_FF_his,ff,MismatchMismatch,poss,Meredith agreed that Tracy astounds,his,7.591158866882324
OneEmbedding,claimed,isn't shocking,11,11_MM_him,mm,MatchMatch,obj,Guy claimed that Aaron isn't shocking,him,6.7356109619140625
OneEmbedding,claimed,isn't shocking,11,11_MF_him,mf,MatchMismatch,obj,Guy claimed that the woman isn't shocking,him,7.257530689239502
OneEmbedding,claimed,isn't shocking,11,11_FM_him,fm,MismatchMatch,obj,Jill claimed that Aaron isn't shocking,him,6.7436723709106445
OneEmbedding,claimed,isn't shocking,11,11_FF_him,ff,MismatchMismatch,obj,Jill claimed that the woman isn't shocking,him,8.3282470703125
OneEmbedding,claimed,isn't shocking,11,11_MM_his,mm,MatchMatch,poss,Guy claimed that Aaron isn't shocking,his,7.883347034454346
OneEmbedding,claimed,isn't shocking,11,11_MF_his,mf,MatchMismatch,poss,Guy claimed that the woman isn't shocking,his,10.749507904052734
OneEmbedding,claimed,isn't shocking,11,11_FM_his,fm,MismatchMatch,poss,Jill claimed that Aaron isn't shocking,his,8.197589874267578
OneEmbedding,claimed,isn't shocking,11,11_FF_his,ff,MismatchMismatch,poss,Jill claimed that the woman isn't shocking,his,11.755730628967285
OneEmbedding,wrote,has boasted about,12,12_MM_him,mm,MatchMatch,obj,Walter wrote that Larry has boasted about,him,4.315752983093262
OneEmbedding,wrote,has boasted about,12,12_MF_him,mf,MatchMismatch,obj,Walter wrote that Helen has boasted about,him,6.46633768081665
OneEmbedding,wrote,has boasted about,12,12_FM_him,fm,MismatchMatch,obj,Elizabeth wrote that Larry has boasted about,him,5.153662204742432
OneEmbedding,wrote,has boasted about,12,12_FF_him,ff,MismatchMismatch,obj,Elizabeth wrote that Helen has boasted about,him,8.32254409790039
OneEmbedding,wrote,has boasted about,12,12_MM_his,mm,MatchMatch,poss,Walter wrote that Larry has boasted about,his,1.7180001735687256
OneEmbedding,wrote,has boasted about,12,12_MF_his,mf,MatchMismatch,poss,Walter wrote that Helen has boasted about,his,7.396877288818359
OneEmbedding,wrote,has boasted about,12,12_FM_his,fm,MismatchMatch,poss,Elizabeth wrote that Larry has boasted about,his,1.7932782173156738
OneEmbedding,wrote,has boasted about,12,12_FF_his,ff,MismatchMismatch,poss,Elizabeth wrote that Helen has boasted about,his,8.42817211151123
OneEmbedding,had concluded,leads,13,13_MM_him,mm,MatchMatch,obj,Phillip had concluded that Brett leads,him,5.31697416305542
OneEmbedding,had concluded,leads,13,13_MF_him,mf,MatchMismatch,obj,Phillip had concluded that that lady leads,him,3.975468397140503
OneEmbedding,had concluded,leads,13,13_FM_him,fm,MismatchMatch,obj,Julie had concluded that Brett leads,him,5.705065727233887
OneEmbedding,had concluded,leads,13,13_FF_him,ff,MismatchMismatch,obj,Julie had concluded that that lady leads,him,4.804937362670898
OneEmbedding,had concluded,leads,13,13_MM_his,mm,MatchMatch,poss,Phillip had concluded that Brett leads,his,4.909977436065674
OneEmbedding,had concluded,leads,13,13_MF_his,mf,MatchMismatch,poss,Phillip had concluded that that lady leads,his,6.590090751647949
OneEmbedding,had concluded,leads,13,13_FM_his,fm,MismatchMatch,poss,Julie had concluded that Brett leads,his,5.099910736083984
OneEmbedding,had concluded,leads,13,13_FF_his,ff,MismatchMismatch,poss,Julie had concluded that that lady leads,his,6.924262046813965
OneEmbedding,has said,didn't shake,14,14_MM_him,mm,MatchMatch,obj,Aaron has said that Robert didn't shake,him,6.270833969116211
OneEmbedding,has said,didn't shake,14,14_MF_him,mf,MatchMismatch,obj,Aaron has said that Carmen didn't shake,him,6.5265793800354
OneEmbedding,has said,didn't shake,14,14_FM_him,fm,MismatchMatch,obj,Donna has said that Robert didn't shake,him,5.644114971160889
OneEmbedding,has said,didn't shake,14,14_FF_him,ff,MismatchMismatch,obj,Donna has said that Carmen didn't shake,him,6.175198078155518
OneEmbedding,has said,didn't shake,14,14_MM_his,mm,MatchMatch,poss,Aaron has said that Robert didn't shake,his,1.4999215602874756
OneEmbedding,has said,didn't shake,14,14_MF_his,mf,MatchMismatch,poss,Aaron has said that Carmen didn't shake,his,3.052746295928955
OneEmbedding,has said,didn't shake,14,14_FM_his,fm,MismatchMatch,poss,Donna has said that Robert didn't shake,his,1.7112979888916016
OneEmbedding,has said,didn't shake,14,14_FF_his,ff,MismatchMismatch,poss,Donna has said that Carmen didn't shake,his,3.651005268096924
OneEmbedding,was expecting,doesn't observe,15,15_MM_him,mm,MatchMatch,obj,Keith was expecting that Bill doesn't observe,him,6.218292236328125
OneEmbedding,was expecting,doesn't observe,15,15_MF_him,mf,MatchMismatch,obj,Keith was expecting that Heather doesn't observe,him,4.3475117683410645
OneEmbedding,was expecting,doesn't observe,15,15_FM_him,fm,MismatchMatch,obj,Katherine was expecting that Bill doesn't observe,him,6.140015125274658
OneEmbedding,was expecting,doesn't observe,15,15_FF_him,ff,MismatchMismatch,obj,Katherine was expecting that Heather doesn't observe,him,4.786193370819092
OneEmbedding,was expecting,doesn't observe,15,15_MM_his,mm,MatchMatch,poss,Keith was expecting that Bill doesn't observe,his,4.534970760345459
OneEmbedding,was expecting,doesn't observe,15,15_MF_his,mf,MatchMismatch,poss,Keith was expecting that Heather doesn't observe,his,6.1374711990356445
OneEmbedding,was expecting,doesn't observe,15,15_FM_his,fm,MismatchMatch,poss,Katherine was expecting that Bill doesn't observe,his,4.553890228271484
OneEmbedding,was expecting,doesn't observe,15,15_FF_his,ff,MismatchMismatch,poss,Katherine was expecting that Heather doesn't observe,his,7.301121711730957
OneEmbedding,whispers,can't find,16,16_MM_him,mm,MatchMatch,obj,Roger whispers that Peter can't find,him,3.9892566204071045
OneEmbedding,whispers,can't find,16,16_MF_him,mf,MatchMismatch,obj,Roger whispers that Holly can't find,him,3.5729458332061768
OneEmbedding,whispers,can't find,16,16_FM_him,fm,MismatchMatch,obj,Debra whispers that Peter can't find,him,4.345662593841553
OneEmbedding,whispers,can't find,16,16_FF_him,ff,MismatchMismatch,obj,Debra whispers that Holly can't find,him,3.6509323120117188
OneEmbedding,whispers,can't find,16,16_MM_his,mm,MatchMatch,poss,Roger whispers that Peter can't find,his,3.190129518508911
OneEmbedding,whispers,can't find,16,16_MF_his,mf,MatchMismatch,poss,Roger whispers that Holly can't find,his,5.497315883636475
OneEmbedding,whispers,can't find,16,16_FM_his,fm,MismatchMatch,poss,Debra whispers that Peter can't find,his,3.1723546981811523
OneEmbedding,whispers,can't find,16,16_FF_his,ff,MismatchMismatch,poss,Debra whispers that Holly can't find,his,5.671881675720215
OneEmbedding,thinks,should hide,17,17_MM_him,mm,MatchMatch,obj,Theodore thinks that Joel should hide,him,4.320837497711182
OneEmbedding,thinks,should hide,17,17_MF_him,mf,MatchMismatch,obj,Theodore thinks that Kirsten should hide,him,4.459171772003174
OneEmbedding,thinks,should hide,17,17_FM_him,fm,MismatchMatch,obj,Amelia thinks that Joel should hide,him,5.680553913116455
OneEmbedding,thinks,should hide,17,17_FF_him,ff,MismatchMismatch,obj,Amelia thinks that Kirsten should hide,him,6.981834888458252
OneEmbedding,thinks,should hide,17,17_MM_his,mm,MatchMatch,poss,Theodore thinks that Joel should hide,his,2.495803117752075
OneEmbedding,thinks,should hide,17,17_MF_his,mf,MatchMismatch,poss,Theodore thinks that Kirsten should hide,his,5.215904235839844
OneEmbedding,thinks,should hide,17,17_FM_his,fm,MismatchMatch,poss,Amelia thinks that Joel should hide,his,2.2596435546875
OneEmbedding,thinks,should hide,17,17_FF_his,ff,MismatchMismatch,poss,Amelia thinks that Kirsten should hide,his,6.185721397399902
OneEmbedding,did claim,had praised,18,18_MM_him,mm,MatchMatch,obj,This ex-boyfriend did claim that Carl had praised,him,1.6601643562316895
OneEmbedding,did claim,had praised,18,18_MF_him,mf,MatchMismatch,obj,This ex-boyfriend did claim that Teresa had praised,him,0.7795029282569885
OneEmbedding,did claim,had praised,18,18_FM_him,fm,MismatchMatch,obj,Anne did claim that Carl had praised,him,2.5828182697296143
OneEmbedding,did claim,had praised,18,18_FF_him,ff,MismatchMismatch,obj,Anne did claim that Teresa had praised,him,1.4228136539459229
OneEmbedding,did claim,had praised,18,18_MM_his,mm,MatchMatch,poss,This ex-boyfriend did claim that Carl had praised,his,3.7064990997314453
OneEmbedding,did claim,had praised,18,18_MF_his,mf,MatchMismatch,poss,This ex-boyfriend did claim that Teresa had praised,his,4.807386875152588
OneEmbedding,did claim,had praised,18,18_FM_his,fm,MismatchMatch,poss,Anne did claim that Carl had praised,his,3.8082151412963867
OneEmbedding,did claim,had praised,18,18_FF_his,ff,MismatchMismatch,poss,Anne did claim that Teresa had praised,his,5.104432582855225
OneEmbedding,says,argued about,19,19_MM_him,mm,MatchMatch,obj,Benjamin says that Benjamin argued about,him,6.912599086761475
OneEmbedding,says,argued about,19,19_MF_him,mf,MatchMismatch,obj,Benjamin says that Jodi argued about,him,5.75575065612793
OneEmbedding,says,argued about,19,19_FM_him,fm,MismatchMatch,obj,Teresa says that Benjamin argued about,him,6.594902992248535
OneEmbedding,says,argued about,19,19_FF_him,ff,MismatchMismatch,obj,Teresa says that Jodi argued about,him,6.556299686431885
OneEmbedding,says,argued about,19,19_MM_his,mm,MatchMatch,poss,Benjamin says that Benjamin argued about,his,4.637423992156982
OneEmbedding,says,argued about,19,19_MF_his,mf,MatchMismatch,poss,Benjamin says that Jodi argued about,his,5.647828578948975
OneEmbedding,says,argued about,19,19_FM_his,fm,MismatchMatch,poss,Teresa says that Benjamin argued about,his,4.0307416915893555
OneEmbedding,says,argued about,19,19_FF_his,ff,MismatchMismatch,poss,Teresa says that Jodi argued about,his,6.429258346557617
OneEmbedding,can conceal,isn't harming,20,20_MM_him,mm,MatchMatch,obj,Steve can conceal that Aaron isn't harming,him,4.32985782623291
OneEmbedding,can conceal,isn't harming,20,20_MF_him,mf,MatchMismatch,obj,Steve can conceal that Nina isn't harming,him,3.955739974975586
OneEmbedding,can conceal,isn't harming,20,20_FM_him,fm,MismatchMatch,obj,Martha can conceal that Aaron isn't harming,him,4.5350799560546875
OneEmbedding,can conceal,isn't harming,20,20_FF_him,ff,MismatchMismatch,obj,Martha can conceal that Nina isn't harming,him,4.628096580505371
OneEmbedding,can conceal,isn't harming,20,20_MM_his,mm,MatchMatch,poss,Steve can conceal that Aaron isn't harming,his,3.414071559906006
OneEmbedding,can conceal,isn't harming,20,20_MF_his,mf,MatchMismatch,poss,Steve can conceal that Nina isn't harming,his,6.6073808670043945
OneEmbedding,can conceal,isn't harming,20,20_FM_his,fm,MismatchMatch,poss,Martha can conceal that Aaron isn't harming,his,3.4787538051605225
OneEmbedding,can conceal,isn't harming,20,20_FF_his,ff,MismatchMismatch,poss,Martha can conceal that Nina isn't harming,his,7.123354911804199
OneEmbedding,imagined,would hurt,21,21_MM_him,mm,MatchMatch,obj,Ronald imagined that William would hurt,him,3.826666831970215
OneEmbedding,imagined,would hurt,21,21_MF_him,mf,MatchMismatch,obj,Ronald imagined that Christine would hurt,him,2.43951153755188
OneEmbedding,imagined,would hurt,21,21_FM_him,fm,MismatchMatch,obj,Jessica imagined that William would hurt,him,4.763528823852539
OneEmbedding,imagined,would hurt,21,21_FF_him,ff,MismatchMismatch,obj,Jessica imagined that Christine would hurt,him,3.3633742332458496
OneEmbedding,imagined,would hurt,21,21_MM_his,mm,MatchMatch,poss,Ronald imagined that William would hurt,his,2.02665376663208
OneEmbedding,imagined,would hurt,21,21_MF_his,mf,MatchMismatch,poss,Ronald imagined that Christine would hurt,his,4.709468364715576
OneEmbedding,imagined,would hurt,21,21_FM_his,fm,MismatchMatch,poss,Jessica imagined that William would hurt,his,2.4508798122406006
OneEmbedding,imagined,would hurt,21,21_FF_his,ff,MismatchMismatch,poss,Jessica imagined that Christine would hurt,his,5.512779712677002
OneEmbedding,has prayed,leaves,22,22_MM_him,mm,MatchMatch,obj,Marcus has prayed that William leaves,him,4.834439277648926
OneEmbedding,has prayed,leaves,22,22_MF_him,mf,MatchMismatch,obj,Marcus has prayed that Lori leaves,him,3.7532644271850586
OneEmbedding,has prayed,leaves,22,22_FM_him,fm,MismatchMatch,obj,Nancy has prayed that William leaves,him,5.5762038230896
OneEmbedding,has prayed,leaves,22,22_FF_him,ff,MismatchMismatch,obj,Nancy has prayed that Lori leaves,him,5.522524356842041
OneEmbedding,has prayed,leaves,22,22_MM_his,mm,MatchMatch,poss,Marcus has prayed that William leaves,his,3.855438232421875
OneEmbedding,has prayed,leaves,22,22_MF_his,mf,MatchMismatch,poss,Marcus has prayed that Lori leaves,his,7.496334075927734
OneEmbedding,has prayed,leaves,22,22_FM_his,fm,MismatchMatch,poss,Nancy has prayed that William leaves,his,3.833606004714966
OneEmbedding,has prayed,leaves,22,22_FF_his,ff,MismatchMismatch,poss,Nancy has prayed that Lori leaves,his,8.46769905090332
OneEmbedding,has prayed,watches,23,23_MM_him,mm,MatchMatch,obj,Kenneth has prayed that Theodore watches,him,3.7423179149627686
OneEmbedding,has prayed,watches,23,23_MF_him,mf,MatchMismatch,obj,Kenneth has prayed that Sonia watches,him,3.0504274368286133
OneEmbedding,has prayed,watches,23,23_FM_him,fm,MismatchMatch,obj,Cynthia has prayed that Theodore watches,him,5.518665313720703
OneEmbedding,has prayed,watches,23,23_FF_him,ff,MismatchMismatch,obj,Cynthia has prayed that Sonia watches,him,4.7810845375061035
OneEmbedding,has prayed,watches,23,23_MM_his,mm,MatchMatch,poss,Kenneth has prayed that Theodore watches,his,4.432430267333984
OneEmbedding,has prayed,watches,23,23_MF_his,mf,MatchMismatch,poss,Kenneth has prayed that Sonia watches,his,5.484366416931152
OneEmbedding,has prayed,watches,23,23_FM_his,fm,MismatchMatch,poss,Cynthia has prayed that Theodore watches,his,4.931530475616455
OneEmbedding,has prayed,watches,23,23_FF_his,ff,MismatchMismatch,poss,Cynthia has prayed that Sonia watches,his,6.841069221496582
OneEmbedding,believes,can shoot,24,24_MM_him,mm,MatchMatch,obj,Edward believes that Samuel can shoot,him,4.997814178466797
OneEmbedding,believes,can shoot,24,24_MF_him,mf,MatchMismatch,obj,Edward believes that Kristen can shoot,him,5.665947914123535
OneEmbedding,believes,can shoot,24,24_FM_him,fm,MismatchMatch,obj,Rachel believes that Samuel can shoot,him,5.373414039611816
OneEmbedding,believes,can shoot,24,24_FF_him,ff,MismatchMismatch,obj,Rachel believes that Kristen can shoot,him,6.517184257507324
OneEmbedding,believes,can shoot,24,24_MM_his,mm,MatchMatch,poss,Edward believes that Samuel can shoot,his,5.2366437911987305
OneEmbedding,believes,can shoot,24,24_MF_his,mf,MatchMismatch,poss,Edward believes that Kristen can shoot,his,7.69818115234375
OneEmbedding,believes,can shoot,24,24_FM_his,fm,MismatchMatch,poss,Rachel believes that Samuel can shoot,his,5.14898681640625
OneEmbedding,believes,can shoot,24,24_FF_his,ff,MismatchMismatch,poss,Rachel believes that Kristen can shoot,his,8.209847450256348
OneEmbedding,is confessing,bit,25,25_MM_him,mm,MatchMatch,obj,Omar is confessing that Roger bit,him,3.561511993408203
OneEmbedding,is confessing,bit,25,25_MF_him,mf,MatchMismatch,obj,Omar is confessing that Alice bit,him,3.934279203414917
OneEmbedding,is confessing,bit,25,25_FM_him,fm,MismatchMatch,obj,Anne is confessing that Roger bit,him,3.211531639099121
OneEmbedding,is confessing,bit,25,25_FF_him,ff,MismatchMismatch,obj,Anne is confessing that Alice bit,him,3.3941233158111572
OneEmbedding,is confessing,bit,25,25_MM_his,mm,MatchMatch,poss,Omar is confessing that Roger bit,his,3.8088436126708984
OneEmbedding,is confessing,bit,25,25_MF_his,mf,MatchMismatch,poss,Omar is confessing that Alice bit,his,5.196959972381592
OneEmbedding,is confessing,bit,25,25_FM_his,fm,MismatchMatch,poss,Anne is confessing that Roger bit,his,3.1515133380889893
