item,exp,pronoun,cond,contrast,sent,target,/data/EleutherAI/gpt-neo-1.3B_surp
28,1,he,f,Mismatch,"When he was annoyed, the",woman,8.169830322265625
29,1,he,m,Match,"When he was in church,",Liam,18.28685760498047
29,1,she,m,Mismatch,"When she was in church,",Richard,13.700034141540527
29,1,she,f,Match,"When she was in church, the",dancer,16.835411071777344
29,1,he,f,Mismatch,"When he was in church,",Teresa,16.559444427490234
30,1,he,m,Match,"When he was banished,",Timothy,16.65083885192871
30,1,she,m,Mismatch,"When she was banished,",Russell,17.125165939331055
30,1,she,f,Match,"When she was banished,",Sheila,17.723833084106445
30,1,he,f,Mismatch,"When he was banished,",Cheryl,20.836627960205078
31,1,he,m,Match,"When he was angry,",Steve,14.885844230651855
31,1,she,m,Mismatch,"When she was angry,",Wayne,19.748340606689453
31,1,she,f,Match,"When she was angry, the",dancer,15.150897026062012
31,1,he,f,Mismatch,"When he was angry,",Janet,18.283151626586914
32,1,he,m,Match,"When he was distraught,",Brian,16.268890380859375
32,1,she,m,Mismatch,"When she was distraught,",Russell,16.729589462280273
32,1,she,f,Match,"When she was distraught, the",wife,9.284134864807129
32,1,he,f,Mismatch,"When he was distraught,",Helen,16.025300979614258
1,1,he,m,Match,"When he was off work,",Russell,15.072628021240234
1,1,she,m,Mismatch,"When she was off work,",Dan,13.105052947998047
1,1,she,f,Match,"When she was off work,",Judy,14.615510940551758
1,1,he,f,Mismatch,"When he was off work,",Grace,15.364104270935059
2,1,he,m,Match,"When he arrived,",Benjamin,15.216949462890625
2,1,she,m,Mismatch,"When she arrived,",Steve,14.452509880065918
2,1,she,f,Match,"When she arrived,",Claire,14.818532943725586
2,1,he,f,Mismatch,"When he arrived,",Mary,11.725950241088867
3,1,he,m,Match,"When he was fed up,",Benjamin,17.201629638671875
3,1,she,m,Mismatch,"When she was fed up,",Marcus,15.750988006591797
3,1,she,f,Match,"When she was fed up,",Kristen,18.732791900634766
3,1,he,f,Mismatch,"When he was fed up,",Marie,17.183610916137695
4,1,he,m,Match,"When he was talking,",Richard,13.265337944030762
4,1,she,m,Mismatch,"When she was talking,",Alexander,16.016820907592773
4,1,she,f,Match,"When she was talking,",Marie,14.588294982910156
4,1,he,f,Mismatch,"When he was talking, the",wife,11.191729545593262
5,1,he,m,Match,"When he was nearby,",Keith,16.28081512451172
5,1,she,m,Mismatch,"When she was nearby,",Larry,15.3308687210083
5,1,she,f,Match,"When she was nearby, the",sister,10.783903121948242
5,1,he,f,Mismatch,"When he was nearby, the",girl,7.8714213371276855
6,1,he,m,Match,"When he was lost, the",guy,12.667360305786133
6,1,she,m,Mismatch,"When she was lost,",Mark,14.8438138961792
6,1,she,f,Match,"When she was lost, the",girl,7.5492401123046875
6,1,he,f,Mismatch,"When he was lost,",Suzanne,19.23383140563965
7,1,he,m,Match,"When he was bad-tempered,",Alexander,16.12175178527832
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,18.08846092224121
7,1,she,f,Match,"When she was bad-tempered,",Carrie,18.30035972595215
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,18.57472801208496
8,1,he,m,Match,"When he was jealous,",Benjamin,16.628915786743164
8,1,she,m,Mismatch,"When she was jealous,",Brian,16.65797996520996
8,1,she,f,Match,"When she was jealous, the",girlfriend,13.15471363067627
8,1,he,f,Mismatch,"When he was jealous,",Catherine,15.814046859741211
9,1,he,m,Match,"When he was in residence,",Mark,14.367427825927734
9,1,she,m,Mismatch,"When she was in residence,",Brad,16.05000114440918
9,1,she,f,Match,"When she was in residence,",Sheila,15.0475492477417
9,1,he,f,Mismatch,"When he was in residence,",Catherine,15.193131446838379
10,1,he,m,Match,"When he was introduced,",Charles,12.69130802154541
10,1,she,m,Mismatch,"When she was introduced,",Richard,12.728241920471191
10,1,she,f,Match,"When she was introduced,",Karen,14.142358779907227
10,1,he,f,Mismatch,"When he was introduced,",Claire,17.662456512451172
11,1,he,m,Match,"When he arrived,",Liam,16.003427505493164
11,1,she,m,Mismatch,"When she arrived,",Larry,15.21390151977539
11,1,she,f,Match,"When she arrived, the",mother,8.771790504455566
11,1,he,f,Mismatch,"When he arrived,",Carrie,16.528888702392578
12,1,he,m,Match,"When he felt sad,",Charles,14.05154800415039
12,1,she,m,Mismatch,"When she felt sad,",Dan,15.977790832519531
12,1,she,f,Match,"When she felt sad,",Theresa,17.344940185546875
12,1,he,f,Mismatch,"When he felt sad,",Kristen,20.408214569091797
13,1,he,m,Match,"When he was present,",Steven,15.545308113098145
13,1,she,m,Mismatch,"When she was present,",Bruce,15.749457359313965
13,1,she,f,Match,"When she was present,",Claire,15.468700408935547
13,1,he,f,Mismatch,"When he was present,",Laura,15.990489959716797
14,1,he,m,Match,"When he was depressed,",Larry,15.824211120605469
14,1,she,m,Mismatch,"When she was depressed,",Brian,16.249042510986328
14,1,she,f,Match,"When she was depressed,",Alice,13.669243812561035
14,1,he,f,Mismatch,"When he was depressed,",Naomi,16.851058959960938
15,1,he,m,Match,"When he was around,",Guy,15.445170402526855
15,1,she,m,Mismatch,"When she was around,",Liam,17.663829803466797
15,1,she,f,Match,"When she was around,",Teresa,15.923526763916016
15,1,he,f,Mismatch,"When he was around,",Christina,17.174476623535156
16,1,he,m,Match,"When he was near, the",father,10.230683326721191
16,1,she,m,Mismatch,"When she was near,",Russell,17.516324996948242
16,1,she,f,Match,"When she was near,",Kristen,18.245920181274414
16,1,he,f,Mismatch,"When he was near,",Dana,18.131303787231445
17,1,he,m,Match,"When he was in court, the",nephew,14.493131637573242
17,1,she,m,Mismatch,"When she was in court,",Russell,15.559639930725098
17,1,she,f,Match,"When she was in court, the",girl,7.709758758544922
17,1,he,f,Mismatch,"When he was in court,",Naomi,18.023401260375977
18,1,he,m,Match,"When he was poorly,",Alexander,16.651321411132812
18,1,she,m,Mismatch,"When she was poorly,",Larry,17.104097366333008
18,1,she,f,Match,"When she was poorly,",Sheila,18.63266372680664
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,18.367265701293945
19,1,he,m,Match,"When he arrived,",Bradley,16.481992721557617
19,1,she,m,Mismatch,"When she arrived,",Keith,15.717580795288086
19,1,she,f,Match,"When she arrived,",Judy,14.801409721374512
19,1,he,f,Mismatch,"When he arrived,",Amanda,16.345590591430664
20,1,he,m,Match,"When he was appointed,",Steven,17.689374923706055
20,1,she,m,Mismatch,"When she was appointed,",Russell,15.524333000183105
20,1,she,f,Match,"When she was appointed, the",girlfriend,16.747133255004883
20,1,he,f,Mismatch,"When he was appointed,",Lori,19.753307342529297
21,1,he,m,Match,"When he was fired,",Donald,12.592917442321777
21,1,she,m,Mismatch,"When she was fired,",Russell,13.884017944335938
21,1,she,f,Match,"When she was fired,",Lori,15.277695655822754
21,1,he,f,Mismatch,"When he was fired,",Linda,15.292081832885742
22,1,he,m,Match,"When he was close,",Jason,14.231649398803711
22,1,she,m,Mismatch,"When she was close,",Charles,13.879363059997559
22,1,she,f,Match,"When she was close,",Cynthia,15.596076965332031
22,1,he,f,Mismatch,"When he was close,",Tiffany,18.362131118774414
23,1,he,m,Match,"When he was retired,",Thomas,12.002861976623535
23,1,she,m,Mismatch,"When she was retired,",Charles,12.177513122558594
23,1,she,f,Match,"When she was retired,",Lori,16.35015106201172
23,1,he,f,Mismatch,"When he was retired,",Teresa,17.775104522705078
24,1,he,m,Match,"When he was abroad,",Charles,12.424943923950195
24,1,she,m,Mismatch,"When she was abroad,",John,12.14043140411377
24,1,she,f,Match,"When she was abroad,",Karen,16.26304817199707
24,1,he,f,Mismatch,"When he was abroad,",Linda,18.726985931396484
25,1,he,m,Match,"When he was discovered,",Donald,15.07992935180664
25,1,she,m,Mismatch,"When she was discovered,",Douglas,15.802289962768555
25,1,she,f,Match,"When she was discovered,",Naomi,16.81673240661621
25,1,he,f,Mismatch,"When he was discovered,",Sheila,18.824569702148438
26,1,he,m,Match,"When he was busy,",Douglas,16.488296508789062
26,1,she,m,Mismatch,"When she was busy, the",nephew,14.74930477142334
26,1,she,f,Match,"When she was busy,",Elizabeth,12.956344604492188
26,1,he,f,Mismatch,"When he was busy,",Catherine,15.558874130249023
27,1,he,m,Match,"When he was twenty-one, the",father,7.142079830169678
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,14.032156944274902
27,1,she,f,Match,"When she was twenty-one,",Connie,14.572355270385742
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,16.064626693725586
28,1,he,m,Match,"When he was annoyed, the",guy,9.839008331298828
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,16.86249351501465
28,1,she,f,Match,"When she was annoyed,",Leslie,16.414554595947266
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,18.469764709472656
29,1,he,m,Match,"When he was in church,",Keith,15.889552116394043
29,1,she,m,Mismatch,"When she was in church,",Steve,15.177973747253418
29,1,she,f,Match,"When she was in church,",Ann,12.984119415283203
29,1,he,f,Mismatch,"When he was in church,",Sheila,17.791589736938477
30,1,he,m,Match,"When he was banished, the",guy,13.555500030517578
30,1,she,m,Mismatch,"When she was banished,",Keith,17.9844970703125
30,1,she,f,Match,"When she was banished,",Cynthia,15.907271385192871
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,14.09964656829834
31,1,he,m,Match,"When he was angry,",Russell,16.38235092163086
31,1,she,m,Mismatch,"When she was angry,",Jason,16.420730590820312
31,1,she,f,Match,"When she was angry,",Sheila,18.071678161621094
31,1,he,f,Mismatch,"When he was angry,",Teresa,17.629295349121094
32,1,he,m,Match,"When he was distraught,",Thomas,13.737488746643066
32,1,she,m,Mismatch,"When she was distraught,",Bruce,17.404848098754883
32,1,she,f,Match,"When she was distraught,",Teresa,15.486000061035156
32,1,he,f,Mismatch,"When he was distraught,",Laura,15.527620315551758
1,1,he,m,Match,"When he was off work,",Timothy,16.148595809936523
1,1,she,m,Mismatch,"When she was off work,",Ronald,16.867507934570312
1,1,she,f,Match,"When she was off work,",Amanda,13.235368728637695
1,1,he,f,Mismatch,"When he was off work, the",lady,11.224191665649414
2,1,he,m,Match,"When he arrived,",Alexander,14.042768478393555
2,1,she,m,Mismatch,"When she arrived,",Charles,13.060344696044922
2,1,she,f,Match,"When she arrived,",Julie,14.44650936126709
2,1,he,f,Mismatch,"When he arrived,",Diana,15.726829528808594
3,1,he,m,Match,"When he was fed up,",Phillip,17.58702278137207
3,1,she,m,Mismatch,"When she was fed up,",Bradley,18.787704467773438
3,1,she,f,Match,"When she was fed up,",Allison,18.076885223388672
3,1,he,f,Mismatch,"When he was fed up,",Lori,18.24864387512207
4,1,he,m,Match,"When he was talking, the",guy,9.703703880310059
4,1,she,m,Mismatch,"When she was talking,",Jason,14.6754732131958
4,1,she,f,Match,"When she was talking,",Amanda,16.01714324951172
4,1,he,f,Mismatch,"When he was talking,",Helen,15.1466703414917
5,1,he,m,Match,"When he was nearby,",Robert,12.160269737243652
5,1,she,m,Mismatch,"When she was nearby,",Charles,13.638164520263672
5,1,she,f,Match,"When she was nearby,",Rachel,14.096794128417969
5,1,he,f,Mismatch,"When he was nearby,",Carol,16.272485733032227
6,1,he,m,Match,"When he was lost,",Samuel,14.797285079956055
6,1,she,m,Mismatch,"When she was lost,",Roger,16.811946868896484
6,1,she,f,Match,"When she was lost,",Connie,18.007890701293945
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,17.161823272705078
7,1,he,m,Match,"When he was bad-tempered,",Christopher,17.430028915405273
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,21.71446418762207
7,1,she,f,Match,"When she was bad-tempered,",Diane,17.686447143554688
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,19.734783172607422
8,1,he,m,Match,"When he was jealous,",Bradley,17.887115478515625
8,1,she,m,Mismatch,"When she was jealous,",Brad,17.759248733520508
8,1,she,f,Match,"When she was jealous,",Maria,13.057992935180664
8,1,he,f,Mismatch,"When he was jealous,",Alice,16.037336349487305
9,1,he,m,Match,"When he was in residence,",Adam,15.07302474975586
9,1,she,m,Mismatch,"When she was in residence,",Rodney,18.02130889892578
9,1,she,f,Match,"When she was in residence,",Anne,13.924671173095703
9,1,he,f,Mismatch,"When he was in residence,",Natalie,17.60603141784668
10,1,he,m,Match,"When he was introduced, the",nephew,13.13422679901123
10,1,she,m,Mismatch,"When she was introduced,",Liam,16.7774600982666
10,1,she,f,Match,"When she was introduced,",Catherine,14.08117961883545
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,17.760183334350586
11,1,he,m,Match,"When he arrived,",Larry,14.751079559326172
11,1,she,m,Mismatch,"When she arrived,",Samuel,13.613232612609863
11,1,she,f,Match,"When she arrived,",Mary,10.251489639282227
11,1,he,f,Mismatch,"When he arrived, the",sister,12.89850902557373
12,1,he,m,Match,"When he felt sad,",Phillip,17.8624210357666
12,1,she,m,Mismatch,"When she felt sad,",Frank,15.391546249389648
12,1,she,f,Match,"When she felt sad,",Kristen,19.94379997253418
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,14.851935386657715
13,1,he,m,Match,"When he was present,",Dan,14.001640319824219
13,1,she,m,Mismatch,"When she was present,",Travis,18.103374481201172
13,1,she,f,Match,"When she was present, the",sister,10.361481666564941
13,1,he,f,Mismatch,"When he was present, the",mother,9.603611946105957
14,1,he,m,Match,"When he was depressed,",Russell,16.15217399597168
14,1,she,m,Mismatch,"When she was depressed,",Larry,16.341320037841797
14,1,she,f,Match,"When she was depressed,",Tara,17.204853057861328
14,1,he,f,Mismatch,"When he was depressed,",Leslie,17.277423858642578
15,1,he,m,Match,"When he was around,",Samuel,14.927804946899414
15,1,she,m,Mismatch,"When she was around,",Timothy,17.679903030395508
15,1,she,f,Match,"When she was around,",Sheila,15.511665344238281
15,1,he,f,Mismatch,"When he was around,",Kristen,17.09900665283203
16,1,he,m,Match,"When he was near,",Timothy,17.944759368896484
16,1,she,m,Mismatch,"When she was near,",Timothy,18.197799682617188
16,1,she,f,Match,"When she was near,",Danielle,18.78190803527832
16,1,he,f,Mismatch,"When he was near,",Cheryl,20.60080337524414
17,1,he,m,Match,"When he was in court,",Travis,17.197654724121094
17,1,she,m,Mismatch,"When she was in court,",Steven,16.026872634887695
17,1,she,f,Match,"When she was in court,",Wendy,16.02595329284668
17,1,he,f,Mismatch,"When he was in court,",Leslie,16.72443389892578
18,1,he,m,Match,"When he was poorly,",Mark,14.966316223144531
18,1,she,m,Mismatch,"When she was poorly,",Ronald,18.101295471191406
18,1,she,f,Match,"When she was poorly,",Cheryl,19.71602439880371
18,1,he,f,Mismatch,"When he was poorly,",Anne,16.602008819580078
19,1,he,m,Match,"When he arrived,",Brett,16.605968475341797
19,1,she,m,Mismatch,"When she arrived,",John,11.1729736328125
19,1,she,f,Match,"When she arrived,",Karen,13.974713325500488
19,1,he,f,Mismatch,"When he arrived,",Nicole,17.007570266723633
20,1,he,m,Match,"When he was appointed,",Phillip,18.44359588623047
20,1,she,m,Mismatch,"When she was appointed,",Keith,15.832551956176758
20,1,she,f,Match,"When she was appointed, the",sister,11.473506927490234
20,1,he,f,Mismatch,"When he was appointed,",Elizabeth,15.067900657653809
21,1,he,m,Match,"When he was fired,",Bradley,14.479654312133789
21,1,she,m,Mismatch,"When she was fired, the",guy,11.60719108581543
21,1,she,f,Match,"When she was fired,",Laura,14.207252502441406
21,1,he,f,Mismatch,"When he was fired,",Suzanne,17.506715774536133
22,1,he,m,Match,"When he was close,",Ronald,16.495315551757812
22,1,she,m,Mismatch,"When she was close, the",guy,11.495366096496582
22,1,she,f,Match,"When she was close,",Grace,14.214446067810059
22,1,he,f,Mismatch,"When he was close,",Wendy,17.38193130493164
23,1,he,m,Match,"When he was retired,",Bradley,16.516294479370117
23,1,she,m,Mismatch,"When she was retired,",Alexander,14.93513011932373
23,1,she,f,Match,"When she was retired, the",mother,8.470041275024414
23,1,he,f,Mismatch,"When he was retired,",Christina,17.878376007080078
24,1,he,m,Match,"When he was abroad,",Travis,19.08574867248535
24,1,she,m,Mismatch,"When she was abroad,",Walter,15.301259994506836
24,1,she,f,Match,"When she was abroad, the",mother,7.772427082061768
24,1,he,f,Mismatch,"When he was abroad,",Anne,14.624188423156738
25,1,he,m,Match,"When he was discovered,",Bruce,16.600147247314453
25,1,she,m,Mismatch,"When she was discovered,",Ronald,16.447832107543945
25,1,she,f,Match,"When she was discovered,",Alice,13.385445594787598
25,1,he,f,Mismatch,"When he was discovered,",Carol,16.108816146850586
26,1,he,m,Match,"When he was busy,",Dennis,15.655803680419922
26,1,she,m,Mismatch,"When she was busy,",Mitchell,17.860836029052734
26,1,she,f,Match,"When she was busy,",Nicole,15.198225021362305
26,1,he,f,Mismatch,"When he was busy,",Pamela,18.124927520751953
27,1,he,m,Match,"When he was twenty-one,",Liam,16.301599502563477
27,1,she,m,Mismatch,"When she was twenty-one,",Mark,13.464424133300781
27,1,she,f,Match,"When she was twenty-one,",Grace,13.305094718933105
27,1,he,f,Mismatch,"When he was twenty-one, the",girl,9.590352058410645
28,1,he,m,Match,"When he was annoyed,",Eric,13.935662269592285
28,1,she,m,Mismatch,"When she was annoyed, the",guy,10.501463890075684
28,1,she,f,Match,"When she was annoyed,",Wendy,17.05710220336914
28,1,he,f,Mismatch,"When he was annoyed,",Sally,16.619054794311523
29,1,he,m,Match,"When he was in church,",Steven,16.75336456298828
29,1,she,m,Mismatch,"When she was in church,",Benjamin,16.75322723388672
29,1,she,f,Match,"When she was in church,",Claire,15.519243240356445
29,1,he,f,Mismatch,"When he was in church, the",girlfriend,16.764039993286133
30,1,he,m,Match,"When he was banished,",Jason,15.609559059143066
30,1,she,m,Mismatch,"When she was banished,",Bradley,18.866798400878906
30,1,she,f,Match,"When she was banished,",Suzanne,17.418655395507812
30,1,he,f,Mismatch,"When he was banished,",Mary,13.04184341430664
31,1,he,m,Match,"When he was angry,",Timothy,17.361141204833984
31,1,she,m,Mismatch,"When she was angry,",Jeffrey,17.544519424438477
31,1,she,f,Match,"When she was angry,",Karen,15.5629243850708
31,1,he,f,Mismatch,"When he was angry,",Claire,16.863752365112305
32,1,he,m,Match,"When he was distraught,",Guy,18.64240837097168
32,1,she,m,Mismatch,"When she was distraught,",Rodney,18.646265029907227
32,1,she,f,Match,"When she was distraught,",Marie,13.493425369262695
32,1,he,f,Mismatch,"When he was distraught,",Danielle,19.10593605041504
1,1,he,m,Match,"When he was off work,",Bruce,14.082686424255371
1,1,she,m,Mismatch,"When she was off work,",Mark,13.62453842163086
1,1,she,f,Match,"When she was off work, the",woman,6.881415367126465
1,1,he,f,Mismatch,"When he was off work, the",granddaughter,15.88856029510498
2,1,he,m,Match,"When he arrived,",Kenneth,15.65884017944336
2,1,she,m,Mismatch,"When she arrived,",Samuel,13.613232612609863
2,1,she,f,Match,"When she arrived, the",waitress,12.340896606445312
2,1,he,f,Mismatch,"When he arrived, the",granddaughter,17.19597625732422
3,1,he,m,Match,"When he was fed up,",Jeffrey,16.214860916137695
3,1,she,m,Mismatch,"When she was fed up,",Martin,15.116363525390625
3,1,she,f,Match,"When she was fed up,",Leslie,17.13080596923828
3,1,he,f,Mismatch,"When he was fed up,",Carrie,18.42677879333496
4,1,he,m,Match,"When he was talking,",Benjamin,16.857688903808594
4,1,she,m,Mismatch,"When she was talking,",Frank,14.27365493774414
4,1,she,f,Match,"When she was talking,",Cynthia,16.59410858154297
4,1,he,f,Mismatch,"When he was talking, the",girlfriend,15.198772430419922
5,1,he,m,Match,"When he was nearby,",Ronald,16.26953125
5,1,she,m,Mismatch,"When she was nearby,",Alexander,15.387025833129883
5,1,she,f,Match,"When she was nearby,",Veronica,15.871118545532227
5,1,he,f,Mismatch,"When he was nearby,",Meredith,17.351383209228516
6,1,he,m,Match,"When he was lost,",John,10.90450382232666
6,1,she,m,Mismatch,"When she was lost,",Theodore,18.20485496520996
6,1,she,f,Match,"When she was lost,",Tiffany,17.469100952148438
6,1,he,f,Mismatch,"When he was lost,",Diana,16.468975067138672
7,1,he,m,Match,"When he was bad-tempered,",Dan,17.560977935791016
7,1,she,m,Mismatch,"When she was bad-tempered, the",grandson,15.104032516479492
7,1,she,f,Match,"When she was bad-tempered,",Tara,20.108816146850586
7,1,he,f,Mismatch,"When he was bad-tempered,",Rachel,18.31264305114746
8,1,he,m,Match,"When he was jealous,",Bruce,16.96087074279785
