exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,gpt3_surp
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,7.242714881896973
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,7.672132968902588
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,2.7460129261016846
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,3.181511878967285
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,3.6505370140075684
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,7.169728755950928
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,9.388566017150879
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,4.4127326011657715
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,8.346078872680664
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,6.994761943817139
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,10.219841003417969
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,6.978935718536377
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,7.87653112411499
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,10.805779457092285
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,9.60726547241211
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,1.445963740348816
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,9.93365478515625
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,7.7405853271484375
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,8.34317398071289
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,5.895671367645264
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,7.024808883666992
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,10.608305931091309
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,9.051185607910156
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,1.4670541286468506
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,7.938878059387207
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,3.189818859100342
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,10.61325454711914
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,4.848247051239014
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,9.527822494506836
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,7.644567012786865
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,9.937387466430664
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,0.41848060488700867
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,9.29406452178955
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,6.849340915679932
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,11.975018501281738
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,1.3546817302703857
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,13.958723068237305
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,6.969776630401611
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,4.484550952911377
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,3.7023942470550537
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,4.044500350952148
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,4.598377704620361
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,9.70858097076416
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,4.868792533874512
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,8.50927734375
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,5.76033878326416
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,6.951996803283691
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,4.878294467926025
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,6.226411819458008
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,8.747749328613281
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,3.805802345275879
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,3.965388059616089
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,4.04011869430542
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,7.030949115753174
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,9.362680435180664
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,3.0546071529388428
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,7.5251007080078125
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,7.3607025146484375
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,4.53194522857666
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,4.244877338409424
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,4.738896369934082
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,8.429717063903809
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,10.021026611328125
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,7.491964817047119
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,9.3641996383667
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,10.221722602844238
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,7.069263458251953
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,1.7873728275299072
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,8.271717071533203
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,6.956333637237549
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,5.894876003265381
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,5.1581830978393555
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,4.440732955932617
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,6.399955749511719
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,8.137249946594238
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,5.891426086425781
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,7.168794631958008
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,8.792281150817871
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,5.875448226928711
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,5.263583183288574
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,5.556661128997803
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,7.2190775871276855
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,6.389348983764648
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,3.9368953704833984
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,5.713393211364746
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,6.838350772857666
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,8.661863327026367
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,3.6687893867492676
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,9.006244659423828
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,9.408178329467773
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,4.823245048522949
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,7.896937847137451
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,3.1297826766967773
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,9.626792907714844
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,6.941875457763672
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,3.910064458847046
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,8.568180084228516
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,8.183027267456055
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,12.34675121307373
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,9.42527961730957
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,10.80962085723877
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,13.584977149963379
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,8.936903953552246
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,2.985664129257202
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,4.2710041999816895
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,5.086796760559082
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,9.543905258178711
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,5.93092679977417
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,11.775643348693848
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,11.12497615814209
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,6.81026029586792
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,4.546773910522461
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,4.8379340171813965
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,7.674861431121826
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,6.104668140411377
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,4.759751796722412
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,4.7668561935424805
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,8.68726634979248
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,8.171740531921387
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,2.7544262409210205
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,5.439808368682861
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,7.642259120941162
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,11.443903923034668
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,6.141843795776367
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,8.308572769165039
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,10.118218421936035
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,13.200268745422363
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,3.5695080757141113
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,12.687244415283203
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,8.572389602661133
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,10.38029956817627
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,2.593158483505249
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,9.776108741760254
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,5.674169063568115
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,6.257475852966309
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,7.290038585662842
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,6.75200080871582
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,8.884209632873535
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,5.3803486824035645
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,3.490675210952759
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,6.033278465270996
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,5.7296319007873535
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,4.164238452911377
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,3.217463493347168
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,4.9517717361450195
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,4.727689743041992
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,10.860970497131348
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,7.921771049499512
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,9.311959266662598
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,10.554479598999023
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,8.782210350036621
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,4.469892978668213
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,7.385108947753906
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,6.73521089553833
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,8.244147300720215
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,3.3845937252044678
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,7.66582727432251
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,7.213733673095703
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,7.790631294250488
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,3.0348803997039795
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,8.612627983093262
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,8.352518081665039
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,3.639786720275879
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,3.1135683059692383
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,4.280392646789551
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,8.484410285949707
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,5.852941036224365
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,3.8262996673583984
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,4.948492050170898
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,7.595948219299316
simple,led,51,51_M_him,m,Match,obj,This boy led,him,6.760867118835449
simple,led,51,51_M_his,m,Match,poss,This boy led,his,3.722167491912842
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,5.671463966369629
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,8.70246410369873
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,9.879151344299316
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,5.549099922180176
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,9.402484893798828
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,11.377833366394043
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,12.710628509521484
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,3.962193489074707
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,13.03402042388916
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,9.713468551635742
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,5.548787593841553
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,4.1490397453308105
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,4.509469985961914
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,5.07731294631958
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,7.868808746337891
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,8.140447616577148
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,9.580034255981445
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,10.545792579650879
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,5.821140766143799
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,2.7701478004455566
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,5.4315948486328125
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,4.265969753265381
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,9.90754508972168
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,1.706424355506897
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,9.242630004882812
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,7.2968573570251465
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,10.67431354522705
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,3.897303342819214
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,9.473763465881348
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,6.51114559173584
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,6.154757022857666
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,5.10408353805542
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,5.223374366760254
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,8.751500129699707
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,8.586333274841309
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,4.089992523193359
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,9.134537696838379
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,7.737943172454834
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,10.143631935119629
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,5.661602020263672
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,5.343228816986084
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,8.006257057189941
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,6.097604751586914
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,4.40811824798584
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,4.791513442993164
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,5.889338970184326
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,13.10807991027832
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,7.4893388748168945
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,10.428308486938477
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,10.000563621520996
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,9.294055938720703
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,4.25276517868042
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him,9.17629337310791
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his,6.696410655975342
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him,6.025631427764893
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his,5.255918979644775
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him,4.548884391784668
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his,5.776099681854248
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him,8.347139358520508
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his,4.6212358474731445
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him,7.5795111656188965
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his,6.651117324829102
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him,9.525856971740723
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his,6.317932605743408
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him,10.840609550476074
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his,10.344202041625977
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him,4.708556175231934
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his,1.3445985317230225
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him,2.9008948802948
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his,8.031291007995605
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him,9.525667190551758
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his,4.786882400512695
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him,7.219166278839111
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his,8.046171188354492
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him,9.62117862701416
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his,5.267193794250488
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him,10.364951133728027
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his,12.548107147216797
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him,9.59500789642334
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his,4.696813106536865
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him,7.2174391746521
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his,7.984086990356445
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him,5.8321757316589355
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his,3.6798574924468994
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him,6.176973819732666
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his,6.505033016204834
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him,10.705780029296875
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his,3.609297275543213
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him,11.644776344299316
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his,9.862217903137207
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him,10.540959358215332
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his,3.1247215270996094
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him,7.090932846069336
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his,10.369438171386719
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him,8.776597023010254
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his,4.5685038566589355
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him,9.005359649658203
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his,7.3986310958862305
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him,9.517568588256836
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his,3.3685660362243652
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him,8.754518508911133
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his,5.997012138366699
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him,6.9468674659729
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his,1.9877521991729736
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him,5.336291313171387
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his,6.790285587310791
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him,7.820752143859863
simple,hires,78,78_M_his,m,Match,poss,Jason hires,his,5.646881580352783
