exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-medium_surp
simple,was investigating,6,6_F_him,f,Mismatch,obj,Victoria was investigating,him,7.3772873878479
simple,was investigating,6,6_F_his,f,Mismatch,poss,Victoria was investigating,his,6.9183878898620605
simple,can reference,7,7_M_him,m,Match,obj,This husband can reference,him,7.775395393371582
simple,can reference,7,7_M_his,m,Match,poss,This husband can reference,his,4.791317462921143
simple,can reference,7,7_F_him,f,Mismatch,obj,Jodi can reference,him,8.879222869873047
simple,can reference,7,7_F_his,f,Mismatch,poss,Jodi can reference,his,7.803529739379883
simple,didn't reference,8,8_M_him,m,Match,obj,Guy didn't reference,him,6.086734294891357
simple,didn't reference,8,8_M_his,m,Match,poss,Guy didn't reference,his,5.091733455657959
simple,didn't reference,8,8_F_him,f,Mismatch,obj,Kristen didn't reference,him,6.284331321716309
simple,didn't reference,8,8_F_his,f,Mismatch,poss,Kristen didn't reference,his,4.906818389892578
simple,forgave,9,9_M_him,m,Match,obj,Curtis forgave,him,3.4703030586242676
simple,forgave,9,9_M_his,m,Match,poss,Curtis forgave,his,4.3100738525390625
simple,forgave,9,9_F_him,f,Mismatch,obj,Jill forgave,him,2.6434197425842285
simple,forgave,9,9_F_his,f,Mismatch,poss,Jill forgave,his,6.818828582763672
simple,astounds,10,10_M_him,m,Match,obj,Mark astounds,him,6.843861103057861
simple,astounds,10,10_M_his,m,Match,poss,Mark astounds,his,6.767968654632568
simple,astounds,10,10_F_him,f,Mismatch,obj,Tracy astounds,him,7.185583591461182
simple,astounds,10,10_F_his,f,Mismatch,poss,Tracy astounds,his,7.782476425170898
simple,isn't shocking,11,11_M_him,m,Match,obj,Aaron isn't shocking,him,10.550021171569824
simple,isn't shocking,11,11_M_his,m,Match,poss,Aaron isn't shocking,his,10.973466873168945
simple,isn't shocking,11,11_F_him,f,Mismatch,obj,The woman isn't shocking,him,6.147247314453125
simple,isn't shocking,11,11_F_his,f,Mismatch,poss,The woman isn't shocking,his,10.090741157531738
simple,has boasted about,12,12_M_him,m,Match,obj,Larry has boasted about,him,8.442815780639648
simple,has boasted about,12,12_M_his,m,Match,poss,Larry has boasted about,his,2.007901668548584
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,8.558565139770508
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,5.245194435119629
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,7.710525035858154
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,5.395819664001465
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,5.6436285972595215
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,8.864442825317383
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,5.929296016693115
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,1.9312411546707153
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,5.334394931793213
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,2.6754167079925537
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,8.787513732910156
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,6.264249324798584
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,6.463667869567871
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,7.4888386726379395
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,6.545740604400635
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,3.907125473022461
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,5.687509059906006
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,5.110230445861816
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,6.785704612731934
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,2.979334831237793
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,6.635018825531006
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,4.205456733703613
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,3.230830192565918
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,4.082125186920166
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,3.4808661937713623
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,4.798390865325928
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,9.111431121826172
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,5.316651821136475
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,8.19526195526123
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,6.652976989746094
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,5.938384056091309
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,4.838312149047852
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,4.508645057678223
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,7.582295894622803
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,4.902851581573486
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,4.165643215179443
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,4.475794792175293
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,5.79613733291626
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,8.555566787719727
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,4.486847877502441
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,8.428926467895508
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,6.9660115242004395
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,5.362579822540283
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,4.508874416351318
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,11.067618370056152
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,8.738417625427246
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,6.470292568206787
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,5.718400478363037
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,9.641082763671875
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,7.975058078765869
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,7.630687236785889
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,6.130558967590332
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,7.211390018463135
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,6.059243679046631
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,10.681355476379395
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,8.055414199829102
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,6.590381145477295
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,8.024271011352539
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,4.2638397216796875
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,6.155879974365234
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,4.809643745422363
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,7.83232307434082
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,5.809824466705322
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,4.802407741546631
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,6.654192924499512
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,7.844125747680664
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,4.391808986663818
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,4.004839897155762
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,4.318076133728027
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,6.108776092529297
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,5.943589687347412
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,4.401623249053955
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,5.1173834800720215
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,7.300259113311768
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,3.6740832328796387
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,5.637580394744873
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,4.0425519943237305
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,8.52579116821289
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,6.327487945556641
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,5.19511079788208
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,5.659787178039551
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,6.495286464691162
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,8.109588623046875
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,7.9437479972839355
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,8.683667182922363
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,11.21811294555664
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,7.641857147216797
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,2.973224639892578
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,3.311643600463867
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,7.00052547454834
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,11.407929420471191
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,6.9574809074401855
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,10.916762351989746
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,7.849945545196533
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,4.781466960906982
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,4.2315850257873535
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,3.3432528972625732
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,5.432547092437744
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,5.177585124969482
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,6.77587366104126
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,4.5667290687561035
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,8.404633522033691
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,5.555957794189453
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,4.754028797149658
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,4.7392120361328125
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,6.202489376068115
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,7.812930107116699
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,5.694830894470215
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,6.430830955505371
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,7.45815896987915
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,9.395086288452148
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,4.940773963928223
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,7.943210601806641
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,5.319234371185303
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,8.042424201965332
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,3.341040849685669
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,7.8274407386779785
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,4.153879642486572
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,7.857419967651367
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,8.120837211608887
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,4.579860687255859
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,8.87456226348877
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,5.05696964263916
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,4.160799503326416
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,2.9599406719207764
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,5.247370719909668
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,5.784798622131348
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,3.257000207901001
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,3.654062271118164
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,5.0745673179626465
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,6.590230464935303
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,6.867196083068848
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,6.494214057922363
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,8.099800109863281
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,7.178339004516602
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,3.9839746952056885
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,6.215404987335205
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,5.307809829711914
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,6.739462852478027
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,4.543148040771484
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,7.17632532119751
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,6.774662017822266
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,6.2858076095581055
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,4.3585004806518555
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,6.768143177032471
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,5.030023097991943
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,3.2927141189575195
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,3.9357693195343018
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,3.7497308254241943
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,5.421292304992676
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,6.664093971252441
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,4.436453342437744
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,6.181027412414551
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,6.220949649810791
simple,led,51,51_M_him,m,Match,obj,This boy led,him,7.743897914886475
simple,led,51,51_M_his,m,Match,poss,This boy led,his,5.114230632781982
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,4.851313591003418
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,7.614758014678955
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,7.101632118225098
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,6.575634956359863
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,7.862597942352295
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,7.181921005249023
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,11.220781326293945
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,5.589722156524658
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,11.127198219299316
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,7.3988237380981445
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,6.426021099090576
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,4.459573268890381
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,5.22531270980835
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,4.561079978942871
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,6.727418899536133
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,6.493401527404785
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,9.125415802001953
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,9.601012229919434
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,5.015928745269775
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,3.7676923274993896
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,4.156092643737793
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,5.196959495544434
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,8.001466751098633
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,3.864736318588257
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,7.846972465515137
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,5.607246398925781
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,8.365742683410645
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,5.034992218017578
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,7.328605651855469
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,5.4832563400268555
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,4.598729133605957
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,4.355696678161621
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,3.7560198307037354
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,6.064428806304932
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,5.943061828613281
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,4.567707538604736
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,6.421825408935547
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,6.603482723236084
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,7.753978252410889
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,6.47142219543457
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,5.406046390533447
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,7.781707763671875
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,6.689983367919922
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,5.298018932342529
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,5.624957084655762
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,5.629965305328369
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,8.18860149383545
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,5.85391902923584
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,6.942233085632324
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,6.954516887664795
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,6.870136737823486
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,3.4623594284057617
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him,6.89088773727417
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his,5.62041711807251
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him,8.181095123291016
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his,7.52116584777832
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him,5.131202697753906
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his,6.899965763092041
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him,6.808415412902832
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his,5.383496284484863
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him,6.183916091918945
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his,7.316007614135742
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him,8.37380313873291
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his,7.883786201477051
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him,8.667533874511719
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his,10.927194595336914
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him,4.002399444580078
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his,4.27356481552124
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him,3.1878302097320557
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his,7.748875617980957
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him,7.718428611755371
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his,5.366619110107422
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him,7.045571804046631
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his,5.449462890625
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him,4.504395484924316
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his,4.408514499664307
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him,7.511838912963867
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his,10.106691360473633
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him,6.799823760986328
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his,5.139114856719971
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him,5.394779682159424
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his,7.972768783569336
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him,5.651735305786133
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his,5.249752521514893
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him,4.983758926391602
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his,5.141961097717285
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him,7.6749114990234375
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his,3.8943421840667725
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him,6.492804527282715
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his,6.2896504402160645
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him,4.652337074279785
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his,4.893872261047363
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him,4.30449914932251
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his,4.764774799346924
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him,8.941962242126465
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his,5.461869716644287
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him,7.098169803619385
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his,5.691786289215088
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him,7.9700927734375
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his,1.7847827672958374
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him,7.291641712188721
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his,3.070587396621704
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him,4.0582733154296875
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his,3.7239718437194824
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him,3.8701868057250977
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his,5.411129474639893
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him,4.612302303314209
simple,hires,78,78_M_his,m,Match,poss,Jason hires,his,5.096506118774414
