item,cond,adjunct,contrast,pronoun,og_sent,sent,target,model,surp
2,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While driving herself to school on Friday, Christopher casually told Hannah that he would pick up everyone early for a surprise.","While driving herself to school on Friday,",Larry,gpt2,15.058097839355469
3,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an employee baked him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While an employee baked him some cookies, the",father,gpt2,8.460892677307129
3,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an employee baked her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While an employee baked her some cookies,",Richard,gpt2,13.0549955368042
3,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While baking him some cookies, Nicholas happily informed Luke about all the positive new changes in his life.","While baking him some cookies,",Steve,gpt2,11.23238754272461
3,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While baking her some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking her some cookies,",Bradley,gpt2,14.042074203491213
3,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While baking himself some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking himself some cookies,",Bradley,gpt2,13.26739501953125
3,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While baking herself some cookies, Nicholas happily informed Kayla about all the positive new changes in his life.","While baking herself some cookies,",Bradley,gpt2,14.772218704223633
4,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After an orderly lifted him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After an orderly lifted him onto the bus,",Keith,gpt2,13.78629207611084
4,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After an orderly lifted her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After an orderly lifted her onto the bus,",Steve,gpt2,13.753320693969728
4,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After lifting him onto the bus, Brandon carefully sat Derek down in one of the front-most seats.","After lifting him onto the bus,",Brad,gpt2,12.5927095413208
4,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After lifting her onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting her onto the bus,",Steve,gpt2,13.325398445129396
4,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After lifting himself onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting himself onto the bus,",Steve,gpt2,11.302221298217772
4,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After lifting herself onto the bus, Brandon carefully sat Amber down in one of the front-most seats.","After lifting herself onto the bus,",Steve,gpt2,12.717245101928713
5,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before an officer interrogated him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before an officer interrogated him about the crime,",Richard,gpt2,11.65066623687744
5,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before an officer interrogated her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before an officer interrogated her about the crime,",Larry,gpt2,13.949101448059082
5,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before interrogating him about the crime, Daniel kindly offered Corey some food and a cigarette.","Before interrogating him about the crime,",Phillip,gpt2,14.150413513183594
5,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before interrogating her about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating her about the crime,",Brian,gpt2,13.18251132965088
5,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before interrogating himself about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating himself about the crime,",Brian,gpt2,11.94546890258789
5,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before interrogating herself about the crime, Daniel kindly offered Jasmine some food and a cigarette.","Before interrogating herself about the crime,",Brian,gpt2,13.110817909240724
6,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a guest embarrassed him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After a guest embarrassed him during the party,",Timothy,gpt2,14.84125518798828
6,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a guest embarrassed her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After a guest embarrassed her during the party, the",father,gpt2,9.45926284790039
6,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After embarrassing him during the party, Andrew promptly apologized to Jeffrey for the unforgivable behavior.","After embarrassing him during the party,",Richard,gpt2,11.613685607910156
6,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After embarrassing her during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing her during the party,",Brian,gpt2,13.002009391784668
6,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After embarrassing himself during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing himself during the party,",Brian,gpt2,12.127629280090332
6,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After embarrassing herself during the party, Andrew promptly apologized to Alyssa for the unforgivable behavior.","After embarrassing herself during the party,",Brian,gpt2,12.607170104980469
7,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While an intern helped him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While an intern helped him shred the documents, the",father,gpt2,10.067060470581056
7,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While an intern helped her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While an intern helped her shred the documents,",Russell,gpt2,13.763869285583496
7,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While helping him shred the documents, Alexander tearfully admitted to Gavin that upper-level managers had been embezzling money for years.","While helping him shred the documents,",Brian,gpt2,11.214380264282228
7,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While helping her shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping her shred the documents,",Brian,gpt2,11.932018280029297
7,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While helping himself shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping himself shred the documents,",Brian,gpt2,10.573530197143556
7,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While helping herself shred the documents, Alexander tearfully admitted to Abigail that upper-level managers had been embezzling money for years.","While helping herself shred the documents,",Brian,gpt2,11.328625679016112
8,CATAMARAN2-FIN-Match,No Constraint,Match,him,"While someone read him a bedtime story, William gently gestured to Luis to turn off the lights.","While someone read him a bedtime story,",Donald,gpt2,13.821829795837402
8,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"While someone read her a bedtime story, William gently gestured to Olivia to turn off the lights.","While someone read her a bedtime story,",Richard,gpt2,14.401788711547852
8,CATAMARAN2-OBJ-Match,Constraint,Match,him,"While reading him a bedtime story, William gently gestured to Luis to turn off the lights.","While reading him a bedtime story, the",guy,gpt2,8.008559226989746
8,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"While reading her a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading her a bedtime story,",Brian,gpt2,12.641932487487791
8,CATAMARAN2-REF-Match,Reflexive,Match,himself,"While reading himself a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading himself a bedtime story,",Brian,gpt2,10.73171329498291
8,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"While reading herself a bedtime story, William gently gestured to Olivia to turn off the lights.","While reading herself a bedtime story,",Brian,gpt2,12.77364444732666
9,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a colleague cornered him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After a colleague cornered him next to the water cooler,",Richard,gpt2,11.64210033416748
9,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a colleague cornered her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After a colleague cornered her next to the water cooler,",Brian,gpt2,12.684003829956056
9,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After cornering him next to the water cooler, Robert loudly insulted Jorge much to everyone's horror.","After cornering him next to the water cooler,",Benjamin,gpt2,13.49737548828125
9,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After cornering her next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering her next to the water cooler,",Thomas,gpt2,11.729524612426758
9,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After cornering himself next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering himself next to the water cooler,",Thomas,gpt2,9.983270645141602
9,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After cornering herself next to the water cooler, Robert loudly insulted Annie much to everyone's horror.","After cornering herself next to the water cooler,",Thomas,gpt2,11.777626037597656
10,CATAMARAN2-FIN-Match,No Constraint,Match,him,"After a nurse weighed him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After a nurse weighed him on the scale,",Thomas,gpt2,9.675734519958496
10,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"After a nurse weighed her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After a nurse weighed her on the scale,",Richard,gpt2,12.513415336608888
10,CATAMARAN2-OBJ-Match,Constraint,Match,him,"After weighing him on the scale, Johnathan calmly informed Steven that he should be concerned about the onset of gout.","After weighing him on the scale,",Liam,gpt2,14.52925968170166
10,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"After weighing her on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing her on the scale,",Steve,gpt2,12.823222160339355
10,CATAMARAN2-REF-Match,Reflexive,Match,himself,"After weighing himself on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing himself on the scale,",Steve,gpt2,10.745463371276855
10,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"After weighing herself on the scale, Johnathan calmly informed Michelle that she should be concerned about the onset of gout.","After weighing herself on the scale,",Steve,gpt2,12.770030975341797
11,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before anyone spotted him at yoga class, Zachary secretly followed Christian around town.","Before anyone spotted him at yoga class,",Brad,gpt2,12.671897888183594
11,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before anyone spotted her at yoga class, Zachary secretly followed Kaitlyn around town.","Before anyone spotted her at yoga class,",Donald,gpt2,13.597925186157228
11,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before spotting him at yoga class, Zachary secretly followed Christian around town.","Before spotting him at yoga class,",Wayne,gpt2,13.398669242858888
11,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before spotting her at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting her at yoga class,",Wayne,gpt2,13.570838928222656
11,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before spotting himself at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting himself at yoga class,",Wayne,gpt2,12.351298332214355
11,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before spotting herself at yoga class, Zachary secretly followed Kaitlyn around town.","Before spotting herself at yoga class,",Wayne,gpt2,13.978238105773926
12,CATAMARAN2-FIN-Match,No Constraint,Match,him,"Before friends visited him on Sunday afternoons, Benjamin usually called Jason up to confirm that they were still free.","Before friends visited him on Sunday afternoons,",Larry,gpt2,12.821311950683594
12,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,her,"Before friends visited her on Sunday afternoons, Benjamin usually called Mary up to confirm that they were still free.","Before friends visited her on Sunday afternoons,",Steve,gpt2,12.551647186279297
12,CATAMARAN2-OBJ-Match,Constraint,Match,him,"Before visiting him on Sunday afternoons, Benjamin usually called Jason up to confirm that he was still free.","Before visiting him on Sunday afternoons,",Bruce,gpt2,11.251546859741213
12,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,her,"Before visiting her on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting her on Sunday afternoons,",Benjamin,gpt2,14.032379150390623
12,CATAMARAN2-REF-Match,Reflexive,Match,himself,"Before visiting himself on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting himself on Sunday afternoons,",Benjamin,gpt2,11.865277290344238
12,CATAMARAN2-REF-Misma,Reflexive,Mismatch,herself,"Before visiting herself on Sunday afternoons, Benjamin usually called Mary up to confirm that she was still free.","Before visiting herself on Sunday afternoons,",Benjamin,gpt2,13.313146591186523
13,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a professor had her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After a professor had her in multiple classes, the",woman,gpt2,5.847712993621826
13,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a professor had him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After a professor had him in multiple classes,",Teresa,gpt2,14.76248264312744
13,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After having her in multiple classes, Jessica finally admitted to Sydney that she was a little uncomfortable about the whole deal.","After having her in multiple classes,",Marie,gpt2,11.880441665649414
13,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After having him in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having him in multiple classes, the",dancer,gpt2,14.005208015441896
13,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After having herself in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having herself in multiple classes, the",dancer,gpt2,12.30942726135254
13,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After having himself in multiple classes, Jessica finally admitted to Richard that she was a little uncomfortable about the whole deal.","After having himself in multiple classes, the",dancer,gpt2,13.241933822631836
14,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a stranger bought her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After a stranger bought her a pumpkin-spice latte,",Heidi,gpt2,13.057374000549316
14,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a stranger bought him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After a stranger bought him a pumpkin-spice latte,",Sally,gpt2,13.463762283325195
14,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After buying her a pumpkin-spice latte, Samantha generously offered Tiffany the best seat at the conference table.","After buying her a pumpkin-spice latte,",Mary,gpt2,10.96540641784668
14,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After buying him a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying him a pumpkin-spice latte,",Amanda,gpt2,13.329854011535645
14,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After buying herself a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying herself a pumpkin-spice latte,",Amanda,gpt2,9.961145401000977
14,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After buying himself a pumpkin-spice latte, Samantha generously offered Austin the best seat at the conference table.","After buying himself a pumpkin-spice latte,",Amanda,gpt2,13.154064178466797
15,CATAMARAN2-FIN-Match,No Constraint,Match,her,"While someone writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While someone writing her a reminder note,",Catherine,gpt2,14.48366355895996
15,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"While someone writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While someone writing him a reminder note, the",wife,gpt2,11.811942100524902
15,CATAMARAN2-OBJ-Match,Constraint,Match,her,"While writing her a reminder note, Amanda vigorously scolded Chelsea for being so forgetful about important appointments.","While writing her a reminder note,",Linda,gpt2,10.97040557861328
15,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"While writing him a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing him a reminder note,",Marie,gpt2,14.495633125305176
15,CATAMARAN2-REF-Match,Reflexive,Match,herself,"While writing herself a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing herself a reminder note,",Marie,gpt2,11.229283332824709
15,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"While writing himself a reminder note, Amanda vigorously scolded Antonio for being so forgetful about important appointments.","While writing himself a reminder note,",Marie,gpt2,14.90410614013672
16,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a waiter poured her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After a waiter poured her some hot tea,",Ann,gpt2,11.746222496032717
16,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a waiter poured him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After a waiter poured him some hot tea, the",dancer,gpt2,11.731487274169922
16,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After pouring her some hot tea, Britney accidentally burned Natalie by knocking the nearly full pot off the table.","After pouring her some hot tea, the",dancer,gpt2,12.327143669128418
16,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After pouring him some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring him some hot tea,",Sheila,gpt2,16.058609008789062
16,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After pouring herself some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring herself some hot tea,",Sheila,gpt2,14.597716331481934
16,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After pouring himself some hot tea, Britney accidentally burned Peter by knocking the nearly full pot off the table.","After pouring himself some hot tea,",Sheila,gpt2,16.505416870117188
17,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a volunteer left her a voice message, Stephanie also sent Marissa a text containing the same information.","After a volunteer left her a voice message,",Ann,gpt2,12.81565761566162
17,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a volunteer left him a voice message, Stephanie also sent Marcus a text containing the same information.","After a volunteer left him a voice message,",Ann,gpt2,13.74230670928955
17,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After leaving her a voice message, Stephanie also sent Marissa a text containing the same information.","After leaving her a voice message,",Helen,gpt2,11.68002986907959
17,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After leaving him a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving him a voice message, the",girlfriend,gpt2,12.67107391357422
17,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After leaving herself a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving herself a voice message, the",girlfriend,gpt2,11.732091903686523
17,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After leaving himself a voice message, Stephanie also sent Marcus a text containing the same information.","After leaving himself a voice message, the",girlfriend,gpt2,13.523823738098145
18,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After someone sent her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After someone sent her a thank-you note,",Leslie,gpt2,14.369823455810549
18,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After someone sent him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After someone sent him a thank-you note, the",girlfriend,gpt2,11.992737770080566
18,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After sending her a thank-you note, Jennifer thoughtfully bought Gabriella a nice down comforter as a token of gratitude.","After sending her a thank-you note, the",wife,gpt2,9.10724639892578
18,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After sending him a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending him a thank-you note,",Janet,gpt2,13.789005279541016
18,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After sending herself a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending herself a thank-you note,",Janet,gpt2,11.82460117340088
18,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After sending himself a thank-you note, Jennifer thoughtfully bought Victor a nice down comforter as a token of gratitude.","After sending himself a thank-you note,",Janet,gpt2,14.495695114135742
19,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before a chaperon took her kids on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before a chaperon took her kids on the roller coaster,",Helen,gpt2,11.680428504943848
19,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,his,"Before a chaperon took his kids on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before a chaperon took his kids on the roller coaster,",Sally,gpt2,13.222789764404297
19,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before taking her on the roller coaster, Victoria calmly reassured Andrea that the loop wasn't dangerous at all.","Before taking her on the roller coaster,",Cynthia,gpt2,12.88015079498291
19,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before taking him on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking him on the roller coaster, the",dancer,gpt2,13.569128036499023
19,CATAMARAN2-REF-Match,Reflexive,Match,herself,"Before taking herself on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking herself on the roller coaster, the",dancer,gpt2,10.32402229309082
19,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"Before taking himself on the roller coaster, Victoria calmly reassured Lucas that the loop wasn't dangerous at all.","Before taking himself on the roller coaster, the",dancer,gpt2,12.25916862487793
20,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After anyone took her to a social event, Rebecca always checked with Julia to see whether they actually had a good time.","After anyone took her to a social event,",Janet,gpt2,12.856539726257324
20,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After anyone took him to a social event, Rebecca always checked with Elijah to see whether they actually had a good time.","After anyone took him to a social event, the",dancer,gpt2,13.318275451660156
20,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After taking her to a social event, Rebecca always checked with Julia to see whether she actually had a good time.","After taking her to a social event,",Janet,gpt2,12.669565200805664
20,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After taking him to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking him to a social event, the",dancer,gpt2,12.205818176269531
20,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After taking herself to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking herself to a social event, the",dancer,gpt2,10.695921897888184
20,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After taking himself to a social event, Rebecca always checked with Elijah to see whether he actually had a good time.","After taking himself to a social event, the",dancer,gpt2,11.775181770324709
21,CATAMARAN2-FIN-Match,No Constraint,Match,her,"Before auctioneers showed her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before auctioneers showed her any new paintings,",Amanda,gpt2,17.277753829956055
21,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"Before auctioneers showed him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before auctioneers showed him any new paintings,",Marie,gpt2,14.463176727294922
21,CATAMARAN2-OBJ-Match,Constraint,Match,her,"Before showing her any new paintings, Catherine typically consulted Kelly to see which pieces were the best.","Before showing her any new paintings,",Janet,gpt2,12.077058792114258
21,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"Before showing him any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing him any new paintings,",Julia,gpt2,14.585159301757812
21,CATAMARAN2-REF-Match,Reflexive,Match,herself,"Before showing herself any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing herself any new paintings,",Julia,gpt2,12.216675758361816
21,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"Before showing himself any new paintings, Catherine typically consulted Shawn to see which pieces were the best.","Before showing himself any new paintings,",Julia,gpt2,14.731200218200684
22,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After a student nominated her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After a student nominated her for class president,",Helen,gpt2,12.108712196350098
22,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After a student nominated him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After a student nominated him for class president, the",wife,gpt2,15.006255149841309
22,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After nominating her for class president, Nicole publicly humiliated Destiny by sharing a private conversation all over social media.","After nominating her for class president,",Carrie,gpt2,12.84734058380127
22,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After nominating him for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating him for class president, the",dancer,gpt2,18.71647834777832
22,CATAMARAN2-REF-Match,Reflexive,Match,herself,"After nominating herself for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating herself for class president, the",dancer,gpt2,14.67710781097412
22,CATAMARAN2-REF-Misma,Reflexive,Mismatch,himself,"After nominating himself for class president, Nicole publicly humiliated Jerome by sharing a private conversation all over social media.","After nominating himself for class president, the",dancer,gpt2,17.585494995117188
23,CATAMARAN2-FIN-Match,No Constraint,Match,her,"After everyone watched her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After everyone watched her on the Voice,",Helen,gpt2,11.983972549438477
23,CATAMARAN2-FIN-Misma,No Constraint,Mismatch,him,"After everyone watched him on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After everyone watched him on the Voice,",Christina,gpt2,15.920775413513184
23,CATAMARAN2-OBJ-Match,Constraint,Match,her,"After watching her on the Voice, Kimberly immediately called up Selena to discuss some of the highlights of the performance.","After watching her on the Voice,",Janet,gpt2,14.764986991882324
23,CATAMARAN2-OBJ-Misma,Constraint,Mismatch,him,"After watching him on the Voice, Kimberly immediately called up Francisco to discuss some of the highlights of the performance.","After watching him on the Voice,",Sally,gpt2,16.18425178527832
