item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-large_surp
20,1,he,f,Mismatch,"When he was appointed,",Tracy,16.784915924072266
21,1,he,m,Match,"When he was fired,",Timothy,16.68007469177246
21,1,she,m,Mismatch,"When she was fired,",Liam,18.970735549926758
21,1,she,f,Match,"When she was fired,",Teresa,15.543402671813965
21,1,he,f,Mismatch,"When he was fired,",Heidi,17.61948013305664
22,1,he,m,Match,"When he was close, the",father,9.74167537689209
22,1,she,m,Mismatch,"When she was close, the",father,10.410404205322266
22,1,she,f,Match,"When she was close,",Carrie,14.143111228942871
22,1,he,f,Mismatch,"When he was close,",Elizabeth,14.994367599487305
23,1,he,m,Match,"When he was retired,",Steve,13.300905227661133
23,1,she,m,Mismatch,"When she was retired,",Donald,12.92140007019043
23,1,she,f,Match,"When she was retired,",Christina,14.558297157287598
23,1,he,f,Mismatch,"When he was retired, the",dancer,15.265374183654785
24,1,he,m,Match,"When he was abroad, the",guy,11.482280731201172
24,1,she,m,Mismatch,"When she was abroad,",Larry,16.87688446044922
24,1,she,f,Match,"When she was abroad,",Lori,17.109975814819336
24,1,he,f,Mismatch,"When he was abroad,",Catherine,14.903459548950195
25,1,he,m,Match,"When he was discovered,",Thomas,11.803375244140625
25,1,she,m,Mismatch,"When she was discovered,",Donald,13.46431827545166
25,1,she,f,Match,"When she was discovered,",Suzanne,15.51595687866211
25,1,he,f,Mismatch,"When he was discovered,",Dana,16.459091186523438
26,1,he,m,Match,"When he was busy, the",nephew,14.624664306640625
26,1,she,m,Mismatch,"When she was busy,",Bruce,15.549761772155762
26,1,she,f,Match,"When she was busy,",Lori,16.412277221679688
26,1,he,f,Mismatch,"When he was busy,",Christina,17.533931732177734
27,1,he,m,Match,"When he was twenty-one,",Brian,13.64334774017334
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,14.8980131149292
27,1,she,f,Match,"When she was twenty-one,",Naomi,13.428187370300293
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,9.132028579711914
28,1,he,m,Match,"When he was annoyed,",Larry,14.835495948791504
28,1,she,m,Mismatch,"When she was annoyed,",Richard,15.078827857971191
28,1,she,f,Match,"When she was annoyed,",Ann,13.808990478515625
28,1,he,f,Mismatch,"When he was annoyed, the",woman,7.455380439758301
29,1,he,m,Match,"When he was in church,",Liam,17.259563446044922
29,1,she,m,Mismatch,"When she was in church,",Richard,15.484426498413086
29,1,she,f,Match,"When she was in church, the",dancer,15.866968154907227
29,1,he,f,Mismatch,"When he was in church,",Teresa,16.883209228515625
30,1,he,m,Match,"When he was banished,",Timothy,15.40512466430664
30,1,she,m,Mismatch,"When she was banished,",Russell,16.046096801757812
30,1,she,f,Match,"When she was banished,",Sheila,16.819679260253906
30,1,he,f,Mismatch,"When he was banished,",Cheryl,20.08205795288086
31,1,he,m,Match,"When he was angry,",Steve,13.822198867797852
31,1,she,m,Mismatch,"When she was angry,",Wayne,18.32535171508789
31,1,she,f,Match,"When she was angry, the",dancer,15.523895263671875
31,1,he,f,Mismatch,"When he was angry,",Janet,17.559844970703125
32,1,he,m,Match,"When he was distraught,",Brian,14.52114200592041
32,1,she,m,Mismatch,"When she was distraught,",Russell,16.76111602783203
32,1,she,f,Match,"When she was distraught, the",wife,10.273540496826172
32,1,he,f,Mismatch,"When he was distraught,",Helen,15.334156036376953
1,1,he,m,Match,"When he was off work,",Russell,15.006261825561523
1,1,she,m,Mismatch,"When she was off work,",Dan,13.686684608459473
1,1,she,f,Match,"When she was off work,",Judy,14.678204536437988
1,1,he,f,Mismatch,"When he was off work,",Grace,16.39654541015625
2,1,he,m,Match,"When he arrived,",Benjamin,14.262641906738281
2,1,she,m,Mismatch,"When she arrived,",Steve,13.183058738708496
2,1,she,f,Match,"When she arrived,",Claire,13.193028450012207
2,1,he,f,Mismatch,"When he arrived,",Mary,13.020557403564453
3,1,he,m,Match,"When he was fed up,",Benjamin,14.52883529663086
3,1,she,m,Mismatch,"When she was fed up,",Marcus,16.054895401000977
3,1,she,f,Match,"When she was fed up,",Kristen,17.388582229614258
3,1,he,f,Mismatch,"When he was fed up,",Marie,15.96788215637207
4,1,he,m,Match,"When he was talking,",Richard,15.142051696777344
4,1,she,m,Mismatch,"When she was talking,",Alexander,15.665684700012207
4,1,she,f,Match,"When she was talking,",Marie,14.529488563537598
4,1,he,f,Mismatch,"When he was talking, the",wife,10.775198936462402
5,1,he,m,Match,"When he was nearby,",Keith,14.886137962341309
5,1,she,m,Mismatch,"When she was nearby,",Larry,16.075109481811523
5,1,she,f,Match,"When she was nearby, the",sister,11.991360664367676
5,1,he,f,Mismatch,"When he was nearby, the",girl,7.200564861297607
6,1,he,m,Match,"When he was lost, the",guy,10.978299140930176
6,1,she,m,Mismatch,"When she was lost,",Mark,13.423358917236328
6,1,she,f,Match,"When she was lost, the",girl,6.910851001739502
6,1,he,f,Mismatch,"When he was lost,",Suzanne,19.577661514282227
7,1,he,m,Match,"When he was bad-tempered,",Alexander,15.792637825012207
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,18.189062118530273
7,1,she,f,Match,"When she was bad-tempered,",Carrie,15.422623634338379
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,17.405029296875
8,1,he,m,Match,"When he was jealous,",Benjamin,16.33384132385254
8,1,she,m,Mismatch,"When she was jealous,",Brian,16.585208892822266
8,1,she,f,Match,"When she was jealous, the",girlfriend,10.5642671585083
8,1,he,f,Mismatch,"When he was jealous,",Catherine,16.46547508239746
9,1,he,m,Match,"When he was in residence,",Mark,13.305195808410645
9,1,she,m,Mismatch,"When she was in residence,",Brad,15.590842247009277
9,1,she,f,Match,"When she was in residence,",Sheila,14.505448341369629
9,1,he,f,Mismatch,"When he was in residence,",Catherine,16.191036224365234
10,1,he,m,Match,"When he was introduced,",Charles,12.22569465637207
10,1,she,m,Mismatch,"When she was introduced,",Richard,12.375476837158203
10,1,she,f,Match,"When she was introduced,",Karen,11.418935775756836
10,1,he,f,Mismatch,"When he was introduced,",Claire,15.047460556030273
11,1,he,m,Match,"When he arrived,",Liam,15.205474853515625
11,1,she,m,Mismatch,"When she arrived,",Larry,14.22915267944336
11,1,she,f,Match,"When she arrived, the",mother,9.18865966796875
11,1,he,f,Mismatch,"When he arrived,",Carrie,15.086029052734375
12,1,he,m,Match,"When he felt sad,",Charles,13.917235374450684
12,1,she,m,Mismatch,"When she felt sad,",Dan,15.636026382446289
12,1,she,f,Match,"When she felt sad,",Theresa,16.540752410888672
12,1,he,f,Mismatch,"When he felt sad,",Kristen,18.652286529541016
13,1,he,m,Match,"When he was present,",Steven,13.960308074951172
13,1,she,m,Mismatch,"When she was present,",Bruce,15.170247077941895
13,1,she,f,Match,"When she was present,",Claire,13.426315307617188
13,1,he,f,Mismatch,"When he was present,",Laura,16.307950973510742
14,1,he,m,Match,"When he was depressed,",Larry,14.460948944091797
14,1,she,m,Mismatch,"When she was depressed,",Brian,16.079364776611328
14,1,she,f,Match,"When she was depressed,",Alice,14.296443939208984
14,1,he,f,Mismatch,"When he was depressed,",Naomi,17.46263885498047
15,1,he,m,Match,"When he was around,",Guy,16.98458480834961
15,1,she,m,Mismatch,"When she was around,",Liam,16.313888549804688
15,1,she,f,Match,"When she was around,",Teresa,15.653801918029785
15,1,he,f,Mismatch,"When he was around,",Christina,17.923627853393555
16,1,he,m,Match,"When he was near, the",father,9.683686256408691
16,1,she,m,Mismatch,"When she was near,",Russell,17.330352783203125
16,1,she,f,Match,"When she was near,",Kristen,17.83333969116211
16,1,he,f,Mismatch,"When he was near,",Dana,17.55011558532715
17,1,he,m,Match,"When he was in court, the",nephew,15.214567184448242
17,1,she,m,Mismatch,"When she was in court,",Russell,15.524887084960938
17,1,she,f,Match,"When she was in court, the",girl,7.494574546813965
17,1,he,f,Mismatch,"When he was in court,",Naomi,17.66777229309082
18,1,he,m,Match,"When he was poorly,",Alexander,17.44188690185547
18,1,she,m,Mismatch,"When she was poorly,",Larry,15.556939125061035
18,1,she,f,Match,"When she was poorly,",Sheila,16.201154708862305
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,18.91976547241211
19,1,he,m,Match,"When he arrived,",Bradley,14.639289855957031
19,1,she,m,Mismatch,"When she arrived,",Keith,14.502849578857422
19,1,she,f,Match,"When she arrived,",Judy,13.27547550201416
19,1,he,f,Mismatch,"When he arrived,",Amanda,15.492696762084961
20,1,he,m,Match,"When he was appointed,",Steven,14.052679061889648
20,1,she,m,Mismatch,"When she was appointed,",Russell,15.41757869720459
20,1,she,f,Match,"When she was appointed, the",girlfriend,14.823110580444336
20,1,he,f,Mismatch,"When he was appointed,",Lori,17.816022872924805
21,1,he,m,Match,"When he was fired,",Donald,11.082557678222656
21,1,she,m,Mismatch,"When she was fired,",Russell,14.913911819458008
21,1,she,f,Match,"When she was fired,",Lori,16.908851623535156
21,1,he,f,Mismatch,"When he was fired,",Linda,16.061767578125
22,1,he,m,Match,"When he was close,",Jason,13.68596076965332
22,1,she,m,Mismatch,"When she was close,",Charles,14.138019561767578
22,1,she,f,Match,"When she was close,",Cynthia,16.72297477722168
22,1,he,f,Mismatch,"When he was close,",Tiffany,15.858220100402832
23,1,he,m,Match,"When he was retired,",Thomas,11.74407958984375
23,1,she,m,Mismatch,"When she was retired,",Charles,13.727601051330566
23,1,she,f,Match,"When she was retired,",Lori,15.833372116088867
23,1,he,f,Mismatch,"When he was retired,",Teresa,17.28213119506836
24,1,he,m,Match,"When he was abroad,",Charles,12.60836124420166
24,1,she,m,Mismatch,"When she was abroad,",John,11.772090911865234
24,1,she,f,Match,"When she was abroad,",Karen,14.004768371582031
24,1,he,f,Mismatch,"When he was abroad,",Linda,17.04254722595215
25,1,he,m,Match,"When he was discovered,",Donald,12.613654136657715
25,1,she,m,Mismatch,"When she was discovered,",Douglas,15.686732292175293
25,1,she,f,Match,"When she was discovered,",Naomi,15.583837509155273
25,1,he,f,Mismatch,"When he was discovered,",Sheila,16.68192481994629
26,1,he,m,Match,"When he was busy,",Douglas,16.239803314208984
26,1,she,m,Mismatch,"When she was busy, the",nephew,15.660006523132324
26,1,she,f,Match,"When she was busy,",Elizabeth,13.308565139770508
26,1,he,f,Mismatch,"When he was busy,",Catherine,15.81558609008789
27,1,he,m,Match,"When he was twenty-one, the",father,6.942431926727295
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,13.999061584472656
27,1,she,f,Match,"When she was twenty-one,",Connie,14.474203109741211
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,15.940818786621094
28,1,he,m,Match,"When he was annoyed, the",guy,7.796058654785156
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,15.79043960571289
28,1,she,f,Match,"When she was annoyed,",Leslie,15.712664604187012
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,16.710124969482422
29,1,he,m,Match,"When he was in church,",Keith,16.192411422729492
29,1,she,m,Mismatch,"When she was in church,",Steve,15.052338600158691
29,1,she,f,Match,"When she was in church,",Ann,14.398125648498535
29,1,he,f,Mismatch,"When he was in church,",Sheila,18.301868438720703
30,1,he,m,Match,"When he was banished, the",guy,12.064376831054688
30,1,she,m,Mismatch,"When she was banished,",Keith,16.303386688232422
30,1,she,f,Match,"When she was banished,",Cynthia,15.836824417114258
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,14.371975898742676
31,1,he,m,Match,"When he was angry,",Russell,16.686410903930664
31,1,she,m,Mismatch,"When she was angry,",Jason,15.556096076965332
31,1,she,f,Match,"When she was angry,",Sheila,15.802781105041504
31,1,he,f,Mismatch,"When he was angry,",Teresa,16.802995681762695
32,1,he,m,Match,"When he was distraught,",Thomas,14.113243103027344
32,1,she,m,Mismatch,"When she was distraught,",Bruce,15.854748725891113
32,1,she,f,Match,"When she was distraught,",Teresa,15.75853443145752
32,1,he,f,Mismatch,"When he was distraught,",Laura,15.343849182128906
1,1,he,m,Match,"When he was off work,",Timothy,16.240564346313477
1,1,she,m,Mismatch,"When she was off work,",Ronald,15.871668815612793
1,1,she,f,Match,"When she was off work,",Amanda,14.357747077941895
1,1,he,f,Mismatch,"When he was off work, the",lady,11.073823928833008
2,1,he,m,Match,"When he arrived,",Alexander,12.730331420898438
2,1,she,m,Mismatch,"When she arrived,",Charles,13.435844421386719
2,1,she,f,Match,"When she arrived,",Julie,13.686119079589844
2,1,he,f,Mismatch,"When he arrived,",Diana,14.960773468017578
3,1,he,m,Match,"When he was fed up,",Phillip,17.45305824279785
3,1,she,m,Mismatch,"When she was fed up,",Bradley,16.765073776245117
3,1,she,f,Match,"When she was fed up,",Allison,14.90074348449707
3,1,he,f,Mismatch,"When he was fed up,",Lori,17.57322120666504
4,1,he,m,Match,"When he was talking, the",guy,7.566331386566162
4,1,she,m,Mismatch,"When she was talking,",Jason,14.384077072143555
4,1,she,f,Match,"When she was talking,",Amanda,14.463857650756836
4,1,he,f,Mismatch,"When he was talking,",Helen,15.591654777526855
5,1,he,m,Match,"When he was nearby,",Robert,13.847366333007812
5,1,she,m,Mismatch,"When she was nearby,",Charles,14.590944290161133
5,1,she,f,Match,"When she was nearby,",Rachel,13.3546724319458
5,1,he,f,Mismatch,"When he was nearby,",Carol,16.853076934814453
6,1,he,m,Match,"When he was lost,",Samuel,14.071575164794922
6,1,she,m,Mismatch,"When she was lost,",Roger,15.730058670043945
6,1,she,f,Match,"When she was lost,",Connie,15.378040313720703
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,16.799327850341797
7,1,he,m,Match,"When he was bad-tempered,",Christopher,16.382001876831055
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,19.0181941986084
7,1,she,f,Match,"When she was bad-tempered,",Diane,16.6263370513916
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,18.11744499206543
8,1,he,m,Match,"When he was jealous,",Bradley,17.844167709350586
8,1,she,m,Mismatch,"When she was jealous,",Brad,14.607878684997559
8,1,she,f,Match,"When she was jealous,",Maria,15.80064582824707
8,1,he,f,Mismatch,"When he was jealous,",Alice,16.093643188476562
9,1,he,m,Match,"When he was in residence,",Adam,14.07666301727295
9,1,she,m,Mismatch,"When she was in residence,",Rodney,17.5041561126709
9,1,she,f,Match,"When she was in residence,",Anne,13.63761043548584
9,1,he,f,Mismatch,"When he was in residence,",Natalie,18.558399200439453
10,1,he,m,Match,"When he was introduced, the",nephew,15.979124069213867
10,1,she,m,Mismatch,"When she was introduced,",Liam,15.437065124511719
10,1,she,f,Match,"When she was introduced,",Catherine,13.690675735473633
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,16.977869033813477
11,1,he,m,Match,"When he arrived,",Larry,13.66853141784668
11,1,she,m,Mismatch,"When she arrived,",Samuel,15.05573558807373
11,1,she,f,Match,"When she arrived,",Mary,11.569502830505371
11,1,he,f,Mismatch,"When he arrived, the",sister,13.875030517578125
12,1,he,m,Match,"When he felt sad,",Phillip,19.7407283782959
12,1,she,m,Mismatch,"When she felt sad,",Frank,14.835785865783691
12,1,she,f,Match,"When she felt sad,",Kristen,17.72539710998535
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,13.496088981628418
13,1,he,m,Match,"When he was present,",Dan,13.877197265625
13,1,she,m,Mismatch,"When she was present,",Travis,16.436092376708984
13,1,she,f,Match,"When she was present, the",sister,12.611242294311523
13,1,he,f,Mismatch,"When he was present, the",mother,10.666221618652344
14,1,he,m,Match,"When he was depressed,",Russell,16.62175178527832
14,1,she,m,Mismatch,"When she was depressed,",Larry,15.816673278808594
14,1,she,f,Match,"When she was depressed,",Tara,15.881607055664062
14,1,he,f,Mismatch,"When he was depressed,",Leslie,16.99672508239746
15,1,he,m,Match,"When he was around,",Samuel,15.08200740814209
15,1,she,m,Mismatch,"When she was around,",Timothy,18.483205795288086
15,1,she,f,Match,"When she was around,",Sheila,14.863825798034668
15,1,he,f,Mismatch,"When he was around,",Kristen,18.675037384033203
16,1,he,m,Match,"When he was near,",Timothy,17.30731201171875
16,1,she,m,Mismatch,"When she was near,",Timothy,18.326370239257812
16,1,she,f,Match,"When she was near,",Danielle,17.452499389648438
16,1,he,f,Mismatch,"When he was near,",Cheryl,17.642314910888672
17,1,he,m,Match,"When he was in court,",Travis,15.261797904968262
17,1,she,m,Mismatch,"When she was in court,",Steven,14.285335540771484
17,1,she,f,Match,"When she was in court,",Wendy,15.420463562011719
17,1,he,f,Mismatch,"When he was in court,",Leslie,16.436067581176758
18,1,he,m,Match,"When he was poorly,",Mark,13.877668380737305
18,1,she,m,Mismatch,"When she was poorly,",Ronald,15.481125831604004
18,1,she,f,Match,"When she was poorly,",Cheryl,17.35927963256836
18,1,he,f,Mismatch,"When he was poorly,",Anne,17.522096633911133
19,1,he,m,Match,"When he arrived,",Brett,15.317451477050781
19,1,she,m,Mismatch,"When she arrived,",John,10.98430061340332
19,1,she,f,Match,"When she arrived,",Karen,12.516324996948242
19,1,he,f,Mismatch,"When he arrived,",Nicole,15.424373626708984
20,1,he,m,Match,"When he was appointed,",Phillip,15.859905242919922
20,1,she,m,Mismatch,"When she was appointed,",Keith,14.840448379516602
20,1,she,f,Match,"When she was appointed, the",sister,12.455534934997559
20,1,he,f,Mismatch,"When he was appointed,",Elizabeth,13.972943305969238
21,1,he,m,Match,"When he was fired,",Bradley,14.128889083862305
21,1,she,m,Mismatch,"When she was fired, the",guy,11.242558479309082
21,1,she,f,Match,"When she was fired,",Laura,15.64349365234375
21,1,he,f,Mismatch,"When he was fired,",Suzanne,17.43509864807129
22,1,he,m,Match,"When he was close,",Ronald,14.05746841430664
22,1,she,m,Mismatch,"When she was close, the",guy,9.036215782165527
22,1,she,f,Match,"When she was close,",Grace,15.40112018585205
22,1,he,f,Mismatch,"When he was close,",Wendy,17.552892684936523
23,1,he,m,Match,"When he was retired,",Bradley,13.94514274597168
23,1,she,m,Mismatch,"When she was retired,",Alexander,15.109211921691895
23,1,she,f,Match,"When she was retired, the",mother,8.903765678405762
23,1,he,f,Mismatch,"When he was retired,",Christina,17.553272247314453
24,1,he,m,Match,"When he was abroad,",Travis,18.36518096923828
24,1,she,m,Mismatch,"When she was abroad,",Walter,15.73798942565918
24,1,she,f,Match,"When she was abroad, the",mother,8.48305892944336
24,1,he,f,Mismatch,"When he was abroad,",Anne,15.472238540649414
25,1,he,m,Match,"When he was discovered,",Bruce,14.064931869506836
25,1,she,m,Mismatch,"When she was discovered,",Ronald,15.432974815368652
25,1,she,f,Match,"When she was discovered,",Alice,13.337807655334473
25,1,he,f,Mismatch,"When he was discovered,",Carol,16.52139663696289
26,1,he,m,Match,"When he was busy,",Dennis,15.5318021774292
26,1,she,m,Mismatch,"When she was busy,",Mitchell,16.13734245300293
26,1,she,f,Match,"When she was busy,",Nicole,16.490816116333008
26,1,he,f,Mismatch,"When he was busy,",Pamela,17.83146095275879
27,1,he,m,Match,"When he was twenty-one,",Liam,16.675846099853516
27,1,she,m,Mismatch,"When she was twenty-one,",Mark,12.89062786102295
27,1,she,f,Match,"When she was twenty-one,",Grace,13.238627433776855
27,1,he,f,Mismatch,"When he was twenty-one, the",girl,8.777009010314941
28,1,he,m,Match,"When he was annoyed,",Eric,14.360649108886719
28,1,she,m,Mismatch,"When she was annoyed, the",guy,8.935820579528809
28,1,she,f,Match,"When she was annoyed,",Wendy,17.665897369384766
28,1,he,f,Mismatch,"When he was annoyed,",Sally,16.2997989654541
29,1,he,m,Match,"When he was in church,",Steven,15.420788764953613
29,1,she,m,Mismatch,"When she was in church,",Benjamin,17.38797950744629
29,1,she,f,Match,"When she was in church,",Claire,14.748743057250977
29,1,he,f,Mismatch,"When he was in church, the",girlfriend,15.35075855255127
30,1,he,m,Match,"When he was banished,",Jason,14.183334350585938
30,1,she,m,Mismatch,"When she was banished,",Bradley,17.10260581970215
30,1,she,f,Match,"When she was banished,",Suzanne,17.159610748291016
30,1,he,f,Mismatch,"When he was banished,",Mary,12.977550506591797
31,1,he,m,Match,"When he was angry,",Timothy,17.235109329223633
31,1,she,m,Mismatch,"When she was angry,",Jeffrey,18.65584945678711
31,1,she,f,Match,"When she was angry,",Karen,15.006693840026855
31,1,he,f,Mismatch,"When he was angry,",Claire,15.063770294189453
32,1,he,m,Match,"When he was distraught,",Guy,19.843841552734375
32,1,she,m,Mismatch,"When she was distraught,",Rodney,18.299724578857422
32,1,she,f,Match,"When she was distraught,",Marie,14.879082679748535
32,1,he,f,Mismatch,"When he was distraught,",Danielle,18.106958389282227
1,1,he,m,Match,"When he was off work,",Bruce,14.740166664123535
1,1,she,m,Mismatch,"When she was off work,",Mark,14.289017677307129
1,1,she,f,Match,"When she was off work, the",woman,7.0353851318359375
1,1,he,f,Mismatch,"When he was off work, the",granddaughter,15.986123085021973
2,1,he,m,Match,"When he arrived,",Kenneth,14.518619537353516
2,1,she,m,Mismatch,"When she arrived,",Samuel,15.05573558807373
2,1,she,f,Match,"When she arrived, the",waitress,11.23207950592041
2,1,he,f,Mismatch,"When he arrived, the",granddaughter,16.6860408782959
3,1,he,m,Match,"When he was fed up,",Jeffrey,16.437515258789062
3,1,she,m,Mismatch,"When she was fed up,",Martin,14.401385307312012
3,1,she,f,Match,"When she was fed up,",Leslie,15.356834411621094
3,1,he,f,Mismatch,"When he was fed up,",Carrie,16.692399978637695
4,1,he,m,Match,"When he was talking,",Benjamin,16.04128646850586
4,1,she,m,Mismatch,"When she was talking,",Frank,14.31190299987793
4,1,she,f,Match,"When she was talking,",Cynthia,17.511356353759766
4,1,he,f,Mismatch,"When he was talking, the",girlfriend,14.485501289367676
5,1,he,m,Match,"When he was nearby,",Ronald,15.196359634399414
5,1,she,m,Mismatch,"When she was nearby,",Alexander,14.968945503234863
5,1,she,f,Match,"When she was nearby,",Veronica,15.545676231384277
5,1,he,f,Mismatch,"When he was nearby,",Meredith,17.541460037231445
6,1,he,m,Match,"When he was lost,",John,10.726082801818848
6,1,she,m,Mismatch,"When she was lost,",Theodore,16.80198097229004
6,1,she,f,Match,"When she was lost,",Tiffany,17.157835006713867
6,1,he,f,Mismatch,"When he was lost,",Diana,16.05471420288086
7,1,he,m,Match,"When he was bad-tempered,",Dan,16.175939559936523
7,1,she,m,Mismatch,"When she was bad-tempered, the",grandson,15.837397575378418
7,1,she,f,Match,"When she was bad-tempered,",Tara,18.655954360961914
7,1,he,f,Mismatch,"When he was bad-tempered,",Rachel,16.630178451538086
8,1,he,m,Match,"When he was jealous,",Bruce,16.34746742248535
8,1,she,m,Mismatch,"When she was jealous,",Douglas,17.13288688659668
