exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-large_surp
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,4.425610065460205
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him,4.44374942779541
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his,5.885812282562256
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his,6.911870002746582
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him,3.536273241043091
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him,4.626047611236572
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his,3.495758533477783
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his,4.690125942230225
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him,4.2284417152404785
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him,4.333122730255127
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his,6.561062335968018
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his,7.846063137054443
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him,3.879474401473999
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him,5.191766738891602
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his,3.2871251106262207
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his,4.737884521484375
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him,4.780074596405029
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him,4.891830921173096
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his,6.6794939041137695
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his,7.148430347442627
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him,5.2285475730896
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him,5.866402626037598
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his,4.935412883758545
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his,5.6431498527526855
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him,4.987306118011475
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him,5.366858959197998
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his,6.44927453994751
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his,8.50161075592041
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him,6.524633884429932
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him,7.200160980224609
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his,8.92879581451416
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his,10.113204002380371
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him,15.233553886413574
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him,15.638014793395996
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his,14.485787391662598
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his,14.867639541625977
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him,4.20743989944458
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him,5.852415561676025
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his,7.399905681610107
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his,8.405658721923828
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him,5.231129169464111
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him,5.947574138641357
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his,5.626742839813232
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his,6.559976577758789
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him,5.062562465667725
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him,5.465433120727539
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his,3.9619333744049072
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his,4.914696216583252
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him,7.724930286407471
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him,8.699331283569336
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his,7.672942638397217
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his,8.797368049621582
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him,4.78189754486084
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him,5.383767127990723
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his,7.56540584564209
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his,9.603048324584961
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him,3.6227846145629883
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him,5.115108966827393
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his,3.9419171810150146
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his,6.211851119995117
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him,4.365721702575684
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him,5.655945777893066
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his,7.797639846801758
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his,9.665933609008789
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him,1.503719449043274
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him,2.0550537109375
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his,5.656383991241455
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his,6.418313503265381
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him,4.19108772277832
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him,4.271815299987793
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his,5.370894432067871
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his,6.5369133949279785
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him,2.977294921875
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him,3.6017253398895264
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his,5.011570930480957
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his,7.3580546379089355
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him,5.820085525512695
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him,6.5644965171813965
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his,8.038743019104004
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his,9.255764961242676
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him,5.086689472198486
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him,5.3016276359558105
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his,6.232421398162842
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his,8.258464813232422
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him,3.24631929397583
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him,3.359776258468628
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his,6.443756580352783
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his,7.605219841003418
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him,4.327451705932617
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him,4.85762882232666
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his,7.988563537597656
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his,8.474716186523438
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him,6.492953777313232
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him,7.873498916625977
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his,5.0719709396362305
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his,7.3648810386657715
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him,3.750446319580078
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him,4.926929473876953
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his,3.9173614978790283
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his,5.2816901206970215
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him,16.053510665893555
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him,16.522499084472656
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his,15.829997062683105
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his,16.734182357788086
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him,3.7298710346221924
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him,4.8022356033325195
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his,1.8033885955810547
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his,3.067570686340332
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him,3.7404356002807617
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him,4.537615776062012
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his,5.883983135223389
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his,7.9014434814453125
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him,2.9328999519348145
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him,3.2613344192504883
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his,6.432636737823486
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his,7.276760101318359
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him,5.432975769042969
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him,6.2543230056762695
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his,8.420328140258789
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his,9.00014591217041
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him,4.026920318603516
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him,4.07456636428833
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his,5.112002849578857
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his,7.288018703460693
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him,4.248767375946045
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him,4.310280799865723
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his,8.883466720581055
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his,8.89061450958252
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him,4.2390594482421875
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him,3.631565570831299
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his,5.589649200439453
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his,6.436198711395264
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him,4.515185832977295
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him,6.393741130828857
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his,6.416615009307861
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his,8.582805633544922
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him,5.761040210723877
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him,5.428744316101074
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his,4.653339862823486
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his,7.521251678466797
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him,4.337636470794678
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him,3.4447946548461914
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his,9.055500984191895
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his,9.062948226928711
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him,4.769633769989014
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him,5.014251708984375
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his,5.975088119506836
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his,6.969842910766602
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him,15.250226020812988
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him,15.710687637329102
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his,14.45150089263916
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his,15.181591987609863
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him,17.165273666381836
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him,16.952856063842773
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his,15.854690551757812
About,is stunning,61,61_F_his,f,Mismatch,poss,The pamphlet about Dana is stunning,his,15.76469612121582
About,harms,62,62_M_him,m,Match,obj,The brochure about Theodore harms,him,7.894150733947754
About,harms,62,62_F_him,f,Mismatch,obj,The brochure about Pamela harms,him,8.77323055267334
About,harms,62,62_M_his,m,Match,poss,The brochure about Theodore harms,his,5.526321887969971
About,harms,62,62_F_his,f,Mismatch,poss,The brochure about Pamela harms,his,8.14637279510498
About,should bore,63,63_M_him,m,Match,obj,The play about Jason should bore,him,4.935791969299316
About,should bore,63,63_F_him,f,Mismatch,obj,The play about Jacqueline should bore,him,5.245382785797119
About,should bore,63,63_M_his,m,Match,poss,The play about Jason should bore,his,7.796696662902832
About,should bore,63,63_F_his,f,Mismatch,poss,The play about Jacqueline should bore,his,8.100371360778809
About,will upset,64,64_M_him,m,Match,obj,The movie about that boy will upset,him,5.722073078155518
About,will upset,64,64_F_him,f,Mismatch,obj,The movie about Melissa will upset,him,6.654475212097168
About,will upset,64,64_M_his,m,Match,poss,The movie about that boy will upset,his,7.134573459625244
About,will upset,64,64_F_his,f,Mismatch,poss,The movie about Melissa will upset,his,7.959776401519775
About,is shocking,65,65_M_him,m,Match,obj,The newspaper article about Craig is shocking,him,15.161526679992676
About,is shocking,65,65_F_him,f,Mismatch,obj,The newspaper article about Connie is shocking,him,14.812783241271973
About,is shocking,65,65_M_his,m,Match,poss,The newspaper article about Craig is shocking,his,14.908949851989746
About,is shocking,65,65_F_his,f,Mismatch,poss,The newspaper article about Connie is shocking,his,15.020395278930664
About,has aggravated,66,66_M_him,m,Match,obj,The story about Jeffrey has aggravated,him,3.812535524368286
About,has aggravated,66,66_F_him,f,Mismatch,obj,The story about Sally has aggravated,him,3.6662309169769287
About,has aggravated,66,66_M_his,m,Match,poss,The story about Jeffrey has aggravated,his,5.516233921051025
About,has aggravated,66,66_F_his,f,Mismatch,poss,The story about Sally has aggravated,his,6.032807350158691
About,would distract,67,67_M_him,m,Match,obj,The essay about Patrick would distract,him,4.221546649932861
About,would distract,67,67_F_him,f,Mismatch,obj,The essay about April would distract,him,4.826873302459717
About,would distract,67,67_M_his,m,Match,poss,The essay about Patrick would distract,his,7.9316558837890625
About,would distract,67,67_F_his,f,Mismatch,poss,The essay about April would distract,his,8.129656791687012
About,had impressed,68,68_M_him,m,Match,obj,The report about Aaron had impressed,him,3.093446969985962
About,had impressed,68,68_F_him,f,Mismatch,obj,The report about Monica had impressed,him,3.365882158279419
About,had impressed,68,68_M_his,m,Match,poss,The report about Aaron had impressed,his,5.884556293487549
About,had impressed,68,68_F_his,f,Mismatch,poss,The report about Monica had impressed,his,6.578620910644531
About,distracted,69,69_M_him,m,Match,obj,The documentary about Guy distracted,him,6.012161731719971
About,distracted,69,69_F_him,f,Mismatch,obj,The documentary about this grandmother distracted,him,5.024301052093506
About,distracted,69,69_M_his,m,Match,poss,The documentary about Guy distracted,his,5.764294147491455
About,distracted,69,69_F_his,f,Mismatch,poss,The documentary about this grandmother distracted,his,7.150020599365234
About,confused,70,70_M_him,m,Match,obj,The commentary about Steve confused,him,5.228552341461182
About,confused,70,70_F_him,f,Mismatch,obj,The commentary about Christina confused,him,6.700432300567627
About,confused,70,70_M_his,m,Match,poss,The commentary about Steve confused,his,7.886561393737793
About,confused,70,70_F_his,f,Mismatch,poss,The commentary about Christina confused,his,8.6339111328125
About,scares,71,71_M_him,m,Match,obj,The show about Scott scares,him,5.10948371887207
About,scares,71,71_F_him,f,Mismatch,obj,The show about Anna scares,him,6.346267223358154
About,scares,71,71_M_his,m,Match,poss,The show about Scott scares,his,7.500957012176514
About,scares,71,71_F_his,f,Mismatch,poss,The show about Anna scares,his,9.650068283081055
About,isn't hurting,72,72_M_him,m,Match,obj,The book about Brad isn't hurting,him,4.509152412414551
