exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-large_surp
OneEmbedding,wasn't expecting,fired,3,3_MM_him,mm,MatchMatch,obj,Rodney wasn't expecting that Marcus fired,him,4.033514499664307
OneEmbedding,wasn't expecting,fired,3,3_MF_him,mf,MatchMismatch,obj,Rodney wasn't expecting that Naomi fired,him,2.603323221206665
OneEmbedding,wasn't expecting,fired,3,3_FM_him,fm,MismatchMatch,obj,Margaret wasn't expecting that Marcus fired,him,5.051436901092529
OneEmbedding,wasn't expecting,fired,3,3_FF_him,ff,MismatchMismatch,obj,Margaret wasn't expecting that Naomi fired,him,5.414031982421875
OneEmbedding,wasn't expecting,fired,3,3_MM_his,mm,MatchMatch,poss,Rodney wasn't expecting that Marcus fired,his,3.7414886951446533
OneEmbedding,wasn't expecting,fired,3,3_MF_his,mf,MatchMismatch,poss,Rodney wasn't expecting that Naomi fired,his,5.7550482749938965
OneEmbedding,wasn't expecting,fired,3,3_FM_his,fm,MismatchMatch,poss,Margaret wasn't expecting that Marcus fired,his,4.399143695831299
OneEmbedding,wasn't expecting,fired,3,3_FF_his,ff,MismatchMismatch,poss,Margaret wasn't expecting that Naomi fired,his,8.078718185424805
OneEmbedding,had speculated,returns to,4,4_MM_him,mm,MatchMatch,obj,Aaron had speculated that Eric returns to,him,9.219766616821289
OneEmbedding,had speculated,returns to,4,4_MF_him,mf,MatchMismatch,obj,Aaron had speculated that Tracy returns to,him,8.566940307617188
OneEmbedding,had speculated,returns to,4,4_FM_him,fm,MismatchMatch,obj,Tamara had speculated that Eric returns to,him,10.246868133544922
OneEmbedding,had speculated,returns to,4,4_FF_him,ff,MismatchMismatch,obj,Tamara had speculated that Tracy returns to,him,9.881608009338379
OneEmbedding,had speculated,returns to,4,4_MM_his,mm,MatchMatch,poss,Aaron had speculated that Eric returns to,his,3.7034034729003906
OneEmbedding,had speculated,returns to,4,4_MF_his,mf,MatchMismatch,poss,Aaron had speculated that Tracy returns to,his,4.566070556640625
OneEmbedding,had speculated,returns to,4,4_FM_his,fm,MismatchMatch,poss,Tamara had speculated that Eric returns to,his,4.181891441345215
OneEmbedding,had speculated,returns to,4,4_FF_his,ff,MismatchMismatch,poss,Tamara had speculated that Tracy returns to,his,4.719755172729492
OneEmbedding,conceals,wasn't alarming,5,5_MM_him,mm,MatchMatch,obj,Donald conceals that Scott wasn't alarming,him,2.755891799926758
OneEmbedding,conceals,wasn't alarming,5,5_MF_him,mf,MatchMismatch,obj,Donald conceals that Alice wasn't alarming,him,1.910403847694397
OneEmbedding,conceals,wasn't alarming,5,5_FM_him,fm,MismatchMatch,obj,Angela conceals that Scott wasn't alarming,him,4.1705498695373535
OneEmbedding,conceals,wasn't alarming,5,5_FF_him,ff,MismatchMismatch,obj,Angela conceals that Alice wasn't alarming,him,3.5132904052734375
OneEmbedding,conceals,wasn't alarming,5,5_MM_his,mm,MatchMatch,poss,Donald conceals that Scott wasn't alarming,his,4.648015975952148
OneEmbedding,conceals,wasn't alarming,5,5_MF_his,mf,MatchMismatch,poss,Donald conceals that Alice wasn't alarming,his,6.870004653930664
OneEmbedding,conceals,wasn't alarming,5,5_FM_his,fm,MismatchMatch,poss,Angela conceals that Scott wasn't alarming,his,5.572917461395264
OneEmbedding,conceals,wasn't alarming,5,5_FF_his,ff,MismatchMismatch,poss,Angela conceals that Alice wasn't alarming,his,9.468483924865723
OneEmbedding,hadn't expected,was investigating,6,6_MM_him,mm,MatchMatch,obj,Jason hadn't expected that Adam was investigating,him,2.9379587173461914
OneEmbedding,hadn't expected,was investigating,6,6_MF_him,mf,MatchMismatch,obj,Jason hadn't expected that Victoria was investigating,him,2.0258843898773193
OneEmbedding,hadn't expected,was investigating,6,6_FM_him,fm,MismatchMatch,obj,Amanda hadn't expected that Adam was investigating,him,3.5712685585021973
OneEmbedding,hadn't expected,was investigating,6,6_FF_him,ff,MismatchMismatch,obj,Amanda hadn't expected that Victoria was investigating,him,2.8456685543060303
OneEmbedding,hadn't expected,was investigating,6,6_MM_his,mm,MatchMatch,poss,Jason hadn't expected that Adam was investigating,his,3.7435142993927
OneEmbedding,hadn't expected,was investigating,6,6_MF_his,mf,MatchMismatch,poss,Jason hadn't expected that Victoria was investigating,his,4.176283836364746
OneEmbedding,hadn't expected,was investigating,6,6_FM_his,fm,MismatchMatch,poss,Amanda hadn't expected that Adam was investigating,his,4.326815605163574
OneEmbedding,hadn't expected,was investigating,6,6_FF_his,ff,MismatchMismatch,poss,Amanda hadn't expected that Victoria was investigating,his,5.048734664916992
OneEmbedding,concluded,can reference,7,7_MM_him,mm,MatchMatch,obj,Timothy concluded that this husband can reference,him,7.720062255859375
OneEmbedding,concluded,can reference,7,7_MF_him,mf,MatchMismatch,obj,Timothy concluded that Jodi can reference,him,5.996213436126709
OneEmbedding,concluded,can reference,7,7_FM_him,fm,MismatchMatch,obj,Tiffany concluded that this husband can reference,him,8.530512809753418
OneEmbedding,concluded,can reference,7,7_FF_him,ff,MismatchMismatch,obj,Tiffany concluded that Jodi can reference,him,6.859508514404297
OneEmbedding,concluded,can reference,7,7_MM_his,mm,MatchMatch,poss,Timothy concluded that this husband can reference,his,2.82161808013916
OneEmbedding,concluded,can reference,7,7_MF_his,mf,MatchMismatch,poss,Timothy concluded that Jodi can reference,his,5.621904373168945
OneEmbedding,concluded,can reference,7,7_FM_his,fm,MismatchMatch,poss,Tiffany concluded that this husband can reference,his,2.758364677429199
OneEmbedding,concluded,can reference,7,7_FF_his,ff,MismatchMismatch,poss,Tiffany concluded that Jodi can reference,his,6.356412887573242
OneEmbedding,isn't knowing,didn't reference,8,8_MM_him,mm,MatchMatch,obj,Scott isn't knowing that Guy didn't reference,him,4.122827529907227
OneEmbedding,isn't knowing,didn't reference,8,8_MF_him,mf,MatchMismatch,obj,Scott isn't knowing that Kristen didn't reference,him,3.606635093688965
OneEmbedding,isn't knowing,didn't reference,8,8_FM_him,fm,MismatchMatch,obj,Stacy isn't knowing that Guy didn't reference,him,4.674434185028076
OneEmbedding,isn't knowing,didn't reference,8,8_FF_him,ff,MismatchMismatch,obj,Stacy isn't knowing that Kristen didn't reference,him,4.193288803100586
OneEmbedding,isn't knowing,didn't reference,8,8_MM_his,mm,MatchMatch,poss,Scott isn't knowing that Guy didn't reference,his,4.209287166595459
OneEmbedding,isn't knowing,didn't reference,8,8_MF_his,mf,MatchMismatch,poss,Scott isn't knowing that Kristen didn't reference,his,5.057962894439697
OneEmbedding,isn't knowing,didn't reference,8,8_FM_his,fm,MismatchMatch,poss,Stacy isn't knowing that Guy didn't reference,his,4.263947010040283
OneEmbedding,isn't knowing,didn't reference,8,8_FF_his,ff,MismatchMismatch,poss,Stacy isn't knowing that Kristen didn't reference,his,5.590764999389648
OneEmbedding,hasn't discovered,forgave,9,9_MM_him,mm,MatchMatch,obj,Walter hasn't discovered that Curtis forgave,him,0.860641360282898
OneEmbedding,hasn't discovered,forgave,9,9_MF_him,mf,MatchMismatch,obj,Walter hasn't discovered that Jill forgave,him,0.8712473511695862
OneEmbedding,hasn't discovered,forgave,9,9_FM_him,fm,MismatchMatch,obj,Sharon hasn't discovered that Curtis forgave,him,2.6521830558776855
OneEmbedding,hasn't discovered,forgave,9,9_FF_him,ff,MismatchMismatch,obj,Sharon hasn't discovered that Jill forgave,him,2.279176712036133
OneEmbedding,hasn't discovered,forgave,9,9_MM_his,mm,MatchMatch,poss,Walter hasn't discovered that Curtis forgave,his,4.315773010253906
OneEmbedding,hasn't discovered,forgave,9,9_MF_his,mf,MatchMismatch,poss,Walter hasn't discovered that Jill forgave,his,5.98982048034668
OneEmbedding,hasn't discovered,forgave,9,9_FM_his,fm,MismatchMatch,poss,Sharon hasn't discovered that Curtis forgave,his,5.074121952056885
OneEmbedding,hasn't discovered,forgave,9,9_FF_his,ff,MismatchMismatch,poss,Sharon hasn't discovered that Jill forgave,his,7.615424633026123
OneEmbedding,agreed,astounds,10,10_MM_him,mm,MatchMatch,obj,This guy agreed that Mark astounds,him,2.5210812091827393
OneEmbedding,agreed,astounds,10,10_MF_him,mf,MatchMismatch,obj,This guy agreed that Tracy astounds,him,1.8612734079360962
OneEmbedding,agreed,astounds,10,10_FM_him,fm,MismatchMatch,obj,Meredith agreed that Mark astounds,him,4.518589019775391
OneEmbedding,agreed,astounds,10,10_FF_him,ff,MismatchMismatch,obj,Meredith agreed that Tracy astounds,him,3.467895984649658
OneEmbedding,agreed,astounds,10,10_MM_his,mm,MatchMatch,poss,This guy agreed that Mark astounds,his,5.890463352203369
OneEmbedding,agreed,astounds,10,10_MF_his,mf,MatchMismatch,poss,This guy agreed that Tracy astounds,his,5.957423686981201
OneEmbedding,agreed,astounds,10,10_FM_his,fm,MismatchMatch,poss,Meredith agreed that Mark astounds,his,6.135148525238037
OneEmbedding,agreed,astounds,10,10_FF_his,ff,MismatchMismatch,poss,Meredith agreed that Tracy astounds,his,7.6146650314331055
OneEmbedding,claimed,isn't shocking,11,11_MM_him,mm,MatchMatch,obj,Guy claimed that Aaron isn't shocking,him,3.662829637527466
OneEmbedding,claimed,isn't shocking,11,11_MF_him,mf,MatchMismatch,obj,Guy claimed that the woman isn't shocking,him,2.855522632598877
OneEmbedding,claimed,isn't shocking,11,11_FM_him,fm,MismatchMatch,obj,Jill claimed that Aaron isn't shocking,him,5.137692451477051
OneEmbedding,claimed,isn't shocking,11,11_FF_him,ff,MismatchMismatch,obj,Jill claimed that the woman isn't shocking,him,4.472092628479004
OneEmbedding,claimed,isn't shocking,11,11_MM_his,mm,MatchMatch,poss,Guy claimed that Aaron isn't shocking,his,6.485252380371094
OneEmbedding,claimed,isn't shocking,11,11_MF_his,mf,MatchMismatch,poss,Guy claimed that the woman isn't shocking,his,8.238372802734375
OneEmbedding,claimed,isn't shocking,11,11_FM_his,fm,MismatchMatch,poss,Jill claimed that Aaron isn't shocking,his,7.028785228729248
OneEmbedding,claimed,isn't shocking,11,11_FF_his,ff,MismatchMismatch,poss,Jill claimed that the woman isn't shocking,his,10.119677543640137
OneEmbedding,wrote,has boasted about,12,12_MM_him,mm,MatchMatch,obj,Walter wrote that Larry has boasted about,him,9.05596923828125
OneEmbedding,wrote,has boasted about,12,12_MF_him,mf,MatchMismatch,obj,Walter wrote that Helen has boasted about,him,8.20824146270752
OneEmbedding,wrote,has boasted about,12,12_FM_him,fm,MismatchMatch,obj,Elizabeth wrote that Larry has boasted about,him,8.654592514038086
OneEmbedding,wrote,has boasted about,12,12_FF_him,ff,MismatchMismatch,obj,Elizabeth wrote that Helen has boasted about,him,8.234395027160645
OneEmbedding,wrote,has boasted about,12,12_MM_his,mm,MatchMatch,poss,Walter wrote that Larry has boasted about,his,1.779821753501892
OneEmbedding,wrote,has boasted about,12,12_MF_his,mf,MatchMismatch,poss,Walter wrote that Helen has boasted about,his,5.567098140716553
OneEmbedding,wrote,has boasted about,12,12_FM_his,fm,MismatchMatch,poss,Elizabeth wrote that Larry has boasted about,his,1.7998281717300415
OneEmbedding,wrote,has boasted about,12,12_FF_his,ff,MismatchMismatch,poss,Elizabeth wrote that Helen has boasted about,his,6.530391693115234
OneEmbedding,had concluded,leads,13,13_MM_him,mm,MatchMatch,obj,Phillip had concluded that Brett leads,him,5.024998188018799
OneEmbedding,had concluded,leads,13,13_MF_him,mf,MatchMismatch,obj,Phillip had concluded that that lady leads,him,4.2924652099609375
OneEmbedding,had concluded,leads,13,13_FM_him,fm,MismatchMatch,obj,Julie had concluded that Brett leads,him,4.975766181945801
OneEmbedding,had concluded,leads,13,13_FF_him,ff,MismatchMismatch,obj,Julie had concluded that that lady leads,him,5.355704307556152
OneEmbedding,had concluded,leads,13,13_MM_his,mm,MatchMatch,poss,Phillip had concluded that Brett leads,his,5.48292875289917
OneEmbedding,had concluded,leads,13,13_MF_his,mf,MatchMismatch,poss,Phillip had concluded that that lady leads,his,8.033635139465332
OneEmbedding,had concluded,leads,13,13_FM_his,fm,MismatchMatch,poss,Julie had concluded that Brett leads,his,5.5868611335754395
OneEmbedding,had concluded,leads,13,13_FF_his,ff,MismatchMismatch,poss,Julie had concluded that that lady leads,his,9.287017822265625
OneEmbedding,has said,didn't shake,14,14_MM_him,mm,MatchMatch,obj,Aaron has said that Robert didn't shake,him,4.921973705291748
OneEmbedding,has said,didn't shake,14,14_MF_him,mf,MatchMismatch,obj,Aaron has said that Carmen didn't shake,him,4.0940656661987305
OneEmbedding,has said,didn't shake,14,14_FM_him,fm,MismatchMatch,obj,Donna has said that Robert didn't shake,him,6.143443584442139
OneEmbedding,has said,didn't shake,14,14_FF_him,ff,MismatchMismatch,obj,Donna has said that Carmen didn't shake,him,5.300790786743164
OneEmbedding,has said,didn't shake,14,14_MM_his,mm,MatchMatch,poss,Aaron has said that Robert didn't shake,his,2.2898309230804443
OneEmbedding,has said,didn't shake,14,14_MF_his,mf,MatchMismatch,poss,Aaron has said that Carmen didn't shake,his,2.695845365524292
OneEmbedding,has said,didn't shake,14,14_FM_his,fm,MismatchMatch,poss,Donna has said that Robert didn't shake,his,3.152101755142212
OneEmbedding,has said,didn't shake,14,14_FF_his,ff,MismatchMismatch,poss,Donna has said that Carmen didn't shake,his,4.700838088989258
OneEmbedding,was expecting,doesn't observe,15,15_MM_him,mm,MatchMatch,obj,Keith was expecting that Bill doesn't observe,him,7.965109348297119
OneEmbedding,was expecting,doesn't observe,15,15_MF_him,mf,MatchMismatch,obj,Keith was expecting that Heather doesn't observe,him,5.553483963012695
OneEmbedding,was expecting,doesn't observe,15,15_FM_him,fm,MismatchMatch,obj,Katherine was expecting that Bill doesn't observe,him,8.438117980957031
OneEmbedding,was expecting,doesn't observe,15,15_FF_him,ff,MismatchMismatch,obj,Katherine was expecting that Heather doesn't observe,him,6.498918056488037
OneEmbedding,was expecting,doesn't observe,15,15_MM_his,mm,MatchMatch,poss,Keith was expecting that Bill doesn't observe,his,4.196829795837402
OneEmbedding,was expecting,doesn't observe,15,15_MF_his,mf,MatchMismatch,poss,Keith was expecting that Heather doesn't observe,his,5.331386566162109
OneEmbedding,was expecting,doesn't observe,15,15_FM_his,fm,MismatchMatch,poss,Katherine was expecting that Bill doesn't observe,his,4.5196099281311035
OneEmbedding,was expecting,doesn't observe,15,15_FF_his,ff,MismatchMismatch,poss,Katherine was expecting that Heather doesn't observe,his,7.116896629333496
OneEmbedding,whispers,can't find,16,16_MM_him,mm,MatchMatch,obj,Roger whispers that Peter can't find,him,6.66987943649292
OneEmbedding,whispers,can't find,16,16_MF_him,mf,MatchMismatch,obj,Roger whispers that Holly can't find,him,5.601187229156494
OneEmbedding,whispers,can't find,16,16_FM_him,fm,MismatchMatch,obj,Debra whispers that Peter can't find,him,6.218945026397705
OneEmbedding,whispers,can't find,16,16_FF_him,ff,MismatchMismatch,obj,Debra whispers that Holly can't find,him,5.491720199584961
OneEmbedding,whispers,can't find,16,16_MM_his,mm,MatchMatch,poss,Roger whispers that Peter can't find,his,2.9226133823394775
OneEmbedding,whispers,can't find,16,16_MF_his,mf,MatchMismatch,poss,Roger whispers that Holly can't find,his,6.2721357345581055
OneEmbedding,whispers,can't find,16,16_FM_his,fm,MismatchMatch,poss,Debra whispers that Peter can't find,his,2.8510866165161133
OneEmbedding,whispers,can't find,16,16_FF_his,ff,MismatchMismatch,poss,Debra whispers that Holly can't find,his,7.25856876373291
OneEmbedding,thinks,should hide,17,17_MM_him,mm,MatchMatch,obj,Theodore thinks that Joel should hide,him,6.636969089508057
OneEmbedding,thinks,should hide,17,17_MF_him,mf,MatchMismatch,obj,Theodore thinks that Kirsten should hide,him,7.077642440795898
OneEmbedding,thinks,should hide,17,17_FM_him,fm,MismatchMatch,obj,Amelia thinks that Joel should hide,him,6.544208526611328
OneEmbedding,thinks,should hide,17,17_FF_him,ff,MismatchMismatch,obj,Amelia thinks that Kirsten should hide,him,7.680790424346924
OneEmbedding,thinks,should hide,17,17_MM_his,mm,MatchMatch,poss,Theodore thinks that Joel should hide,his,3.364555597305298
OneEmbedding,thinks,should hide,17,17_MF_his,mf,MatchMismatch,poss,Theodore thinks that Kirsten should hide,his,6.223895072937012
OneEmbedding,thinks,should hide,17,17_FM_his,fm,MismatchMatch,poss,Amelia thinks that Joel should hide,his,3.421854257583618
OneEmbedding,thinks,should hide,17,17_FF_his,ff,MismatchMismatch,poss,Amelia thinks that Kirsten should hide,his,6.911514759063721
OneEmbedding,did claim,had praised,18,18_MM_him,mm,MatchMatch,obj,This ex-boyfriend did claim that Carl had praised,him,0.9838969111442566
OneEmbedding,did claim,had praised,18,18_MF_him,mf,MatchMismatch,obj,This ex-boyfriend did claim that Teresa had praised,him,0.9054375886917114
OneEmbedding,did claim,had praised,18,18_FM_him,fm,MismatchMatch,obj,Anne did claim that Carl had praised,him,2.276158094406128
OneEmbedding,did claim,had praised,18,18_FF_him,ff,MismatchMismatch,obj,Anne did claim that Teresa had praised,him,2.1028106212615967
OneEmbedding,did claim,had praised,18,18_MM_his,mm,MatchMatch,poss,This ex-boyfriend did claim that Carl had praised,his,2.4184179306030273
OneEmbedding,did claim,had praised,18,18_MF_his,mf,MatchMismatch,poss,This ex-boyfriend did claim that Teresa had praised,his,2.4284374713897705
OneEmbedding,did claim,had praised,18,18_FM_his,fm,MismatchMatch,poss,Anne did claim that Carl had praised,his,3.308871269226074
OneEmbedding,did claim,had praised,18,18_FF_his,ff,MismatchMismatch,poss,Anne did claim that Teresa had praised,his,4.267330646514893
OneEmbedding,says,argued about,19,19_MM_him,mm,MatchMatch,obj,Benjamin says that Benjamin argued about,him,9.066266059875488
OneEmbedding,says,argued about,19,19_MF_him,mf,MatchMismatch,obj,Benjamin says that Jodi argued about,him,6.393349647521973
OneEmbedding,says,argued about,19,19_FM_him,fm,MismatchMatch,obj,Teresa says that Benjamin argued about,him,6.772321701049805
OneEmbedding,says,argued about,19,19_FF_him,ff,MismatchMismatch,obj,Teresa says that Jodi argued about,him,6.608672142028809
OneEmbedding,says,argued about,19,19_MM_his,mm,MatchMatch,poss,Benjamin says that Benjamin argued about,his,5.257819652557373
OneEmbedding,says,argued about,19,19_MF_his,mf,MatchMismatch,poss,Benjamin says that Jodi argued about,his,6.156434535980225
OneEmbedding,says,argued about,19,19_FM_his,fm,MismatchMatch,poss,Teresa says that Benjamin argued about,his,4.510737895965576
OneEmbedding,says,argued about,19,19_FF_his,ff,MismatchMismatch,poss,Teresa says that Jodi argued about,his,6.790016174316406
OneEmbedding,can conceal,isn't harming,20,20_MM_him,mm,MatchMatch,obj,Steve can conceal that Aaron isn't harming,him,3.8327178955078125
OneEmbedding,can conceal,isn't harming,20,20_MF_him,mf,MatchMismatch,obj,Steve can conceal that Nina isn't harming,him,2.506910562515259
OneEmbedding,can conceal,isn't harming,20,20_FM_him,fm,MismatchMatch,obj,Martha can conceal that Aaron isn't harming,him,6.10660457611084
OneEmbedding,can conceal,isn't harming,20,20_FF_him,ff,MismatchMismatch,obj,Martha can conceal that Nina isn't harming,him,4.262126922607422
OneEmbedding,can conceal,isn't harming,20,20_MM_his,mm,MatchMatch,poss,Steve can conceal that Aaron isn't harming,his,4.470497131347656
OneEmbedding,can conceal,isn't harming,20,20_MF_his,mf,MatchMismatch,poss,Steve can conceal that Nina isn't harming,his,7.097930908203125
OneEmbedding,can conceal,isn't harming,20,20_FM_his,fm,MismatchMatch,poss,Martha can conceal that Aaron isn't harming,his,4.6504807472229
OneEmbedding,can conceal,isn't harming,20,20_FF_his,ff,MismatchMismatch,poss,Martha can conceal that Nina isn't harming,his,8.841360092163086
OneEmbedding,imagined,would hurt,21,21_MM_him,mm,MatchMatch,obj,Ronald imagined that William would hurt,him,3.1375200748443604
OneEmbedding,imagined,would hurt,21,21_MF_him,mf,MatchMismatch,obj,Ronald imagined that Christine would hurt,him,2.0454769134521484
OneEmbedding,imagined,would hurt,21,21_FM_him,fm,MismatchMatch,obj,Jessica imagined that William would hurt,him,5.843331813812256
OneEmbedding,imagined,would hurt,21,21_FF_him,ff,MismatchMismatch,obj,Jessica imagined that Christine would hurt,him,2.821157693862915
OneEmbedding,imagined,would hurt,21,21_MM_his,mm,MatchMatch,poss,Ronald imagined that William would hurt,his,2.5742948055267334
OneEmbedding,imagined,would hurt,21,21_MF_his,mf,MatchMismatch,poss,Ronald imagined that Christine would hurt,his,3.680396318435669
OneEmbedding,imagined,would hurt,21,21_FM_his,fm,MismatchMatch,poss,Jessica imagined that William would hurt,his,3.7536771297454834
OneEmbedding,imagined,would hurt,21,21_FF_his,ff,MismatchMismatch,poss,Jessica imagined that Christine would hurt,his,5.333530902862549
OneEmbedding,has prayed,leaves,22,22_MM_him,mm,MatchMatch,obj,Marcus has prayed that William leaves,him,4.707841873168945
OneEmbedding,has prayed,leaves,22,22_MF_him,mf,MatchMismatch,obj,Marcus has prayed that Lori leaves,him,2.995253324508667
OneEmbedding,has prayed,leaves,22,22_FM_him,fm,MismatchMatch,obj,Nancy has prayed that William leaves,him,6.695779800415039
OneEmbedding,has prayed,leaves,22,22_FF_him,ff,MismatchMismatch,obj,Nancy has prayed that Lori leaves,him,4.84610652923584
OneEmbedding,has prayed,leaves,22,22_MM_his,mm,MatchMatch,poss,Marcus has prayed that William leaves,his,2.8184921741485596
OneEmbedding,has prayed,leaves,22,22_MF_his,mf,MatchMismatch,poss,Marcus has prayed that Lori leaves,his,5.0861005783081055
OneEmbedding,has prayed,leaves,22,22_FM_his,fm,MismatchMatch,poss,Nancy has prayed that William leaves,his,3.499363899230957
OneEmbedding,has prayed,leaves,22,22_FF_his,ff,MismatchMismatch,poss,Nancy has prayed that Lori leaves,his,7.093334674835205
OneEmbedding,has prayed,watches,23,23_MM_him,mm,MatchMatch,obj,Kenneth has prayed that Theodore watches,him,5.8191351890563965
OneEmbedding,has prayed,watches,23,23_MF_him,mf,MatchMismatch,obj,Kenneth has prayed that Sonia watches,him,5.197753429412842
OneEmbedding,has prayed,watches,23,23_FM_him,fm,MismatchMatch,obj,Cynthia has prayed that Theodore watches,him,7.4628705978393555
OneEmbedding,has prayed,watches,23,23_FF_him,ff,MismatchMismatch,obj,Cynthia has prayed that Sonia watches,him,7.755035877227783
OneEmbedding,has prayed,watches,23,23_MM_his,mm,MatchMatch,poss,Kenneth has prayed that Theodore watches,his,4.1587090492248535
OneEmbedding,has prayed,watches,23,23_MF_his,mf,MatchMismatch,poss,Kenneth has prayed that Sonia watches,his,5.902451515197754
OneEmbedding,has prayed,watches,23,23_FM_his,fm,MismatchMatch,poss,Cynthia has prayed that Theodore watches,his,5.096142292022705
OneEmbedding,has prayed,watches,23,23_FF_his,ff,MismatchMismatch,poss,Cynthia has prayed that Sonia watches,his,8.692493438720703
OneEmbedding,believes,can shoot,24,24_MM_him,mm,MatchMatch,obj,Edward believes that Samuel can shoot,him,7.310736179351807
OneEmbedding,believes,can shoot,24,24_MF_him,mf,MatchMismatch,obj,Edward believes that Kristen can shoot,him,5.173703670501709
OneEmbedding,believes,can shoot,24,24_FM_him,fm,MismatchMatch,obj,Rachel believes that Samuel can shoot,him,5.085319995880127
OneEmbedding,believes,can shoot,24,24_FF_him,ff,MismatchMismatch,obj,Rachel believes that Kristen can shoot,him,5.97547721862793
OneEmbedding,believes,can shoot,24,24_MM_his,mm,MatchMatch,poss,Edward believes that Samuel can shoot,his,6.081358909606934
OneEmbedding,believes,can shoot,24,24_MF_his,mf,MatchMismatch,poss,Edward believes that Kristen can shoot,his,6.858067512512207
OneEmbedding,believes,can shoot,24,24_FM_his,fm,MismatchMatch,poss,Rachel believes that Samuel can shoot,his,5.079372406005859
OneEmbedding,believes,can shoot,24,24_FF_his,ff,MismatchMismatch,poss,Rachel believes that Kristen can shoot,his,8.39147663116455
OneEmbedding,is confessing,bit,25,25_MM_him,mm,MatchMatch,obj,Omar is confessing that Roger bit,him,1.2777053117752075
OneEmbedding,is confessing,bit,25,25_MF_him,mf,MatchMismatch,obj,Omar is confessing that Alice bit,him,1.0558737516403198
OneEmbedding,is confessing,bit,25,25_FM_him,fm,MismatchMatch,obj,Anne is confessing that Roger bit,him,4.177863597869873
OneEmbedding,is confessing,bit,25,25_FF_him,ff,MismatchMismatch,obj,Anne is confessing that Alice bit,him,2.1681442260742188
OneEmbedding,is confessing,bit,25,25_MM_his,mm,MatchMatch,poss,Omar is confessing that Roger bit,his,2.6722891330718994
OneEmbedding,is confessing,bit,25,25_MF_his,mf,MatchMismatch,poss,Omar is confessing that Alice bit,his,4.031773567199707
OneEmbedding,is confessing,bit,25,25_FM_his,fm,MismatchMatch,poss,Anne is confessing that Roger bit,his,4.334713459014893
