item,exp,pronoun,cond,contrast,sent,target,model,surp
15,1,he,f,Mismatch,"When he was around,",Dana,gpt-neo-2.7B,15.51469898223877
16,1,he,m,Match,"When he was near,",Joseph,gpt-neo-2.7B,14.979188919067385
16,1,she,m,Mismatch,"When she was near,",Richard,gpt-neo-2.7B,13.06972885131836
16,1,she,f,Match,"When she was near,",Dana,gpt-neo-2.7B,17.081762313842773
16,1,he,f,Mismatch,"When he was near,",Janet,gpt-neo-2.7B,17.03253173828125
17,1,he,m,Match,"When he was in court,",Bradley,gpt-neo-2.7B,16.290124893188477
17,1,she,m,Mismatch,"When she was in court,",Steve,gpt-neo-2.7B,14.941650390625
17,1,she,f,Match,"When she was in court, the",dancer,gpt-neo-2.7B,16.937416076660156
17,1,he,f,Mismatch,"When he was in court,",Helen,gpt-neo-2.7B,16.1773681640625
18,1,he,m,Match,"When he was poorly,",Keith,gpt-neo-2.7B,15.811551094055176
18,1,she,m,Mismatch,"When she was poorly,",Steve,gpt-neo-2.7B,15.16076946258545
18,1,she,f,Match,"When she was poorly,",Dana,gpt-neo-2.7B,15.919012069702148
18,1,he,f,Mismatch,"When he was poorly,",Tracy,gpt-neo-2.7B,17.89313316345215
19,1,he,m,Match,"When he arrived,",Charles,gpt-neo-2.7B,12.419044494628906
19,1,she,m,Mismatch,"When she arrived,",Timothy,gpt-neo-2.7B,16.44049644470215
19,1,she,f,Match,"When she arrived,",Janet,gpt-neo-2.7B,14.313309669494627
19,1,he,f,Mismatch,"When he arrived,",Lori,gpt-neo-2.7B,16.614309310913086
20,1,he,m,Match,"When he was appointed,",Benjamin,gpt-neo-2.7B,14.413030624389648
20,1,she,m,Mismatch,"When she was appointed,",Larry,gpt-neo-2.7B,15.630334854125977
20,1,she,f,Match,"When she was appointed,",Teresa,gpt-neo-2.7B,15.913700103759766
20,1,he,f,Mismatch,"When he was appointed,",Tracy,gpt-neo-2.7B,17.36152458190918
21,1,he,m,Match,"When he was fired,",Timothy,gpt-neo-2.7B,14.929465293884276
21,1,she,m,Mismatch,"When she was fired,",Liam,gpt-neo-2.7B,19.18134117126465
21,1,she,f,Match,"When she was fired,",Teresa,gpt-neo-2.7B,15.31584358215332
21,1,he,f,Mismatch,"When he was fired,",Heidi,gpt-neo-2.7B,16.347654342651367
22,1,he,m,Match,"When he was close, the",father,gpt-neo-2.7B,9.932442665100098
22,1,she,m,Mismatch,"When she was close, the",father,gpt-neo-2.7B,10.317480087280272
22,1,she,f,Match,"When she was close,",Carrie,gpt-neo-2.7B,15.65969181060791
22,1,he,f,Mismatch,"When he was close,",Elizabeth,gpt-neo-2.7B,14.604917526245115
23,1,he,m,Match,"When he was retired,",Steve,gpt-neo-2.7B,14.897225379943848
23,1,she,m,Mismatch,"When she was retired,",Donald,gpt-neo-2.7B,14.360007286071776
23,1,she,f,Match,"When she was retired,",Christina,gpt-neo-2.7B,15.666264533996582
23,1,he,f,Mismatch,"When he was retired, the",dancer,gpt-neo-2.7B,16.230880737304688
24,1,he,m,Match,"When he was abroad, the",guy,gpt-neo-2.7B,13.449624061584473
24,1,she,m,Mismatch,"When she was abroad,",Larry,gpt-neo-2.7B,17.13494300842285
24,1,she,f,Match,"When she was abroad,",Lori,gpt-neo-2.7B,16.512178421020508
24,1,he,f,Mismatch,"When he was abroad,",Catherine,gpt-neo-2.7B,14.712864875793455
25,1,he,m,Match,"When he was discovered,",Thomas,gpt-neo-2.7B,12.255248069763184
25,1,she,m,Mismatch,"When she was discovered,",Donald,gpt-neo-2.7B,15.78463077545166
25,1,she,f,Match,"When she was discovered,",Suzanne,gpt-neo-2.7B,17.554168701171875
25,1,he,f,Mismatch,"When he was discovered,",Dana,gpt-neo-2.7B,16.82387351989746
26,1,he,m,Match,"When he was busy, the",nephew,gpt-neo-2.7B,13.823710441589355
26,1,she,m,Mismatch,"When she was busy,",Bruce,gpt-neo-2.7B,14.945414543151855
26,1,she,f,Match,"When she was busy,",Lori,gpt-neo-2.7B,14.19320011138916
26,1,he,f,Mismatch,"When he was busy,",Christina,gpt-neo-2.7B,16.06194305419922
27,1,he,m,Match,"When he was twenty-one,",Brian,gpt-neo-2.7B,15.562562942504885
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,gpt-neo-2.7B,15.404081344604492
27,1,she,f,Match,"When she was twenty-one,",Naomi,gpt-neo-2.7B,16.08108901977539
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,gpt-neo-2.7B,9.077285766601562
28,1,he,m,Match,"When he was annoyed,",Larry,gpt-neo-2.7B,14.891898155212402
28,1,she,m,Mismatch,"When she was annoyed,",Richard,gpt-neo-2.7B,13.913920402526855
28,1,she,f,Match,"When she was annoyed,",Ann,gpt-neo-2.7B,12.269027709960938
28,1,he,f,Mismatch,"When he was annoyed, the",woman,gpt-neo-2.7B,8.09874439239502
29,1,he,m,Match,"When he was in church,",Liam,gpt-neo-2.7B,18.3038272857666
29,1,she,m,Mismatch,"When she was in church,",Richard,gpt-neo-2.7B,13.58462905883789
29,1,she,f,Match,"When she was in church, the",dancer,gpt-neo-2.7B,15.778151512145996
29,1,he,f,Mismatch,"When he was in church,",Teresa,gpt-neo-2.7B,15.74350929260254
30,1,he,m,Match,"When he was banished,",Timothy,gpt-neo-2.7B,15.437848091125488
30,1,she,m,Mismatch,"When she was banished,",Russell,gpt-neo-2.7B,16.502527236938477
30,1,she,f,Match,"When she was banished,",Sheila,gpt-neo-2.7B,16.68344497680664
30,1,he,f,Mismatch,"When he was banished,",Cheryl,gpt-neo-2.7B,18.905296325683597
31,1,he,m,Match,"When he was angry,",Steve,gpt-neo-2.7B,14.061903953552246
31,1,she,m,Mismatch,"When she was angry,",Wayne,gpt-neo-2.7B,18.256181716918945
31,1,she,f,Match,"When she was angry, the",dancer,gpt-neo-2.7B,14.574514389038086
31,1,he,f,Mismatch,"When he was angry,",Janet,gpt-neo-2.7B,16.65575408935547
32,1,he,m,Match,"When he was distraught,",Brian,gpt-neo-2.7B,14.191972732543944
32,1,she,m,Mismatch,"When she was distraught,",Russell,gpt-neo-2.7B,14.643096923828123
32,1,she,f,Match,"When she was distraught, the",wife,gpt-neo-2.7B,10.527201652526855
32,1,he,f,Mismatch,"When he was distraught,",Helen,gpt-neo-2.7B,15.029390335083008
1,1,he,m,Match,"When he was off work,",Russell,gpt-neo-2.7B,14.244951248168944
1,1,she,m,Mismatch,"When she was off work,",Dan,gpt-neo-2.7B,13.464580535888672
1,1,she,f,Match,"When she was off work,",Judy,gpt-neo-2.7B,14.006996154785156
1,1,he,f,Mismatch,"When he was off work,",Grace,gpt-neo-2.7B,16.124305725097656
2,1,he,m,Match,"When he arrived,",Benjamin,gpt-neo-2.7B,15.474153518676758
2,1,she,m,Mismatch,"When she arrived,",Steve,gpt-neo-2.7B,14.219244956970217
2,1,she,f,Match,"When she arrived,",Claire,gpt-neo-2.7B,14.857165336608888
2,1,he,f,Mismatch,"When he arrived,",Mary,gpt-neo-2.7B,11.544931411743164
3,1,he,m,Match,"When he was fed up,",Benjamin,gpt-neo-2.7B,17.68736457824707
3,1,she,m,Mismatch,"When she was fed up,",Marcus,gpt-neo-2.7B,15.95090103149414
3,1,she,f,Match,"When she was fed up,",Kristen,gpt-neo-2.7B,19.047061920166016
3,1,he,f,Mismatch,"When he was fed up,",Marie,gpt-neo-2.7B,16.515777587890625
4,1,he,m,Match,"When he was talking,",Richard,gpt-neo-2.7B,11.74909782409668
4,1,she,m,Mismatch,"When she was talking,",Alexander,gpt-neo-2.7B,14.241134643554688
4,1,she,f,Match,"When she was talking,",Marie,gpt-neo-2.7B,13.060715675354004
4,1,he,f,Mismatch,"When he was talking, the",wife,gpt-neo-2.7B,11.02810764312744
5,1,he,m,Match,"When he was nearby,",Keith,gpt-neo-2.7B,15.36452293395996
5,1,she,m,Mismatch,"When she was nearby,",Larry,gpt-neo-2.7B,15.276814460754396
5,1,she,f,Match,"When she was nearby, the",sister,gpt-neo-2.7B,11.533108711242676
5,1,he,f,Mismatch,"When he was nearby, the",girl,gpt-neo-2.7B,8.520907402038574
6,1,he,m,Match,"When he was lost, the",guy,gpt-neo-2.7B,12.052523612976074
6,1,she,m,Mismatch,"When she was lost,",Mark,gpt-neo-2.7B,14.088943481445312
6,1,she,f,Match,"When she was lost, the",girl,gpt-neo-2.7B,7.536969184875488
6,1,he,f,Mismatch,"When he was lost,",Suzanne,gpt-neo-2.7B,18.07393264770508
7,1,he,m,Match,"When he was bad-tempered,",Alexander,gpt-neo-2.7B,15.096232414245604
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,gpt-neo-2.7B,16.17068862915039
7,1,she,f,Match,"When she was bad-tempered,",Carrie,gpt-neo-2.7B,17.176645278930664
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,gpt-neo-2.7B,17.401140213012695
8,1,he,m,Match,"When he was jealous,",Benjamin,gpt-neo-2.7B,17.06848907470703
8,1,she,m,Mismatch,"When she was jealous,",Brian,gpt-neo-2.7B,16.185321807861328
8,1,she,f,Match,"When she was jealous, the",girlfriend,gpt-neo-2.7B,12.96334171295166
8,1,he,f,Mismatch,"When he was jealous,",Catherine,gpt-neo-2.7B,15.32420539855957
9,1,he,m,Match,"When he was in residence,",Mark,gpt-neo-2.7B,13.721969604492188
9,1,she,m,Mismatch,"When she was in residence,",Brad,gpt-neo-2.7B,15.589316368103027
9,1,she,f,Match,"When she was in residence,",Sheila,gpt-neo-2.7B,15.109712600708008
9,1,he,f,Mismatch,"When he was in residence,",Catherine,gpt-neo-2.7B,14.539855003356934
10,1,he,m,Match,"When he was introduced,",Charles,gpt-neo-2.7B,11.773848533630373
10,1,she,m,Mismatch,"When she was introduced,",Richard,gpt-neo-2.7B,12.371766090393066
10,1,she,f,Match,"When she was introduced,",Karen,gpt-neo-2.7B,14.525888442993164
10,1,he,f,Mismatch,"When he was introduced,",Claire,gpt-neo-2.7B,17.111894607543945
11,1,he,m,Match,"When he arrived,",Liam,gpt-neo-2.7B,16.98476219177246
11,1,she,m,Mismatch,"When she arrived,",Larry,gpt-neo-2.7B,14.695882797241213
11,1,she,f,Match,"When she arrived, the",mother,gpt-neo-2.7B,8.970464706420898
11,1,he,f,Mismatch,"When he arrived,",Carrie,gpt-neo-2.7B,16.347524642944336
12,1,he,m,Match,"When he felt sad,",Charles,gpt-neo-2.7B,15.421374320983888
12,1,she,m,Mismatch,"When she felt sad,",Dan,gpt-neo-2.7B,15.988286018371582
12,1,she,f,Match,"When she felt sad,",Theresa,gpt-neo-2.7B,17.188167572021484
12,1,he,f,Mismatch,"When he felt sad,",Kristen,gpt-neo-2.7B,19.511852264404297
13,1,he,m,Match,"When he was present,",Steven,gpt-neo-2.7B,15.731876373291016
13,1,she,m,Mismatch,"When she was present,",Bruce,gpt-neo-2.7B,16.07929801940918
13,1,she,f,Match,"When she was present,",Claire,gpt-neo-2.7B,16.354904174804688
13,1,he,f,Mismatch,"When he was present,",Laura,gpt-neo-2.7B,15.316543579101562
14,1,he,m,Match,"When he was depressed,",Larry,gpt-neo-2.7B,14.31771755218506
14,1,she,m,Mismatch,"When she was depressed,",Brian,gpt-neo-2.7B,14.252288818359377
14,1,she,f,Match,"When she was depressed,",Alice,gpt-neo-2.7B,13.661855697631836
14,1,he,f,Mismatch,"When he was depressed,",Naomi,gpt-neo-2.7B,18.048982620239254
15,1,he,m,Match,"When he was around,",Guy,gpt-neo-2.7B,15.50558376312256
15,1,she,m,Mismatch,"When she was around,",Liam,gpt-neo-2.7B,16.484582901000977
15,1,she,f,Match,"When she was around,",Teresa,gpt-neo-2.7B,14.0621919631958
15,1,he,f,Mismatch,"When he was around,",Christina,gpt-neo-2.7B,16.26944351196289
16,1,he,m,Match,"When he was near, the",father,gpt-neo-2.7B,9.706073760986328
16,1,she,m,Mismatch,"When she was near,",Russell,gpt-neo-2.7B,17.252798080444336
16,1,she,f,Match,"When she was near,",Kristen,gpt-neo-2.7B,18.02984619140625
16,1,he,f,Mismatch,"When he was near,",Dana,gpt-neo-2.7B,17.31035041809082
17,1,he,m,Match,"When he was in court, the",nephew,gpt-neo-2.7B,15.75896453857422
17,1,she,m,Mismatch,"When she was in court,",Russell,gpt-neo-2.7B,14.996204376220703
17,1,she,f,Match,"When she was in court, the",girl,gpt-neo-2.7B,8.139577865600586
17,1,he,f,Mismatch,"When he was in court,",Naomi,gpt-neo-2.7B,18.804561614990234
18,1,he,m,Match,"When he was poorly,",Alexander,gpt-neo-2.7B,15.257427215576172
18,1,she,m,Mismatch,"When she was poorly,",Larry,gpt-neo-2.7B,15.31636905670166
18,1,she,f,Match,"When she was poorly,",Sheila,gpt-neo-2.7B,16.576797485351562
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,gpt-neo-2.7B,17.429414749145508
19,1,he,m,Match,"When he arrived,",Bradley,gpt-neo-2.7B,15.984708786010742
19,1,she,m,Mismatch,"When she arrived,",Keith,gpt-neo-2.7B,15.67176342010498
19,1,she,f,Match,"When she arrived,",Judy,gpt-neo-2.7B,14.721668243408203
19,1,he,f,Mismatch,"When he arrived,",Amanda,gpt-neo-2.7B,15.163643836975098
20,1,he,m,Match,"When he was appointed,",Steven,gpt-neo-2.7B,15.570982933044434
20,1,she,m,Mismatch,"When she was appointed,",Russell,gpt-neo-2.7B,15.886032104492188
20,1,she,f,Match,"When she was appointed, the",girlfriend,gpt-neo-2.7B,15.071866989135742
20,1,he,f,Mismatch,"When he was appointed,",Lori,gpt-neo-2.7B,18.13246154785156
21,1,he,m,Match,"When he was fired,",Donald,gpt-neo-2.7B,12.4503755569458
21,1,she,m,Mismatch,"When she was fired,",Russell,gpt-neo-2.7B,15.228863716125488
21,1,she,f,Match,"When she was fired,",Lori,gpt-neo-2.7B,14.587368965148926
21,1,he,f,Mismatch,"When he was fired,",Linda,gpt-neo-2.7B,14.626604080200195
22,1,he,m,Match,"When he was close,",Jason,gpt-neo-2.7B,14.289810180664062
22,1,she,m,Mismatch,"When she was close,",Charles,gpt-neo-2.7B,14.157861709594728
22,1,she,f,Match,"When she was close,",Cynthia,gpt-neo-2.7B,16.754180908203125
22,1,he,f,Mismatch,"When he was close,",Tiffany,gpt-neo-2.7B,18.302492141723636
23,1,he,m,Match,"When he was retired,",Thomas,gpt-neo-2.7B,12.21895694732666
23,1,she,m,Mismatch,"When she was retired,",Charles,gpt-neo-2.7B,13.13236141204834
23,1,she,f,Match,"When she was retired,",Lori,gpt-neo-2.7B,15.966012001037598
23,1,he,f,Mismatch,"When he was retired,",Teresa,gpt-neo-2.7B,17.948917388916016
24,1,he,m,Match,"When he was abroad,",Charles,gpt-neo-2.7B,12.458776473999023
24,1,she,m,Mismatch,"When she was abroad,",John,gpt-neo-2.7B,12.106683731079102
24,1,she,f,Match,"When she was abroad,",Karen,gpt-neo-2.7B,16.74113655090332
24,1,he,f,Mismatch,"When he was abroad,",Linda,gpt-neo-2.7B,17.358610153198242
25,1,he,m,Match,"When he was discovered,",Donald,gpt-neo-2.7B,15.203365325927734
25,1,she,m,Mismatch,"When she was discovered,",Douglas,gpt-neo-2.7B,16.46809959411621
25,1,she,f,Match,"When she was discovered,",Naomi,gpt-neo-2.7B,17.875335693359375
25,1,he,f,Mismatch,"When he was discovered,",Sheila,gpt-neo-2.7B,17.743894577026367
26,1,he,m,Match,"When he was busy,",Douglas,gpt-neo-2.7B,14.99740982055664
26,1,she,m,Mismatch,"When she was busy, the",nephew,gpt-neo-2.7B,14.569408416748049
26,1,she,f,Match,"When she was busy,",Elizabeth,gpt-neo-2.7B,11.519143104553224
26,1,he,f,Mismatch,"When he was busy,",Catherine,gpt-neo-2.7B,14.500868797302246
27,1,he,m,Match,"When he was twenty-one, the",father,gpt-neo-2.7B,7.744803905487059
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,gpt-neo-2.7B,13.845540046691896
27,1,she,f,Match,"When she was twenty-one,",Connie,gpt-neo-2.7B,15.001057624816896
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,gpt-neo-2.7B,16.16604232788086
28,1,he,m,Match,"When he was annoyed, the",guy,gpt-neo-2.7B,9.962223052978516
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,gpt-neo-2.7B,14.862438201904297
28,1,she,f,Match,"When she was annoyed,",Leslie,gpt-neo-2.7B,15.618294715881348
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,gpt-neo-2.7B,17.075464248657227
29,1,he,m,Match,"When he was in church,",Keith,gpt-neo-2.7B,15.56821346282959
29,1,she,m,Mismatch,"When she was in church,",Steve,gpt-neo-2.7B,15.585083961486816
29,1,she,f,Match,"When she was in church,",Ann,gpt-neo-2.7B,13.91627311706543
29,1,he,f,Mismatch,"When he was in church,",Sheila,gpt-neo-2.7B,16.194190979003906
30,1,he,m,Match,"When he was banished, the",guy,gpt-neo-2.7B,12.377681732177734
30,1,she,m,Mismatch,"When she was banished,",Keith,gpt-neo-2.7B,15.981051445007324
30,1,she,f,Match,"When she was banished,",Cynthia,gpt-neo-2.7B,15.830573081970217
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,gpt-neo-2.7B,13.575815200805664
31,1,he,m,Match,"When he was angry,",Russell,gpt-neo-2.7B,15.147085189819336
31,1,she,m,Mismatch,"When she was angry,",Jason,gpt-neo-2.7B,14.911810874938965
31,1,she,f,Match,"When she was angry,",Sheila,gpt-neo-2.7B,16.092041015625
31,1,he,f,Mismatch,"When he was angry,",Teresa,gpt-neo-2.7B,15.876824378967283
32,1,he,m,Match,"When he was distraught,",Thomas,gpt-neo-2.7B,13.6566162109375
32,1,she,m,Mismatch,"When she was distraught,",Bruce,gpt-neo-2.7B,14.744551658630373
32,1,she,f,Match,"When she was distraught,",Teresa,gpt-neo-2.7B,14.725547790527344
32,1,he,f,Mismatch,"When he was distraught,",Laura,gpt-neo-2.7B,13.9612455368042
1,1,he,m,Match,"When he was off work,",Timothy,gpt-neo-2.7B,15.161836624145508
1,1,she,m,Mismatch,"When she was off work,",Ronald,gpt-neo-2.7B,15.918906211853027
1,1,she,f,Match,"When she was off work,",Amanda,gpt-neo-2.7B,12.72018051147461
1,1,he,f,Mismatch,"When he was off work, the",lady,gpt-neo-2.7B,10.575835227966309
2,1,he,m,Match,"When he arrived,",Alexander,gpt-neo-2.7B,13.848570823669434
2,1,she,m,Mismatch,"When she arrived,",Charles,gpt-neo-2.7B,12.883535385131836
2,1,she,f,Match,"When she arrived,",Julie,gpt-neo-2.7B,14.184365272521973
2,1,he,f,Mismatch,"When he arrived,",Diana,gpt-neo-2.7B,15.488001823425291
3,1,he,m,Match,"When he was fed up,",Phillip,gpt-neo-2.7B,17.482585906982422
3,1,she,m,Mismatch,"When she was fed up,",Bradley,gpt-neo-2.7B,18.58659172058105
3,1,she,f,Match,"When she was fed up,",Allison,gpt-neo-2.7B,17.991315841674805
3,1,he,f,Mismatch,"When he was fed up,",Lori,gpt-neo-2.7B,18.677907943725582
4,1,he,m,Match,"When he was talking, the",guy,gpt-neo-2.7B,9.140976905822754
4,1,she,m,Mismatch,"When she was talking,",Jason,gpt-neo-2.7B,13.645827293395996
4,1,she,f,Match,"When she was talking,",Amanda,gpt-neo-2.7B,13.865471839904783
4,1,he,f,Mismatch,"When he was talking,",Helen,gpt-neo-2.7B,14.001041412353516
5,1,he,m,Match,"When he was nearby,",Robert,gpt-neo-2.7B,12.783987998962402
5,1,she,m,Mismatch,"When she was nearby,",Charles,gpt-neo-2.7B,14.033525466918944
5,1,she,f,Match,"When she was nearby,",Rachel,gpt-neo-2.7B,13.27864933013916
5,1,he,f,Mismatch,"When he was nearby,",Carol,gpt-neo-2.7B,15.395543098449709
6,1,he,m,Match,"When he was lost,",Samuel,gpt-neo-2.7B,16.017011642456055
6,1,she,m,Mismatch,"When she was lost,",Roger,gpt-neo-2.7B,15.569292068481444
6,1,she,f,Match,"When she was lost,",Connie,gpt-neo-2.7B,17.545026779174805
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,gpt-neo-2.7B,17.077098846435547
7,1,he,m,Match,"When he was bad-tempered,",Christopher,gpt-neo-2.7B,15.880778312683104
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,gpt-neo-2.7B,17.63507080078125
7,1,she,f,Match,"When she was bad-tempered,",Diane,gpt-neo-2.7B,18.657501220703125
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,gpt-neo-2.7B,19.95497131347656
8,1,he,m,Match,"When he was jealous,",Bradley,gpt-neo-2.7B,17.898502349853516
8,1,she,m,Mismatch,"When she was jealous,",Brad,gpt-neo-2.7B,15.329143524169922
8,1,she,f,Match,"When she was jealous,",Maria,gpt-neo-2.7B,14.57229709625244
8,1,he,f,Mismatch,"When he was jealous,",Alice,gpt-neo-2.7B,15.77190399169922
9,1,he,m,Match,"When he was in residence,",Adam,gpt-neo-2.7B,15.140361785888672
9,1,she,m,Mismatch,"When she was in residence,",Rodney,gpt-neo-2.7B,17.745805740356445
9,1,she,f,Match,"When she was in residence,",Anne,gpt-neo-2.7B,13.186504364013672
9,1,he,f,Mismatch,"When he was in residence,",Natalie,gpt-neo-2.7B,17.742313385009766
10,1,he,m,Match,"When he was introduced, the",nephew,gpt-neo-2.7B,13.921379089355469
10,1,she,m,Mismatch,"When she was introduced,",Liam,gpt-neo-2.7B,17.283666610717773
10,1,she,f,Match,"When she was introduced,",Catherine,gpt-neo-2.7B,12.885446548461914
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,gpt-neo-2.7B,17.581151962280273
11,1,he,m,Match,"When he arrived,",Larry,gpt-neo-2.7B,14.583518028259276
11,1,she,m,Mismatch,"When she arrived,",Samuel,gpt-neo-2.7B,14.651244163513184
11,1,she,f,Match,"When she arrived,",Mary,gpt-neo-2.7B,10.36334991455078
11,1,he,f,Mismatch,"When he arrived, the",sister,gpt-neo-2.7B,12.87855052947998
12,1,he,m,Match,"When he felt sad,",Phillip,gpt-neo-2.7B,17.075721740722656
12,1,she,m,Mismatch,"When she felt sad,",Frank,gpt-neo-2.7B,15.788898468017578
12,1,she,f,Match,"When she felt sad,",Kristen,gpt-neo-2.7B,18.815614700317383
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,gpt-neo-2.7B,15.561294555664062
13,1,he,m,Match,"When he was present,",Dan,gpt-neo-2.7B,14.451187133789062
13,1,she,m,Mismatch,"When she was present,",Travis,gpt-neo-2.7B,17.556245803833008
