item,exp,pronoun,cond,contrast,sent,target,/data/gpt2_surp
25,1,he,m,Match,"When he was discovered,",Thomas,10.743053436279297
25,1,she,m,Mismatch,"When she was discovered,",Donald,12.155756950378418
25,1,she,f,Match,"When she was discovered,",Suzanne,14.67793083190918
25,1,he,f,Mismatch,"When he was discovered,",Dana,14.47742748260498
26,1,he,m,Match,"When he was busy, the",nephew,14.51972484588623
26,1,she,m,Mismatch,"When she was busy,",Bruce,12.626093864440918
26,1,she,f,Match,"When she was busy,",Lori,14.96062183380127
26,1,he,f,Mismatch,"When he was busy,",Christina,15.287583351135254
27,1,he,m,Match,"When he was twenty-one,",Brian,12.641228675842285
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,13.987007141113281
27,1,she,f,Match,"When she was twenty-one,",Naomi,13.306902885437012
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,8.212833404541016
28,1,he,m,Match,"When he was annoyed,",Larry,12.875082969665527
28,1,she,m,Mismatch,"When she was annoyed,",Richard,12.938644409179688
28,1,she,f,Match,"When she was annoyed,",Ann,13.222203254699707
28,1,he,f,Mismatch,"When he was annoyed, the",woman,5.937336444854736
29,1,he,m,Match,"When he was in church,",Liam,15.91213607788086
29,1,she,m,Mismatch,"When she was in church,",Richard,12.263928413391113
29,1,she,f,Match,"When she was in church, the",dancer,15.0428466796875
29,1,he,f,Mismatch,"When he was in church,",Teresa,14.46471881866455
30,1,he,m,Match,"When he was banished,",Timothy,14.859134674072266
30,1,she,m,Mismatch,"When she was banished,",Russell,14.30604076385498
30,1,she,f,Match,"When she was banished,",Sheila,15.432199478149414
30,1,he,f,Mismatch,"When he was banished,",Cheryl,17.70374298095703
31,1,he,m,Match,"When he was angry,",Steve,12.469337463378906
31,1,she,m,Mismatch,"When she was angry,",Wayne,16.85666275024414
31,1,she,f,Match,"When she was angry, the",dancer,13.325469017028809
31,1,he,f,Mismatch,"When he was angry,",Janet,16.20746421813965
32,1,he,m,Match,"When he was distraught,",Brian,11.639503479003906
32,1,she,m,Mismatch,"When she was distraught,",Russell,12.913084983825684
32,1,she,f,Match,"When she was distraught, the",wife,9.072161674499512
32,1,he,f,Mismatch,"When he was distraught,",Helen,13.162725448608398
1,1,he,m,Match,"When he was off work,",Russell,12.490704536437988
1,1,she,m,Mismatch,"When she was off work,",Dan,11.644973754882812
1,1,she,f,Match,"When she was off work,",Judy,11.25282096862793
1,1,he,f,Mismatch,"When he was off work,",Grace,14.129179000854492
2,1,he,m,Match,"When he arrived,",Benjamin,12.9796724319458
2,1,she,m,Mismatch,"When she arrived,",Steve,12.06324577331543
2,1,she,f,Match,"When she arrived,",Claire,12.381686210632324
2,1,he,f,Mismatch,"When he arrived,",Mary,12.10519790649414
3,1,he,m,Match,"When he was fed up,",Benjamin,13.746391296386719
3,1,she,m,Mismatch,"When she was fed up,",Marcus,13.298157691955566
3,1,she,f,Match,"When she was fed up,",Kristen,14.75783634185791
3,1,he,f,Mismatch,"When he was fed up,",Marie,14.745223045349121
4,1,he,m,Match,"When he was talking,",Richard,11.621644020080566
4,1,she,m,Mismatch,"When she was talking,",Alexander,12.995405197143555
4,1,she,f,Match,"When she was talking,",Marie,13.485586166381836
4,1,he,f,Mismatch,"When he was talking, the",wife,10.07346248626709
5,1,he,m,Match,"When he was nearby,",Keith,12.42399787902832
5,1,she,m,Mismatch,"When she was nearby,",Larry,12.968213081359863
5,1,she,f,Match,"When she was nearby, the",sister,11.457670211791992
5,1,he,f,Mismatch,"When he was nearby, the",girl,6.8632330894470215
6,1,he,m,Match,"When he was lost, the",guy,10.260266304016113
6,1,she,m,Mismatch,"When she was lost,",Mark,12.463174819946289
6,1,she,f,Match,"When she was lost, the",girl,6.093639850616455
6,1,he,f,Mismatch,"When he was lost,",Suzanne,16.509586334228516
7,1,he,m,Match,"When he was bad-tempered,",Alexander,15.006192207336426
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,14.912315368652344
7,1,she,f,Match,"When she was bad-tempered,",Carrie,15.098265647888184
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,15.481095314025879
8,1,he,m,Match,"When he was jealous,",Benjamin,14.447857856750488
8,1,she,m,Mismatch,"When she was jealous,",Brian,13.335204124450684
8,1,she,f,Match,"When she was jealous, the",girlfriend,10.629719734191895
8,1,he,f,Mismatch,"When he was jealous,",Catherine,14.354101181030273
9,1,he,m,Match,"When he was in residence,",Mark,11.954486846923828
9,1,she,m,Mismatch,"When she was in residence,",Brad,14.05457878112793
9,1,she,f,Match,"When she was in residence,",Sheila,13.911940574645996
9,1,he,f,Mismatch,"When he was in residence,",Catherine,13.965378761291504
10,1,he,m,Match,"When he was introduced,",Charles,11.23531436920166
10,1,she,m,Mismatch,"When she was introduced,",Richard,12.095636367797852
10,1,she,f,Match,"When she was introduced,",Karen,12.174478530883789
10,1,he,f,Mismatch,"When he was introduced,",Claire,14.657598495483398
11,1,he,m,Match,"When he arrived,",Liam,14.818425178527832
11,1,she,m,Mismatch,"When she arrived,",Larry,12.99621295928955
11,1,she,f,Match,"When she arrived, the",mother,8.014841079711914
11,1,he,f,Mismatch,"When he arrived,",Carrie,14.656846046447754
12,1,he,m,Match,"When he felt sad,",Charles,13.225929260253906
12,1,she,m,Mismatch,"When she felt sad,",Dan,14.035359382629395
12,1,she,f,Match,"When she felt sad,",Theresa,14.944275856018066
12,1,he,f,Mismatch,"When he felt sad,",Kristen,16.135601043701172
13,1,he,m,Match,"When he was present,",Steven,13.25454044342041
13,1,she,m,Mismatch,"When she was present,",Bruce,13.025888442993164
13,1,she,f,Match,"When she was present,",Claire,12.336196899414062
13,1,he,f,Mismatch,"When he was present,",Laura,14.231611251831055
14,1,he,m,Match,"When he was depressed,",Larry,12.502852439880371
14,1,she,m,Mismatch,"When she was depressed,",Brian,12.576920509338379
14,1,she,f,Match,"When she was depressed,",Alice,13.380181312561035
14,1,he,f,Mismatch,"When he was depressed,",Naomi,16.884355545043945
15,1,he,m,Match,"When he was around,",Guy,14.779970169067383
15,1,she,m,Mismatch,"When she was around,",Liam,15.944549560546875
15,1,she,f,Match,"When she was around,",Teresa,14.831037521362305
15,1,he,f,Mismatch,"When he was around,",Christina,16.022823333740234
16,1,he,m,Match,"When he was near, the",father,9.468001365661621
16,1,she,m,Mismatch,"When she was near,",Russell,13.463983535766602
16,1,she,f,Match,"When she was near,",Kristen,14.591506958007812
16,1,he,f,Mismatch,"When he was near,",Dana,14.080519676208496
17,1,he,m,Match,"When he was in court, the",nephew,15.115467071533203
17,1,she,m,Mismatch,"When she was in court,",Russell,12.92563247680664
17,1,she,f,Match,"When she was in court, the",girl,6.62241268157959
17,1,he,f,Mismatch,"When he was in court,",Naomi,16.78059959411621
18,1,he,m,Match,"When he was poorly,",Alexander,14.25721263885498
18,1,she,m,Mismatch,"When she was poorly,",Larry,14.688433647155762
18,1,she,f,Match,"When she was poorly,",Sheila,14.327496528625488
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,17.724977493286133
19,1,he,m,Match,"When he arrived,",Bradley,13.105062484741211
19,1,she,m,Mismatch,"When she arrived,",Keith,13.581965446472168
19,1,she,f,Match,"When she arrived,",Judy,11.860939025878906
19,1,he,f,Mismatch,"When he arrived,",Amanda,15.057785034179688
20,1,he,m,Match,"When he was appointed,",Steven,14.231589317321777
20,1,she,m,Mismatch,"When she was appointed,",Russell,12.94080924987793
20,1,she,f,Match,"When she was appointed, the",girlfriend,15.362112045288086
20,1,he,f,Mismatch,"When he was appointed,",Lori,17.925809860229492
21,1,he,m,Match,"When he was fired,",Donald,9.977818489074707
21,1,she,m,Mismatch,"When she was fired,",Russell,12.267899513244629
21,1,she,f,Match,"When she was fired,",Lori,14.249557495117188
21,1,he,f,Mismatch,"When he was fired,",Linda,14.108506202697754
22,1,he,m,Match,"When he was close,",Jason,12.348663330078125
22,1,she,m,Mismatch,"When she was close,",Charles,12.795835494995117
22,1,she,f,Match,"When she was close,",Cynthia,14.990554809570312
22,1,he,f,Mismatch,"When he was close,",Tiffany,15.28934097290039
23,1,he,m,Match,"When he was retired,",Thomas,10.355531692504883
23,1,she,m,Mismatch,"When she was retired,",Charles,11.768445014953613
23,1,she,f,Match,"When she was retired,",Lori,14.096391677856445
23,1,he,f,Mismatch,"When he was retired,",Teresa,15.004192352294922
24,1,he,m,Match,"When he was abroad,",Charles,11.152654647827148
24,1,she,m,Mismatch,"When she was abroad,",John,11.558951377868652
24,1,she,f,Match,"When she was abroad,",Karen,13.493841171264648
24,1,he,f,Mismatch,"When he was abroad,",Linda,15.90304183959961
25,1,he,m,Match,"When he was discovered,",Donald,11.660070419311523
25,1,she,m,Mismatch,"When she was discovered,",Douglas,14.028039932250977
25,1,she,f,Match,"When she was discovered,",Naomi,14.647716522216797
25,1,he,f,Mismatch,"When he was discovered,",Sheila,15.218764305114746
26,1,he,m,Match,"When he was busy,",Douglas,13.897544860839844
26,1,she,m,Mismatch,"When she was busy, the",nephew,14.75381088256836
26,1,she,f,Match,"When she was busy,",Elizabeth,11.78068733215332
26,1,he,f,Mismatch,"When he was busy,",Catherine,13.846329689025879
27,1,he,m,Match,"When he was twenty-one, the",father,7.865664958953857
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,12.384679794311523
27,1,she,f,Match,"When she was twenty-one,",Connie,13.859074592590332
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,14.706670761108398
28,1,he,m,Match,"When he was annoyed, the",guy,7.9335455894470215
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,12.941880226135254
28,1,she,f,Match,"When she was annoyed,",Leslie,13.782432556152344
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,15.041800498962402
29,1,he,m,Match,"When he was in church,",Keith,13.186442375183105
29,1,she,m,Mismatch,"When she was in church,",Steve,12.876648902893066
29,1,she,f,Match,"When she was in church,",Ann,12.053565979003906
29,1,he,f,Mismatch,"When he was in church,",Sheila,16.20372772216797
30,1,he,m,Match,"When he was banished, the",guy,12.715736389160156
30,1,she,m,Mismatch,"When she was banished,",Keith,15.146466255187988
30,1,she,f,Match,"When she was banished,",Cynthia,15.127083778381348
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,11.22791862487793
31,1,he,m,Match,"When he was angry,",Russell,13.32020092010498
31,1,she,m,Mismatch,"When she was angry,",Jason,12.720078468322754
31,1,she,f,Match,"When she was angry,",Sheila,14.81460189819336
31,1,he,f,Mismatch,"When he was angry,",Teresa,16.20586585998535
32,1,he,m,Match,"When he was distraught,",Thomas,11.134284973144531
32,1,she,m,Mismatch,"When she was distraught,",Bruce,12.70761775970459
32,1,she,f,Match,"When she was distraught,",Teresa,13.560630798339844
32,1,he,f,Mismatch,"When he was distraught,",Laura,14.088293075561523
1,1,he,m,Match,"When he was off work,",Timothy,14.8951416015625
1,1,she,m,Mismatch,"When she was off work,",Ronald,15.164327621459961
1,1,she,f,Match,"When she was off work,",Amanda,12.396546363830566
1,1,he,f,Mismatch,"When he was off work, the",lady,10.416840553283691
2,1,he,m,Match,"When he arrived,",Alexander,11.775548934936523
2,1,she,m,Mismatch,"When she arrived,",Charles,12.340818405151367
2,1,she,f,Match,"When she arrived,",Julie,12.965338706970215
2,1,he,f,Mismatch,"When he arrived,",Diana,14.256755828857422
3,1,he,m,Match,"When he was fed up,",Phillip,14.681900024414062
3,1,she,m,Mismatch,"When she was fed up,",Bradley,14.920977592468262
3,1,she,f,Match,"When she was fed up,",Allison,13.399770736694336
3,1,he,f,Mismatch,"When he was fed up,",Lori,15.926140785217285
4,1,he,m,Match,"When he was talking, the",guy,7.218280792236328
4,1,she,m,Mismatch,"When she was talking,",Jason,12.324422836303711
4,1,she,f,Match,"When she was talking,",Amanda,13.536600112915039
4,1,he,f,Mismatch,"When he was talking,",Helen,13.17633056640625
5,1,he,m,Match,"When he was nearby,",Robert,11.339089393615723
5,1,she,m,Mismatch,"When she was nearby,",Charles,12.412835121154785
5,1,she,f,Match,"When she was nearby,",Rachel,12.119071960449219
5,1,he,f,Mismatch,"When he was nearby,",Carol,14.374899864196777
6,1,he,m,Match,"When he was lost,",Samuel,12.986665725708008
6,1,she,m,Mismatch,"When she was lost,",Roger,14.178238868713379
6,1,she,f,Match,"When she was lost,",Connie,14.402535438537598
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,13.871397018432617
7,1,he,m,Match,"When he was bad-tempered,",Christopher,13.993436813354492
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,16.551340103149414
7,1,she,f,Match,"When she was bad-tempered,",Diane,16.30617332458496
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,17.779531478881836
8,1,he,m,Match,"When he was jealous,",Bradley,15.603251457214355
8,1,she,m,Mismatch,"When she was jealous,",Brad,13.299278259277344
8,1,she,f,Match,"When she was jealous,",Maria,13.833089828491211
8,1,he,f,Mismatch,"When he was jealous,",Alice,14.215843200683594
9,1,he,m,Match,"When he was in residence,",Adam,12.691972732543945
9,1,she,m,Mismatch,"When she was in residence,",Rodney,15.692437171936035
9,1,she,f,Match,"When she was in residence,",Anne,12.600381851196289
9,1,he,f,Mismatch,"When he was in residence,",Natalie,16.293712615966797
10,1,he,m,Match,"When he was introduced, the",nephew,15.096680641174316
10,1,she,m,Mismatch,"When she was introduced,",Liam,15.797032356262207
10,1,she,f,Match,"When she was introduced,",Catherine,13.23450756072998
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,16.33411407470703
11,1,he,m,Match,"When he arrived,",Larry,12.696200370788574
11,1,she,m,Mismatch,"When she arrived,",Samuel,14.321374893188477
11,1,she,f,Match,"When she arrived,",Mary,11.194900512695312
11,1,he,f,Mismatch,"When he arrived, the",sister,13.417747497558594
12,1,he,m,Match,"When he felt sad,",Phillip,14.994524955749512
12,1,she,m,Mismatch,"When she felt sad,",Frank,14.271198272705078
12,1,she,f,Match,"When she felt sad,",Kristen,15.054492950439453
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,11.775182723999023
13,1,he,m,Match,"When he was present,",Dan,12.262206077575684
13,1,she,m,Mismatch,"When she was present,",Travis,14.902937889099121
13,1,she,f,Match,"When she was present, the",sister,11.72752571105957
13,1,he,f,Mismatch,"When he was present, the",mother,9.330048561096191
14,1,he,m,Match,"When he was depressed,",Russell,11.96751594543457
14,1,she,m,Mismatch,"When she was depressed,",Larry,13.418126106262207
14,1,she,f,Match,"When she was depressed,",Tara,13.814034461975098
14,1,he,f,Mismatch,"When he was depressed,",Leslie,14.889054298400879
15,1,he,m,Match,"When he was around,",Samuel,14.229461669921875
15,1,she,m,Mismatch,"When she was around,",Timothy,15.993728637695312
15,1,she,f,Match,"When she was around,",Sheila,14.328485488891602
15,1,he,f,Mismatch,"When he was around,",Kristen,16.656570434570312
16,1,he,m,Match,"When he was near,",Timothy,14.771435737609863
16,1,she,m,Mismatch,"When she was near,",Timothy,15.240629196166992
16,1,she,f,Match,"When she was near,",Danielle,14.222590446472168
16,1,he,f,Mismatch,"When he was near,",Cheryl,15.053619384765625
17,1,he,m,Match,"When he was in court,",Travis,14.23317813873291
17,1,she,m,Mismatch,"When she was in court,",Steven,12.975540161132812
17,1,she,f,Match,"When she was in court,",Wendy,13.673949241638184
17,1,he,f,Mismatch,"When he was in court,",Leslie,14.527711868286133
18,1,he,m,Match,"When he was poorly,",Mark,13.066776275634766
18,1,she,m,Mismatch,"When she was poorly,",Ronald,15.494519233703613
18,1,she,f,Match,"When she was poorly,",Cheryl,15.087616920471191
18,1,he,f,Mismatch,"When he was poorly,",Anne,15.425553321838379
19,1,he,m,Match,"When he arrived,",Brett,14.09253215789795
19,1,she,m,Mismatch,"When she arrived,",John,11.033535957336426
19,1,she,f,Match,"When she arrived,",Karen,12.300219535827637
19,1,he,f,Mismatch,"When he arrived,",Nicole,14.187115669250488
20,1,he,m,Match,"When he was appointed,",Phillip,15.121870040893555
20,1,she,m,Mismatch,"When she was appointed,",Keith,14.379278182983398
20,1,she,f,Match,"When she was appointed, the",sister,12.436836242675781
20,1,he,f,Mismatch,"When he was appointed,",Elizabeth,11.4183931350708
21,1,he,m,Match,"When he was fired,",Bradley,12.436768531799316
21,1,she,m,Mismatch,"When she was fired, the",guy,11.051555633544922
21,1,she,f,Match,"When she was fired,",Laura,13.786365509033203
21,1,he,f,Mismatch,"When he was fired,",Suzanne,16.614456176757812
22,1,he,m,Match,"When he was close,",Ronald,14.808334350585938
22,1,she,m,Mismatch,"When she was close, the",guy,9.116772651672363
22,1,she,f,Match,"When she was close,",Grace,13.681288719177246
22,1,he,f,Mismatch,"When he was close,",Wendy,14.428861618041992
23,1,he,m,Match,"When he was retired,",Bradley,13.014609336853027
23,1,she,m,Mismatch,"When she was retired,",Alexander,12.25560188293457
23,1,she,f,Match,"When she was retired, the",mother,7.868564128875732
23,1,he,f,Mismatch,"When he was retired,",Christina,15.909674644470215
24,1,he,m,Match,"When he was abroad,",Travis,16.418468475341797
24,1,she,m,Mismatch,"When she was abroad,",Walter,14.864788055419922
24,1,she,f,Match,"When she was abroad, the",mother,8.063716888427734
24,1,he,f,Mismatch,"When he was abroad,",Anne,13.584789276123047
25,1,he,m,Match,"When he was discovered,",Bruce,12.648530960083008
25,1,she,m,Mismatch,"When she was discovered,",Ronald,14.38648509979248
25,1,she,f,Match,"When she was discovered,",Alice,13.256958961486816
25,1,he,f,Mismatch,"When he was discovered,",Carol,14.9755859375
26,1,he,m,Match,"When he was busy,",Dennis,13.510505676269531
26,1,she,m,Mismatch,"When she was busy,",Mitchell,13.421286582946777
26,1,she,f,Match,"When she was busy,",Nicole,12.984676361083984
26,1,he,f,Mismatch,"When he was busy,",Pamela,15.87059211730957
27,1,he,m,Match,"When he was twenty-one,",Liam,15.74521541595459
27,1,she,m,Mismatch,"When she was twenty-one,",Mark,11.82388973236084
27,1,she,f,Match,"When she was twenty-one,",Grace,13.373637199401855
27,1,he,f,Mismatch,"When he was twenty-one, the",girl,8.355020523071289
28,1,he,m,Match,"When he was annoyed,",Eric,11.853666305541992
28,1,she,m,Mismatch,"When she was annoyed, the",guy,8.214668273925781
28,1,she,f,Match,"When she was annoyed,",Wendy,12.9789400100708
28,1,he,f,Mismatch,"When he was annoyed,",Sally,14.90176010131836
29,1,he,m,Match,"When he was in church,",Steven,13.961450576782227
29,1,she,m,Mismatch,"When she was in church,",Benjamin,14.117169380187988
29,1,she,f,Match,"When she was in church,",Claire,13.496469497680664
29,1,he,f,Mismatch,"When he was in church, the",girlfriend,14.575502395629883
30,1,he,m,Match,"When he was banished,",Jason,13.083998680114746
30,1,she,m,Mismatch,"When she was banished,",Bradley,15.565295219421387
30,1,she,f,Match,"When she was banished,",Suzanne,16.186403274536133
30,1,he,f,Mismatch,"When he was banished,",Mary,11.054316520690918
31,1,he,m,Match,"When he was angry,",Timothy,16.325645446777344
31,1,she,m,Mismatch,"When she was angry,",Jeffrey,15.542110443115234
31,1,she,f,Match,"When she was angry,",Karen,13.129752159118652
31,1,he,f,Mismatch,"When he was angry,",Claire,14.178950309753418
32,1,he,m,Match,"When he was distraught,",Guy,15.277170181274414
32,1,she,m,Mismatch,"When she was distraught,",Rodney,15.320192337036133
32,1,she,f,Match,"When she was distraught,",Marie,12.33717155456543
32,1,he,f,Mismatch,"When he was distraught,",Danielle,14.205913543701172
1,1,he,m,Match,"When he was off work,",Bruce,11.960150718688965
1,1,she,m,Mismatch,"When she was off work,",Mark,11.437373161315918
1,1,she,f,Match,"When she was off work, the",woman,5.141657829284668
1,1,he,f,Mismatch,"When he was off work, the",granddaughter,15.563042640686035
2,1,he,m,Match,"When he arrived,",Kenneth,14.272937774658203
2,1,she,m,Mismatch,"When she arrived,",Samuel,14.321374893188477
2,1,she,f,Match,"When she arrived, the",waitress,10.458915710449219
2,1,he,f,Mismatch,"When he arrived, the",granddaughter,15.9158935546875
3,1,he,m,Match,"When he was fed up,",Jeffrey,14.539591789245605
3,1,she,m,Mismatch,"When she was fed up,",Martin,12.640243530273438
3,1,she,f,Match,"When she was fed up,",Leslie,13.998889923095703
3,1,he,f,Mismatch,"When he was fed up,",Carrie,14.568011283874512
4,1,he,m,Match,"When he was talking,",Benjamin,13.821535110473633
4,1,she,m,Mismatch,"When she was talking,",Frank,12.481637001037598
4,1,she,f,Match,"When she was talking,",Cynthia,15.269582748413086
4,1,he,f,Mismatch,"When he was talking, the",girlfriend,12.348553657531738
5,1,he,m,Match,"When he was nearby,",Ronald,14.2424955368042
5,1,she,m,Mismatch,"When she was nearby,",Alexander,12.700441360473633
5,1,she,f,Match,"When she was nearby,",Veronica,14.603455543518066
5,1,he,f,Mismatch,"When he was nearby,",Meredith,14.3448486328125
6,1,he,m,Match,"When he was lost,",John,10.17614459991455
6,1,she,m,Mismatch,"When she was lost,",Theodore,15.618537902832031
6,1,she,f,Match,"When she was lost,",Tiffany,14.517651557922363
6,1,he,f,Mismatch,"When he was lost,",Diana,13.630194664001465
7,1,he,m,Match,"When he was bad-tempered,",Dan,13.69098949432373
7,1,she,m,Mismatch,"When she was bad-tempered, the",grandson,14.322739601135254
7,1,she,f,Match,"When she was bad-tempered,",Tara,15.59284496307373
7,1,he,f,Mismatch,"When he was bad-tempered,",Rachel,15.908096313476562
8,1,he,m,Match,"When he was jealous,",Bruce,14.394063949584961
8,1,she,m,Mismatch,"When she was jealous,",Douglas,14.77285099029541
