exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2_surp
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,6.408223628997803
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,7.374357223510742
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,3.5350518226623535
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him,4.432281970977783
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his,5.532362461090088
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his,6.8842315673828125
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him,4.595877170562744
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him,5.233088970184326
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his,3.711979627609253
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his,5.007557392120361
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him,6.860389232635498
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him,5.867659091949463
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his,5.581421852111816
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his,6.1080708503723145
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him,5.547195911407471
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him,6.585997104644775
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his,3.3164074420928955
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his,5.312896251678467
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him,6.634157180786133
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him,7.097116470336914
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his,6.486863613128662
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his,7.947530269622803
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him,5.415879249572754
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him,7.142950057983398
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his,4.690195083618164
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his,7.063116073608398
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him,7.121757507324219
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him,4.8672332763671875
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his,4.016493320465088
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his,5.42786979675293
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him,6.654772758483887
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him,7.895580768585205
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his,8.743109703063965
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his,10.95128059387207
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him,15.306734085083008
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him,15.851893424987793
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his,14.53900146484375
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his,15.2360258102417
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him,4.357607841491699
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him,4.964700222015381
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his,5.680679798126221
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his,7.028117656707764
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him,3.9869816303253174
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him,5.29270601272583
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his,4.819377422332764
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his,6.228676795959473
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him,4.577048301696777
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him,5.88254976272583
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his,2.8774964809417725
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his,4.121292591094971
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him,8.888533592224121
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him,8.854446411132812
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his,7.859455585479736
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his,8.61443042755127
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him,6.791567325592041
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him,6.093063831329346
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his,6.7592949867248535
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his,7.934263229370117
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him,3.909003257751465
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him,6.397317886352539
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his,3.686079978942871
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his,7.116519451141357
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him,4.276604652404785
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him,5.030129909515381
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his,8.522445678710938
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his,10.193923950195312
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him,3.5040528774261475
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him,4.388702392578125
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his,4.72127103805542
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his,5.964845180511475
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him,4.652101039886475
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him,4.5468268394470215
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his,2.9378774166107178
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his,5.387566089630127
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him,3.5641560554504395
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him,3.6009812355041504
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his,3.5928404331207275
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his,6.1636271476745605
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him,8.447550773620605
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him,7.391482830047607
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his,6.379147529602051
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his,6.710871696472168
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him,5.639489650726318
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him,6.380432605743408
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his,6.798581600189209
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his,8.222369194030762
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him,2.9502291679382324
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him,3.817760705947876
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his,5.6274237632751465
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his,7.24558162689209
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him,5.208479404449463
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him,6.030043125152588
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his,7.631371021270752
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his,9.118081092834473
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him,4.679685592651367
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him,6.441802501678467
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his,4.466075420379639
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his,7.20521879196167
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him,3.6941936016082764
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him,5.514242649078369
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his,2.806774139404297
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his,5.635021209716797
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him,16.29724884033203
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him,16.423986434936523
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his,15.111289978027344
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his,15.548674583435059
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him,3.6598761081695557
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him,5.570675373077393
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his,2.232051134109497
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his,4.249683856964111
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him,4.610612869262695
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him,5.834026336669922
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his,4.900512218475342
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his,6.818482398986816
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him,4.108254909515381
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him,5.323055744171143
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his,5.644585609436035
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his,7.52170467376709
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him,6.058683395385742
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him,7.261621952056885
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his,7.905210018157959
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his,9.400965690612793
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him,5.788453578948975
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him,5.097464084625244
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his,5.848254680633545
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his,5.419393539428711
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him,5.573551177978516
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him,6.114948272705078
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his,8.68680477142334
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his,9.587225914001465
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him,5.893216133117676
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him,5.294023036956787
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his,6.164458751678467
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his,6.144217014312744
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him,5.58233118057251
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him,6.84874963760376
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his,7.437135219573975
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his,8.881963729858398
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him,6.67319917678833
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him,6.219606876373291
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his,4.6159234046936035
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his,7.41664981842041
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him,5.304931163787842
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him,4.779479026794434
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his,7.4163947105407715
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his,8.099696159362793
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him,4.522380828857422
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him,6.022261142730713
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his,4.217170238494873
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his,6.20665979385376
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him,15.910417556762695
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him,16.48082160949707
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his,14.633552551269531
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his,15.443531036376953
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him,15.247783660888672
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him,15.184578895568848
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his,14.66621208190918
About,is stunning,61,61_F_his,f,Mismatch,poss,The pamphlet about Dana is stunning,his,14.619232177734375
About,harms,62,62_M_him,m,Match,obj,The brochure about Theodore harms,him,6.6677069664001465
About,harms,62,62_F_him,f,Mismatch,obj,The brochure about Pamela harms,him,7.377750396728516
About,harms,62,62_M_his,m,Match,poss,The brochure about Theodore harms,his,4.321599006652832
About,harms,62,62_F_his,f,Mismatch,poss,The brochure about Pamela harms,his,7.107993125915527
About,should bore,63,63_M_him,m,Match,obj,The play about Jason should bore,him,7.222849369049072
About,should bore,63,63_F_him,f,Mismatch,obj,The play about Jacqueline should bore,him,6.988946914672852
About,should bore,63,63_M_his,m,Match,poss,The play about Jason should bore,his,8.443293571472168
About,should bore,63,63_F_his,f,Mismatch,poss,The play about Jacqueline should bore,his,8.243182182312012
About,will upset,64,64_M_him,m,Match,obj,The movie about that boy will upset,him,5.745359897613525
About,will upset,64,64_F_him,f,Mismatch,obj,The movie about Melissa will upset,him,7.006242752075195
About,will upset,64,64_M_his,m,Match,poss,The movie about that boy will upset,his,6.428920745849609
About,will upset,64,64_F_his,f,Mismatch,poss,The movie about Melissa will upset,his,7.586790084838867
About,is shocking,65,65_M_him,m,Match,obj,The newspaper article about Craig is shocking,him,15.721077919006348
About,is shocking,65,65_F_him,f,Mismatch,obj,The newspaper article about Connie is shocking,him,15.441198348999023
About,is shocking,65,65_M_his,m,Match,poss,The newspaper article about Craig is shocking,his,15.281408309936523
About,is shocking,65,65_F_his,f,Mismatch,poss,The newspaper article about Connie is shocking,his,15.366681098937988
About,has aggravated,66,66_M_him,m,Match,obj,The story about Jeffrey has aggravated,him,6.7322096824646
About,has aggravated,66,66_F_him,f,Mismatch,obj,The story about Sally has aggravated,him,6.932766437530518
About,has aggravated,66,66_M_his,m,Match,poss,The story about Jeffrey has aggravated,his,5.11560583114624
About,has aggravated,66,66_F_his,f,Mismatch,poss,The story about Sally has aggravated,his,6.108911037445068
About,would distract,67,67_M_him,m,Match,obj,The essay about Patrick would distract,him,5.86820125579834
About,would distract,67,67_F_him,f,Mismatch,obj,The essay about April would distract,him,6.574276924133301
About,would distract,67,67_M_his,m,Match,poss,The essay about Patrick would distract,his,7.382925033569336
About,would distract,67,67_F_his,f,Mismatch,poss,The essay about April would distract,his,8.298254013061523
About,had impressed,68,68_M_him,m,Match,obj,The report about Aaron had impressed,him,4.9556732177734375
About,had impressed,68,68_F_him,f,Mismatch,obj,The report about Monica had impressed,him,4.665605068206787
About,had impressed,68,68_M_his,m,Match,poss,The report about Aaron had impressed,his,5.8986334800720215
About,had impressed,68,68_F_his,f,Mismatch,poss,The report about Monica had impressed,his,6.361611843109131
About,distracted,69,69_M_him,m,Match,obj,The documentary about Guy distracted,him,7.417557239532471
About,distracted,69,69_F_him,f,Mismatch,obj,The documentary about this grandmother distracted,him,6.073241233825684
About,distracted,69,69_M_his,m,Match,poss,The documentary about Guy distracted,his,5.234307765960693
About,distracted,69,69_F_his,f,Mismatch,poss,The documentary about this grandmother distracted,his,8.324602127075195
About,confused,70,70_M_him,m,Match,obj,The commentary about Steve confused,him,6.140154838562012
About,confused,70,70_F_him,f,Mismatch,obj,The commentary about Christina confused,him,6.177628993988037
About,confused,70,70_M_his,m,Match,poss,The commentary about Steve confused,his,5.455504417419434
About,confused,70,70_F_his,f,Mismatch,poss,The commentary about Christina confused,his,7.413196563720703
About,scares,71,71_M_him,m,Match,obj,The show about Scott scares,him,6.8667120933532715
About,scares,71,71_F_him,f,Mismatch,obj,The show about Anna scares,him,6.532026767730713
About,scares,71,71_M_his,m,Match,poss,The show about Scott scares,his,7.303707599639893
About,scares,71,71_F_his,f,Mismatch,poss,The show about Anna scares,his,8.562533378601074
About,isn't hurting,72,72_M_him,m,Match,obj,The book about Brad isn't hurting,him,4.960444450378418
About,isn't hurting,72,72_F_him,f,Mismatch,obj,The book about Carrie isn't hurting,him,6.649974822998047
