item,exp,pronoun,cond,contrast,sent,target,/data/EleutherAI/gpt-neo-2.7B_surp
10,1,she,f,Match,"When she was introduced,",Sally,13.79786491394043
10,1,he,f,Mismatch,"When he was introduced,",Teresa,16.525135040283203
11,1,he,m,Match,"When he arrived,",Joseph,13.610079765319824
11,1,she,m,Mismatch,"When she arrived,",Richard,12.782387733459473
11,1,she,f,Match,"When she arrived,",Cheryl,16.465208053588867
11,1,he,f,Mismatch,"When he arrived,",Janet,15.705761909484863
12,1,he,m,Match,"When he felt sad,",Guy,17.1873836517334
12,1,she,m,Mismatch,"When she felt sad,",Rodney,21.02605438232422
12,1,she,f,Match,"When she felt sad,",Amanda,16.251930236816406
12,1,he,f,Mismatch,"When he felt sad,",Sally,16.499622344970703
13,1,he,m,Match,"When he was present,",Wayne,16.81264877319336
13,1,she,m,Mismatch,"When she was present,",Larry,15.717879295349121
13,1,she,f,Match,"When she was present,",Carrie,16.016389846801758
13,1,he,f,Mismatch,"When he was present,",Lori,17.988971710205078
14,1,he,m,Match,"When he was depressed,",Richard,13.044267654418945
14,1,she,m,Mismatch,"When she was depressed,",Steve,15.133427619934082
14,1,she,f,Match,"When she was depressed,",Cynthia,18.39195442199707
14,1,he,f,Mismatch,"When he was depressed,",Amelia,19.133230209350586
15,1,he,m,Match,"When he was around,",Brad,13.862287521362305
15,1,she,m,Mismatch,"When she was around,",Wayne,16.761972427368164
15,1,she,f,Match,"When she was around,",Marie,13.290616989135742
15,1,he,f,Mismatch,"When he was around,",Dana,15.51469898223877
16,1,he,m,Match,"When he was near,",Joseph,14.979188919067383
16,1,she,m,Mismatch,"When she was near,",Richard,13.06972885131836
16,1,she,f,Match,"When she was near,",Dana,17.081762313842773
16,1,he,f,Mismatch,"When he was near,",Janet,17.03253173828125
17,1,he,m,Match,"When he was in court,",Bradley,16.290124893188477
17,1,she,m,Mismatch,"When she was in court,",Steve,14.941650390625
17,1,she,f,Match,"When she was in court, the",dancer,16.937416076660156
17,1,he,f,Mismatch,"When he was in court,",Helen,16.1773681640625
18,1,he,m,Match,"When he was poorly,",Keith,15.811551094055176
18,1,she,m,Mismatch,"When she was poorly,",Steve,15.16076946258545
18,1,she,f,Match,"When she was poorly,",Dana,15.919012069702148
18,1,he,f,Mismatch,"When he was poorly,",Tracy,17.89313316345215
19,1,he,m,Match,"When he arrived,",Charles,12.419044494628906
19,1,she,m,Mismatch,"When she arrived,",Timothy,16.44049644470215
19,1,she,f,Match,"When she arrived,",Janet,14.313309669494629
19,1,he,f,Mismatch,"When he arrived,",Lori,16.614309310913086
20,1,he,m,Match,"When he was appointed,",Benjamin,14.413030624389648
20,1,she,m,Mismatch,"When she was appointed,",Larry,15.630334854125977
20,1,she,f,Match,"When she was appointed,",Teresa,15.913700103759766
20,1,he,f,Mismatch,"When he was appointed,",Tracy,17.36152458190918
21,1,he,m,Match,"When he was fired,",Timothy,14.929465293884277
21,1,she,m,Mismatch,"When she was fired,",Liam,19.18134117126465
21,1,she,f,Match,"When she was fired,",Teresa,15.31584358215332
21,1,he,f,Mismatch,"When he was fired,",Heidi,16.347654342651367
22,1,he,m,Match,"When he was close, the",father,9.932442665100098
22,1,she,m,Mismatch,"When she was close, the",father,10.317480087280273
22,1,she,f,Match,"When she was close,",Carrie,15.65969181060791
22,1,he,f,Mismatch,"When he was close,",Elizabeth,14.604917526245117
23,1,he,m,Match,"When he was retired,",Steve,14.897225379943848
23,1,she,m,Mismatch,"When she was retired,",Donald,14.360007286071777
23,1,she,f,Match,"When she was retired,",Christina,15.666264533996582
23,1,he,f,Mismatch,"When he was retired, the",dancer,16.230880737304688
24,1,he,m,Match,"When he was abroad, the",guy,13.449624061584473
24,1,she,m,Mismatch,"When she was abroad,",Larry,17.13494300842285
24,1,she,f,Match,"When she was abroad,",Lori,16.512178421020508
24,1,he,f,Mismatch,"When he was abroad,",Catherine,14.712864875793457
25,1,he,m,Match,"When he was discovered,",Thomas,12.255248069763184
25,1,she,m,Mismatch,"When she was discovered,",Donald,15.78463077545166
25,1,she,f,Match,"When she was discovered,",Suzanne,17.554168701171875
25,1,he,f,Mismatch,"When he was discovered,",Dana,16.82387351989746
26,1,he,m,Match,"When he was busy, the",nephew,13.823710441589355
26,1,she,m,Mismatch,"When she was busy,",Bruce,14.945414543151855
26,1,she,f,Match,"When she was busy,",Lori,14.19320011138916
26,1,he,f,Mismatch,"When he was busy,",Christina,16.06194305419922
27,1,he,m,Match,"When he was twenty-one,",Brian,15.562562942504883
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,15.404081344604492
27,1,she,f,Match,"When she was twenty-one,",Naomi,16.08108901977539
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,9.077285766601562
28,1,he,m,Match,"When he was annoyed,",Larry,14.891898155212402
28,1,she,m,Mismatch,"When she was annoyed,",Richard,13.913920402526855
28,1,she,f,Match,"When she was annoyed,",Ann,12.269027709960938
28,1,he,f,Mismatch,"When he was annoyed, the",woman,8.09874439239502
29,1,he,m,Match,"When he was in church,",Liam,18.3038272857666
29,1,she,m,Mismatch,"When she was in church,",Richard,13.58462905883789
29,1,she,f,Match,"When she was in church, the",dancer,15.778151512145996
29,1,he,f,Mismatch,"When he was in church,",Teresa,15.743509292602539
30,1,he,m,Match,"When he was banished,",Timothy,15.437848091125488
30,1,she,m,Mismatch,"When she was banished,",Russell,16.502527236938477
30,1,she,f,Match,"When she was banished,",Sheila,16.68344497680664
30,1,he,f,Mismatch,"When he was banished,",Cheryl,18.905296325683594
31,1,he,m,Match,"When he was angry,",Steve,14.061903953552246
31,1,she,m,Mismatch,"When she was angry,",Wayne,18.256181716918945
31,1,she,f,Match,"When she was angry, the",dancer,14.574514389038086
31,1,he,f,Mismatch,"When he was angry,",Janet,16.65575408935547
32,1,he,m,Match,"When he was distraught,",Brian,14.191972732543945
32,1,she,m,Mismatch,"When she was distraught,",Russell,14.643096923828125
32,1,she,f,Match,"When she was distraught, the",wife,10.527201652526855
32,1,he,f,Mismatch,"When he was distraught,",Helen,15.029390335083008
1,1,he,m,Match,"When he was off work,",Russell,14.244951248168945
1,1,she,m,Mismatch,"When she was off work,",Dan,13.464580535888672
1,1,she,f,Match,"When she was off work,",Judy,14.006996154785156
1,1,he,f,Mismatch,"When he was off work,",Grace,16.124305725097656
2,1,he,m,Match,"When he arrived,",Benjamin,15.474153518676758
2,1,she,m,Mismatch,"When she arrived,",Steve,14.219244956970215
2,1,she,f,Match,"When she arrived,",Claire,14.857165336608887
2,1,he,f,Mismatch,"When he arrived,",Mary,11.544931411743164
3,1,he,m,Match,"When he was fed up,",Benjamin,17.68736457824707
3,1,she,m,Mismatch,"When she was fed up,",Marcus,15.95090103149414
3,1,she,f,Match,"When she was fed up,",Kristen,19.047061920166016
3,1,he,f,Mismatch,"When he was fed up,",Marie,16.515777587890625
4,1,he,m,Match,"When he was talking,",Richard,11.74909782409668
4,1,she,m,Mismatch,"When she was talking,",Alexander,14.241134643554688
4,1,she,f,Match,"When she was talking,",Marie,13.060715675354004
4,1,he,f,Mismatch,"When he was talking, the",wife,11.028107643127441
5,1,he,m,Match,"When he was nearby,",Keith,15.364522933959961
5,1,she,m,Mismatch,"When she was nearby,",Larry,15.276814460754395
5,1,she,f,Match,"When she was nearby, the",sister,11.533108711242676
5,1,he,f,Mismatch,"When he was nearby, the",girl,8.520907402038574
6,1,he,m,Match,"When he was lost, the",guy,12.052523612976074
6,1,she,m,Mismatch,"When she was lost,",Mark,14.088943481445312
6,1,she,f,Match,"When she was lost, the",girl,7.536969184875488
6,1,he,f,Mismatch,"When he was lost,",Suzanne,18.073932647705078
7,1,he,m,Match,"When he was bad-tempered,",Alexander,15.096232414245605
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,16.17068862915039
7,1,she,f,Match,"When she was bad-tempered,",Carrie,17.176645278930664
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,17.401140213012695
8,1,he,m,Match,"When he was jealous,",Benjamin,17.06848907470703
8,1,she,m,Mismatch,"When she was jealous,",Brian,16.185321807861328
8,1,she,f,Match,"When she was jealous, the",girlfriend,12.96334171295166
8,1,he,f,Mismatch,"When he was jealous,",Catherine,15.32420539855957
9,1,he,m,Match,"When he was in residence,",Mark,13.721969604492188
9,1,she,m,Mismatch,"When she was in residence,",Brad,15.589316368103027
9,1,she,f,Match,"When she was in residence,",Sheila,15.109712600708008
9,1,he,f,Mismatch,"When he was in residence,",Catherine,14.539855003356934
10,1,he,m,Match,"When he was introduced,",Charles,11.773848533630371
10,1,she,m,Mismatch,"When she was introduced,",Richard,12.371766090393066
10,1,she,f,Match,"When she was introduced,",Karen,14.525888442993164
10,1,he,f,Mismatch,"When he was introduced,",Claire,17.111894607543945
11,1,he,m,Match,"When he arrived,",Liam,16.98476219177246
11,1,she,m,Mismatch,"When she arrived,",Larry,14.695882797241211
11,1,she,f,Match,"When she arrived, the",mother,8.970464706420898
11,1,he,f,Mismatch,"When he arrived,",Carrie,16.347524642944336
12,1,he,m,Match,"When he felt sad,",Charles,15.421374320983887
12,1,she,m,Mismatch,"When she felt sad,",Dan,15.988286018371582
12,1,she,f,Match,"When she felt sad,",Theresa,17.188167572021484
12,1,he,f,Mismatch,"When he felt sad,",Kristen,19.511852264404297
13,1,he,m,Match,"When he was present,",Steven,15.731876373291016
13,1,she,m,Mismatch,"When she was present,",Bruce,16.07929801940918
13,1,she,f,Match,"When she was present,",Claire,16.354904174804688
13,1,he,f,Mismatch,"When he was present,",Laura,15.316543579101562
14,1,he,m,Match,"When he was depressed,",Larry,14.317717552185059
14,1,she,m,Mismatch,"When she was depressed,",Brian,14.252288818359375
14,1,she,f,Match,"When she was depressed,",Alice,13.661855697631836
14,1,he,f,Mismatch,"When he was depressed,",Naomi,18.048982620239258
15,1,he,m,Match,"When he was around,",Guy,15.505583763122559
15,1,she,m,Mismatch,"When she was around,",Liam,16.484582901000977
15,1,she,f,Match,"When she was around,",Teresa,14.0621919631958
15,1,he,f,Mismatch,"When he was around,",Christina,16.26944351196289
16,1,he,m,Match,"When he was near, the",father,9.706073760986328
16,1,she,m,Mismatch,"When she was near,",Russell,17.252798080444336
16,1,she,f,Match,"When she was near,",Kristen,18.02984619140625
16,1,he,f,Mismatch,"When he was near,",Dana,17.31035041809082
17,1,he,m,Match,"When he was in court, the",nephew,15.758964538574219
17,1,she,m,Mismatch,"When she was in court,",Russell,14.996204376220703
17,1,she,f,Match,"When she was in court, the",girl,8.139577865600586
17,1,he,f,Mismatch,"When he was in court,",Naomi,18.804561614990234
18,1,he,m,Match,"When he was poorly,",Alexander,15.257427215576172
18,1,she,m,Mismatch,"When she was poorly,",Larry,15.31636905670166
18,1,she,f,Match,"When she was poorly,",Sheila,16.576797485351562
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,17.429414749145508
19,1,he,m,Match,"When he arrived,",Bradley,15.984708786010742
19,1,she,m,Mismatch,"When she arrived,",Keith,15.67176342010498
19,1,she,f,Match,"When she arrived,",Judy,14.721668243408203
19,1,he,f,Mismatch,"When he arrived,",Amanda,15.163643836975098
20,1,he,m,Match,"When he was appointed,",Steven,15.570982933044434
20,1,she,m,Mismatch,"When she was appointed,",Russell,15.886032104492188
20,1,she,f,Match,"When she was appointed, the",girlfriend,15.071866989135742
20,1,he,f,Mismatch,"When he was appointed,",Lori,18.132461547851562
21,1,he,m,Match,"When he was fired,",Donald,12.4503755569458
21,1,she,m,Mismatch,"When she was fired,",Russell,15.228863716125488
21,1,she,f,Match,"When she was fired,",Lori,14.587368965148926
21,1,he,f,Mismatch,"When he was fired,",Linda,14.626604080200195
22,1,he,m,Match,"When he was close,",Jason,14.289810180664062
22,1,she,m,Mismatch,"When she was close,",Charles,14.157861709594727
22,1,she,f,Match,"When she was close,",Cynthia,16.754180908203125
22,1,he,f,Mismatch,"When he was close,",Tiffany,18.302492141723633
23,1,he,m,Match,"When he was retired,",Thomas,12.21895694732666
23,1,she,m,Mismatch,"When she was retired,",Charles,13.13236141204834
23,1,she,f,Match,"When she was retired,",Lori,15.966012001037598
23,1,he,f,Mismatch,"When he was retired,",Teresa,17.948917388916016
24,1,he,m,Match,"When he was abroad,",Charles,12.458776473999023
24,1,she,m,Mismatch,"When she was abroad,",John,12.106683731079102
24,1,she,f,Match,"When she was abroad,",Karen,16.74113655090332
24,1,he,f,Mismatch,"When he was abroad,",Linda,17.358610153198242
25,1,he,m,Match,"When he was discovered,",Donald,15.203365325927734
25,1,she,m,Mismatch,"When she was discovered,",Douglas,16.46809959411621
25,1,she,f,Match,"When she was discovered,",Naomi,17.875335693359375
25,1,he,f,Mismatch,"When he was discovered,",Sheila,17.743894577026367
26,1,he,m,Match,"When he was busy,",Douglas,14.99740982055664
26,1,she,m,Mismatch,"When she was busy, the",nephew,14.569408416748047
26,1,she,f,Match,"When she was busy,",Elizabeth,11.519143104553223
26,1,he,f,Mismatch,"When he was busy,",Catherine,14.500868797302246
27,1,he,m,Match,"When he was twenty-one, the",father,7.7448039054870605
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,13.845540046691895
27,1,she,f,Match,"When she was twenty-one,",Connie,15.001057624816895
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,16.16604232788086
28,1,he,m,Match,"When he was annoyed, the",guy,9.962223052978516
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,14.862438201904297
28,1,she,f,Match,"When she was annoyed,",Leslie,15.618294715881348
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,17.075464248657227
29,1,he,m,Match,"When he was in church,",Keith,15.56821346282959
29,1,she,m,Mismatch,"When she was in church,",Steve,15.585083961486816
29,1,she,f,Match,"When she was in church,",Ann,13.91627311706543
29,1,he,f,Mismatch,"When he was in church,",Sheila,16.194190979003906
30,1,he,m,Match,"When he was banished, the",guy,12.377681732177734
30,1,she,m,Mismatch,"When she was banished,",Keith,15.981051445007324
30,1,she,f,Match,"When she was banished,",Cynthia,15.830573081970215
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,13.575815200805664
31,1,he,m,Match,"When he was angry,",Russell,15.147085189819336
31,1,she,m,Mismatch,"When she was angry,",Jason,14.911810874938965
31,1,she,f,Match,"When she was angry,",Sheila,16.092041015625
31,1,he,f,Mismatch,"When he was angry,",Teresa,15.876824378967285
32,1,he,m,Match,"When he was distraught,",Thomas,13.6566162109375
32,1,she,m,Mismatch,"When she was distraught,",Bruce,14.744551658630371
32,1,she,f,Match,"When she was distraught,",Teresa,14.725547790527344
32,1,he,f,Mismatch,"When he was distraught,",Laura,13.9612455368042
1,1,he,m,Match,"When he was off work,",Timothy,15.161836624145508
1,1,she,m,Mismatch,"When she was off work,",Ronald,15.918906211853027
1,1,she,f,Match,"When she was off work,",Amanda,12.72018051147461
1,1,he,f,Mismatch,"When he was off work, the",lady,10.575835227966309
2,1,he,m,Match,"When he arrived,",Alexander,13.848570823669434
2,1,she,m,Mismatch,"When she arrived,",Charles,12.883535385131836
2,1,she,f,Match,"When she arrived,",Julie,14.184365272521973
2,1,he,f,Mismatch,"When he arrived,",Diana,15.488001823425293
3,1,he,m,Match,"When he was fed up,",Phillip,17.482585906982422
3,1,she,m,Mismatch,"When she was fed up,",Bradley,18.586591720581055
3,1,she,f,Match,"When she was fed up,",Allison,17.991315841674805
3,1,he,f,Mismatch,"When he was fed up,",Lori,18.677907943725586
4,1,he,m,Match,"When he was talking, the",guy,9.140976905822754
4,1,she,m,Mismatch,"When she was talking,",Jason,13.645827293395996
4,1,she,f,Match,"When she was talking,",Amanda,13.865471839904785
4,1,he,f,Mismatch,"When he was talking,",Helen,14.001041412353516
5,1,he,m,Match,"When he was nearby,",Robert,12.783987998962402
5,1,she,m,Mismatch,"When she was nearby,",Charles,14.033525466918945
5,1,she,f,Match,"When she was nearby,",Rachel,13.27864933013916
5,1,he,f,Mismatch,"When he was nearby,",Carol,15.395543098449707
6,1,he,m,Match,"When he was lost,",Samuel,16.017011642456055
6,1,she,m,Mismatch,"When she was lost,",Roger,15.569292068481445
6,1,she,f,Match,"When she was lost,",Connie,17.545026779174805
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,17.077098846435547
7,1,he,m,Match,"When he was bad-tempered,",Christopher,15.880778312683105
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,17.63507080078125
7,1,she,f,Match,"When she was bad-tempered,",Diane,18.657501220703125
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,19.954971313476562
8,1,he,m,Match,"When he was jealous,",Bradley,17.898502349853516
8,1,she,m,Mismatch,"When she was jealous,",Brad,15.329143524169922
8,1,she,f,Match,"When she was jealous,",Maria,14.572297096252441
8,1,he,f,Mismatch,"When he was jealous,",Alice,15.771903991699219
9,1,he,m,Match,"When he was in residence,",Adam,15.140361785888672
9,1,she,m,Mismatch,"When she was in residence,",Rodney,17.745805740356445
9,1,she,f,Match,"When she was in residence,",Anne,13.186504364013672
9,1,he,f,Mismatch,"When he was in residence,",Natalie,17.742313385009766
10,1,he,m,Match,"When he was introduced, the",nephew,13.921379089355469
10,1,she,m,Mismatch,"When she was introduced,",Liam,17.283666610717773
10,1,she,f,Match,"When she was introduced,",Catherine,12.885446548461914
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,17.581151962280273
11,1,he,m,Match,"When he arrived,",Larry,14.583518028259277
11,1,she,m,Mismatch,"When she arrived,",Samuel,14.651244163513184
11,1,she,f,Match,"When she arrived,",Mary,10.363349914550781
11,1,he,f,Mismatch,"When he arrived, the",sister,12.87855052947998
12,1,he,m,Match,"When he felt sad,",Phillip,17.075721740722656
12,1,she,m,Mismatch,"When she felt sad,",Frank,15.788898468017578
12,1,she,f,Match,"When she felt sad,",Kristen,18.815614700317383
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,15.561294555664062
13,1,he,m,Match,"When he was present,",Dan,14.451187133789062
13,1,she,m,Mismatch,"When she was present,",Travis,17.556245803833008
13,1,she,f,Match,"When she was present, the",sister,11.276604652404785
13,1,he,f,Mismatch,"When he was present, the",mother,10.323472023010254
14,1,he,m,Match,"When he was depressed,",Russell,14.750591278076172
14,1,she,m,Mismatch,"When she was depressed,",Larry,15.026968955993652
14,1,she,f,Match,"When she was depressed,",Tara,15.594261169433594
14,1,he,f,Mismatch,"When he was depressed,",Leslie,15.57105541229248
15,1,he,m,Match,"When he was around,",Samuel,14.662343978881836
15,1,she,m,Mismatch,"When she was around,",Timothy,16.789289474487305
15,1,she,f,Match,"When she was around,",Sheila,14.535989761352539
15,1,he,f,Mismatch,"When he was around,",Kristen,16.484045028686523
16,1,he,m,Match,"When he was near,",Timothy,17.010589599609375
16,1,she,m,Mismatch,"When she was near,",Timothy,17.651519775390625
16,1,she,f,Match,"When she was near,",Danielle,19.0682315826416
16,1,he,f,Mismatch,"When he was near,",Cheryl,19.367586135864258
17,1,he,m,Match,"When he was in court,",Travis,16.352224349975586
17,1,she,m,Mismatch,"When she was in court,",Steven,15.04043960571289
17,1,she,f,Match,"When she was in court,",Wendy,14.891684532165527
17,1,he,f,Mismatch,"When he was in court,",Leslie,15.015183448791504
18,1,he,m,Match,"When he was poorly,",Mark,13.612069129943848
18,1,she,m,Mismatch,"When she was poorly,",Ronald,15.757628440856934
18,1,she,f,Match,"When she was poorly,",Cheryl,16.995128631591797
18,1,he,f,Mismatch,"When he was poorly,",Anne,14.33586311340332
19,1,he,m,Match,"When he arrived,",Brett,16.141023635864258
19,1,she,m,Mismatch,"When she arrived,",John,11.392684936523438
19,1,she,f,Match,"When she arrived,",Karen,14.148319244384766
19,1,he,f,Mismatch,"When he arrived,",Nicole,15.95813274383545
20,1,he,m,Match,"When he was appointed,",Phillip,17.452983856201172
20,1,she,m,Mismatch,"When she was appointed,",Keith,15.303481101989746
20,1,she,f,Match,"When she was appointed, the",sister,11.866241455078125
20,1,he,f,Mismatch,"When he was appointed,",Elizabeth,14.37326431274414
21,1,he,m,Match,"When he was fired,",Bradley,14.990873336791992
21,1,she,m,Mismatch,"When she was fired, the",guy,11.41629409790039
21,1,she,f,Match,"When she was fired,",Laura,13.715286254882812
21,1,he,f,Mismatch,"When he was fired,",Suzanne,16.02898406982422
22,1,he,m,Match,"When he was close,",Ronald,15.93143081665039
22,1,she,m,Mismatch,"When she was close, the",guy,11.36345100402832
22,1,she,f,Match,"When she was close,",Grace,14.43748664855957
22,1,he,f,Mismatch,"When he was close,",Wendy,17.224668502807617
23,1,he,m,Match,"When he was retired,",Bradley,17.242685317993164
23,1,she,m,Mismatch,"When she was retired,",Alexander,15.349773406982422
23,1,she,f,Match,"When she was retired, the",mother,8.964776039123535
23,1,he,f,Mismatch,"When he was retired,",Christina,17.203447341918945
24,1,he,m,Match,"When he was abroad,",Travis,18.986053466796875
24,1,she,m,Mismatch,"When she was abroad,",Walter,15.84549331665039
24,1,she,f,Match,"When she was abroad, the",mother,8.153860092163086
24,1,he,f,Mismatch,"When he was abroad,",Anne,14.972070693969727
25,1,he,m,Match,"When he was discovered,",Bruce,15.856724739074707
25,1,she,m,Mismatch,"When she was discovered,",Ronald,16.660764694213867
25,1,she,f,Match,"When she was discovered,",Alice,13.203094482421875
25,1,he,f,Mismatch,"When he was discovered,",Carol,16.33263397216797
26,1,he,m,Match,"When he was busy,",Dennis,14.941182136535645
26,1,she,m,Mismatch,"When she was busy,",Mitchell,16.738597869873047
26,1,she,f,Match,"When she was busy,",Nicole,15.261738777160645
26,1,he,f,Mismatch,"When he was busy,",Pamela,16.368791580200195
27,1,he,m,Match,"When he was twenty-one,",Liam,17.495412826538086
27,1,she,m,Mismatch,"When she was twenty-one,",Mark,13.520767211914062
27,1,she,f,Match,"When she was twenty-one,",Grace,14.281323432922363
27,1,he,f,Mismatch,"When he was twenty-one, the",girl,8.311317443847656
28,1,he,m,Match,"When he was annoyed,",Eric,14.618087768554688
28,1,she,m,Mismatch,"When she was annoyed, the",guy,10.716789245605469
28,1,she,f,Match,"When she was annoyed,",Wendy,15.646635055541992
28,1,he,f,Mismatch,"When he was annoyed,",Sally,15.255401611328125
29,1,he,m,Match,"When he was in church,",Steven,15.63255786895752
29,1,she,m,Mismatch,"When she was in church,",Benjamin,17.4327392578125
29,1,she,f,Match,"When she was in church,",Claire,16.645204544067383
29,1,he,f,Mismatch,"When he was in church, the",girlfriend,16.219993591308594
30,1,he,m,Match,"When he was banished,",Jason,14.97327709197998
30,1,she,m,Mismatch,"When she was banished,",Bradley,18.64051055908203
30,1,she,f,Match,"When she was banished,",Suzanne,15.31930923461914
30,1,he,f,Mismatch,"When he was banished,",Mary,12.57779598236084
31,1,he,m,Match,"When he was angry,",Timothy,16.138633728027344
31,1,she,m,Mismatch,"When she was angry,",Jeffrey,16.968379974365234
31,1,she,f,Match,"When she was angry,",Karen,14.45740032196045
31,1,he,f,Mismatch,"When he was angry,",Claire,17.508670806884766
32,1,he,m,Match,"When he was distraught,",Guy,15.567078590393066
32,1,she,m,Mismatch,"When she was distraught,",Rodney,17.560461044311523
32,1,she,f,Match,"When she was distraught,",Marie,14.70948314666748
32,1,he,f,Mismatch,"When he was distraught,",Danielle,18.214487075805664
1,1,he,m,Match,"When he was off work,",Bruce,13.658570289611816
1,1,she,m,Mismatch,"When she was off work,",Mark,13.146931648254395
1,1,she,f,Match,"When she was off work, the",woman,6.680272579193115
1,1,he,f,Mismatch,"When he was off work, the",granddaughter,16.81822395324707
2,1,he,m,Match,"When he arrived,",Kenneth,15.790164947509766
2,1,she,m,Mismatch,"When she arrived,",Samuel,14.651244163513184
2,1,she,f,Match,"When she arrived, the",waitress,11.002559661865234
2,1,he,f,Mismatch,"When he arrived, the",granddaughter,16.740022659301758
3,1,he,m,Match,"When he was fed up,",Jeffrey,17.938007354736328
3,1,she,m,Mismatch,"When she was fed up,",Martin,14.645692825317383
3,1,she,f,Match,"When she was fed up,",Leslie,17.519254684448242
3,1,he,f,Mismatch,"When he was fed up,",Carrie,18.18600845336914
4,1,he,m,Match,"When he was talking,",Benjamin,15.233322143554688
4,1,she,m,Mismatch,"When she was talking,",Frank,12.638110160827637
4,1,she,f,Match,"When she was talking,",Cynthia,15.045517921447754
4,1,he,f,Mismatch,"When he was talking, the",girlfriend,15.146114349365234
5,1,he,m,Match,"When he was nearby,",Ronald,15.98615837097168
5,1,she,m,Mismatch,"When she was nearby,",Alexander,14.89804744720459
5,1,she,f,Match,"When she was nearby,",Veronica,16.27692222595215
5,1,he,f,Mismatch,"When he was nearby,",Meredith,16.874662399291992
6,1,he,m,Match,"When he was lost,",John,11.396809577941895
6,1,she,m,Mismatch,"When she was lost,",Theodore,16.55801773071289
6,1,she,f,Match,"When she was lost,",Tiffany,18.301420211791992
6,1,he,f,Mismatch,"When he was lost,",Diana,16.512548446655273
7,1,he,m,Match,"When he was bad-tempered,",Dan,13.988557815551758
7,1,she,m,Mismatch,"When she was bad-tempered, the",grandson,15.629707336425781
7,1,she,f,Match,"When she was bad-tempered,",Tara,17.228246688842773
7,1,he,f,Mismatch,"When he was bad-tempered,",Rachel,16.629558563232422
8,1,he,m,Match,"When he was jealous,",Bruce,15.857547760009766
