exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-2.7B_surp
About,should shock,9,9_M_his,m,Match,poss,The documentary about Daniel should shock,his,9.056608200073242
About,should shock,9,9_F_his,f,Mismatch,poss,The documentary about the ex-wife should shock,his,10.162622451782227
About,disgusts,10,10_M_him,m,Match,obj,The commentary about Mitchell disgusts,him,6.418245315551758
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,5.905640125274658
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,10.873188018798828
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,10.671930313110352
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,6.05558967590332
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,6.578701019287109
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,7.809001445770264
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,9.524540901184082
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,3.6327571868896484
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,4.6627655029296875
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,5.140427589416504
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,6.335842609405518
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,3.179243326187134
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,3.0983052253723145
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,6.222232341766357
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,6.401882648468018
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,4.6728291511535645
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,4.808854579925537
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,3.2888238430023193
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,3.7862393856048584
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,3.967830181121826
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,4.353771209716797
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,5.992475986480713
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,7.785146713256836
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,8.778205871582031
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,8.280633926391602
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,9.241058349609375
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,9.09282112121582
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,4.598673343658447
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,3.6786606311798096
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,7.722356796264648
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,7.350096225738525
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,4.161355972290039
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,4.797715187072754
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,4.440864562988281
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,6.175178050994873
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,3.7734227180480957
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,3.7714178562164307
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,7.790977478027344
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,8.380949020385742
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,3.913172721862793
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,4.31748628616333
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,8.45553970336914
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,9.111165046691895
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,6.3534746170043945
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,6.381607532501221
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,8.30144214630127
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,9.101180076599121
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,8.593205451965332
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,9.102619171142578
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,9.910680770874023
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,10.605209350585938
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,3.96014666557312
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him,4.150888919830322
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his,5.0451531410217285
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his,6.146570205688477
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him,4.5989155769348145
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him,4.0585408210754395
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his,4.243875503540039
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his,4.81491231918335
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him,2.9741530418395996
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him,2.8343665599823
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his,6.552796840667725
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his,6.80640983581543
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him,4.9698567390441895
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him,5.4090681076049805
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his,3.42162823677063
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his,4.9086594581604
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him,3.6318938732147217
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him,4.682958602905273
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his,5.033594131469727
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his,6.712388038635254
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him,6.6618876457214355
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him,7.012076377868652
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his,4.953307628631592
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his,5.837065696716309
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him,6.945448875427246
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him,6.962159156799316
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his,8.533564567565918
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his,10.505279541015625
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him,7.1219096183776855
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him,6.398786544799805
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his,9.10739517211914
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his,10.119674682617188
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him,12.440787315368652
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him,13.240952491760254
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his,12.66146469116211
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his,13.623003959655762
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him,4.602953910827637
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him,5.029768943786621
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his,6.083247184753418
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his,7.752180576324463
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him,5.16722297668457
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him,5.995009899139404
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his,5.3939900398254395
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his,6.3001580238342285
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him,5.2956461906433105
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him,4.723109245300293
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his,3.8620376586914062
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his,4.009537220001221
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him,7.631066799163818
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him,8.08700180053711
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his,7.772768020629883
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his,9.498213768005371
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him,4.710260391235352
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him,5.337237358093262
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his,7.048213005065918
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his,9.019749641418457
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him,3.3045716285705566
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him,4.756526947021484
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his,3.540804624557495
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his,5.864469528198242
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him,3.6336724758148193
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him,4.026501655578613
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his,8.368012428283691
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his,8.86264419555664
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him,1.6901153326034546
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him,2.2275781631469727
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his,4.730828762054443
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his,5.5956950187683105
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him,3.363208770751953
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him,3.732394218444824
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his,4.409809112548828
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his,6.131810665130615
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him,2.934279203414917
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him,3.1895434856414795
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his,4.96671724319458
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his,6.760197639465332
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him,5.319913864135742
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him,6.245366096496582
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his,7.335083961486816
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his,9.254982948303223
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him,4.093127250671387
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him,4.595447540283203
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his,6.645778179168701
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his,7.931023120880127
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him,1.758382797241211
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him,2.069852590560913
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his,4.874890327453613
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his,6.0888566970825195
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him,4.851831912994385
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him,5.788668155670166
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his,8.917936325073242
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his,10.118171691894531
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him,6.7294697761535645
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him,7.923610210418701
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his,6.5437445640563965
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his,7.177452087402344
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him,4.304831027984619
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him,5.680372714996338
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his,2.5523693561553955
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his,4.323963165283203
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him,14.230048179626465
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him,14.422869682312012
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his,15.718870162963867
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his,16.58431625366211
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him,4.67456579208374
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him,4.659101486206055
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his,3.218721389770508
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his,4.380539894104004
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him,2.293048858642578
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him,2.5359079837799072
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his,6.602344512939453
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his,8.070387840270996
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him,3.557238817214966
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him,3.875864267349243
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his,6.0445661544799805
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his,7.0836873054504395
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him,4.905250072479248
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him,4.913772106170654
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his,8.919108390808105
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his,8.917421340942383
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him,4.649895668029785
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him,3.285646915435791
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his,7.648716449737549
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his,7.601162433624268
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him,4.299437046051025
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him,3.943086862564087
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his,8.386479377746582
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his,8.413540840148926
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him,3.035905122756958
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him,3.4208312034606934
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his,5.769443988800049
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his,6.3680195808410645
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him,5.643000602722168
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him,5.2085490226745605
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his,7.542053699493408
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his,7.974875450134277
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him,8.226042747497559
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him,7.369999408721924
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his,8.872053146362305
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his,9.893149375915527
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him,3.3190290927886963
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him,2.7103443145751953
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his,7.776055335998535
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his,7.858938217163086
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him,5.394824981689453
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him,5.766096591949463
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his,5.079990386962891
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his,6.58000373840332
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him,14.7909574508667
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him,16.09951400756836
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his,13.149815559387207
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his,15.539710998535156
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him,15.86651611328125
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him,16.096179962158203
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his,16.31639289855957
About,is stunning,61,61_F_his,f,Mismatch,poss,The pamphlet about Dana is stunning,his,16.765060424804688
About,harms,62,62_M_him,m,Match,obj,The brochure about Theodore harms,him,4.772835731506348
About,harms,62,62_F_him,f,Mismatch,obj,The brochure about Pamela harms,him,6.418366432189941
About,harms,62,62_M_his,m,Match,poss,The brochure about Theodore harms,his,5.762619495391846
About,harms,62,62_F_his,f,Mismatch,poss,The brochure about Pamela harms,his,6.275445461273193
About,should bore,63,63_M_him,m,Match,obj,The play about Jason should bore,him,5.86502742767334
About,should bore,63,63_F_him,f,Mismatch,obj,The play about Jacqueline should bore,him,4.596115589141846
About,should bore,63,63_M_his,m,Match,poss,The play about Jason should bore,his,7.726290702819824
About,should bore,63,63_F_his,f,Mismatch,poss,The play about Jacqueline should bore,his,7.7909135818481445
About,will upset,64,64_M_him,m,Match,obj,The movie about that boy will upset,him,4.438316822052002
About,will upset,64,64_F_him,f,Mismatch,obj,The movie about Melissa will upset,him,4.916820049285889
About,will upset,64,64_M_his,m,Match,poss,The movie about that boy will upset,his,5.687422275543213
About,will upset,64,64_F_his,f,Mismatch,poss,The movie about Melissa will upset,his,7.1259331703186035
About,is shocking,65,65_M_him,m,Match,obj,The newspaper article about Craig is shocking,him,14.572572708129883
About,is shocking,65,65_F_him,f,Mismatch,obj,The newspaper article about Connie is shocking,him,14.823521614074707
About,is shocking,65,65_M_his,m,Match,poss,The newspaper article about Craig is shocking,his,14.895594596862793
About,is shocking,65,65_F_his,f,Mismatch,poss,The newspaper article about Connie is shocking,his,15.92611026763916
About,has aggravated,66,66_M_him,m,Match,obj,The story about Jeffrey has aggravated,him,4.997213840484619
About,has aggravated,66,66_F_him,f,Mismatch,obj,The story about Sally has aggravated,him,4.290419578552246
About,has aggravated,66,66_M_his,m,Match,poss,The story about Jeffrey has aggravated,his,4.501340389251709
About,has aggravated,66,66_F_his,f,Mismatch,poss,The story about Sally has aggravated,his,4.774856090545654
About,would distract,67,67_M_him,m,Match,obj,The essay about Patrick would distract,him,3.341900110244751
About,would distract,67,67_F_him,f,Mismatch,obj,The essay about April would distract,him,3.3838114738464355
About,would distract,67,67_M_his,m,Match,poss,The essay about Patrick would distract,his,7.297359466552734
About,would distract,67,67_F_his,f,Mismatch,poss,The essay about April would distract,his,7.5154643058776855
About,had impressed,68,68_M_him,m,Match,obj,The report about Aaron had impressed,him,2.169891834259033
About,had impressed,68,68_F_him,f,Mismatch,obj,The report about Monica had impressed,him,2.238403797149658
About,had impressed,68,68_M_his,m,Match,poss,The report about Aaron had impressed,his,6.3993682861328125
About,had impressed,68,68_F_his,f,Mismatch,poss,The report about Monica had impressed,his,7.2078328132629395
About,distracted,69,69_M_him,m,Match,obj,The documentary about Guy distracted,him,3.9801111221313477
About,distracted,69,69_F_him,f,Mismatch,obj,The documentary about this grandmother distracted,him,5.055729389190674
About,distracted,69,69_M_his,m,Match,poss,The documentary about Guy distracted,his,7.103344917297363
About,distracted,69,69_F_his,f,Mismatch,poss,The documentary about this grandmother distracted,his,8.550999641418457
About,confused,70,70_M_him,m,Match,obj,The commentary about Steve confused,him,5.30849552154541
About,confused,70,70_F_him,f,Mismatch,obj,The commentary about Christina confused,him,5.468464374542236
About,confused,70,70_M_his,m,Match,poss,The commentary about Steve confused,his,8.185677528381348
About,confused,70,70_F_his,f,Mismatch,poss,The commentary about Christina confused,his,8.491140365600586
About,scares,71,71_M_him,m,Match,obj,The show about Scott scares,him,4.750438690185547
About,scares,71,71_F_him,f,Mismatch,obj,The show about Anna scares,him,4.466679573059082
About,scares,71,71_M_his,m,Match,poss,The show about Scott scares,his,8.22630500793457
About,scares,71,71_F_his,f,Mismatch,poss,The show about Anna scares,his,9.005200386047363
About,isn't hurting,72,72_M_him,m,Match,obj,The book about Brad isn't hurting,him,4.995035648345947
