exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-125M_surp
simple,has boasted about,12,12_F_him,f,Mismatch,obj,Helen has boasted about,him,5.611083030700684
simple,has boasted about,12,12_F_his,f,Mismatch,poss,Helen has boasted about,his,2.806049346923828
simple,leads,13,13_M_him,m,Match,obj,Brett leads,him,6.515490531921387
simple,leads,13,13_M_his,m,Match,poss,Brett leads,his,9.029123306274414
simple,leads,13,13_F_him,f,Mismatch,obj,That lady leads,him,4.879626274108887
simple,leads,13,13_F_his,f,Mismatch,poss,That lady leads,his,8.675575256347656
simple,didn't shake,14,14_M_him,m,Match,obj,Robert didn't shake,him,6.49609375
simple,didn't shake,14,14_M_his,m,Match,poss,Robert didn't shake,his,1.0304726362228394
simple,didn't shake,14,14_F_him,f,Mismatch,obj,Carmen didn't shake,him,6.0987935066223145
simple,didn't shake,14,14_F_his,f,Mismatch,poss,Carmen didn't shake,his,1.6206165552139282
simple,doesn't observe,15,15_M_him,m,Match,obj,Bill doesn't observe,him,8.363312721252441
simple,doesn't observe,15,15_M_his,m,Match,poss,Bill doesn't observe,his,6.545365333557129
simple,doesn't observe,15,15_F_him,f,Mismatch,obj,Heather doesn't observe,him,7.410254955291748
simple,doesn't observe,15,15_F_his,f,Mismatch,poss,Heather doesn't observe,his,6.649008274078369
simple,can't find,16,16_M_him,m,Match,obj,Peter can't find,him,6.856348514556885
simple,can't find,16,16_M_his,m,Match,poss,Peter can't find,his,7.028783798217773
simple,can't find,16,16_F_him,f,Mismatch,obj,Holly can't find,him,3.9097166061401367
simple,can't find,16,16_F_his,f,Mismatch,poss,Holly can't find,his,5.308926582336426
simple,should hide,17,17_M_him,m,Match,obj,Joel should hide,him,6.351995944976807
simple,should hide,17,17_M_his,m,Match,poss,Joel should hide,his,3.3364269733428955
simple,should hide,17,17_F_him,f,Mismatch,obj,Kirsten should hide,him,7.020408630371094
simple,should hide,17,17_F_his,f,Mismatch,poss,Kirsten should hide,his,4.2809062004089355
simple,had praised,18,18_M_him,m,Match,obj,Carl had praised,him,3.569988965988159
simple,had praised,18,18_M_his,m,Match,poss,Carl had praised,his,4.042006969451904
simple,had praised,18,18_F_him,f,Mismatch,obj,Teresa had praised,him,3.9549598693847656
simple,had praised,18,18_F_his,f,Mismatch,poss,Teresa had praised,his,4.232293605804443
simple,argued about,19,19_M_him,m,Match,obj,Benjamin argued about,him,6.624887943267822
simple,argued about,19,19_M_his,m,Match,poss,Benjamin argued about,his,4.244429111480713
simple,argued about,19,19_F_him,f,Mismatch,obj,Jodi argued about,him,7.435895919799805
simple,argued about,19,19_F_his,f,Mismatch,poss,Jodi argued about,his,4.671645641326904
simple,isn't harming,20,20_M_him,m,Match,obj,Aaron isn't harming,him,5.0870280265808105
simple,isn't harming,20,20_M_his,m,Match,poss,Aaron isn't harming,his,5.606987953186035
simple,isn't harming,20,20_F_him,f,Mismatch,obj,Nina isn't harming,him,5.064328193664551
simple,isn't harming,20,20_F_his,f,Mismatch,poss,Nina isn't harming,his,6.550386905670166
simple,would hurt,21,21_M_him,m,Match,obj,William would hurt,him,4.11653470993042
simple,would hurt,21,21_M_his,m,Match,poss,William would hurt,his,3.833674430847168
simple,would hurt,21,21_F_him,f,Mismatch,obj,Christine would hurt,him,3.8564608097076416
simple,would hurt,21,21_F_his,f,Mismatch,poss,Christine would hurt,his,4.736809730529785
simple,leaves,22,22_M_him,m,Match,obj,William leaves,him,9.754409790039062
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,10.28544807434082
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,14.415152549743652
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,14.972702026367188
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,7.951848983764648
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,6.038211822509766
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,10.407346725463867
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,11.99440860748291
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,6.041701793670654
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,6.0356526374816895
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,6.210720539093018
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,7.065699577331543
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,12.04771614074707
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,10.543146133422852
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,14.492677688598633
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,10.542353630065918
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,8.097999572753906
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,6.701448440551758
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,9.941078186035156
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,12.555085182189941
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,4.241311550140381
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,7.045633792877197
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,5.131519317626953
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,6.436428546905518
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,2.920949935913086
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,4.556325435638428
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,2.9141764640808105
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,5.460448741912842
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,4.150411128997803
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,3.2152514457702637
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,4.890581130981445
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,5.439516067504883
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,5.675233840942383
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,4.730981349945068
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,6.0914201736450195
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,6.564141750335693
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,2.775663375854492
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,6.220989227294922
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,2.490135908126831
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,7.461597919464111
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,21.464582443237305
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,17.167272567749023
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,5.735719203948975
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,6.045499801635742
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,7.6240315437316895
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,10.548224449157715
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,10.558274269104004
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,16.33544158935547
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,5.259579658508301
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,3.708789348602295
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,4.154680252075195
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,7.487020969390869
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,6.707645416259766
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,6.765981197357178
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,7.12027645111084
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,8.099539756774902
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,4.402924537658691
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,5.386428356170654
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,4.181074142456055
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,5.466068267822266
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,3.4549546241760254
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,3.993046998977661
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,3.3013248443603516
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,5.259726047515869
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,4.59356164932251
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,3.6939125061035156
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,5.9070963859558105
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,5.497586250305176
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,4.400946617126465
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,5.414992809295654
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,4.11493444442749
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,7.691877365112305
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,10.639298439025879
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,5.0896525382995605
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,11.441118240356445
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,6.163013458251953
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,9.160091400146484
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,3.467531442642212
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,9.329814910888672
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,6.655997276306152
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,4.831761837005615
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,5.644467830657959
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,3.8603100776672363
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,7.495388984680176
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,3.6842665672302246
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,4.4504523277282715
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,5.761762619018555
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,5.536276340484619
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,5.353693962097168
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,3.6141088008880615
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,6.967442035675049
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,4.768120765686035
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,5.572326183319092
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,5.807683944702148
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,6.0576982498168945
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,9.567106246948242
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,6.645666599273682
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,4.557217597961426
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,6.826242446899414
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,5.874521255493164
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,7.63015604019165
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,9.684037208557129
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,5.7941107749938965
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,5.969876766204834
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,5.759270191192627
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,3.1632070541381836
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,6.516810417175293
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,2.9759364128112793
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,2.299730062484741
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,3.3682637214660645
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,2.8533644676208496
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,4.321881294250488
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,11.208805084228516
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,10.21369743347168
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,8.676191329956055
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,8.977357864379883
simple,led,51,51_M_him,m,Match,obj,This boy led,him,3.6402218341827393
simple,led,51,51_M_his,m,Match,poss,This boy led,his,4.920993804931641
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,3.965634346008301
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,8.025883674621582
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,4.942498207092285
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,6.76772928237915
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,5.173243045806885
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,5.34853982925415
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,8.456899642944336
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,5.5019073486328125
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,9.324874877929688
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,5.5760498046875
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,5.707691192626953
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,3.9422202110290527
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,4.596658229827881
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,4.090582370758057
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,4.9267168045043945
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,8.12999439239502
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,5.032874584197998
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,8.473074913024902
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,4.072031021118164
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,3.7418384552001953
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,3.020723819732666
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,3.6771392822265625
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,7.234180450439453
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,4.871571063995361
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,7.889095783233643
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,4.349740505218506
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,8.95894718170166
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,5.171034336090088
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,8.343852043151855
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,5.4278059005737305
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,6.331927299499512
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,6.588267803192139
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,6.149194240570068
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,9.357623100280762
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,5.2144775390625
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,4.098019599914551
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,7.069284915924072
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,6.25363302230835
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,9.014097213745117
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,9.20723819732666
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,5.05937385559082
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,7.413971900939941
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,5.891987323760986
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,5.989408493041992
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,5.34749174118042
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,5.679749965667725
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,4.637232780456543
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,5.3481292724609375
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,4.598272323608398
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,6.440462589263916
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,6.874102592468262
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,4.155765533447266
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him,6.624151229858398
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his,4.722297668457031
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him,5.396100997924805
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his,5.777063846588135
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him,6.410435199737549
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his,7.180254936218262
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him,6.9198503494262695
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his,5.521662712097168
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him,5.62885856628418
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his,6.9211554527282715
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him,6.934564590454102
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his,6.895198345184326
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him,6.5505547523498535
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his,7.927921772003174
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him,3.241912364959717
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his,3.8610846996307373
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him,3.3854784965515137
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his,4.588839530944824
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him,5.597882270812988
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his,5.894753456115723
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him,6.495430946350098
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his,5.345571517944336
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him,3.2058632373809814
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his,5.8624587059021
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him,4.350923538208008
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his,8.5390043258667
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him,5.327025890350342
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his,5.6487226486206055
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him,5.480621337890625
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his,6.26336669921875
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him,5.660655975341797
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his,5.809946060180664
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him,5.729096412658691
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his,6.168569564819336
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him,6.754970073699951
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his,4.808311462402344
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him,9.029524803161621
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his,9.378856658935547
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him,3.0673348903656006
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his,5.415830135345459
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him,2.9641036987304688
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his,5.046596527099609
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him,6.036649227142334
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his,4.641874313354492
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him,6.880566120147705
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his,5.259197235107422
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him,6.456440448760986
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his,2.7596447467803955
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him,6.36332893371582
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his,3.311063528060913
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him,4.780006408691406
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his,3.7152655124664307
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him,3.8154006004333496
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his,4.690096378326416
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him,5.4544453620910645
