exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,model,surp
About,disgusts,10,10_F_him,f,Mismatch,obj,The commentary about Sarah disgusts,him,gpt2-medium,6.2815937995910645
About,disgusts,10,10_M_his,m,Match,poss,The commentary about Mitchell disgusts,his,gpt2-medium,8.46068286895752
About,disgusts,10,10_F_his,f,Mismatch,poss,The commentary about Sarah disgusts,his,gpt2-medium,10.661245346069336
About,shouldn't astound,11,11_M_him,m,Match,obj,The show about George shouldn't astound,him,gpt2-medium,9.003172874450684
About,shouldn't astound,11,11_F_him,f,Mismatch,obj,The show about that actress shouldn't astound,him,gpt2-medium,9.56961727142334
About,shouldn't astound,11,11_M_his,m,Match,poss,The show about George shouldn't astound,his,gpt2-medium,10.682186126708984
About,shouldn't astound,11,11_F_his,f,Mismatch,poss,The show about that actress shouldn't astound,his,gpt2-medium,11.822507858276367
About,hadn't helped,12,12_M_him,m,Match,obj,The book about George hadn't helped,him,gpt2-medium,4.035356998443604
About,hadn't helped,12,12_F_him,f,Mismatch,obj,The book about Claire hadn't helped,him,gpt2-medium,5.642557621002197
About,hadn't helped,12,12_M_his,m,Match,poss,The book about George hadn't helped,his,gpt2-medium,5.072360038757324
About,hadn't helped,12,12_F_his,f,Mismatch,poss,The book about Claire hadn't helped,his,gpt2-medium,6.615379333496094
About,was impressing,13,13_M_him,m,Match,obj,The pamphlet about Omar was impressing,him,gpt2-medium,5.791815757751465
About,was impressing,13,13_F_him,f,Mismatch,obj,The pamphlet about Teresa was impressing,him,gpt2-medium,6.32086181640625
About,was impressing,13,13_M_his,m,Match,poss,The pamphlet about Omar was impressing,his,gpt2-medium,7.232715606689453
About,was impressing,13,13_F_his,f,Mismatch,poss,The pamphlet about Teresa was impressing,his,gpt2-medium,7.981910705566406
About,harmed,14,14_M_him,m,Match,obj,The brochure about Joel harmed,him,gpt2-medium,4.71304178237915
About,harmed,14,14_F_him,f,Mismatch,obj,The brochure about Laura harmed,him,gpt2-medium,4.765164852142334
About,harmed,14,14_M_his,m,Match,poss,The brochure about Joel harmed,his,gpt2-medium,3.691624164581299
About,harmed,14,14_F_his,f,Mismatch,poss,The brochure about Laura harmed,his,gpt2-medium,4.707840919494629
About,had underwhelmed,15,15_M_him,m,Match,obj,The play about Joseph had underwhelmed,him,gpt2-medium,6.605132579803467
About,had underwhelmed,15,15_F_him,f,Mismatch,obj,The play about Elaine had underwhelmed,him,gpt2-medium,7.45154857635498
About,had underwhelmed,15,15_M_his,m,Match,poss,The play about Joseph had underwhelmed,his,gpt2-medium,7.706349849700928
About,had underwhelmed,15,15_F_his,f,Mismatch,poss,The play about Elaine had underwhelmed,his,gpt2-medium,9.093391418457031
About,could underwhelm,16,16_M_him,m,Match,obj,The movie about that nephew could underwhelm,him,gpt2-medium,8.629932403564453
About,could underwhelm,16,16_F_him,f,Mismatch,obj,The movie about Margaret could underwhelm,him,gpt2-medium,9.522717475891112
About,could underwhelm,16,16_M_his,m,Match,poss,The movie about that nephew could underwhelm,his,gpt2-medium,8.832646369934082
About,could underwhelm,16,16_F_his,f,Mismatch,poss,The movie about Margaret could underwhelm,his,gpt2-medium,9.681943893432615
About,impresses,17,17_M_him,m,Match,obj,The newspaper article about Jason impresses,him,gpt2-medium,4.20406436920166
About,impresses,17,17_F_him,f,Mismatch,obj,The newspaper article about Marie impresses,him,gpt2-medium,4.637754917144775
About,impresses,17,17_M_his,m,Match,poss,The newspaper article about Jason impresses,his,gpt2-medium,6.857396125793457
About,impresses,17,17_F_his,f,Mismatch,poss,The newspaper article about Marie impresses,his,gpt2-medium,7.682645797729492
About,has hurt,18,18_M_him,m,Match,obj,The story about Frank has hurt,him,gpt2-medium,2.8542795181274414
About,has hurt,18,18_F_him,f,Mismatch,obj,The story about Teresa has hurt,him,gpt2-medium,4.942272186279297
About,has hurt,18,18_M_his,m,Match,poss,The story about Frank has hurt,his,gpt2-medium,4.050783157348633
About,has hurt,18,18_F_his,f,Mismatch,poss,The story about Teresa has hurt,his,gpt2-medium,6.300665378570557
About,disgusted,19,19_M_him,m,Match,obj,The essay about Bradley disgusted,him,gpt2-medium,3.460824012756348
About,disgusted,19,19_F_him,f,Mismatch,obj,The essay about Sabrina disgusted,him,gpt2-medium,3.835191488265991
About,disgusted,19,19_M_his,m,Match,poss,The essay about Bradley disgusted,his,gpt2-medium,6.829471111297607
About,disgusted,19,19_F_his,f,Mismatch,poss,The essay about Sabrina disgusted,his,gpt2-medium,7.761205673217773
About,has bothered,20,20_M_him,m,Match,obj,The report about Curtis has bothered,him,gpt2-medium,3.286129951477051
About,has bothered,20,20_F_him,f,Mismatch,obj,The report about Heidi has bothered,him,gpt2-medium,4.571060180664063
About,has bothered,20,20_M_his,m,Match,poss,The report about Curtis has bothered,his,gpt2-medium,7.0706281661987305
About,has bothered,20,20_F_his,f,Mismatch,poss,The report about Heidi has bothered,his,gpt2-medium,9.033374786376951
About,shouldn't stun,21,21_M_him,m,Match,obj,The documentary about Marcus shouldn't stun,him,gpt2-medium,10.523341178894045
About,shouldn't stun,21,21_F_him,f,Mismatch,obj,The documentary about Connie shouldn't stun,him,gpt2-medium,10.741985321044922
About,shouldn't stun,21,21_M_his,m,Match,poss,The documentary about Marcus shouldn't stun,his,gpt2-medium,10.602590560913086
About,shouldn't stun,21,21_F_his,f,Mismatch,poss,The documentary about Connie shouldn't stun,his,gpt2-medium,11.291074752807615
About,underwhelms,22,22_M_him,m,Match,obj,The commentary about Bill underwhelms,him,gpt2-medium,6.287280559539795
About,underwhelms,22,22_F_him,f,Mismatch,obj,The commentary about Tanya underwhelms,him,gpt2-medium,6.694049835205078
About,underwhelms,22,22_M_his,m,Match,poss,The commentary about Bill underwhelms,his,gpt2-medium,8.162138938903809
About,underwhelms,22,22_F_his,f,Mismatch,poss,The commentary about Tanya underwhelms,his,gpt2-medium,9.230565071105955
About,can't upset,23,23_M_him,m,Match,obj,The show about the nephew can't upset,him,gpt2-medium,4.228404521942139
About,can't upset,23,23_F_him,f,Mismatch,obj,The show about Ann can't upset,him,gpt2-medium,5.48057746887207
About,can't upset,23,23_M_his,m,Match,poss,The show about the nephew can't upset,his,gpt2-medium,5.184110641479492
About,can't upset,23,23_F_his,f,Mismatch,poss,The show about Ann can't upset,his,gpt2-medium,7.78941535949707
About,hindered,24,24_M_him,m,Match,obj,The book about Martin hindered,him,gpt2-medium,4.303863048553467
About,hindered,24,24_F_him,f,Mismatch,obj,The book about Caroline hindered,him,gpt2-medium,5.216389179229736
About,hindered,24,24_M_his,m,Match,poss,The book about Martin hindered,his,gpt2-medium,3.158541202545166
About,hindered,24,24_F_his,f,Mismatch,poss,The book about Caroline hindered,his,gpt2-medium,4.013732433319092
About,bored,25,25_M_him,m,Match,obj,The pamphlet about Liam bored,him,gpt2-medium,3.863035678863525
About,bored,25,25_F_him,f,Mismatch,obj,The pamphlet about Carrie bored,him,gpt2-medium,5.188658714294434
About,bored,25,25_M_his,m,Match,poss,The pamphlet about Liam bored,his,gpt2-medium,6.106592178344727
About,bored,25,25_F_his,f,Mismatch,poss,The pamphlet about Carrie bored,his,gpt2-medium,8.44649887084961
About,hasn't hurt,26,26_M_him,m,Match,obj,The brochure about Omar hasn't hurt,him,gpt2-medium,3.323875665664673
About,hasn't hurt,26,26_F_him,f,Mismatch,obj,The brochure about Christine hasn't hurt,him,gpt2-medium,5.122840404510498
About,hasn't hurt,26,26_M_his,m,Match,poss,The brochure about Omar hasn't hurt,his,gpt2-medium,3.0072624683380127
About,hasn't hurt,26,26_F_his,f,Mismatch,poss,The brochure about Christine hasn't hurt,his,gpt2-medium,4.7681427001953125
About,astounded,27,27_M_him,m,Match,obj,The play about Mark astounded,him,gpt2-medium,4.268301010131836
About,astounded,27,27_F_him,f,Mismatch,obj,The play about Kimberley astounded,him,gpt2-medium,6.410669803619385
About,astounded,27,27_M_his,m,Match,poss,The play about Mark astounded,his,gpt2-medium,6.4632062911987305
About,astounded,27,27_F_his,f,Mismatch,poss,The play about Kimberley astounded,his,gpt2-medium,8.994030952453613
About,isn't hurting,28,28_M_him,m,Match,obj,The movie about Carl isn't hurting,him,gpt2-medium,4.101646423339844
About,isn't hurting,28,28_F_him,f,Mismatch,obj,The movie about Linda isn't hurting,him,gpt2-medium,5.426411151885986
About,isn't hurting,28,28_M_his,m,Match,poss,The movie about Carl isn't hurting,his,gpt2-medium,5.456814289093018
About,isn't hurting,28,28_F_his,f,Mismatch,poss,The movie about Linda isn't hurting,his,gpt2-medium,6.917867183685303
About,bores,29,29_M_him,m,Match,obj,The newspaper article about Charles bores,him,gpt2-medium,4.127440929412842
About,bores,29,29_F_him,f,Mismatch,obj,The newspaper article about Meredith bores,him,gpt2-medium,5.697595119476318
About,bores,29,29_M_his,m,Match,poss,The newspaper article about Charles bores,his,gpt2-medium,6.084499359130859
About,bores,29,29_F_his,f,Mismatch,poss,The newspaper article about Meredith bores,his,gpt2-medium,8.548698425292969
About,can't bore,30,30_M_him,m,Match,obj,The story about Matt can't bore,him,gpt2-medium,8.614289283752441
About,can't bore,30,30_F_him,f,Mismatch,obj,The story about the actress can't bore,him,gpt2-medium,9.288217544555664
About,can't bore,30,30_M_his,m,Match,poss,The story about Matt can't bore,his,gpt2-medium,10.928894996643066
About,can't bore,30,30_F_his,f,Mismatch,poss,The story about the actress can't bore,his,gpt2-medium,11.552301406860352
About,is shocking,31,31_M_him,m,Match,obj,The essay about Scott is shocking,him,gpt2-medium,15.022421836853027
About,is shocking,31,31_F_him,f,Mismatch,obj,The essay about Sharon is shocking,him,gpt2-medium,15.325782775878906
About,is shocking,31,31_M_his,m,Match,poss,The essay about Scott is shocking,his,gpt2-medium,14.01202392578125
About,is shocking,31,31_F_his,f,Mismatch,poss,The essay about Sharon is shocking,his,gpt2-medium,14.4201021194458
About,embarrasses,32,32_M_him,m,Match,obj,The report about Brett embarrasses,him,gpt2-medium,2.9485483169555664
About,embarrasses,32,32_F_him,f,Mismatch,obj,The report about Jodi embarrasses,him,gpt2-medium,4.27350378036499
About,embarrasses,32,32_M_his,m,Match,poss,The report about Brett embarrasses,his,gpt2-medium,6.059426307678223
About,embarrasses,32,32_F_his,f,Mismatch,poss,The report about Jodi embarrasses,his,gpt2-medium,7.479283332824707
About,has aided,33,33_M_him,m,Match,obj,The documentary about Peter has aided,him,gpt2-medium,4.615311145782471
About,has aided,33,33_F_him,f,Mismatch,obj,The documentary about Mary has aided,him,gpt2-medium,5.822237491607666
About,has aided,33,33_M_his,m,Match,poss,The documentary about Peter has aided,his,gpt2-medium,5.667811870574951
About,has aided,33,33_F_his,f,Mismatch,poss,The documentary about Mary has aided,his,gpt2-medium,6.6186842918396
About,was hindering,34,34_M_him,m,Match,obj,The commentary about Michael was hindering,him,gpt2-medium,4.842934608459473
About,was hindering,34,34_F_him,f,Mismatch,obj,The commentary about Margaret was hindering,him,gpt2-medium,5.689373016357422
About,was hindering,34,34_M_his,m,Match,poss,The commentary about Michael was hindering,his,gpt2-medium,3.193518877029419
About,was hindering,34,34_F_his,f,Mismatch,poss,The commentary about Margaret was hindering,his,gpt2-medium,4.248681545257568
About,astounds,35,35_M_him,m,Match,obj,The show about Michael astounds,him,gpt2-medium,6.7857584953308105
About,astounds,35,35_F_him,f,Mismatch,obj,The show about Wendy astounds,him,gpt2-medium,7.779230117797852
About,astounds,35,35_M_his,m,Match,poss,The show about Michael astounds,his,gpt2-medium,3.48976731300354
About,astounds,35,35_F_his,f,Mismatch,poss,The show about Wendy astounds,his,gpt2-medium,9.552912712097168
About,scared,36,36_M_him,m,Match,obj,The book about Ronald scared,him,gpt2-medium,4.676911354064941
About,scared,36,36_F_him,f,Mismatch,obj,The book about Gina scared,him,gpt2-medium,5.181830406188965
About,scared,36,36_M_his,m,Match,poss,The book about Ronald scared,his,gpt2-medium,6.492244720458984
About,scared,36,36_F_his,f,Mismatch,poss,The book about Gina scared,his,gpt2-medium,8.62649154663086
About,can hurt,37,37_M_him,m,Match,obj,The pamphlet about Derek can hurt,him,gpt2-medium,4.901147842407227
About,can hurt,37,37_F_him,f,Mismatch,obj,The pamphlet about Christine can hurt,him,gpt2-medium,6.5898118019104
About,can hurt,37,37_M_his,m,Match,poss,The pamphlet about Derek can hurt,his,gpt2-medium,5.227094650268555
About,can hurt,37,37_F_his,f,Mismatch,poss,The pamphlet about Christine can hurt,his,gpt2-medium,7.436020851135254
About,wasn't worrying,38,38_M_him,m,Match,obj,The brochure about Joseph wasn't worrying,him,gpt2-medium,4.661562442779541
About,wasn't worrying,38,38_F_him,f,Mismatch,obj,The brochure about Cindy wasn't worrying,him,gpt2-medium,7.258131980895996
About,wasn't worrying,38,38_M_his,m,Match,poss,The brochure about Joseph wasn't worrying,his,gpt2-medium,9.439729690551758
About,wasn't worrying,38,38_F_his,f,Mismatch,poss,The brochure about Cindy wasn't worrying,his,gpt2-medium,11.140735626220703
About,hadn't overwhelmed,39,39_M_him,m,Match,obj,The play about Gregory hadn't overwhelmed,him,gpt2-medium,2.1720404624938965
About,hadn't overwhelmed,39,39_F_him,f,Mismatch,obj,The play about Sabrina hadn't overwhelmed,him,gpt2-medium,3.808093547821045
About,hadn't overwhelmed,39,39_M_his,m,Match,poss,The play about Gregory hadn't overwhelmed,his,gpt2-medium,5.856959342956543
About,hadn't overwhelmed,39,39_F_his,f,Mismatch,poss,The play about Sabrina hadn't overwhelmed,his,gpt2-medium,7.293975353240967
About,upsets,40,40_M_him,m,Match,obj,The movie about Paul upsets,him,gpt2-medium,4.13788652420044
About,upsets,40,40_F_him,f,Mismatch,obj,The movie about Pamela upsets,him,gpt2-medium,4.450473308563232
About,upsets,40,40_M_his,m,Match,poss,The movie about Paul upsets,his,gpt2-medium,4.331882953643799
About,upsets,40,40_F_his,f,Mismatch,poss,The movie about Pamela upsets,his,gpt2-medium,6.054331302642822
About,embarrassed,41,41_M_him,m,Match,obj,The newspaper article about Steve embarrassed,him,gpt2-medium,3.094733953475952
About,embarrassed,41,41_F_him,f,Mismatch,obj,The newspaper article about Kimberley embarrassed,him,gpt2-medium,3.493405818939209
About,embarrassed,41,41_M_his,m,Match,poss,The newspaper article about Steve embarrassed,his,gpt2-medium,5.615939140319824
About,embarrassed,41,41_F_his,f,Mismatch,poss,The newspaper article about Kimberley embarrassed,his,gpt2-medium,6.884110927581787
About,underwhelmed,42,42_M_him,m,Match,obj,The story about Paul underwhelmed,him,gpt2-medium,5.806421279907227
About,underwhelmed,42,42_F_him,f,Mismatch,obj,The story about Tracy underwhelmed,him,gpt2-medium,6.69707727432251
About,underwhelmed,42,42_M_his,m,Match,poss,The story about Paul underwhelmed,his,gpt2-medium,7.674554347991943
About,underwhelmed,42,42_F_his,f,Mismatch,poss,The story about Tracy underwhelmed,his,gpt2-medium,9.242133140563965
About,was impressing,43,43_M_him,m,Match,obj,The essay about Wayne was impressing,him,gpt2-medium,6.6006364822387695
About,was impressing,43,43_F_him,f,Mismatch,obj,The essay about Patricia was impressing,him,gpt2-medium,7.001797676086426
About,was impressing,43,43_M_his,m,Match,poss,The essay about Wayne was impressing,his,gpt2-medium,7.803215503692627
About,was impressing,43,43_F_his,f,Mismatch,poss,The essay about Patricia was impressing,his,gpt2-medium,8.803339004516602
About,had distracted,44,44_M_him,m,Match,obj,The report about Timothy had distracted,him,gpt2-medium,3.0451467037200928
About,had distracted,44,44_F_him,f,Mismatch,obj,The report about Stephanie had distracted,him,gpt2-medium,3.7184488773345943
About,had distracted,44,44_M_his,m,Match,poss,The report about Timothy had distracted,his,gpt2-medium,6.166227340698242
About,had distracted,44,44_F_his,f,Mismatch,poss,The report about Stephanie had distracted,his,gpt2-medium,7.156109809875488
About,helped,45,45_M_him,m,Match,obj,The documentary about Dan helped,him,gpt2-medium,3.587135076522827
About,helped,45,45_F_him,f,Mismatch,obj,The documentary about Emily helped,him,gpt2-medium,4.483232021331787
About,helped,45,45_M_his,m,Match,poss,The documentary about Dan helped,his,gpt2-medium,7.795982360839844
About,helped,45,45_F_his,f,Mismatch,poss,The documentary about Emily helped,his,gpt2-medium,8.400870323181152
About,aids,46,46_M_him,m,Match,obj,The commentary about that ex-boyfriend aids,him,gpt2-medium,4.625027656555176
About,aids,46,46_F_him,f,Mismatch,obj,The commentary about Heidi aids,him,gpt2-medium,4.85723352432251
About,aids,46,46_M_his,m,Match,poss,The commentary about that ex-boyfriend aids,his,gpt2-medium,5.678056716918945
About,aids,46,46_F_his,f,Mismatch,poss,The commentary about Heidi aids,his,gpt2-medium,5.328306198120117
About,was harming,47,47_M_him,m,Match,obj,The show about James was harming,him,gpt2-medium,4.913956642150879
About,was harming,47,47_F_him,f,Mismatch,obj,The show about Gina was harming,him,gpt2-medium,5.919692516326904
About,was harming,47,47_M_his,m,Match,poss,The show about James was harming,his,gpt2-medium,4.074196815490723
About,was harming,47,47_F_his,f,Mismatch,poss,The show about Gina was harming,his,gpt2-medium,5.9259772300720215
About,isn't underwhelming,48,48_M_him,m,Match,obj,The book about Chad isn't underwhelming,him,gpt2-medium,16.60309410095215
About,isn't underwhelming,48,48_F_him,f,Mismatch,obj,The book about Brenda isn't underwhelming,him,gpt2-medium,16.536727905273438
About,isn't underwhelming,48,48_M_his,m,Match,poss,The book about Chad isn't underwhelming,his,gpt2-medium,15.133124351501465
About,isn't underwhelming,48,48_F_his,f,Mismatch,poss,The book about Brenda isn't underwhelming,his,gpt2-medium,15.490357398986816
About,hasn't hindered,49,49_M_him,m,Match,obj,The pamphlet about Steven hasn't hindered,him,gpt2-medium,3.8312389850616455
About,hasn't hindered,49,49_F_him,f,Mismatch,obj,The pamphlet about Ruth hasn't hindered,him,gpt2-medium,4.399753093719482
About,hasn't hindered,49,49_M_his,m,Match,poss,The pamphlet about Steven hasn't hindered,his,gpt2-medium,2.3622922897338867
About,hasn't hindered,49,49_F_his,f,Mismatch,poss,The pamphlet about Ruth hasn't hindered,his,gpt2-medium,3.7186856269836426
About,had bored,50,50_M_him,m,Match,obj,The brochure about Mark had bored,him,gpt2-medium,3.421239852905273
About,had bored,50,50_F_him,f,Mismatch,obj,The brochure about that lady had bored,him,gpt2-medium,4.725364685058594
About,had bored,50,50_M_his,m,Match,poss,The brochure about Mark had bored,his,gpt2-medium,6.894596099853516
About,had bored,50,50_F_his,f,Mismatch,poss,The brochure about that lady had bored,his,gpt2-medium,9.280219078063965
About,hasn't upset,51,51_M_him,m,Match,obj,The play about Brian hasn't upset,him,gpt2-medium,4.966367244720459
About,hasn't upset,51,51_F_him,f,Mismatch,obj,The play about Theresa hasn't upset,him,gpt2-medium,5.455316066741943
About,hasn't upset,51,51_M_his,m,Match,poss,The play about Brian hasn't upset,his,gpt2-medium,7.336601734161377
About,hasn't upset,51,51_F_his,f,Mismatch,poss,The play about Theresa hasn't upset,his,gpt2-medium,8.708105087280273
About,might distract,52,52_M_him,m,Match,obj,The movie about Chad might distract,him,gpt2-medium,7.046318531036377
About,might distract,52,52_F_him,f,Mismatch,obj,The movie about the actress might distract,him,gpt2-medium,6.800117015838623
About,might distract,52,52_M_his,m,Match,poss,The movie about Chad might distract,his,gpt2-medium,8.642833709716797
About,might distract,52,52_F_his,f,Mismatch,poss,The movie about the actress might distract,his,gpt2-medium,9.295278549194336
About,alarms,53,53_M_him,m,Match,obj,The newspaper article about this ex-boyfriend alarms,him,gpt2-medium,5.555500507354736
About,alarms,53,53_F_him,f,Mismatch,obj,The newspaper article about Jessica alarms,him,gpt2-medium,5.274049282073975
About,alarms,53,53_M_his,m,Match,poss,The newspaper article about this ex-boyfriend alarms,his,gpt2-medium,8.742215156555176
About,alarms,53,53_F_his,f,Mismatch,poss,The newspaper article about Jessica alarms,his,gpt2-medium,7.742047309875488
About,hasn't distracted,54,54_M_him,m,Match,obj,The story about Matt hasn't distracted,him,gpt2-medium,5.388129711151123
About,hasn't distracted,54,54_F_him,f,Mismatch,obj,The story about Florence hasn't distracted,him,gpt2-medium,6.966740608215332
About,hasn't distracted,54,54_M_his,m,Match,poss,The story about Matt hasn't distracted,his,gpt2-medium,9.542961120605469
About,hasn't distracted,54,54_F_his,f,Mismatch,poss,The story about Florence hasn't distracted,his,gpt2-medium,10.994606971740724
About,upset,55,55_M_him,m,Match,obj,The essay about Kenneth upset,him,gpt2-medium,5.640578746795654
About,upset,55,55_F_him,f,Mismatch,obj,The essay about Laurie upset,him,gpt2-medium,5.675371170043945
About,upset,55,55_M_his,m,Match,poss,The essay about Kenneth upset,his,gpt2-medium,6.500932216644287
About,upset,55,55_F_his,f,Mismatch,poss,The essay about Laurie upset,his,gpt2-medium,6.596879005432129
About,could help,56,56_M_him,m,Match,obj,The report about that ex-husband could help,him,gpt2-medium,4.82005786895752
About,could help,56,56_F_him,f,Mismatch,obj,The report about Jodi could help,him,gpt2-medium,5.875110149383545
About,could help,56,56_M_his,m,Match,poss,The report about that ex-husband could help,his,gpt2-medium,6.642171382904053
About,could help,56,56_F_his,f,Mismatch,poss,The report about Jodi could help,his,gpt2-medium,8.087913513183594
About,bores,57,57_M_him,m,Match,obj,The documentary about Bruce bores,him,gpt2-medium,5.90086555480957
About,bores,57,57_F_him,f,Mismatch,obj,The documentary about Sheila bores,him,gpt2-medium,5.267559051513672
About,bores,57,57_M_his,m,Match,poss,The documentary about Bruce bores,his,gpt2-medium,7.378914833068848
About,bores,57,57_F_his,f,Mismatch,poss,The documentary about Sheila bores,his,gpt2-medium,7.032216548919678
About,bothered,58,58_M_him,m,Match,obj,The commentary about Brett bothered,him,gpt2-medium,4.021664142608643
About,bothered,58,58_F_him,f,Mismatch,obj,The commentary about Anna bothered,him,gpt2-medium,4.083615779876709
About,bothered,58,58_M_his,m,Match,poss,The commentary about Brett bothered,his,gpt2-medium,8.487863540649414
About,bothered,58,58_F_his,f,Mismatch,poss,The commentary about Anna bothered,his,gpt2-medium,9.141765594482422
About,is aiding,59,59_M_him,m,Match,obj,The show about Carlos is aiding,him,gpt2-medium,3.4082345962524414
About,is aiding,59,59_F_him,f,Mismatch,obj,The show about Ann is aiding,him,gpt2-medium,5.535701751708984
About,is aiding,59,59_M_his,m,Match,poss,The show about Carlos is aiding,his,gpt2-medium,4.653482437133789
About,is aiding,59,59_F_his,f,Mismatch,poss,The show about Ann is aiding,his,gpt2-medium,7.087920665740967
About,was disgusting,60,60_M_him,m,Match,obj,The book about Mark was disgusting,him,gpt2-medium,14.980987548828123
About,was disgusting,60,60_F_him,f,Mismatch,obj,The book about Eva was disgusting,him,gpt2-medium,15.30803394317627
About,was disgusting,60,60_M_his,m,Match,poss,The book about Mark was disgusting,his,gpt2-medium,14.09868621826172
About,was disgusting,60,60_F_his,f,Mismatch,poss,The book about Eva was disgusting,his,gpt2-medium,14.68903923034668
About,is stunning,61,61_M_him,m,Match,obj,The pamphlet about Noah is stunning,him,gpt2-medium,17.217517852783203
About,is stunning,61,61_F_him,f,Mismatch,obj,The pamphlet about Dana is stunning,him,gpt2-medium,16.935081481933594
About,is stunning,61,61_M_his,m,Match,poss,The pamphlet about Noah is stunning,his,gpt2-medium,16.37851333618164
