exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-neo-125M_surp
TwoEmbedding,warns,can't astound,2,2_MFM_his,mfm,MatchMismatchMatch,poss,Adam warns Christina that Vincent can't astound,his,5.380126476287842
TwoEmbedding,warns,can't astound,2,2_MFF_his,mff,MatchMismatchMismatch,poss,Adam warns Christina that Sara can't astound,his,7.488307476043701
TwoEmbedding,warns,can't astound,2,2_FMM_his,fmm,MismatchMatchMatch,poss,Amanda warns the guy that Vincent can't astound,his,5.345761775970459
TwoEmbedding,warns,can't astound,2,2_FMF_his,fmf,MismatchMatchMismatch,poss,Amanda warns the guy that Sara can't astound,his,6.954904556274414
TwoEmbedding,warns,can't astound,2,2_FFM_his,ffm,MismatchMismatchMatch,poss,Amanda warns Christina that Vincent can't astound,his,5.673232078552246
TwoEmbedding,warns,can't astound,2,2_FFF_his,fff,MismatchMismatchMismatch,poss,Amanda warns Christina that Sara can't astound,his,8.271018028259277
TwoEmbedding,shows,fired,3,3_MMM_him,mmm,MatchMatchMatch,obj,Stephen shows Rodney that Marcus fired,him,3.69606876373291
TwoEmbedding,shows,fired,3,3_MMF_him,mmf,MatchMatchMismatch,obj,Stephen shows Rodney that Naomi fired,him,3.5267326831817627
TwoEmbedding,shows,fired,3,3_MFM_him,mfm,MatchMismatchMatch,obj,Stephen shows Margaret that Marcus fired,him,4.1264872550964355
TwoEmbedding,shows,fired,3,3_MFF_him,mff,MatchMismatchMismatch,obj,Stephen shows Margaret that Naomi fired,him,4.415395259857178
TwoEmbedding,shows,fired,3,3_FMM_him,fmm,MismatchMatchMatch,obj,Cynthia shows Rodney that Marcus fired,him,4.136515140533447
TwoEmbedding,shows,fired,3,3_FMF_him,fmf,MismatchMatchMismatch,obj,Cynthia shows Rodney that Naomi fired,him,4.215199947357178
TwoEmbedding,shows,fired,3,3_FFM_him,ffm,MismatchMismatchMatch,obj,Cynthia shows Margaret that Marcus fired,him,4.5890398025512695
TwoEmbedding,shows,fired,3,3_FFF_him,fff,MismatchMismatchMismatch,obj,Cynthia shows Margaret that Naomi fired,him,5.3367204666137695
TwoEmbedding,shows,fired,3,3_MMM_his,mmm,MatchMatchMatch,poss,Stephen shows Rodney that Marcus fired,his,3.6074626445770264
TwoEmbedding,shows,fired,3,3_MMF_his,mmf,MatchMatchMismatch,poss,Stephen shows Rodney that Naomi fired,his,4.30365514755249
TwoEmbedding,shows,fired,3,3_MFM_his,mfm,MatchMismatchMatch,poss,Stephen shows Margaret that Marcus fired,his,3.7403595447540283
TwoEmbedding,shows,fired,3,3_MFF_his,mff,MatchMismatchMismatch,poss,Stephen shows Margaret that Naomi fired,his,5.7580246925354
TwoEmbedding,shows,fired,3,3_FMM_his,fmm,MismatchMatchMatch,poss,Cynthia shows Rodney that Marcus fired,his,3.178997039794922
TwoEmbedding,shows,fired,3,3_FMF_his,fmf,MismatchMatchMismatch,poss,Cynthia shows Rodney that Naomi fired,his,4.014204978942871
TwoEmbedding,shows,fired,3,3_FFM_his,ffm,MismatchMismatchMatch,poss,Cynthia shows Margaret that Marcus fired,his,3.488847494125366
TwoEmbedding,shows,fired,3,3_FFF_his,fff,MismatchMismatchMismatch,poss,Cynthia shows Margaret that Naomi fired,his,5.918097019195557
TwoEmbedding,alerts,returns to,4,4_MMM_him,mmm,MatchMatchMatch,obj,This husband alerts Aaron that Eric returns to,him,5.067898750305176
TwoEmbedding,alerts,returns to,4,4_MMF_him,mmf,MatchMatchMismatch,obj,This husband alerts Aaron that Tracy returns to,him,4.052857875823975
TwoEmbedding,alerts,returns to,4,4_MFM_him,mfm,MatchMismatchMatch,obj,This husband alerts Tamara that Eric returns to,him,5.05883264541626
TwoEmbedding,alerts,returns to,4,4_MFF_him,mff,MatchMismatchMismatch,obj,This husband alerts Tamara that Tracy returns to,him,4.451211452484131
TwoEmbedding,alerts,returns to,4,4_FMM_him,fmm,MismatchMatchMatch,obj,Barbara alerts Aaron that Eric returns to,him,7.605567932128906
TwoEmbedding,alerts,returns to,4,4_FMF_him,fmf,MismatchMatchMismatch,obj,Barbara alerts Aaron that Tracy returns to,him,6.992097854614258
TwoEmbedding,alerts,returns to,4,4_FFM_him,ffm,MismatchMismatchMatch,obj,Barbara alerts Tamara that Eric returns to,him,7.0599846839904785
TwoEmbedding,alerts,returns to,4,4_FFF_him,fff,MismatchMismatchMismatch,obj,Barbara alerts Tamara that Tracy returns to,him,8.199601173400879
TwoEmbedding,alerts,returns to,4,4_MMM_his,mmm,MatchMatchMatch,poss,This husband alerts Aaron that Eric returns to,his,2.838615894317627
TwoEmbedding,alerts,returns to,4,4_MMF_his,mmf,MatchMatchMismatch,poss,This husband alerts Aaron that Tracy returns to,his,3.9314565658569336
TwoEmbedding,alerts,returns to,4,4_MFM_his,mfm,MatchMismatchMatch,poss,This husband alerts Tamara that Eric returns to,his,3.6159613132476807
TwoEmbedding,alerts,returns to,4,4_MFF_his,mff,MatchMismatchMismatch,poss,This husband alerts Tamara that Tracy returns to,his,5.286342620849609
TwoEmbedding,alerts,returns to,4,4_FMM_his,fmm,MismatchMatchMatch,poss,Barbara alerts Aaron that Eric returns to,his,3.1763808727264404
TwoEmbedding,alerts,returns to,4,4_FMF_his,fmf,MismatchMatchMismatch,poss,Barbara alerts Aaron that Tracy returns to,his,4.706054210662842
TwoEmbedding,alerts,returns to,4,4_FFM_his,ffm,MismatchMismatchMatch,poss,Barbara alerts Tamara that Eric returns to,his,3.540048599243164
TwoEmbedding,alerts,returns to,4,4_FFF_his,fff,MismatchMismatchMismatch,poss,Barbara alerts Tamara that Tracy returns to,his,7.152928829193115
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_him,mmm,MatchMatchMatch,obj,Ronald alerted Donald that Scott wasn't alarming,him,2.8059048652648926
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_him,mmf,MatchMatchMismatch,obj,Ronald alerted Donald that Alice wasn't alarming,him,1.9983140230178833
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_him,mfm,MatchMismatchMatch,obj,Ronald alerted Angela that Scott wasn't alarming,him,4.0761308670043945
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_him,mff,MatchMismatchMismatch,obj,Ronald alerted Angela that Alice wasn't alarming,him,3.6059093475341797
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_him,fmm,MismatchMatchMatch,obj,Christina alerted Donald that Scott wasn't alarming,him,2.5961318016052246
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_him,fmf,MismatchMatchMismatch,obj,Christina alerted Donald that Alice wasn't alarming,him,1.8399090766906738
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_him,ffm,MismatchMismatchMatch,obj,Christina alerted Angela that Scott wasn't alarming,him,3.716301202774048
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_him,fff,MismatchMismatchMismatch,obj,Christina alerted Angela that Alice wasn't alarming,him,3.169457197189331
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_his,mmm,MatchMatchMatch,poss,Ronald alerted Donald that Scott wasn't alarming,his,4.953307151794434
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_his,mmf,MatchMatchMismatch,poss,Ronald alerted Donald that Alice wasn't alarming,his,6.921642780303955
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_his,mfm,MatchMismatchMatch,poss,Ronald alerted Angela that Scott wasn't alarming,his,5.740722179412842
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_his,mff,MatchMismatchMismatch,poss,Ronald alerted Angela that Alice wasn't alarming,his,8.810542106628418
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_his,fmm,MismatchMatchMatch,poss,Christina alerted Donald that Scott wasn't alarming,his,4.583089828491211
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_his,fmf,MismatchMatchMismatch,poss,Christina alerted Donald that Alice wasn't alarming,his,6.531406879425049
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_his,ffm,MismatchMismatchMatch,poss,Christina alerted Angela that Scott wasn't alarming,his,5.3370280265808105
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_his,fff,MismatchMismatchMismatch,poss,Christina alerted Angela that Alice wasn't alarming,his,8.004261016845703
TwoEmbedding,warned,was investigating,6,6_MMM_him,mmm,MatchMatchMatch,obj,The brother warned Jason that Adam was investigating,him,4.745355129241943
TwoEmbedding,warned,was investigating,6,6_MMF_him,mmf,MatchMatchMismatch,obj,The brother warned Jason that Victoria was investigating,him,3.9568288326263428
TwoEmbedding,warned,was investigating,6,6_MFM_him,mfm,MatchMismatchMatch,obj,The brother warned Amanda that Adam was investigating,him,5.703136444091797
TwoEmbedding,warned,was investigating,6,6_MFF_him,mff,MatchMismatchMismatch,obj,The brother warned Amanda that Victoria was investigating,him,4.652731418609619
TwoEmbedding,warned,was investigating,6,6_FMM_him,fmm,MismatchMatchMatch,obj,Jennifer warned Jason that Adam was investigating,him,5.04150915145874
TwoEmbedding,warned,was investigating,6,6_FMF_him,fmf,MismatchMatchMismatch,obj,Jennifer warned Jason that Victoria was investigating,him,4.6674699783325195
TwoEmbedding,warned,was investigating,6,6_FFM_him,ffm,MismatchMismatchMatch,obj,Jennifer warned Amanda that Adam was investigating,him,5.481107711791992
TwoEmbedding,warned,was investigating,6,6_FFF_him,fff,MismatchMismatchMismatch,obj,Jennifer warned Amanda that Victoria was investigating,him,5.373737335205078
TwoEmbedding,warned,was investigating,6,6_MMM_his,mmm,MatchMatchMatch,poss,The brother warned Jason that Adam was investigating,his,4.098583698272705
TwoEmbedding,warned,was investigating,6,6_MMF_his,mmf,MatchMatchMismatch,poss,The brother warned Jason that Victoria was investigating,his,5.343928337097168
TwoEmbedding,warned,was investigating,6,6_MFM_his,mfm,MatchMismatchMatch,poss,The brother warned Amanda that Adam was investigating,his,4.552802085876465
TwoEmbedding,warned,was investigating,6,6_MFF_his,mff,MatchMismatchMismatch,poss,The brother warned Amanda that Victoria was investigating,his,6.840212345123291
TwoEmbedding,warned,was investigating,6,6_FMM_his,fmm,MismatchMatchMatch,poss,Jennifer warned Jason that Adam was investigating,his,4.477442741394043
TwoEmbedding,warned,was investigating,6,6_FMF_his,fmf,MismatchMatchMismatch,poss,Jennifer warned Jason that Victoria was investigating,his,5.617435455322266
TwoEmbedding,warned,was investigating,6,6_FFM_his,ffm,MismatchMismatchMatch,poss,Jennifer warned Amanda that Adam was investigating,his,5.0044355392456055
TwoEmbedding,warned,was investigating,6,6_FFF_his,fff,MismatchMismatchMismatch,poss,Jennifer warned Amanda that Victoria was investigating,his,7.1341400146484375
TwoEmbedding,warned,can reference,7,7_MMM_him,mmm,MatchMatchMatch,obj,Daniel warned Timothy that this husband can reference,him,6.628006458282471
TwoEmbedding,warned,can reference,7,7_MMF_him,mmf,MatchMatchMismatch,obj,Daniel warned Timothy that Jodi can reference,him,4.853243350982666
TwoEmbedding,warned,can reference,7,7_MFM_him,mfm,MatchMismatchMatch,obj,Daniel warned Tiffany that this husband can reference,him,7.080246925354004
TwoEmbedding,warned,can reference,7,7_MFF_him,mff,MatchMismatchMismatch,obj,Daniel warned Tiffany that Jodi can reference,him,5.4308881759643555
TwoEmbedding,warned,can reference,7,7_FMM_him,fmm,MismatchMatchMatch,obj,Donna warned Timothy that this husband can reference,him,6.659003257751465
TwoEmbedding,warned,can reference,7,7_FMF_him,fmf,MismatchMatchMismatch,obj,Donna warned Timothy that Jodi can reference,him,5.013302326202393
TwoEmbedding,warned,can reference,7,7_FFM_him,ffm,MismatchMismatchMatch,obj,Donna warned Tiffany that this husband can reference,him,7.140594482421875
TwoEmbedding,warned,can reference,7,7_FFF_him,fff,MismatchMismatchMismatch,obj,Donna warned Tiffany that Jodi can reference,him,5.838723659515381
TwoEmbedding,warned,can reference,7,7_MMM_his,mmm,MatchMatchMatch,poss,Daniel warned Timothy that this husband can reference,his,3.4403250217437744
TwoEmbedding,warned,can reference,7,7_MMF_his,mmf,MatchMatchMismatch,poss,Daniel warned Timothy that Jodi can reference,his,4.513446807861328
TwoEmbedding,warned,can reference,7,7_MFM_his,mfm,MatchMismatchMatch,poss,Daniel warned Tiffany that this husband can reference,his,3.722036838531494
TwoEmbedding,warned,can reference,7,7_MFF_his,mff,MatchMismatchMismatch,poss,Daniel warned Tiffany that Jodi can reference,his,5.26117467880249
TwoEmbedding,warned,can reference,7,7_FMM_his,fmm,MismatchMatchMatch,poss,Donna warned Timothy that this husband can reference,his,3.4113099575042725
TwoEmbedding,warned,can reference,7,7_FMF_his,fmf,MismatchMatchMismatch,poss,Donna warned Timothy that Jodi can reference,his,4.549755573272705
TwoEmbedding,warned,can reference,7,7_FFM_his,ffm,MismatchMismatchMatch,poss,Donna warned Tiffany that this husband can reference,his,3.720452070236206
TwoEmbedding,warned,can reference,7,7_FFF_his,fff,MismatchMismatchMismatch,poss,Donna warned Tiffany that Jodi can reference,his,5.642236232757568
TwoEmbedding,informs,didn't reference,8,8_MMM_him,mmm,MatchMatchMatch,obj,Dennis informs Scott that Guy didn't reference,him,3.8524491786956787
TwoEmbedding,informs,didn't reference,8,8_MMF_him,mmf,MatchMatchMismatch,obj,Dennis informs Scott that Kristen didn't reference,him,2.471358060836792
TwoEmbedding,informs,didn't reference,8,8_MFM_him,mfm,MatchMismatchMatch,obj,Dennis informs Stacy that Guy didn't reference,him,4.765505790710449
TwoEmbedding,informs,didn't reference,8,8_MFF_him,mff,MatchMismatchMismatch,obj,Dennis informs Stacy that Kristen didn't reference,him,3.1092288494110107
TwoEmbedding,informs,didn't reference,8,8_FMM_him,fmm,MismatchMatchMatch,obj,Christine informs Scott that Guy didn't reference,him,3.8998160362243652
TwoEmbedding,informs,didn't reference,8,8_FMF_him,fmf,MismatchMatchMismatch,obj,Christine informs Scott that Kristen didn't reference,him,2.6404824256896973
TwoEmbedding,informs,didn't reference,8,8_FFM_him,ffm,MismatchMismatchMatch,obj,Christine informs Stacy that Guy didn't reference,him,4.720395565032959
TwoEmbedding,informs,didn't reference,8,8_FFF_him,fff,MismatchMismatchMismatch,obj,Christine informs Stacy that Kristen didn't reference,him,3.443331003189087
TwoEmbedding,informs,didn't reference,8,8_MMM_his,mmm,MatchMatchMatch,poss,Dennis informs Scott that Guy didn't reference,his,3.522160291671753
TwoEmbedding,informs,didn't reference,8,8_MMF_his,mmf,MatchMatchMismatch,poss,Dennis informs Scott that Kristen didn't reference,his,4.682372570037842
TwoEmbedding,informs,didn't reference,8,8_MFM_his,mfm,MatchMismatchMatch,poss,Dennis informs Stacy that Guy didn't reference,his,3.933000326156616
TwoEmbedding,informs,didn't reference,8,8_MFF_his,mff,MatchMismatchMismatch,poss,Dennis informs Stacy that Kristen didn't reference,his,5.5132551193237305
TwoEmbedding,informs,didn't reference,8,8_FMM_his,fmm,MismatchMatchMatch,poss,Christine informs Scott that Guy didn't reference,his,3.6883726119995117
TwoEmbedding,informs,didn't reference,8,8_FMF_his,fmf,MismatchMatchMismatch,poss,Christine informs Scott that Kristen didn't reference,his,4.9608306884765625
TwoEmbedding,informs,didn't reference,8,8_FFM_his,ffm,MismatchMismatchMatch,poss,Christine informs Stacy that Guy didn't reference,his,3.86120867729187
TwoEmbedding,informs,didn't reference,8,8_FFF_his,fff,MismatchMismatchMismatch,poss,Christine informs Stacy that Kristen didn't reference,his,5.895617961883545
TwoEmbedding,alerted,forgave,9,9_MMM_him,mmm,MatchMatchMatch,obj,Eric alerted Walter that Curtis forgave,him,0.988381028175354
TwoEmbedding,alerted,forgave,9,9_MMF_him,mmf,MatchMatchMismatch,obj,Eric alerted Walter that Jill forgave,him,0.6662156581878662
TwoEmbedding,alerted,forgave,9,9_MFM_him,mfm,MatchMismatchMatch,obj,Eric alerted Sharon that Curtis forgave,him,2.5183682441711426
TwoEmbedding,alerted,forgave,9,9_MFF_him,mff,MatchMismatchMismatch,obj,Eric alerted Sharon that Jill forgave,him,1.5472337007522583
TwoEmbedding,alerted,forgave,9,9_FMM_him,fmm,MismatchMatchMatch,obj,Heather alerted Walter that Curtis forgave,him,0.9436367750167847
TwoEmbedding,alerted,forgave,9,9_FMF_him,fmf,MismatchMatchMismatch,obj,Heather alerted Walter that Jill forgave,him,0.6688202023506165
TwoEmbedding,alerted,forgave,9,9_FFM_him,ffm,MismatchMismatchMatch,obj,Heather alerted Sharon that Curtis forgave,him,2.1083476543426514
TwoEmbedding,alerted,forgave,9,9_FFF_him,fff,MismatchMismatchMismatch,obj,Heather alerted Sharon that Jill forgave,him,1.3386017084121704
TwoEmbedding,alerted,forgave,9,9_MMM_his,mmm,MatchMatchMatch,poss,Eric alerted Walter that Curtis forgave,his,3.8335413932800293
TwoEmbedding,alerted,forgave,9,9_MMF_his,mmf,MatchMatchMismatch,poss,Eric alerted Walter that Jill forgave,his,4.9556660652160645
TwoEmbedding,alerted,forgave,9,9_MFM_his,mfm,MatchMismatchMatch,poss,Eric alerted Sharon that Curtis forgave,his,4.676266193389893
TwoEmbedding,alerted,forgave,9,9_MFF_his,mff,MatchMismatchMismatch,poss,Eric alerted Sharon that Jill forgave,his,6.401490211486816
TwoEmbedding,alerted,forgave,9,9_FMM_his,fmm,MismatchMatchMatch,poss,Heather alerted Walter that Curtis forgave,his,3.8568968772888184
TwoEmbedding,alerted,forgave,9,9_FMF_his,fmf,MismatchMatchMismatch,poss,Heather alerted Walter that Jill forgave,his,4.968660354614258
TwoEmbedding,alerted,forgave,9,9_FFM_his,ffm,MismatchMismatchMatch,poss,Heather alerted Sharon that Curtis forgave,his,4.490311622619629
TwoEmbedding,alerted,forgave,9,9_FFF_his,fff,MismatchMismatchMismatch,poss,Heather alerted Sharon that Jill forgave,his,6.241560459136963
TwoEmbedding,informs,astounds,10,10_MMM_him,mmm,MatchMatchMatch,obj,Stephen informs this guy that Mark astounds,him,1.732149600982666
TwoEmbedding,informs,astounds,10,10_MMF_him,mmf,MatchMatchMismatch,obj,Stephen informs this guy that Tracy astounds,him,1.3100610971450806
TwoEmbedding,informs,astounds,10,10_MFM_him,mfm,MatchMismatchMatch,obj,Stephen informs Meredith that Mark astounds,him,1.1441720724105835
TwoEmbedding,informs,astounds,10,10_MFF_him,mff,MatchMismatchMismatch,obj,Stephen informs Meredith that Tracy astounds,him,0.9181575775146484
TwoEmbedding,informs,astounds,10,10_FMM_him,fmm,MismatchMatchMatch,obj,Suzanne informs this guy that Mark astounds,him,1.4124774932861328
TwoEmbedding,informs,astounds,10,10_FMF_him,fmf,MismatchMatchMismatch,obj,Suzanne informs this guy that Tracy astounds,him,1.3251261711120605
TwoEmbedding,informs,astounds,10,10_FFM_him,ffm,MismatchMismatchMatch,obj,Suzanne informs Meredith that Mark astounds,him,1.787769079208374
TwoEmbedding,informs,astounds,10,10_FFF_him,fff,MismatchMismatchMismatch,obj,Suzanne informs Meredith that Tracy astounds,him,1.6999454498291016
TwoEmbedding,informs,astounds,10,10_MMM_his,mmm,MatchMatchMatch,poss,Stephen informs this guy that Mark astounds,his,6.766688346862793
TwoEmbedding,informs,astounds,10,10_MMF_his,mmf,MatchMatchMismatch,poss,Stephen informs this guy that Tracy astounds,his,7.009237289428711
TwoEmbedding,informs,astounds,10,10_MFM_his,mfm,MatchMismatchMatch,poss,Stephen informs Meredith that Mark astounds,his,6.171602249145508
TwoEmbedding,informs,astounds,10,10_MFF_his,mff,MatchMismatchMismatch,poss,Stephen informs Meredith that Tracy astounds,his,7.2286529541015625
TwoEmbedding,informs,astounds,10,10_FMM_his,fmm,MismatchMatchMatch,poss,Suzanne informs this guy that Mark astounds,his,6.603668689727783
TwoEmbedding,informs,astounds,10,10_FMF_his,fmf,MismatchMatchMismatch,poss,Suzanne informs this guy that Tracy astounds,his,7.093669414520264
TwoEmbedding,informs,astounds,10,10_FFM_his,ffm,MismatchMismatchMatch,poss,Suzanne informs Meredith that Mark astounds,his,6.0079545974731445
TwoEmbedding,informs,astounds,10,10_FFF_his,fff,MismatchMismatchMismatch,poss,Suzanne informs Meredith that Tracy astounds,his,6.852121829986572
TwoEmbedding,informed,isn't shocking,11,11_MMM_him,mmm,MatchMatchMatch,obj,Christopher informed Guy that Aaron isn't shocking,him,4.950697898864746
TwoEmbedding,informed,isn't shocking,11,11_MMF_him,mmf,MatchMatchMismatch,obj,Christopher informed Guy that the woman isn't shocking,him,7.684141635894775
TwoEmbedding,informed,isn't shocking,11,11_MFM_him,mfm,MatchMismatchMatch,obj,Christopher informed Jill that Aaron isn't shocking,him,5.635293483734131
TwoEmbedding,informed,isn't shocking,11,11_MFF_him,mff,MatchMismatchMismatch,obj,Christopher informed Jill that the woman isn't shocking,him,9.89639663696289
TwoEmbedding,informed,isn't shocking,11,11_FMM_him,fmm,MismatchMatchMatch,obj,Stephanie informed Guy that Aaron isn't shocking,him,5.668936252593994
TwoEmbedding,informed,isn't shocking,11,11_FMF_him,fmf,MismatchMatchMismatch,obj,Stephanie informed Guy that the woman isn't shocking,him,6.560214996337891
TwoEmbedding,informed,isn't shocking,11,11_FFM_him,ffm,MismatchMismatchMatch,obj,Stephanie informed Jill that Aaron isn't shocking,him,6.282896995544434
TwoEmbedding,informed,isn't shocking,11,11_FFF_him,fff,MismatchMismatchMismatch,obj,Stephanie informed Jill that the woman isn't shocking,him,8.832039833068848
TwoEmbedding,informed,isn't shocking,11,11_MMM_his,mmm,MatchMatchMatch,poss,Christopher informed Guy that Aaron isn't shocking,his,7.666752338409424
TwoEmbedding,informed,isn't shocking,11,11_MMF_his,mmf,MatchMatchMismatch,poss,Christopher informed Guy that the woman isn't shocking,his,10.939745903015137
TwoEmbedding,informed,isn't shocking,11,11_MFM_his,mfm,MatchMismatchMatch,poss,Christopher informed Jill that Aaron isn't shocking,his,7.7340898513793945
