item,exp,pronoun,cond,contrast,sent,target,gpt3_surp
25,1,she,m,Mismatch,"When she was discovered,",Donald,15.211177825927734
25,1,she,f,Match,"When she was discovered,",Suzanne,13.5127534866333
25,1,he,f,Mismatch,"When he was discovered,",Dana,17.237812042236328
26,1,he,m,Match,"When he was busy, the",nephew,13.757047653198242
26,1,she,m,Mismatch,"When she was busy,",Bruce,15.61796760559082
26,1,she,f,Match,"When she was busy,",Lori,14.622633934020996
26,1,he,f,Mismatch,"When he was busy,",Christina,18.65894317626953
27,1,he,m,Match,"When he was twenty-one,",Brian,10.51598072052002
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,16.178573608398438
27,1,she,f,Match,"When she was twenty-one,",Naomi,13.371071815490723
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,9.140381813049316
28,1,he,m,Match,"When he was annoyed,",Larry,14.660303115844727
28,1,she,m,Mismatch,"When she was annoyed,",Richard,15.339418411254883
28,1,she,f,Match,"When she was annoyed,",Ann,10.72482967376709
28,1,he,f,Mismatch,"When he was annoyed, the",woman,8.272846221923828
29,1,he,m,Match,"When he was in church,",Liam,15.674302101135254
29,1,she,m,Mismatch,"When she was in church,",Richard,14.898530006408691
29,1,she,f,Match,"When she was in church, the",dancer,15.702047348022461
29,1,he,f,Mismatch,"When he was in church,",Teresa,18.59963607788086
30,1,he,m,Match,"When he was banished,",Timothy,16.01740837097168
30,1,she,m,Mismatch,"When she was banished,",Russell,17.614744186401367
30,1,she,f,Match,"When she was banished,",Sheila,17.25215721130371
30,1,he,f,Mismatch,"When he was banished,",Cheryl,18.704368591308594
31,1,he,m,Match,"When he was angry,",Steve,12.475870132446289
31,1,she,m,Mismatch,"When she was angry,",Wayne,17.623371124267578
31,1,she,f,Match,"When she was angry, the",dancer,16.57246971130371
31,1,he,f,Mismatch,"When he was angry,",Janet,17.48190689086914
32,1,he,m,Match,"When he was distraught,",Brian,14.053914070129395
32,1,she,m,Mismatch,"When she was distraught,",Russell,16.36362648010254
32,1,she,f,Match,"When she was distraught, the",wife,9.701111793518066
32,1,he,f,Mismatch,"When he was distraught,",Helen,14.71617317199707
1,1,he,m,Match,"When he was off work,",Russell,11.810754776000977
1,1,she,m,Mismatch,"When she was off work,",Dan,12.424415588378906
1,1,she,f,Match,"When she was off work,",Judy,11.923466682434082
1,1,he,f,Mismatch,"When he was off work,",Grace,15.414765357971191
2,1,he,m,Match,"When he arrived,",Benjamin,13.917412757873535
2,1,she,m,Mismatch,"When she arrived,",Steve,13.148581504821777
2,1,she,f,Match,"When she arrived,",Claire,12.46446704864502
2,1,he,f,Mismatch,"When he arrived,",Mary,11.77392578125
3,1,he,m,Match,"When he was fed up,",Benjamin,14.941211700439453
3,1,she,m,Mismatch,"When she was fed up,",Marcus,16.94768714904785
3,1,she,f,Match,"When she was fed up,",Kristen,17.165218353271484
3,1,he,f,Mismatch,"When he was fed up,",Marie,18.09935188293457
4,1,he,m,Match,"When he was talking,",Richard,12.592045783996582
4,1,she,m,Mismatch,"When she was talking,",Alexander,15.852020263671875
4,1,she,f,Match,"When she was talking,",Marie,13.98708438873291
4,1,he,f,Mismatch,"When he was talking, the",wife,10.796502113342285
5,1,he,m,Match,"When he was nearby,",Keith,15.353316307067871
5,1,she,m,Mismatch,"When she was nearby,",Larry,15.061495780944824
5,1,she,f,Match,"When she was nearby, the",sister,10.773360252380371
5,1,he,f,Mismatch,"When he was nearby, the",girl,7.53343391418457
6,1,he,m,Match,"When he was lost, the",guy,10.60864543914795
6,1,she,m,Mismatch,"When she was lost,",Mark,14.403668403625488
6,1,she,f,Match,"When she was lost, the",girl,5.740952968597412
6,1,he,f,Mismatch,"When he was lost,",Suzanne,18.426851272583008
7,1,he,m,Match,"When he was bad-tempered,",Alexander,15.446734428405762
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,18.26495361328125
7,1,she,f,Match,"When she was bad-tempered,",Carrie,15.384411811828613
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,14.477482795715332
8,1,he,m,Match,"When he was jealous,",Benjamin,16.991661071777344
8,1,she,m,Mismatch,"When she was jealous,",Brian,15.125515937805176
8,1,she,f,Match,"When she was jealous, the",girlfriend,10.754337310791016
8,1,he,f,Mismatch,"When he was jealous,",Catherine,19.36820411682129
9,1,he,m,Match,"When he was in residence,",Mark,9.635903358459473
9,1,she,m,Mismatch,"When she was in residence,",Brad,15.905753135681152
9,1,she,f,Match,"When she was in residence,",Sheila,14.940876007080078
9,1,he,f,Mismatch,"When he was in residence,",Catherine,15.354905128479004
10,1,he,m,Match,"When he was introduced,",Charles,11.366218566894531
10,1,she,m,Mismatch,"When she was introduced,",Richard,13.858920097351074
10,1,she,f,Match,"When she was introduced,",Karen,10.03740406036377
10,1,he,f,Mismatch,"When he was introduced,",Claire,16.85935401916504
11,1,he,m,Match,"When he arrived,",Liam,14.416041374206543
11,1,she,m,Mismatch,"When she arrived,",Larry,14.766695976257324
11,1,she,f,Match,"When she arrived, the",mother,9.119773864746094
11,1,he,f,Mismatch,"When he arrived,",Carrie,16.64937973022461
12,1,he,m,Match,"When he felt sad,",Charles,11.87588119506836
12,1,she,m,Mismatch,"When she felt sad,",Dan,14.32251262664795
12,1,she,f,Match,"When she felt sad,",Theresa,14.986759185791016
12,1,he,f,Mismatch,"When he felt sad,",Kristen,22.129043579101562
13,1,he,m,Match,"When he was present,",Steven,14.42258358001709
13,1,she,m,Mismatch,"When she was present,",Bruce,15.231886863708496
13,1,she,f,Match,"When she was present,",Claire,14.248505592346191
13,1,he,f,Mismatch,"When he was present,",Laura,14.80385971069336
14,1,he,m,Match,"When he was depressed,",Larry,13.971407890319824
14,1,she,m,Mismatch,"When she was depressed,",Brian,14.300211906433105
14,1,she,f,Match,"When she was depressed,",Alice,11.935050010681152
14,1,he,f,Mismatch,"When he was depressed,",Naomi,20.000755310058594
15,1,he,m,Match,"When he was around,",Guy,15.545317649841309
15,1,she,m,Mismatch,"When she was around,",Liam,14.871295928955078
15,1,she,f,Match,"When she was around,",Teresa,15.73515510559082
15,1,he,f,Mismatch,"When he was around,",Christina,17.862531661987305
16,1,he,m,Match,"When he was near, the",father,10.04565143585205
16,1,she,m,Mismatch,"When she was near,",Russell,15.492691993713379
16,1,she,f,Match,"When she was near,",Kristen,19.03931999206543
16,1,he,f,Mismatch,"When he was near,",Dana,17.0491943359375
17,1,he,m,Match,"When he was in court, the",nephew,15.2044677734375
17,1,she,m,Mismatch,"When she was in court,",Russell,13.819451332092285
17,1,she,f,Match,"When she was in court, the",girl,6.947061061859131
17,1,he,f,Mismatch,"When he was in court,",Naomi,19.00471305847168
18,1,he,m,Match,"When he was poorly,",Alexander,15.535323143005371
18,1,she,m,Mismatch,"When she was poorly,",Larry,17.534936904907227
18,1,she,f,Match,"When she was poorly,",Sheila,15.041696548461914
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,20.052215576171875
19,1,he,m,Match,"When he arrived,",Bradley,14.896505355834961
19,1,she,m,Mismatch,"When she arrived,",Keith,15.180619239807129
19,1,she,f,Match,"When she arrived,",Judy,14.432753562927246
19,1,he,f,Mismatch,"When he arrived,",Amanda,15.251969337463379
20,1,he,m,Match,"When he was appointed,",Steven,12.31230640411377
20,1,she,m,Mismatch,"When she was appointed,",Russell,13.880180358886719
20,1,she,f,Match,"When she was appointed, the",girlfriend,16.68466567993164
20,1,he,f,Mismatch,"When he was appointed,",Lori,18.20503044128418
21,1,he,m,Match,"When he was fired,",Donald,11.186630249023438
21,1,she,m,Mismatch,"When she was fired,",Russell,13.331876754760742
21,1,she,f,Match,"When she was fired,",Lori,13.69704818725586
21,1,he,f,Mismatch,"When he was fired,",Linda,16.09200096130371
22,1,he,m,Match,"When he was close,",Jason,11.538094520568848
22,1,she,m,Mismatch,"When she was close,",Charles,12.30557918548584
22,1,she,f,Match,"When she was close,",Cynthia,15.349089622497559
22,1,he,f,Mismatch,"When he was close,",Tiffany,16.03858184814453
23,1,he,m,Match,"When he was retired,",Thomas,11.302165031433105
23,1,she,m,Mismatch,"When she was retired,",Charles,13.707100868225098
23,1,she,f,Match,"When she was retired,",Lori,15.901329040527344
23,1,he,f,Mismatch,"When he was retired,",Teresa,18.831579208374023
24,1,he,m,Match,"When he was abroad,",Charles,10.527705192565918
24,1,she,m,Mismatch,"When she was abroad,",John,12.274932861328125
24,1,she,f,Match,"When she was abroad,",Karen,11.434779167175293
24,1,he,f,Mismatch,"When he was abroad,",Linda,16.741104125976562
25,1,he,m,Match,"When he was discovered,",Donald,13.176128387451172
25,1,she,m,Mismatch,"When she was discovered,",Douglas,16.44927215576172
25,1,she,f,Match,"When she was discovered,",Naomi,14.408187866210938
25,1,he,f,Mismatch,"When he was discovered,",Sheila,19.443359375
26,1,he,m,Match,"When he was busy,",Douglas,15.70455551147461
26,1,she,m,Mismatch,"When she was busy, the",nephew,13.843656539916992
26,1,she,f,Match,"When she was busy,",Elizabeth,11.80693244934082
26,1,he,f,Mismatch,"When he was busy,",Catherine,16.16187858581543
27,1,he,m,Match,"When he was twenty-one, the",father,7.261929035186768
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,14.019574165344238
27,1,she,f,Match,"When she was twenty-one,",Connie,12.819449424743652
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,16.816686630249023
28,1,he,m,Match,"When he was annoyed, the",guy,8.92708969116211
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,17.953271865844727
28,1,she,f,Match,"When she was annoyed,",Leslie,14.949694633483887
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,21.189130783081055
29,1,he,m,Match,"When he was in church,",Keith,14.604912757873535
29,1,she,m,Mismatch,"When she was in church,",Steve,15.521710395812988
29,1,she,f,Match,"When she was in church,",Ann,11.052497863769531
29,1,he,f,Mismatch,"When he was in church,",Sheila,20.23581886291504
30,1,he,m,Match,"When he was banished, the",guy,10.479618072509766
30,1,she,m,Mismatch,"When she was banished,",Keith,17.50072479248047
30,1,she,f,Match,"When she was banished,",Cynthia,16.414209365844727
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,13.912900924682617
31,1,he,m,Match,"When he was angry,",Russell,14.999430656433105
31,1,she,m,Mismatch,"When she was angry,",Jason,15.446501731872559
31,1,she,f,Match,"When she was angry,",Sheila,16.70235252380371
31,1,he,f,Mismatch,"When he was angry,",Teresa,19.43592071533203
32,1,he,m,Match,"When he was distraught,",Thomas,12.379706382751465
32,1,she,m,Mismatch,"When she was distraught,",Bruce,15.931410789489746
32,1,she,f,Match,"When she was distraught,",Teresa,15.11277961730957
32,1,he,f,Mismatch,"When he was distraught,",Laura,15.526473999023438
1,1,he,m,Match,"When he was off work,",Timothy,13.706829071044922
1,1,she,m,Mismatch,"When she was off work,",Ronald,18.614316940307617
1,1,she,f,Match,"When she was off work,",Amanda,10.28372573852539
1,1,he,f,Mismatch,"When he was off work, the",lady,14.164185523986816
2,1,he,m,Match,"When he arrived,",Alexander,13.785515785217285
2,1,she,m,Mismatch,"When she arrived,",Charles,12.654214859008789
2,1,she,f,Match,"When she arrived,",Julie,12.396719932556152
2,1,he,f,Mismatch,"When he arrived,",Diana,14.38579273223877
3,1,he,m,Match,"When he was fed up,",Phillip,16.29727554321289
3,1,she,m,Mismatch,"When she was fed up,",Bradley,17.887374877929688
3,1,she,f,Match,"When she was fed up,",Allison,14.657013893127441
3,1,he,f,Mismatch,"When he was fed up,",Lori,20.405662536621094
4,1,he,m,Match,"When he was talking, the",guy,7.9203667640686035
4,1,she,m,Mismatch,"When she was talking,",Jason,12.382654190063477
4,1,she,f,Match,"When she was talking,",Amanda,14.070011138916016
4,1,he,f,Mismatch,"When he was talking,",Helen,15.05014705657959
5,1,he,m,Match,"When he was nearby,",Robert,12.234512329101562
5,1,she,m,Mismatch,"When she was nearby,",Charles,12.532960891723633
5,1,she,f,Match,"When she was nearby,",Rachel,12.110560417175293
5,1,he,f,Mismatch,"When he was nearby,",Carol,15.35801887512207
6,1,he,m,Match,"When he was lost,",Samuel,15.632590293884277
6,1,she,m,Mismatch,"When she was lost,",Roger,17.257875442504883
6,1,she,f,Match,"When she was lost,",Connie,16.789020538330078
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,17.279157638549805
7,1,he,m,Match,"When he was bad-tempered,",Christopher,16.214670181274414
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,18.171573638916016
7,1,she,f,Match,"When she was bad-tempered,",Diane,16.851900100708008
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,17.82821273803711
8,1,he,m,Match,"When he was jealous,",Bradley,17.55802345275879
8,1,she,m,Mismatch,"When she was jealous,",Brad,17.40838623046875
8,1,she,f,Match,"When she was jealous,",Maria,12.68992805480957
8,1,he,f,Mismatch,"When he was jealous,",Alice,17.996171951293945
9,1,he,m,Match,"When he was in residence,",Adam,10.70856761932373
9,1,she,m,Mismatch,"When she was in residence,",Rodney,19.780719757080078
9,1,she,f,Match,"When she was in residence,",Anne,8.927302360534668
9,1,he,f,Mismatch,"When he was in residence,",Natalie,17.776092529296875
10,1,he,m,Match,"When he was introduced, the",nephew,17.265644073486328
10,1,she,m,Mismatch,"When she was introduced,",Liam,17.06072425842285
10,1,she,f,Match,"When she was introduced,",Catherine,11.711092948913574
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,19.74998664855957
11,1,he,m,Match,"When he arrived,",Larry,13.390384674072266
11,1,she,m,Mismatch,"When she arrived,",Samuel,15.193652153015137
11,1,she,f,Match,"When she arrived,",Mary,9.137048721313477
11,1,he,f,Mismatch,"When he arrived, the",sister,12.410370826721191
12,1,he,m,Match,"When he felt sad,",Phillip,15.402154922485352
12,1,she,m,Mismatch,"When she felt sad,",Frank,17.108179092407227
12,1,she,f,Match,"When she felt sad,",Kristen,16.084300994873047
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,19.904306411743164
13,1,he,m,Match,"When he was present,",Dan,12.544381141662598
13,1,she,m,Mismatch,"When she was present,",Travis,15.808012008666992
13,1,she,f,Match,"When she was present, the",sister,11.627043724060059
13,1,he,f,Mismatch,"When he was present, the",mother,10.176262855529785
14,1,he,m,Match,"When he was depressed,",Russell,14.430723190307617
14,1,she,m,Mismatch,"When she was depressed,",Larry,16.344623565673828
14,1,she,f,Match,"When she was depressed,",Tara,14.11299991607666
14,1,he,f,Mismatch,"When he was depressed,",Leslie,16.639766693115234
15,1,he,m,Match,"When he was around,",Samuel,16.055965423583984
15,1,she,m,Mismatch,"When she was around,",Timothy,17.381383895874023
15,1,she,f,Match,"When she was around,",Sheila,17.05320167541504
15,1,he,f,Mismatch,"When he was around,",Kristen,19.225486755371094
16,1,he,m,Match,"When he was near,",Timothy,15.561286926269531
16,1,she,m,Mismatch,"When she was near,",Timothy,16.370079040527344
16,1,she,f,Match,"When she was near,",Danielle,17.52474021911621
16,1,he,f,Mismatch,"When he was near,",Cheryl,16.90991973876953
17,1,he,m,Match,"When he was in court,",Travis,14.403855323791504
17,1,she,m,Mismatch,"When she was in court,",Steven,14.609260559082031
17,1,she,f,Match,"When she was in court,",Wendy,14.835899353027344
17,1,he,f,Mismatch,"When he was in court,",Leslie,15.482329368591309
18,1,he,m,Match,"When he was poorly,",Mark,11.261889457702637
18,1,she,m,Mismatch,"When she was poorly,",Ronald,18.920917510986328
18,1,she,f,Match,"When she was poorly,",Cheryl,14.650731086730957
18,1,he,f,Mismatch,"When he was poorly,",Anne,14.790811538696289
19,1,he,m,Match,"When he arrived,",Brett,16.04623794555664
19,1,she,m,Mismatch,"When she arrived,",John,10.676234245300293
19,1,she,f,Match,"When she arrived,",Karen,10.610101699829102
19,1,he,f,Mismatch,"When he arrived,",Nicole,15.773764610290527
20,1,he,m,Match,"When he was appointed,",Phillip,14.77955150604248
20,1,she,m,Mismatch,"When she was appointed,",Keith,15.869074821472168
20,1,she,f,Match,"When she was appointed, the",sister,13.554388999938965
20,1,he,f,Mismatch,"When he was appointed,",Elizabeth,15.151361465454102
21,1,he,m,Match,"When he was fired,",Bradley,14.51895523071289
21,1,she,m,Mismatch,"When she was fired, the",guy,11.354018211364746
21,1,she,f,Match,"When she was fired,",Laura,11.188119888305664
21,1,he,f,Mismatch,"When he was fired,",Suzanne,18.59821128845215
22,1,he,m,Match,"When he was close,",Ronald,15.602965354919434
22,1,she,m,Mismatch,"When she was close, the",guy,8.147419929504395
22,1,she,f,Match,"When she was close,",Grace,12.389792442321777
22,1,he,f,Mismatch,"When he was close,",Wendy,15.642221450805664
23,1,he,m,Match,"When he was retired,",Bradley,16.570262908935547
23,1,she,m,Mismatch,"When she was retired,",Alexander,16.594762802124023
23,1,she,f,Match,"When she was retired, the",mother,9.76916217803955
23,1,he,f,Mismatch,"When he was retired,",Christina,21.90447235107422
24,1,he,m,Match,"When he was abroad,",Travis,16.3984317779541
24,1,she,m,Mismatch,"When she was abroad,",Walter,17.006200790405273
24,1,she,f,Match,"When she was abroad, the",mother,6.540851593017578
24,1,he,f,Mismatch,"When he was abroad,",Anne,13.730146408081055
25,1,he,m,Match,"When he was discovered,",Bruce,13.306598663330078
25,1,she,m,Mismatch,"When she was discovered,",Ronald,18.526079177856445
25,1,she,f,Match,"When she was discovered,",Alice,13.394978523254395
25,1,he,f,Mismatch,"When he was discovered,",Carol,16.40645408630371
26,1,he,m,Match,"When he was busy,",Dennis,16.222869873046875
26,1,she,m,Mismatch,"When she was busy,",Mitchell,15.08971881866455
26,1,she,f,Match,"When she was busy,",Nicole,13.25646686553955
26,1,he,f,Mismatch,"When he was busy,",Pamela,17.6852970123291
27,1,he,m,Match,"When he was twenty-one,",Liam,13.639595985412598
27,1,she,m,Mismatch,"When she was twenty-one,",Mark,13.44643497467041
27,1,she,f,Match,"When she was twenty-one,",Grace,9.37605094909668
27,1,he,f,Mismatch,"When he was twenty-one, the",girl,10.564937591552734
28,1,he,m,Match,"When he was annoyed,",Eric,12.543608665466309
28,1,she,m,Mismatch,"When she was annoyed, the",guy,11.586555480957031
28,1,she,f,Match,"When she was annoyed,",Wendy,15.454663276672363
28,1,he,f,Mismatch,"When he was annoyed,",Sally,17.53812599182129
29,1,he,m,Match,"When he was in church,",Steven,13.156534194946289
29,1,she,m,Mismatch,"When she was in church,",Benjamin,17.972415924072266
29,1,she,f,Match,"When she was in church,",Claire,12.258074760437012
29,1,he,f,Mismatch,"When he was in church, the",girlfriend,16.8485050201416
30,1,he,m,Match,"When he was banished,",Jason,13.173662185668945
30,1,she,m,Mismatch,"When she was banished,",Bradley,19.698999404907227
30,1,she,f,Match,"When she was banished,",Suzanne,16.879030227661133
30,1,he,f,Mismatch,"When he was banished,",Mary,12.514528274536133
31,1,he,m,Match,"When he was angry,",Timothy,15.534218788146973
31,1,she,m,Mismatch,"When she was angry,",Jeffrey,19.59102439880371
31,1,she,f,Match,"When she was angry,",Karen,11.6951322555542
31,1,he,f,Mismatch,"When he was angry,",Claire,18.031837463378906
32,1,he,m,Match,"When he was distraught,",Guy,15.84325122833252
32,1,she,m,Mismatch,"When she was distraught,",Rodney,19.258359909057617
32,1,she,f,Match,"When she was distraught,",Marie,13.918277740478516
32,1,he,f,Mismatch,"When he was distraught,",Danielle,19.983539581298828
1,1,he,m,Match,"When he was off work,",Bruce,12.119769096374512
1,1,she,m,Mismatch,"When she was off work,",Mark,11.980074882507324
1,1,she,f,Match,"When she was off work, the",woman,4.827946186065674
1,1,he,f,Mismatch,"When he was off work, the",granddaughter,20.03712272644043
2,1,he,m,Match,"When he arrived,",Kenneth,14.534296035766602
2,1,she,m,Mismatch,"When she arrived,",Samuel,15.176871299743652
2,1,she,f,Match,"When she arrived, the",waitress,11.766470909118652
2,1,he,f,Mismatch,"When he arrived, the",granddaughter,18.209199905395508
3,1,he,m,Match,"When he was fed up,",Jeffrey,17.450002670288086
3,1,she,m,Mismatch,"When she was fed up,",Martin,15.787540435791016
3,1,she,f,Match,"When she was fed up,",Leslie,15.531598091125488
3,1,he,f,Mismatch,"When he was fed up,",Carrie,20.08000946044922
4,1,he,m,Match,"When he was talking,",Benjamin,16.538450241088867
4,1,she,m,Mismatch,"When she was talking,",Frank,12.441137313842773
4,1,she,f,Match,"When she was talking,",Cynthia,17.1251220703125
4,1,he,f,Mismatch,"When he was talking, the",girlfriend,14.370939254760742
5,1,he,m,Match,"When he was nearby,",Ronald,16.033248901367188
5,1,she,m,Mismatch,"When she was nearby,",Alexander,14.999345779418945
5,1,she,f,Match,"When she was nearby,",Veronica,15.907313346862793
5,1,he,f,Mismatch,"When he was nearby,",Meredith,15.828475952148438
6,1,he,m,Match,"When he was lost,",John,12.02088737487793
6,1,she,m,Mismatch,"When she was lost,",Theodore,18.858421325683594
6,1,she,f,Match,"When she was lost,",Tiffany,16.995407104492188
6,1,he,f,Mismatch,"When he was lost,",Diana,16.68194007873535
7,1,he,m,Match,"When he was bad-tempered,",Dan,13.466896057128906
7,1,she,m,Mismatch,"When she was bad-tempered, the",grandson,17.396100997924805
7,1,she,f,Match,"When she was bad-tempered,",Tara,15.795042991638184
7,1,he,f,Mismatch,"When he was bad-tempered,",Rachel,13.289143562316895
8,1,he,m,Match,"When he was jealous,",Bruce,15.42890739440918
8,1,she,m,Mismatch,"When she was jealous,",Douglas,18.676719665527344
