exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/EleutherAI/gpt-j-6B_surp
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,7.9406819343566895
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,5.364737033843994
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,5.4549055099487305
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,5.615772247314453
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,9.515557289123535
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,2.7478017807006836
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,4.979470729827881
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,2.5329232215881348
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,6.906092643737793
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,5.077829360961914
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,3.7703869342803955
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,4.60178804397583
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,5.931772232055664
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,10.297207832336426
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,4.30100679397583
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,5.836078643798828
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,6.884286403656006
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,3.351020574569702
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,6.292766094207764
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,3.485269546508789
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,8.354365348815918
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,7.066164970397949
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,4.124419689178467
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,5.977419376373291
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,6.5071587562561035
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,9.285685539245605
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,10.469146728515625
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,7.319250106811523
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,11.917840003967285
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,10.220137596130371
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,2.9164938926696777
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,4.964511871337891
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,6.835506916046143
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,11.74116039276123
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,7.249645709991455
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,9.392250061035156
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,10.733506202697754
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,5.887320518493652
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,4.354456901550293
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,3.733426570892334
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,6.630087852478027
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,3.6114423274993896
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,4.558210849761963
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,3.6761813163757324
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,7.102581977844238
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,5.115228176116943
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,4.540404319763184
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,4.392455101013184
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,6.06057071685791
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,6.756208896636963
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,5.831982612609863
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,5.680024147033691
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,8.114571571350098
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,10.78145694732666
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,4.909237384796143
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,10.891596794128418
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,7.645533561706543
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,9.957557678222656
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,3.668308973312378
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,8.341788291931152
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,6.09884786605835
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,4.57528829574585
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,7.607202053070068
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,3.901090383529663
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,9.378823280334473
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,3.4952385425567627
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,4.7801384925842285
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,3.523420810699463
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,6.014324188232422
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,3.332390069961548
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,4.234074592590332
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,4.094394207000732
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,4.703031539916992
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,7.3773016929626465
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,5.979691028594971
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,8.674976348876953
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,9.790810585021973
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,7.876847743988037
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,5.363402843475342
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,7.061983108520508
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,7.152151584625244
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,8.188813209533691
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,5.055459499359131
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,5.704288005828857
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,8.420612335205078
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,6.202374458312988
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,3.4071531295776367
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,6.608704090118408
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,6.743957042694092
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,2.1383931636810303
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,4.167182922363281
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,3.3102524280548096
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,5.215060710906982
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,8.688041687011719
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,4.506479740142822
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,5.65508508682251
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,7.5937066078186035
simple,led,51,51_M_him,m,Match,obj,This boy led,him,3.5953595638275146
simple,led,51,51_M_his,m,Match,poss,This boy led,his,4.530857086181641
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,4.015561580657959
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,7.396878242492676
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,6.699187278747559
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,6.361055374145508
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,6.276323318481445
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,8.350196838378906
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,12.501779556274414
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,5.756052017211914
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,12.082245826721191
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,9.106687545776367
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,4.776500225067139
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,4.945566177368164
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,4.540915012359619
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,5.904712677001953
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,6.302414417266846
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,7.7789225578308105
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,8.256577491760254
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,10.826377868652344
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,4.3393449783325195
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,4.136466026306152
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,4.439609527587891
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,4.304357051849365
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,6.946144104003906
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,5.4020094871521
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,7.509023189544678
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,6.855301856994629
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,8.66771125793457
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,5.2525811195373535
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,8.4921236038208
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,6.406978130340576
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,4.765391826629639
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,5.509281635284424
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,5.251182556152344
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,7.527935028076172
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,7.577034950256348
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,4.984692096710205
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,7.995055675506592
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,7.454045295715332
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,7.161457061767578
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,6.778241157531738
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,4.5434770584106445
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,8.319280624389648
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,5.390632152557373
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,5.683679580688477
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,4.927658557891846
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,6.09984827041626
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,7.572237014770508
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,6.557842254638672
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,6.962029457092285
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,7.920069217681885
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,8.156217575073242
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,4.831255912780762
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him,7.959898948669434
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his,5.311201095581055
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him,4.912151336669922
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his,6.4900994300842285
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him,4.30149507522583
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his,6.578248023986816
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him,6.849940776824951
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his,5.722835063934326
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him,4.3276753425598145
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his,5.601304531097412
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him,11.776888847351074
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his,9.939706802368164
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him,10.62081241607666
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his,11.871898651123047
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him,1.8871874809265137
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his,3.8258090019226074
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him,2.508516311645508
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his,8.392006874084473
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him,8.479253768920898
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his,4.669637203216553
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him,5.994861602783203
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his,5.521477699279785
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him,6.714966773986816
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his,7.706819534301758
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him,8.175285339355469
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his,12.514640808105469
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him,7.856032371520996
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his,4.801576614379883
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him,4.942485332489014
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his,6.712040901184082
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him,7.774950981140137
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his,6.253358364105225
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him,5.259971618652344
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his,5.530477046966553
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him,7.892606258392334
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his,4.195700168609619
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him,8.013689994812012
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his,8.622326850891113
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him,4.974750995635986
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his,4.738058567047119
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him,4.2554707527160645
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his,6.216634273529053
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him,6.919331073760986
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his,4.80037260055542
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him,7.408292770385742
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his,7.611171722412109
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him,7.082675933837891
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his,3.746443510055542
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him,6.919478416442871
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his,5.014669895172119
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him,5.738518714904785
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his,2.9432973861694336
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him,4.403904914855957
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his,5.621179103851318
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him,6.262655735015869
simple,hires,78,78_M_his,m,Match,poss,Jason hires,his,4.853774070739746
