exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-large_surp
TwoEmbedding,warns,can't astound,2,2_FFM_him,ffm,MismatchMismatchMatch,obj,Amanda warns Christina that Vincent can't astound,him,4.156063079833984
TwoEmbedding,warns,can't astound,2,2_FFF_him,fff,MismatchMismatchMismatch,obj,Amanda warns Christina that Sara can't astound,him,2.408536911010742
TwoEmbedding,warns,can't astound,2,2_MMM_his,mmm,MatchMatchMatch,poss,Adam warns the guy that Vincent can't astound,his,5.27733850479126
TwoEmbedding,warns,can't astound,2,2_MMF_his,mmf,MatchMatchMismatch,poss,Adam warns the guy that Sara can't astound,his,7.012079238891602
TwoEmbedding,warns,can't astound,2,2_MFM_his,mfm,MatchMismatchMatch,poss,Adam warns Christina that Vincent can't astound,his,5.694594860076904
TwoEmbedding,warns,can't astound,2,2_MFF_his,mff,MatchMismatchMismatch,poss,Adam warns Christina that Sara can't astound,his,7.948248863220215
TwoEmbedding,warns,can't astound,2,2_FMM_his,fmm,MismatchMatchMatch,poss,Amanda warns the guy that Vincent can't astound,his,5.137869358062744
TwoEmbedding,warns,can't astound,2,2_FMF_his,fmf,MismatchMatchMismatch,poss,Amanda warns the guy that Sara can't astound,his,6.9985551834106445
TwoEmbedding,warns,can't astound,2,2_FFM_his,ffm,MismatchMismatchMatch,poss,Amanda warns Christina that Vincent can't astound,his,5.847297191619873
TwoEmbedding,warns,can't astound,2,2_FFF_his,fff,MismatchMismatchMismatch,poss,Amanda warns Christina that Sara can't astound,his,8.095512390136719
TwoEmbedding,shows,fired,3,3_MMM_him,mmm,MatchMatchMatch,obj,Stephen shows Rodney that Marcus fired,him,4.36679220199585
TwoEmbedding,shows,fired,3,3_MMF_him,mmf,MatchMatchMismatch,obj,Stephen shows Rodney that Naomi fired,him,2.332028388977051
TwoEmbedding,shows,fired,3,3_MFM_him,mfm,MatchMismatchMatch,obj,Stephen shows Margaret that Marcus fired,him,3.877639055252075
TwoEmbedding,shows,fired,3,3_MFF_him,mff,MatchMismatchMismatch,obj,Stephen shows Margaret that Naomi fired,him,3.6111223697662354
TwoEmbedding,shows,fired,3,3_FMM_him,fmm,MismatchMatchMatch,obj,Cynthia shows Rodney that Marcus fired,him,2.8937954902648926
TwoEmbedding,shows,fired,3,3_FMF_him,fmf,MismatchMatchMismatch,obj,Cynthia shows Rodney that Naomi fired,him,2.3833696842193604
TwoEmbedding,shows,fired,3,3_FFM_him,ffm,MismatchMismatchMatch,obj,Cynthia shows Margaret that Marcus fired,him,4.416721343994141
TwoEmbedding,shows,fired,3,3_FFF_him,fff,MismatchMismatchMismatch,obj,Cynthia shows Margaret that Naomi fired,him,4.56393575668335
TwoEmbedding,shows,fired,3,3_MMM_his,mmm,MatchMatchMatch,poss,Stephen shows Rodney that Marcus fired,his,2.9488399028778076
TwoEmbedding,shows,fired,3,3_MMF_his,mmf,MatchMatchMismatch,poss,Stephen shows Rodney that Naomi fired,his,4.501102924346924
TwoEmbedding,shows,fired,3,3_MFM_his,mfm,MatchMismatchMatch,poss,Stephen shows Margaret that Marcus fired,his,3.0174741744995117
TwoEmbedding,shows,fired,3,3_MFF_his,mff,MatchMismatchMismatch,poss,Stephen shows Margaret that Naomi fired,his,5.742186069488525
TwoEmbedding,shows,fired,3,3_FMM_his,fmm,MismatchMatchMatch,poss,Cynthia shows Rodney that Marcus fired,his,3.1701743602752686
TwoEmbedding,shows,fired,3,3_FMF_his,fmf,MismatchMatchMismatch,poss,Cynthia shows Rodney that Naomi fired,his,5.012894630432129
TwoEmbedding,shows,fired,3,3_FFM_his,ffm,MismatchMismatchMatch,poss,Cynthia shows Margaret that Marcus fired,his,3.3838083744049072
TwoEmbedding,shows,fired,3,3_FFF_his,fff,MismatchMismatchMismatch,poss,Cynthia shows Margaret that Naomi fired,his,6.539466381072998
TwoEmbedding,alerts,returns to,4,4_MMM_him,mmm,MatchMatchMatch,obj,This husband alerts Aaron that Eric returns to,him,5.43574857711792
TwoEmbedding,alerts,returns to,4,4_MMF_him,mmf,MatchMatchMismatch,obj,This husband alerts Aaron that Tracy returns to,him,4.249608516693115
TwoEmbedding,alerts,returns to,4,4_MFM_him,mfm,MatchMismatchMatch,obj,This husband alerts Tamara that Eric returns to,him,6.921637058258057
TwoEmbedding,alerts,returns to,4,4_MFF_him,mff,MatchMismatchMismatch,obj,This husband alerts Tamara that Tracy returns to,him,5.119086742401123
TwoEmbedding,alerts,returns to,4,4_FMM_him,fmm,MismatchMatchMatch,obj,Barbara alerts Aaron that Eric returns to,him,6.383118629455566
TwoEmbedding,alerts,returns to,4,4_FMF_him,fmf,MismatchMatchMismatch,obj,Barbara alerts Aaron that Tracy returns to,him,5.578298568725586
TwoEmbedding,alerts,returns to,4,4_FFM_him,ffm,MismatchMismatchMatch,obj,Barbara alerts Tamara that Eric returns to,him,7.918529510498047
TwoEmbedding,alerts,returns to,4,4_FFF_him,fff,MismatchMismatchMismatch,obj,Barbara alerts Tamara that Tracy returns to,him,7.380786895751953
TwoEmbedding,alerts,returns to,4,4_MMM_his,mmm,MatchMatchMatch,poss,This husband alerts Aaron that Eric returns to,his,2.660081386566162
TwoEmbedding,alerts,returns to,4,4_MMF_his,mmf,MatchMatchMismatch,poss,This husband alerts Aaron that Tracy returns to,his,3.2764689922332764
TwoEmbedding,alerts,returns to,4,4_MFM_his,mfm,MatchMismatchMatch,poss,This husband alerts Tamara that Eric returns to,his,2.779573678970337
TwoEmbedding,alerts,returns to,4,4_MFF_his,mff,MatchMismatchMismatch,poss,This husband alerts Tamara that Tracy returns to,his,4.350494861602783
TwoEmbedding,alerts,returns to,4,4_FMM_his,fmm,MismatchMatchMatch,poss,Barbara alerts Aaron that Eric returns to,his,2.5362296104431152
TwoEmbedding,alerts,returns to,4,4_FMF_his,fmf,MismatchMatchMismatch,poss,Barbara alerts Aaron that Tracy returns to,his,3.3281936645507812
TwoEmbedding,alerts,returns to,4,4_FFM_his,ffm,MismatchMismatchMatch,poss,Barbara alerts Tamara that Eric returns to,his,3.036350965499878
TwoEmbedding,alerts,returns to,4,4_FFF_his,fff,MismatchMismatchMismatch,poss,Barbara alerts Tamara that Tracy returns to,his,5.451969146728516
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_him,mmm,MatchMatchMatch,obj,Ronald alerted Donald that Scott wasn't alarming,him,1.8289974927902222
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_him,mmf,MatchMatchMismatch,obj,Ronald alerted Donald that Alice wasn't alarming,him,1.3024612665176392
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_him,mfm,MatchMismatchMatch,obj,Ronald alerted Angela that Scott wasn't alarming,him,3.3794150352478027
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_him,mff,MatchMismatchMismatch,obj,Ronald alerted Angela that Alice wasn't alarming,him,2.7018678188323975
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_him,fmm,MismatchMatchMatch,obj,Christina alerted Donald that Scott wasn't alarming,him,2.634507656097412
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_him,fmf,MismatchMatchMismatch,obj,Christina alerted Donald that Alice wasn't alarming,him,1.9066096544265747
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_him,ffm,MismatchMismatchMatch,obj,Christina alerted Angela that Scott wasn't alarming,him,5.1569318771362305
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_him,fff,MismatchMismatchMismatch,obj,Christina alerted Angela that Alice wasn't alarming,him,5.039641857147217
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_his,mmm,MatchMatchMatch,poss,Ronald alerted Donald that Scott wasn't alarming,his,5.489151477813721
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_his,mmf,MatchMatchMismatch,poss,Ronald alerted Donald that Alice wasn't alarming,his,6.773665428161621
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_his,mfm,MatchMismatchMatch,poss,Ronald alerted Angela that Scott wasn't alarming,his,5.434812068939209
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_his,mff,MatchMismatchMismatch,poss,Ronald alerted Angela that Alice wasn't alarming,his,8.015555381774902
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_his,fmm,MismatchMatchMatch,poss,Christina alerted Donald that Scott wasn't alarming,his,5.757509708404541
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_his,fmf,MismatchMatchMismatch,poss,Christina alerted Donald that Alice wasn't alarming,his,7.152118682861328
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_his,ffm,MismatchMismatchMatch,poss,Christina alerted Angela that Scott wasn't alarming,his,5.533660888671875
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_his,fff,MismatchMismatchMismatch,poss,Christina alerted Angela that Alice wasn't alarming,his,9.175644874572754
TwoEmbedding,warned,was investigating,6,6_MMM_him,mmm,MatchMatchMatch,obj,The brother warned Jason that Adam was investigating,him,2.4328858852386475
TwoEmbedding,warned,was investigating,6,6_MMF_him,mmf,MatchMatchMismatch,obj,The brother warned Jason that Victoria was investigating,him,2.3625612258911133
TwoEmbedding,warned,was investigating,6,6_MFM_him,mfm,MatchMismatchMatch,obj,The brother warned Amanda that Adam was investigating,him,3.7227261066436768
TwoEmbedding,warned,was investigating,6,6_MFF_him,mff,MatchMismatchMismatch,obj,The brother warned Amanda that Victoria was investigating,him,2.7624025344848633
TwoEmbedding,warned,was investigating,6,6_FMM_him,fmm,MismatchMatchMatch,obj,Jennifer warned Jason that Adam was investigating,him,3.122692108154297
TwoEmbedding,warned,was investigating,6,6_FMF_him,fmf,MismatchMatchMismatch,obj,Jennifer warned Jason that Victoria was investigating,him,2.832998037338257
TwoEmbedding,warned,was investigating,6,6_FFM_him,ffm,MismatchMismatchMatch,obj,Jennifer warned Amanda that Adam was investigating,him,5.519441604614258
TwoEmbedding,warned,was investigating,6,6_FFF_him,fff,MismatchMismatchMismatch,obj,Jennifer warned Amanda that Victoria was investigating,him,4.7424798011779785
TwoEmbedding,warned,was investigating,6,6_MMM_his,mmm,MatchMatchMatch,poss,The brother warned Jason that Adam was investigating,his,3.5174310207366943
TwoEmbedding,warned,was investigating,6,6_MMF_his,mmf,MatchMatchMismatch,poss,The brother warned Jason that Victoria was investigating,his,3.706120252609253
TwoEmbedding,warned,was investigating,6,6_MFM_his,mfm,MatchMismatchMatch,poss,The brother warned Amanda that Adam was investigating,his,4.5704731941223145
TwoEmbedding,warned,was investigating,6,6_MFF_his,mff,MatchMismatchMismatch,poss,The brother warned Amanda that Victoria was investigating,his,5.0023932456970215
TwoEmbedding,warned,was investigating,6,6_FMM_his,fmm,MismatchMatchMatch,poss,Jennifer warned Jason that Adam was investigating,his,4.071221828460693
TwoEmbedding,warned,was investigating,6,6_FMF_his,fmf,MismatchMatchMismatch,poss,Jennifer warned Jason that Victoria was investigating,his,4.172264575958252
TwoEmbedding,warned,was investigating,6,6_FFM_his,ffm,MismatchMismatchMatch,poss,Jennifer warned Amanda that Adam was investigating,his,5.481265544891357
TwoEmbedding,warned,was investigating,6,6_FFF_his,fff,MismatchMismatchMismatch,poss,Jennifer warned Amanda that Victoria was investigating,his,6.929035186767578
TwoEmbedding,warned,can reference,7,7_MMM_him,mmm,MatchMatchMatch,obj,Daniel warned Timothy that this husband can reference,him,4.580117225646973
TwoEmbedding,warned,can reference,7,7_MMF_him,mmf,MatchMatchMismatch,obj,Daniel warned Timothy that Jodi can reference,him,3.946560859680176
TwoEmbedding,warned,can reference,7,7_MFM_him,mfm,MatchMismatchMatch,obj,Daniel warned Tiffany that this husband can reference,him,6.204784393310547
TwoEmbedding,warned,can reference,7,7_MFF_him,mff,MatchMismatchMismatch,obj,Daniel warned Tiffany that Jodi can reference,him,4.542115211486816
TwoEmbedding,warned,can reference,7,7_FMM_him,fmm,MismatchMatchMatch,obj,Donna warned Timothy that this husband can reference,him,5.035907745361328
TwoEmbedding,warned,can reference,7,7_FMF_him,fmf,MismatchMatchMismatch,obj,Donna warned Timothy that Jodi can reference,him,4.0502142906188965
TwoEmbedding,warned,can reference,7,7_FFM_him,ffm,MismatchMismatchMatch,obj,Donna warned Tiffany that this husband can reference,him,7.203696250915527
TwoEmbedding,warned,can reference,7,7_FFF_him,fff,MismatchMismatchMismatch,obj,Donna warned Tiffany that Jodi can reference,him,5.609240531921387
TwoEmbedding,warned,can reference,7,7_MMM_his,mmm,MatchMatchMatch,poss,Daniel warned Timothy that this husband can reference,his,3.1712350845336914
TwoEmbedding,warned,can reference,7,7_MMF_his,mmf,MatchMatchMismatch,poss,Daniel warned Timothy that Jodi can reference,his,4.051982879638672
TwoEmbedding,warned,can reference,7,7_MFM_his,mfm,MatchMismatchMatch,poss,Daniel warned Tiffany that this husband can reference,his,3.661428451538086
TwoEmbedding,warned,can reference,7,7_MFF_his,mff,MatchMismatchMismatch,poss,Daniel warned Tiffany that Jodi can reference,his,5.15947961807251
TwoEmbedding,warned,can reference,7,7_FMM_his,fmm,MismatchMatchMatch,poss,Donna warned Timothy that this husband can reference,his,3.4122049808502197
TwoEmbedding,warned,can reference,7,7_FMF_his,fmf,MismatchMatchMismatch,poss,Donna warned Timothy that Jodi can reference,his,4.347375869750977
TwoEmbedding,warned,can reference,7,7_FFM_his,ffm,MismatchMismatchMatch,poss,Donna warned Tiffany that this husband can reference,his,4.048920631408691
TwoEmbedding,warned,can reference,7,7_FFF_his,fff,MismatchMismatchMismatch,poss,Donna warned Tiffany that Jodi can reference,his,6.1349334716796875
TwoEmbedding,informs,didn't reference,8,8_MMM_him,mmm,MatchMatchMatch,obj,Dennis informs Scott that Guy didn't reference,him,3.7473196983337402
TwoEmbedding,informs,didn't reference,8,8_MMF_him,mmf,MatchMatchMismatch,obj,Dennis informs Scott that Kristen didn't reference,him,3.3250293731689453
TwoEmbedding,informs,didn't reference,8,8_MFM_him,mfm,MatchMismatchMatch,obj,Dennis informs Stacy that Guy didn't reference,him,4.2830352783203125
TwoEmbedding,informs,didn't reference,8,8_MFF_him,mff,MatchMismatchMismatch,obj,Dennis informs Stacy that Kristen didn't reference,him,3.687114715576172
TwoEmbedding,informs,didn't reference,8,8_FMM_him,fmm,MismatchMatchMatch,obj,Christine informs Scott that Guy didn't reference,him,4.599952697753906
TwoEmbedding,informs,didn't reference,8,8_FMF_him,fmf,MismatchMatchMismatch,obj,Christine informs Scott that Kristen didn't reference,him,3.8735926151275635
TwoEmbedding,informs,didn't reference,8,8_FFM_him,ffm,MismatchMismatchMatch,obj,Christine informs Stacy that Guy didn't reference,him,6.034201145172119
TwoEmbedding,informs,didn't reference,8,8_FFF_him,fff,MismatchMismatchMismatch,obj,Christine informs Stacy that Kristen didn't reference,him,5.400504112243652
TwoEmbedding,informs,didn't reference,8,8_MMM_his,mmm,MatchMatchMatch,poss,Dennis informs Scott that Guy didn't reference,his,3.9348652362823486
TwoEmbedding,informs,didn't reference,8,8_MMF_his,mmf,MatchMatchMismatch,poss,Dennis informs Scott that Kristen didn't reference,his,4.543313026428223
TwoEmbedding,informs,didn't reference,8,8_MFM_his,mfm,MatchMismatchMatch,poss,Dennis informs Stacy that Guy didn't reference,his,3.865309953689575
TwoEmbedding,informs,didn't reference,8,8_MFF_his,mff,MatchMismatchMismatch,poss,Dennis informs Stacy that Kristen didn't reference,his,4.9606828689575195
TwoEmbedding,informs,didn't reference,8,8_FMM_his,fmm,MismatchMatchMatch,poss,Christine informs Scott that Guy didn't reference,his,4.31436824798584
TwoEmbedding,informs,didn't reference,8,8_FMF_his,fmf,MismatchMatchMismatch,poss,Christine informs Scott that Kristen didn't reference,his,5.266576290130615
TwoEmbedding,informs,didn't reference,8,8_FFM_his,ffm,MismatchMismatchMatch,poss,Christine informs Stacy that Guy didn't reference,his,4.5829243659973145
TwoEmbedding,informs,didn't reference,8,8_FFF_his,fff,MismatchMismatchMismatch,poss,Christine informs Stacy that Kristen didn't reference,his,6.908523082733154
TwoEmbedding,alerted,forgave,9,9_MMM_him,mmm,MatchMatchMatch,obj,Eric alerted Walter that Curtis forgave,him,0.8523019552230835
TwoEmbedding,alerted,forgave,9,9_MMF_him,mmf,MatchMatchMismatch,obj,Eric alerted Walter that Jill forgave,him,0.8568446636199951
TwoEmbedding,alerted,forgave,9,9_MFM_him,mfm,MatchMismatchMatch,obj,Eric alerted Sharon that Curtis forgave,him,1.4886467456817627
TwoEmbedding,alerted,forgave,9,9_MFF_him,mff,MatchMismatchMismatch,obj,Eric alerted Sharon that Jill forgave,him,1.559118390083313
TwoEmbedding,alerted,forgave,9,9_FMM_him,fmm,MismatchMatchMatch,obj,Heather alerted Walter that Curtis forgave,him,0.9804484844207764
TwoEmbedding,alerted,forgave,9,9_FMF_him,fmf,MismatchMatchMismatch,obj,Heather alerted Walter that Jill forgave,him,0.8044268488883972
TwoEmbedding,alerted,forgave,9,9_FFM_him,ffm,MismatchMismatchMatch,obj,Heather alerted Sharon that Curtis forgave,him,1.9072951078414917
TwoEmbedding,alerted,forgave,9,9_FFF_him,fff,MismatchMismatchMismatch,obj,Heather alerted Sharon that Jill forgave,him,2.246152639389038
TwoEmbedding,alerted,forgave,9,9_MMM_his,mmm,MatchMatchMatch,poss,Eric alerted Walter that Curtis forgave,his,3.952950954437256
TwoEmbedding,alerted,forgave,9,9_MMF_his,mmf,MatchMatchMismatch,poss,Eric alerted Walter that Jill forgave,his,5.633051872253418
TwoEmbedding,alerted,forgave,9,9_MFM_his,mfm,MatchMismatchMatch,poss,Eric alerted Sharon that Curtis forgave,his,4.122222423553467
TwoEmbedding,alerted,forgave,9,9_MFF_his,mff,MatchMismatchMismatch,poss,Eric alerted Sharon that Jill forgave,his,6.260037899017334
TwoEmbedding,alerted,forgave,9,9_FMM_his,fmm,MismatchMatchMatch,poss,Heather alerted Walter that Curtis forgave,his,4.627347469329834
TwoEmbedding,alerted,forgave,9,9_FMF_his,fmf,MismatchMatchMismatch,poss,Heather alerted Walter that Jill forgave,his,6.24116849899292
TwoEmbedding,alerted,forgave,9,9_FFM_his,ffm,MismatchMismatchMatch,poss,Heather alerted Sharon that Curtis forgave,his,4.750787258148193
TwoEmbedding,alerted,forgave,9,9_FFF_his,fff,MismatchMismatchMismatch,poss,Heather alerted Sharon that Jill forgave,his,7.515010833740234
TwoEmbedding,informs,astounds,10,10_MMM_him,mmm,MatchMatchMatch,obj,Stephen informs this guy that Mark astounds,him,0.6418533325195312
TwoEmbedding,informs,astounds,10,10_MMF_him,mmf,MatchMatchMismatch,obj,Stephen informs this guy that Tracy astounds,him,0.7465059757232666
TwoEmbedding,informs,astounds,10,10_MFM_him,mfm,MatchMismatchMatch,obj,Stephen informs Meredith that Mark astounds,him,1.950710415840149
TwoEmbedding,informs,astounds,10,10_MFF_him,mff,MatchMismatchMismatch,obj,Stephen informs Meredith that Tracy astounds,him,1.4100960493087769
TwoEmbedding,informs,astounds,10,10_FMM_him,fmm,MismatchMatchMatch,obj,Suzanne informs this guy that Mark astounds,him,2.029052257537842
TwoEmbedding,informs,astounds,10,10_FMF_him,fmf,MismatchMatchMismatch,obj,Suzanne informs this guy that Tracy astounds,him,1.0447494983673096
TwoEmbedding,informs,astounds,10,10_FFM_him,ffm,MismatchMismatchMatch,obj,Suzanne informs Meredith that Mark astounds,him,4.232271671295166
TwoEmbedding,informs,astounds,10,10_FFF_him,fff,MismatchMismatchMismatch,obj,Suzanne informs Meredith that Tracy astounds,him,2.989381790161133
TwoEmbedding,informs,astounds,10,10_MMM_his,mmm,MatchMatchMatch,poss,Stephen informs this guy that Mark astounds,his,5.621242046356201
TwoEmbedding,informs,astounds,10,10_MMF_his,mmf,MatchMatchMismatch,poss,Stephen informs this guy that Tracy astounds,his,5.954229831695557
TwoEmbedding,informs,astounds,10,10_MFM_his,mfm,MatchMismatchMatch,poss,Stephen informs Meredith that Mark astounds,his,5.922855377197266
TwoEmbedding,informs,astounds,10,10_MFF_his,mff,MatchMismatchMismatch,poss,Stephen informs Meredith that Tracy astounds,his,6.8848114013671875
TwoEmbedding,informs,astounds,10,10_FMM_his,fmm,MismatchMatchMatch,poss,Suzanne informs this guy that Mark astounds,his,6.003129482269287
TwoEmbedding,informs,astounds,10,10_FMF_his,fmf,MismatchMatchMismatch,poss,Suzanne informs this guy that Tracy astounds,his,6.813352584838867
TwoEmbedding,informs,astounds,10,10_FFM_his,ffm,MismatchMismatchMatch,poss,Suzanne informs Meredith that Mark astounds,his,6.54850959777832
TwoEmbedding,informs,astounds,10,10_FFF_his,fff,MismatchMismatchMismatch,poss,Suzanne informs Meredith that Tracy astounds,his,7.9631452560424805
TwoEmbedding,informed,isn't shocking,11,11_MMM_him,mmm,MatchMatchMatch,obj,Christopher informed Guy that Aaron isn't shocking,him,2.2898471355438232
TwoEmbedding,informed,isn't shocking,11,11_MMF_him,mmf,MatchMatchMismatch,obj,Christopher informed Guy that the woman isn't shocking,him,2.0474650859832764
TwoEmbedding,informed,isn't shocking,11,11_MFM_him,mfm,MatchMismatchMatch,obj,Christopher informed Jill that Aaron isn't shocking,him,3.2124125957489014
TwoEmbedding,informed,isn't shocking,11,11_MFF_him,mff,MatchMismatchMismatch,obj,Christopher informed Jill that the woman isn't shocking,him,2.631108283996582
TwoEmbedding,informed,isn't shocking,11,11_FMM_him,fmm,MismatchMatchMatch,obj,Stephanie informed Guy that Aaron isn't shocking,him,2.9174325466156006
TwoEmbedding,informed,isn't shocking,11,11_FMF_him,fmf,MismatchMatchMismatch,obj,Stephanie informed Guy that the woman isn't shocking,him,2.480590581893921
TwoEmbedding,informed,isn't shocking,11,11_FFM_him,ffm,MismatchMismatchMatch,obj,Stephanie informed Jill that Aaron isn't shocking,him,4.463579177856445
TwoEmbedding,informed,isn't shocking,11,11_FFF_him,fff,MismatchMismatchMismatch,obj,Stephanie informed Jill that the woman isn't shocking,him,4.0059661865234375
TwoEmbedding,informed,isn't shocking,11,11_MMM_his,mmm,MatchMatchMatch,poss,Christopher informed Guy that Aaron isn't shocking,his,5.74143648147583
TwoEmbedding,informed,isn't shocking,11,11_MMF_his,mmf,MatchMatchMismatch,poss,Christopher informed Guy that the woman isn't shocking,his,7.269504070281982
TwoEmbedding,informed,isn't shocking,11,11_MFM_his,mfm,MatchMismatchMatch,poss,Christopher informed Jill that Aaron isn't shocking,his,5.67077112197876
