item,exp,pronoun,cond,contrast,sent,target,/data/gpt2-medium_surp
17,1,she,f,Match,"When she was in court, the",dancer,16.49715232849121
17,1,he,f,Mismatch,"When he was in court,",Helen,16.06435203552246
18,1,he,m,Match,"When he was poorly,",Keith,13.142677307128906
18,1,she,m,Mismatch,"When she was poorly,",Steve,13.400690078735352
18,1,she,f,Match,"When she was poorly,",Dana,15.44402027130127
18,1,he,f,Mismatch,"When he was poorly,",Tracy,15.785022735595703
19,1,he,m,Match,"When he arrived,",Charles,12.356605529785156
19,1,she,m,Mismatch,"When she arrived,",Timothy,15.702072143554688
19,1,she,f,Match,"When she arrived,",Janet,13.709065437316895
19,1,he,f,Mismatch,"When he arrived,",Lori,17.0320987701416
20,1,he,m,Match,"When he was appointed,",Benjamin,13.169191360473633
20,1,she,m,Mismatch,"When she was appointed,",Larry,13.501840591430664
20,1,she,f,Match,"When she was appointed,",Teresa,13.846686363220215
20,1,he,f,Mismatch,"When he was appointed,",Tracy,17.419403076171875
21,1,he,m,Match,"When he was fired,",Timothy,15.774797439575195
21,1,she,m,Mismatch,"When she was fired,",Liam,17.8001708984375
21,1,she,f,Match,"When she was fired,",Teresa,13.833353996276855
21,1,he,f,Mismatch,"When he was fired,",Heidi,17.46782112121582
22,1,he,m,Match,"When he was close, the",father,8.950849533081055
22,1,she,m,Mismatch,"When she was close, the",father,9.253181457519531
22,1,she,f,Match,"When she was close,",Carrie,14.414935111999512
22,1,he,f,Mismatch,"When he was close,",Elizabeth,14.383570671081543
23,1,he,m,Match,"When he was retired,",Steve,11.07363510131836
23,1,she,m,Mismatch,"When she was retired,",Donald,10.66639232635498
23,1,she,f,Match,"When she was retired,",Christina,12.904964447021484
23,1,he,f,Mismatch,"When he was retired, the",dancer,16.29061508178711
24,1,he,m,Match,"When he was abroad, the",guy,11.305438041687012
24,1,she,m,Mismatch,"When she was abroad,",Larry,15.125533103942871
24,1,she,f,Match,"When she was abroad,",Lori,16.5163631439209
24,1,he,f,Mismatch,"When he was abroad,",Catherine,15.193867683410645
25,1,he,m,Match,"When he was discovered,",Thomas,12.122516632080078
25,1,she,m,Mismatch,"When she was discovered,",Donald,13.285961151123047
25,1,she,f,Match,"When she was discovered,",Suzanne,15.438644409179688
25,1,he,f,Mismatch,"When he was discovered,",Dana,14.746822357177734
26,1,he,m,Match,"When he was busy, the",nephew,14.746818542480469
26,1,she,m,Mismatch,"When she was busy,",Bruce,13.483845710754395
26,1,she,f,Match,"When she was busy,",Lori,15.361708641052246
26,1,he,f,Mismatch,"When he was busy,",Christina,16.810182571411133
27,1,he,m,Match,"When he was twenty-one,",Brian,13.188885688781738
27,1,she,m,Mismatch,"When she was twenty-one,",Brad,13.76466178894043
27,1,she,f,Match,"When she was twenty-one,",Naomi,13.876029014587402
27,1,he,f,Mismatch,"When he was twenty-one, the",woman,8.363783836364746
28,1,he,m,Match,"When he was annoyed,",Larry,13.311564445495605
28,1,she,m,Mismatch,"When she was annoyed,",Richard,13.169059753417969
28,1,she,f,Match,"When she was annoyed,",Ann,13.063525199890137
28,1,he,f,Mismatch,"When he was annoyed, the",woman,7.766494274139404
29,1,he,m,Match,"When he was in church,",Liam,16.810894012451172
29,1,she,m,Mismatch,"When she was in church,",Richard,13.231179237365723
29,1,she,f,Match,"When she was in church, the",dancer,15.16793155670166
29,1,he,f,Mismatch,"When he was in church,",Teresa,16.748210906982422
30,1,he,m,Match,"When he was banished,",Timothy,15.530580520629883
30,1,she,m,Mismatch,"When she was banished,",Russell,15.504538536071777
30,1,she,f,Match,"When she was banished,",Sheila,16.260656356811523
30,1,he,f,Mismatch,"When he was banished,",Cheryl,18.48929786682129
31,1,he,m,Match,"When he was angry,",Steve,12.803340911865234
31,1,she,m,Mismatch,"When she was angry,",Wayne,15.949014663696289
31,1,she,f,Match,"When she was angry, the",dancer,14.437448501586914
31,1,he,f,Mismatch,"When he was angry,",Janet,16.968788146972656
32,1,he,m,Match,"When he was distraught,",Brian,12.582207679748535
32,1,she,m,Mismatch,"When she was distraught,",Russell,13.495302200317383
32,1,she,f,Match,"When she was distraught, the",wife,9.275404930114746
32,1,he,f,Mismatch,"When he was distraught,",Helen,14.106122970581055
1,1,he,m,Match,"When he was off work,",Russell,12.948341369628906
1,1,she,m,Mismatch,"When she was off work,",Dan,12.21300220489502
1,1,she,f,Match,"When she was off work,",Judy,11.846494674682617
1,1,he,f,Mismatch,"When he was off work,",Grace,15.292665481567383
2,1,he,m,Match,"When he arrived,",Benjamin,13.45188045501709
2,1,she,m,Mismatch,"When she arrived,",Steve,12.567782402038574
2,1,she,f,Match,"When she arrived,",Claire,12.880598068237305
2,1,he,f,Mismatch,"When he arrived,",Mary,12.831938743591309
3,1,he,m,Match,"When he was fed up,",Benjamin,14.422045707702637
3,1,she,m,Mismatch,"When she was fed up,",Marcus,14.424551010131836
3,1,she,f,Match,"When she was fed up,",Kristen,16.16219711303711
3,1,he,f,Mismatch,"When he was fed up,",Marie,15.828902244567871
4,1,he,m,Match,"When he was talking,",Richard,12.62873649597168
4,1,she,m,Mismatch,"When she was talking,",Alexander,14.984086990356445
4,1,she,f,Match,"When she was talking,",Marie,14.291379928588867
4,1,he,f,Mismatch,"When he was talking, the",wife,11.366690635681152
5,1,he,m,Match,"When he was nearby,",Keith,14.026594161987305
5,1,she,m,Mismatch,"When she was nearby,",Larry,13.765106201171875
5,1,she,f,Match,"When she was nearby, the",sister,11.19273567199707
5,1,he,f,Mismatch,"When he was nearby, the",girl,7.189986228942871
6,1,he,m,Match,"When he was lost, the",guy,10.305620193481445
6,1,she,m,Mismatch,"When she was lost,",Mark,12.569352149963379
6,1,she,f,Match,"When she was lost, the",girl,6.7752227783203125
6,1,he,f,Mismatch,"When he was lost,",Suzanne,18.07438850402832
7,1,he,m,Match,"When he was bad-tempered,",Alexander,13.47855281829834
7,1,she,m,Mismatch,"When she was bad-tempered,",Dennis,14.556559562683105
7,1,she,f,Match,"When she was bad-tempered,",Carrie,14.706428527832031
7,1,he,f,Mismatch,"When he was bad-tempered,",Grace,16.22735595703125
8,1,he,m,Match,"When he was jealous,",Benjamin,14.0029935836792
8,1,she,m,Mismatch,"When she was jealous,",Brian,13.506067276000977
8,1,she,f,Match,"When she was jealous, the",girlfriend,11.339783668518066
8,1,he,f,Mismatch,"When he was jealous,",Catherine,14.546954154968262
9,1,he,m,Match,"When he was in residence,",Mark,12.672016143798828
9,1,she,m,Mismatch,"When she was in residence,",Brad,13.323446273803711
9,1,she,f,Match,"When she was in residence,",Sheila,13.754707336425781
9,1,he,f,Mismatch,"When he was in residence,",Catherine,15.005850791931152
10,1,he,m,Match,"When he was introduced,",Charles,11.853594779968262
10,1,she,m,Mismatch,"When she was introduced,",Richard,12.104460716247559
10,1,she,f,Match,"When she was introduced,",Karen,11.914933204650879
10,1,he,f,Mismatch,"When he was introduced,",Claire,15.179303169250488
11,1,he,m,Match,"When he arrived,",Liam,15.315366744995117
11,1,she,m,Mismatch,"When she arrived,",Larry,13.429435729980469
11,1,she,f,Match,"When she arrived, the",mother,8.393247604370117
11,1,he,f,Mismatch,"When he arrived,",Carrie,15.64829158782959
12,1,he,m,Match,"When he felt sad,",Charles,13.36518669128418
12,1,she,m,Mismatch,"When she felt sad,",Dan,13.446128845214844
12,1,she,f,Match,"When she felt sad,",Theresa,15.180132865905762
12,1,he,f,Mismatch,"When he felt sad,",Kristen,18.09230613708496
13,1,he,m,Match,"When he was present,",Steven,13.585919380187988
13,1,she,m,Mismatch,"When she was present,",Bruce,13.280877113342285
13,1,she,f,Match,"When she was present,",Claire,13.271763801574707
13,1,he,f,Mismatch,"When he was present,",Laura,16.1533203125
14,1,he,m,Match,"When he was depressed,",Larry,13.727836608886719
14,1,she,m,Mismatch,"When she was depressed,",Brian,13.245944023132324
14,1,she,f,Match,"When she was depressed,",Alice,13.531022071838379
14,1,he,f,Mismatch,"When he was depressed,",Naomi,17.620941162109375
15,1,he,m,Match,"When he was around,",Guy,14.932931900024414
15,1,she,m,Mismatch,"When she was around,",Liam,15.959725379943848
15,1,she,f,Match,"When she was around,",Teresa,15.646106719970703
15,1,he,f,Mismatch,"When he was around,",Christina,17.02299690246582
16,1,he,m,Match,"When he was near, the",father,9.709628105163574
16,1,she,m,Mismatch,"When she was near,",Russell,15.215465545654297
16,1,she,f,Match,"When she was near,",Kristen,16.869604110717773
16,1,he,f,Mismatch,"When he was near,",Dana,15.453835487365723
17,1,he,m,Match,"When he was in court, the",nephew,14.635478019714355
17,1,she,m,Mismatch,"When she was in court,",Russell,12.855894088745117
17,1,she,f,Match,"When she was in court, the",girl,7.513857364654541
17,1,he,f,Mismatch,"When he was in court,",Naomi,17.298267364501953
18,1,he,m,Match,"When he was poorly,",Alexander,13.358148574829102
18,1,she,m,Mismatch,"When she was poorly,",Larry,15.323505401611328
18,1,she,f,Match,"When she was poorly,",Sheila,16.69710922241211
18,1,he,f,Mismatch,"When he was poorly,",Cynthia,18.523921966552734
19,1,he,m,Match,"When he arrived,",Bradley,13.667801856994629
19,1,she,m,Mismatch,"When she arrived,",Keith,14.033646583557129
19,1,she,f,Match,"When she arrived,",Judy,11.65342903137207
19,1,he,f,Mismatch,"When he arrived,",Amanda,15.754851341247559
20,1,he,m,Match,"When he was appointed,",Steven,12.587173461914062
20,1,she,m,Mismatch,"When she was appointed,",Russell,13.661492347717285
20,1,she,f,Match,"When she was appointed, the",girlfriend,14.26050853729248
20,1,he,f,Mismatch,"When he was appointed,",Lori,17.58063507080078
21,1,he,m,Match,"When he was fired,",Donald,9.529973030090332
21,1,she,m,Mismatch,"When she was fired,",Russell,12.983072280883789
21,1,she,f,Match,"When she was fired,",Lori,13.780179977416992
21,1,he,f,Mismatch,"When he was fired,",Linda,15.378140449523926
22,1,he,m,Match,"When he was close,",Jason,13.799818992614746
22,1,she,m,Mismatch,"When she was close,",Charles,13.404579162597656
22,1,she,f,Match,"When she was close,",Cynthia,15.217524528503418
22,1,he,f,Mismatch,"When he was close,",Tiffany,15.58151626586914
23,1,he,m,Match,"When he was retired,",Thomas,11.14686393737793
23,1,she,m,Mismatch,"When she was retired,",Charles,12.5642671585083
23,1,she,f,Match,"When she was retired,",Lori,13.95743179321289
23,1,he,f,Mismatch,"When he was retired,",Teresa,16.320178985595703
24,1,he,m,Match,"When he was abroad,",Charles,12.097816467285156
24,1,she,m,Mismatch,"When she was abroad,",John,11.26181697845459
24,1,she,f,Match,"When she was abroad,",Karen,13.383241653442383
24,1,he,f,Mismatch,"When he was abroad,",Linda,17.112688064575195
25,1,he,m,Match,"When he was discovered,",Donald,12.846405982971191
25,1,she,m,Mismatch,"When she was discovered,",Douglas,14.823556900024414
25,1,she,f,Match,"When she was discovered,",Naomi,14.813089370727539
25,1,he,f,Mismatch,"When he was discovered,",Sheila,16.587955474853516
26,1,he,m,Match,"When he was busy,",Douglas,15.344636917114258
26,1,she,m,Mismatch,"When she was busy, the",nephew,15.378451347351074
26,1,she,f,Match,"When she was busy,",Elizabeth,11.904126167297363
26,1,he,f,Mismatch,"When he was busy,",Catherine,15.833717346191406
27,1,he,m,Match,"When he was twenty-one, the",father,6.8320159912109375
27,1,she,m,Mismatch,"When she was twenty-one,",Edward,12.106913566589355
27,1,she,f,Match,"When she was twenty-one,",Connie,14.173490524291992
27,1,he,f,Mismatch,"When he was twenty-one,",Dana,15.208935737609863
28,1,he,m,Match,"When he was annoyed, the",guy,7.460579872131348
28,1,she,m,Mismatch,"When she was annoyed,",Bruce,13.18522834777832
28,1,she,f,Match,"When she was annoyed,",Leslie,14.712610244750977
28,1,he,f,Mismatch,"When he was annoyed,",Sheila,16.82127571105957
29,1,he,m,Match,"When he was in church,",Keith,13.622564315795898
29,1,she,m,Mismatch,"When she was in church,",Steve,12.846725463867188
29,1,she,f,Match,"When she was in church,",Ann,12.579422950744629
29,1,he,f,Mismatch,"When he was in church,",Sheila,17.175764083862305
30,1,he,m,Match,"When he was banished, the",guy,11.534191131591797
30,1,she,m,Mismatch,"When she was banished,",Keith,15.693920135498047
30,1,she,f,Match,"When she was banished,",Cynthia,13.585990905761719
30,1,he,f,Mismatch,"When he was banished,",Elizabeth,13.280448913574219
31,1,he,m,Match,"When he was angry,",Russell,15.070828437805176
31,1,she,m,Mismatch,"When she was angry,",Jason,14.471758842468262
31,1,she,f,Match,"When she was angry,",Sheila,15.9874849319458
31,1,he,f,Mismatch,"When he was angry,",Teresa,18.526958465576172
32,1,he,m,Match,"When he was distraught,",Thomas,12.607309341430664
32,1,she,m,Mismatch,"When she was distraught,",Bruce,13.46881103515625
32,1,she,f,Match,"When she was distraught,",Teresa,15.301095008850098
32,1,he,f,Mismatch,"When he was distraught,",Laura,15.485148429870605
1,1,he,m,Match,"When he was off work,",Timothy,15.04069995880127
1,1,she,m,Mismatch,"When she was off work,",Ronald,15.173800468444824
1,1,she,f,Match,"When she was off work,",Amanda,12.760077476501465
1,1,he,f,Mismatch,"When he was off work, the",lady,11.48222827911377
2,1,he,m,Match,"When he arrived,",Alexander,12.737982749938965
2,1,she,m,Mismatch,"When she arrived,",Charles,12.880038261413574
2,1,she,f,Match,"When she arrived,",Julie,12.777717590332031
2,1,he,f,Mismatch,"When he arrived,",Diana,14.726881980895996
3,1,he,m,Match,"When he was fed up,",Phillip,16.33568000793457
3,1,she,m,Mismatch,"When she was fed up,",Bradley,15.531730651855469
3,1,she,f,Match,"When she was fed up,",Allison,14.895929336547852
3,1,he,f,Mismatch,"When he was fed up,",Lori,17.81752586364746
4,1,he,m,Match,"When he was talking, the",guy,7.508082866668701
4,1,she,m,Mismatch,"When she was talking,",Jason,13.885469436645508
4,1,she,f,Match,"When she was talking,",Amanda,14.350586891174316
4,1,he,f,Mismatch,"When he was talking,",Helen,13.594667434692383
5,1,he,m,Match,"When he was nearby,",Robert,12.066521644592285
5,1,she,m,Mismatch,"When she was nearby,",Charles,12.840662002563477
5,1,she,f,Match,"When she was nearby,",Rachel,11.63504409790039
5,1,he,f,Mismatch,"When he was nearby,",Carol,14.280722618103027
6,1,he,m,Match,"When he was lost,",Samuel,13.385849952697754
6,1,she,m,Mismatch,"When she was lost,",Roger,13.814423561096191
6,1,she,f,Match,"When she was lost,",Connie,14.381895065307617
6,1,he,f,Mismatch,"When he was lost, the",girlfriend,15.305594444274902
7,1,he,m,Match,"When he was bad-tempered,",Christopher,15.235405921936035
7,1,she,m,Mismatch,"When she was bad-tempered,",Travis,15.947907447814941
7,1,she,f,Match,"When she was bad-tempered,",Diane,14.826931953430176
7,1,he,f,Mismatch,"When he was bad-tempered,",Tiffany,15.233037948608398
8,1,he,m,Match,"When he was jealous,",Bradley,15.464191436767578
8,1,she,m,Mismatch,"When she was jealous,",Brad,13.372917175292969
8,1,she,f,Match,"When she was jealous,",Maria,12.735651016235352
8,1,he,f,Mismatch,"When he was jealous,",Alice,13.953452110290527
9,1,he,m,Match,"When he was in residence,",Adam,12.877662658691406
9,1,she,m,Mismatch,"When she was in residence,",Rodney,16.096172332763672
9,1,she,f,Match,"When she was in residence,",Anne,12.322227478027344
9,1,he,f,Mismatch,"When he was in residence,",Natalie,16.72355842590332
10,1,he,m,Match,"When he was introduced, the",nephew,15.815262794494629
10,1,she,m,Mismatch,"When she was introduced,",Liam,15.73516845703125
10,1,she,f,Match,"When she was introduced,",Catherine,13.250516891479492
10,1,he,f,Mismatch,"When he was introduced,",Cynthia,16.685270309448242
11,1,he,m,Match,"When he arrived,",Larry,13.133406639099121
11,1,she,m,Mismatch,"When she arrived,",Samuel,15.09210205078125
11,1,she,f,Match,"When she arrived,",Mary,11.127530097961426
11,1,he,f,Mismatch,"When he arrived, the",sister,13.641993522644043
12,1,he,m,Match,"When he felt sad,",Phillip,16.957515716552734
12,1,she,m,Mismatch,"When she felt sad,",Frank,14.495657920837402
12,1,she,f,Match,"When she felt sad,",Kristen,16.230674743652344
12,1,he,f,Mismatch,"When he felt sad, the",girlfriend,14.295273780822754
13,1,he,m,Match,"When he was present,",Dan,12.694975852966309
13,1,she,m,Mismatch,"When she was present,",Travis,16.617395401000977
13,1,she,f,Match,"When she was present, the",sister,11.394392967224121
13,1,he,f,Mismatch,"When he was present, the",mother,9.820786476135254
14,1,he,m,Match,"When he was depressed,",Russell,13.198391914367676
14,1,she,m,Mismatch,"When she was depressed,",Larry,14.407246589660645
14,1,she,f,Match,"When she was depressed,",Tara,15.223396301269531
14,1,he,f,Mismatch,"When he was depressed,",Leslie,16.464223861694336
15,1,he,m,Match,"When he was around,",Samuel,14.691272735595703
15,1,she,m,Mismatch,"When she was around,",Timothy,16.468753814697266
15,1,she,f,Match,"When she was around,",Sheila,15.750509262084961
15,1,he,f,Mismatch,"When he was around,",Kristen,17.778539657592773
16,1,he,m,Match,"When he was near,",Timothy,16.10805892944336
16,1,she,m,Mismatch,"When she was near,",Timothy,17.24795913696289
16,1,she,f,Match,"When she was near,",Danielle,15.779167175292969
16,1,he,f,Mismatch,"When he was near,",Cheryl,16.42719268798828
17,1,he,m,Match,"When he was in court,",Travis,14.5537691116333
17,1,she,m,Mismatch,"When she was in court,",Steven,12.869049072265625
17,1,she,f,Match,"When she was in court,",Wendy,13.546467781066895
17,1,he,f,Mismatch,"When he was in court,",Leslie,15.57016658782959
18,1,he,m,Match,"When he was poorly,",Mark,13.260706901550293
18,1,she,m,Mismatch,"When she was poorly,",Ronald,15.031558990478516
18,1,she,f,Match,"When she was poorly,",Cheryl,16.594789505004883
18,1,he,f,Mismatch,"When he was poorly,",Anne,16.14095687866211
19,1,he,m,Match,"When he arrived,",Brett,15.380436897277832
19,1,she,m,Mismatch,"When she arrived,",John,10.660687446594238
19,1,she,f,Match,"When she arrived,",Karen,12.461182594299316
19,1,he,f,Mismatch,"When he arrived,",Nicole,15.343079566955566
20,1,he,m,Match,"When he was appointed,",Phillip,15.92275333404541
20,1,she,m,Mismatch,"When she was appointed,",Keith,13.8267240524292
20,1,she,f,Match,"When she was appointed, the",sister,12.185985565185547
20,1,he,f,Mismatch,"When he was appointed,",Elizabeth,13.720330238342285
21,1,he,m,Match,"When he was fired,",Bradley,12.236311912536621
21,1,she,m,Mismatch,"When she was fired, the",guy,11.042917251586914
21,1,she,f,Match,"When she was fired,",Laura,13.986528396606445
21,1,he,f,Mismatch,"When he was fired,",Suzanne,18.108829498291016
22,1,he,m,Match,"When he was close,",Ronald,13.554361343383789
22,1,she,m,Mismatch,"When she was close, the",guy,9.067089080810547
22,1,she,f,Match,"When she was close,",Grace,14.300361633300781
22,1,he,f,Mismatch,"When he was close,",Wendy,16.688518524169922
23,1,he,m,Match,"When he was retired,",Bradley,12.666241645812988
23,1,she,m,Mismatch,"When she was retired,",Alexander,13.114356994628906
23,1,she,f,Match,"When she was retired, the",mother,8.605534553527832
23,1,he,f,Mismatch,"When he was retired,",Christina,16.339427947998047
24,1,he,m,Match,"When he was abroad,",Travis,18.72407341003418
24,1,she,m,Mismatch,"When she was abroad,",Walter,14.568669319152832
24,1,she,f,Match,"When she was abroad, the",mother,8.003180503845215
24,1,he,f,Mismatch,"When he was abroad,",Anne,15.408292770385742
25,1,he,m,Match,"When he was discovered,",Bruce,12.78852367401123
25,1,she,m,Mismatch,"When she was discovered,",Ronald,15.043238639831543
25,1,she,f,Match,"When she was discovered,",Alice,13.69675350189209
25,1,he,f,Mismatch,"When he was discovered,",Carol,15.571682929992676
26,1,he,m,Match,"When he was busy,",Dennis,14.573630332946777
26,1,she,m,Mismatch,"When she was busy,",Mitchell,15.4867582321167
26,1,she,f,Match,"When she was busy,",Nicole,14.30454158782959
26,1,he,f,Mismatch,"When he was busy,",Pamela,16.672941207885742
27,1,he,m,Match,"When he was twenty-one,",Liam,15.69102668762207
27,1,she,m,Mismatch,"When she was twenty-one,",Mark,12.436284065246582
27,1,she,f,Match,"When she was twenty-one,",Grace,13.623167991638184
27,1,he,f,Mismatch,"When he was twenty-one, the",girl,8.701431274414062
28,1,he,m,Match,"When he was annoyed,",Eric,12.365653991699219
28,1,she,m,Mismatch,"When she was annoyed, the",guy,8.397844314575195
28,1,she,f,Match,"When she was annoyed,",Wendy,13.706801414489746
28,1,he,f,Mismatch,"When he was annoyed,",Sally,14.107857704162598
29,1,he,m,Match,"When he was in church,",Steven,13.713005065917969
29,1,she,m,Mismatch,"When she was in church,",Benjamin,14.390205383300781
29,1,she,f,Match,"When she was in church,",Claire,14.413925170898438
29,1,he,f,Mismatch,"When he was in church, the",girlfriend,14.212262153625488
30,1,he,m,Match,"When he was banished,",Jason,12.705101013183594
30,1,she,m,Mismatch,"When she was banished,",Bradley,16.68819808959961
30,1,she,f,Match,"When she was banished,",Suzanne,17.349634170532227
30,1,he,f,Mismatch,"When he was banished,",Mary,12.6332368850708
31,1,he,m,Match,"When he was angry,",Timothy,17.109268188476562
31,1,she,m,Mismatch,"When she was angry,",Jeffrey,15.407673835754395
31,1,she,f,Match,"When she was angry,",Karen,13.755804061889648
31,1,he,f,Mismatch,"When he was angry,",Claire,15.857378005981445
32,1,he,m,Match,"When he was distraught,",Guy,15.274129867553711
32,1,she,m,Mismatch,"When she was distraught,",Rodney,16.88729476928711
32,1,she,f,Match,"When she was distraught,",Marie,12.97272777557373
32,1,he,f,Mismatch,"When he was distraught,",Danielle,15.651875495910645
1,1,he,m,Match,"When he was off work,",Bruce,12.379054069519043
1,1,she,m,Mismatch,"When she was off work,",Mark,13.129590034484863
1,1,she,f,Match,"When she was off work, the",woman,5.004896640777588
1,1,he,f,Mismatch,"When he was off work, the",granddaughter,16.125019073486328
2,1,he,m,Match,"When he arrived,",Kenneth,14.89588451385498
2,1,she,m,Mismatch,"When she arrived,",Samuel,15.09210205078125
2,1,she,f,Match,"When she arrived, the",waitress,10.889859199523926
2,1,he,f,Mismatch,"When he arrived, the",granddaughter,17.00025177001953
3,1,he,m,Match,"When he was fed up,",Jeffrey,14.351590156555176
3,1,she,m,Mismatch,"When she was fed up,",Martin,13.219064712524414
3,1,she,f,Match,"When she was fed up,",Leslie,14.185646057128906
3,1,he,f,Mismatch,"When he was fed up,",Carrie,16.81967544555664
4,1,he,m,Match,"When he was talking,",Benjamin,14.570219993591309
4,1,she,m,Mismatch,"When she was talking,",Frank,13.504013061523438
4,1,she,f,Match,"When she was talking,",Cynthia,15.732940673828125
4,1,he,f,Mismatch,"When he was talking, the",girlfriend,13.754294395446777
5,1,he,m,Match,"When he was nearby,",Ronald,13.800729751586914
5,1,she,m,Mismatch,"When she was nearby,",Alexander,13.611361503601074
5,1,she,f,Match,"When she was nearby,",Veronica,15.138017654418945
5,1,he,f,Mismatch,"When he was nearby,",Meredith,16.230676651000977
6,1,he,m,Match,"When he was lost,",John,9.625462532043457
6,1,she,m,Mismatch,"When she was lost,",Theodore,15.758598327636719
6,1,she,f,Match,"When she was lost,",Tiffany,15.079164505004883
6,1,he,f,Mismatch,"When he was lost,",Diana,14.655478477478027
7,1,he,m,Match,"When he was bad-tempered,",Dan,12.732318878173828
7,1,she,m,Mismatch,"When she was bad-tempered, the",grandson,13.824727058410645
7,1,she,f,Match,"When she was bad-tempered,",Tara,15.97728157043457
7,1,he,f,Mismatch,"When he was bad-tempered,",Rachel,14.991107940673828
8,1,he,m,Match,"When he was jealous,",Bruce,13.961993217468262
8,1,she,m,Mismatch,"When she was jealous,",Douglas,16.412206649780273
