exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-medium_surp
TwoEmbedding,shows,visited,1,1_FFF_him,fff,MismatchMismatchMismatch,obj,Carolyn shows Ruth that Judy visited,him,4.112160682678223
TwoEmbedding,shows,visited,1,1_MMM_his,mmm,MatchMatchMatch,poss,Jason shows Russell that this boy visited,his,2.890613079071045
TwoEmbedding,shows,visited,1,1_MMF_his,mmf,MatchMatchMismatch,poss,Jason shows Russell that Judy visited,his,3.9448585510253906
TwoEmbedding,shows,visited,1,1_MFM_his,mfm,MatchMismatchMatch,poss,Jason shows Ruth that this boy visited,his,4.004222393035889
TwoEmbedding,shows,visited,1,1_MFF_his,mff,MatchMismatchMismatch,poss,Jason shows Ruth that Judy visited,his,4.869287490844727
TwoEmbedding,shows,visited,1,1_FMM_his,fmm,MismatchMatchMatch,poss,Carolyn shows Russell that this boy visited,his,3.784041404724121
TwoEmbedding,shows,visited,1,1_FMF_his,fmf,MismatchMatchMismatch,poss,Carolyn shows Russell that Judy visited,his,4.523568153381348
TwoEmbedding,shows,visited,1,1_FFM_his,ffm,MismatchMismatchMatch,poss,Carolyn shows Ruth that this boy visited,his,4.8734660148620605
TwoEmbedding,shows,visited,1,1_FFF_his,fff,MismatchMismatchMismatch,poss,Carolyn shows Ruth that Judy visited,his,6.588986396789551
TwoEmbedding,warns,can't astound,2,2_MMM_him,mmm,MatchMatchMatch,obj,Adam warns the guy that Vincent can't astound,him,0.6238255500793457
TwoEmbedding,warns,can't astound,2,2_MMF_him,mmf,MatchMatchMismatch,obj,Adam warns the guy that Sara can't astound,him,0.5894983410835266
TwoEmbedding,warns,can't astound,2,2_MFM_him,mfm,MatchMismatchMatch,obj,Adam warns Christina that Vincent can't astound,him,2.9993581771850586
TwoEmbedding,warns,can't astound,2,2_MFF_him,mff,MatchMismatchMismatch,obj,Adam warns Christina that Sara can't astound,him,2.3623900413513184
TwoEmbedding,warns,can't astound,2,2_FMM_him,fmm,MismatchMatchMatch,obj,Amanda warns the guy that Vincent can't astound,him,1.1205449104309082
TwoEmbedding,warns,can't astound,2,2_FMF_him,fmf,MismatchMatchMismatch,obj,Amanda warns the guy that Sara can't astound,him,0.6134264469146729
TwoEmbedding,warns,can't astound,2,2_FFM_him,ffm,MismatchMismatchMatch,obj,Amanda warns Christina that Vincent can't astound,him,4.085875511169434
TwoEmbedding,warns,can't astound,2,2_FFF_him,fff,MismatchMismatchMismatch,obj,Amanda warns Christina that Sara can't astound,him,5.174567222595215
TwoEmbedding,warns,can't astound,2,2_MMM_his,mmm,MatchMatchMatch,poss,Adam warns the guy that Vincent can't astound,his,5.819451808929443
TwoEmbedding,warns,can't astound,2,2_MMF_his,mmf,MatchMatchMismatch,poss,Adam warns the guy that Sara can't astound,his,6.5676589012146
TwoEmbedding,warns,can't astound,2,2_MFM_his,mfm,MatchMismatchMatch,poss,Adam warns Christina that Vincent can't astound,his,7.070046901702881
TwoEmbedding,warns,can't astound,2,2_MFF_his,mff,MatchMismatchMismatch,poss,Adam warns Christina that Sara can't astound,his,8.474350929260254
TwoEmbedding,warns,can't astound,2,2_FMM_his,fmm,MismatchMatchMatch,poss,Amanda warns the guy that Vincent can't astound,his,6.087997913360596
TwoEmbedding,warns,can't astound,2,2_FMF_his,fmf,MismatchMatchMismatch,poss,Amanda warns the guy that Sara can't astound,his,6.9421234130859375
TwoEmbedding,warns,can't astound,2,2_FFM_his,ffm,MismatchMismatchMatch,poss,Amanda warns Christina that Vincent can't astound,his,7.658260822296143
TwoEmbedding,warns,can't astound,2,2_FFF_his,fff,MismatchMismatchMismatch,poss,Amanda warns Christina that Sara can't astound,his,11.388501167297363
TwoEmbedding,shows,fired,3,3_MMM_him,mmm,MatchMatchMatch,obj,Stephen shows Rodney that Marcus fired,him,2.7635586261749268
TwoEmbedding,shows,fired,3,3_MMF_him,mmf,MatchMatchMismatch,obj,Stephen shows Rodney that Naomi fired,him,2.3526113033294678
TwoEmbedding,shows,fired,3,3_MFM_him,mfm,MatchMismatchMatch,obj,Stephen shows Margaret that Marcus fired,him,2.869459629058838
TwoEmbedding,shows,fired,3,3_MFF_him,mff,MatchMismatchMismatch,obj,Stephen shows Margaret that Naomi fired,him,2.1029915809631348
TwoEmbedding,shows,fired,3,3_FMM_him,fmm,MismatchMatchMatch,obj,Cynthia shows Rodney that Marcus fired,him,4.287531852722168
TwoEmbedding,shows,fired,3,3_FMF_him,fmf,MismatchMatchMismatch,obj,Cynthia shows Rodney that Naomi fired,him,3.7504496574401855
TwoEmbedding,shows,fired,3,3_FFM_him,ffm,MismatchMismatchMatch,obj,Cynthia shows Margaret that Marcus fired,him,4.409246444702148
TwoEmbedding,shows,fired,3,3_FFF_him,fff,MismatchMismatchMismatch,obj,Cynthia shows Margaret that Naomi fired,him,4.722394943237305
TwoEmbedding,shows,fired,3,3_MMM_his,mmm,MatchMatchMatch,poss,Stephen shows Rodney that Marcus fired,his,2.6968019008636475
TwoEmbedding,shows,fired,3,3_MMF_his,mmf,MatchMatchMismatch,poss,Stephen shows Rodney that Naomi fired,his,4.844405651092529
TwoEmbedding,shows,fired,3,3_MFM_his,mfm,MatchMismatchMatch,poss,Stephen shows Margaret that Marcus fired,his,2.83689022064209
TwoEmbedding,shows,fired,3,3_MFF_his,mff,MatchMismatchMismatch,poss,Stephen shows Margaret that Naomi fired,his,5.939640998840332
TwoEmbedding,shows,fired,3,3_FMM_his,fmm,MismatchMatchMatch,poss,Cynthia shows Rodney that Marcus fired,his,2.693228006362915
TwoEmbedding,shows,fired,3,3_FMF_his,fmf,MismatchMatchMismatch,poss,Cynthia shows Rodney that Naomi fired,his,5.919874668121338
TwoEmbedding,shows,fired,3,3_FFM_his,ffm,MismatchMismatchMatch,poss,Cynthia shows Margaret that Marcus fired,his,2.8815340995788574
TwoEmbedding,shows,fired,3,3_FFF_his,fff,MismatchMismatchMismatch,poss,Cynthia shows Margaret that Naomi fired,his,7.997912883758545
TwoEmbedding,alerts,returns to,4,4_MMM_him,mmm,MatchMatchMatch,obj,This husband alerts Aaron that Eric returns to,him,4.841484069824219
TwoEmbedding,alerts,returns to,4,4_MMF_him,mmf,MatchMatchMismatch,obj,This husband alerts Aaron that Tracy returns to,him,4.913425445556641
TwoEmbedding,alerts,returns to,4,4_MFM_him,mfm,MatchMismatchMatch,obj,This husband alerts Tamara that Eric returns to,him,6.870430946350098
TwoEmbedding,alerts,returns to,4,4_MFF_him,mff,MatchMismatchMismatch,obj,This husband alerts Tamara that Tracy returns to,him,5.717409610748291
TwoEmbedding,alerts,returns to,4,4_FMM_him,fmm,MismatchMatchMatch,obj,Barbara alerts Aaron that Eric returns to,him,7.925384044647217
TwoEmbedding,alerts,returns to,4,4_FMF_him,fmf,MismatchMatchMismatch,obj,Barbara alerts Aaron that Tracy returns to,him,7.420072555541992
TwoEmbedding,alerts,returns to,4,4_FFM_him,ffm,MismatchMismatchMatch,obj,Barbara alerts Tamara that Eric returns to,him,8.465651512145996
TwoEmbedding,alerts,returns to,4,4_FFF_him,fff,MismatchMismatchMismatch,obj,Barbara alerts Tamara that Tracy returns to,him,8.505379676818848
TwoEmbedding,alerts,returns to,4,4_MMM_his,mmm,MatchMatchMatch,poss,This husband alerts Aaron that Eric returns to,his,2.6332380771636963
TwoEmbedding,alerts,returns to,4,4_MMF_his,mmf,MatchMatchMismatch,poss,This husband alerts Aaron that Tracy returns to,his,3.3351473808288574
TwoEmbedding,alerts,returns to,4,4_MFM_his,mfm,MatchMismatchMatch,poss,This husband alerts Tamara that Eric returns to,his,2.976628303527832
TwoEmbedding,alerts,returns to,4,4_MFF_his,mff,MatchMismatchMismatch,poss,This husband alerts Tamara that Tracy returns to,his,3.7230656147003174
TwoEmbedding,alerts,returns to,4,4_FMM_his,fmm,MismatchMatchMatch,poss,Barbara alerts Aaron that Eric returns to,his,3.172257423400879
TwoEmbedding,alerts,returns to,4,4_FMF_his,fmf,MismatchMatchMismatch,poss,Barbara alerts Aaron that Tracy returns to,his,4.419797897338867
TwoEmbedding,alerts,returns to,4,4_FFM_his,ffm,MismatchMismatchMatch,poss,Barbara alerts Tamara that Eric returns to,his,3.830606698989868
TwoEmbedding,alerts,returns to,4,4_FFF_his,fff,MismatchMismatchMismatch,poss,Barbara alerts Tamara that Tracy returns to,his,6.1051459312438965
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_him,mmm,MatchMatchMatch,obj,Ronald alerted Donald that Scott wasn't alarming,him,0.7378298044204712
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_him,mmf,MatchMatchMismatch,obj,Ronald alerted Donald that Alice wasn't alarming,him,0.3623497188091278
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_him,mfm,MatchMismatchMatch,obj,Ronald alerted Angela that Scott wasn't alarming,him,3.690438747406006
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_him,mff,MatchMismatchMismatch,obj,Ronald alerted Angela that Alice wasn't alarming,him,1.0575263500213623
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_him,fmm,MismatchMatchMatch,obj,Christina alerted Donald that Scott wasn't alarming,him,2.1441266536712646
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_him,fmf,MismatchMatchMismatch,obj,Christina alerted Donald that Alice wasn't alarming,him,0.47524493932724
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_him,ffm,MismatchMismatchMatch,obj,Christina alerted Angela that Scott wasn't alarming,him,5.4481730461120605
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_him,fff,MismatchMismatchMismatch,obj,Christina alerted Angela that Alice wasn't alarming,him,4.314224720001221
TwoEmbedding,alerted,wasn't alarming,5,5_MMM_his,mmm,MatchMatchMatch,poss,Ronald alerted Donald that Scott wasn't alarming,his,5.867711544036865
TwoEmbedding,alerted,wasn't alarming,5,5_MMF_his,mmf,MatchMatchMismatch,poss,Ronald alerted Donald that Alice wasn't alarming,his,6.7626633644104
TwoEmbedding,alerted,wasn't alarming,5,5_MFM_his,mfm,MatchMismatchMatch,poss,Ronald alerted Angela that Scott wasn't alarming,his,7.3558430671691895
TwoEmbedding,alerted,wasn't alarming,5,5_MFF_his,mff,MatchMismatchMismatch,poss,Ronald alerted Angela that Alice wasn't alarming,his,7.758388519287109
TwoEmbedding,alerted,wasn't alarming,5,5_FMM_his,fmm,MismatchMatchMatch,poss,Christina alerted Donald that Scott wasn't alarming,his,6.508842468261719
TwoEmbedding,alerted,wasn't alarming,5,5_FMF_his,fmf,MismatchMatchMismatch,poss,Christina alerted Donald that Alice wasn't alarming,his,6.9460906982421875
TwoEmbedding,alerted,wasn't alarming,5,5_FFM_his,ffm,MismatchMismatchMatch,poss,Christina alerted Angela that Scott wasn't alarming,his,8.175548553466797
TwoEmbedding,alerted,wasn't alarming,5,5_FFF_his,fff,MismatchMismatchMismatch,poss,Christina alerted Angela that Alice wasn't alarming,his,10.622438430786133
TwoEmbedding,warned,was investigating,6,6_MMM_him,mmm,MatchMatchMatch,obj,The brother warned Jason that Adam was investigating,him,2.4931845664978027
TwoEmbedding,warned,was investigating,6,6_MMF_him,mmf,MatchMatchMismatch,obj,The brother warned Jason that Victoria was investigating,him,1.610144853591919
TwoEmbedding,warned,was investigating,6,6_MFM_him,mfm,MatchMismatchMatch,obj,The brother warned Amanda that Adam was investigating,him,3.929006576538086
TwoEmbedding,warned,was investigating,6,6_MFF_him,mff,MatchMismatchMismatch,obj,The brother warned Amanda that Victoria was investigating,him,1.7877637147903442
TwoEmbedding,warned,was investigating,6,6_FMM_him,fmm,MismatchMatchMatch,obj,Jennifer warned Jason that Adam was investigating,him,3.632739305496216
TwoEmbedding,warned,was investigating,6,6_FMF_him,fmf,MismatchMatchMismatch,obj,Jennifer warned Jason that Victoria was investigating,him,2.462435007095337
TwoEmbedding,warned,was investigating,6,6_FFM_him,ffm,MismatchMismatchMatch,obj,Jennifer warned Amanda that Adam was investigating,him,6.155701160430908
TwoEmbedding,warned,was investigating,6,6_FFF_him,fff,MismatchMismatchMismatch,obj,Jennifer warned Amanda that Victoria was investigating,him,4.530514717102051
TwoEmbedding,warned,was investigating,6,6_MMM_his,mmm,MatchMatchMatch,poss,The brother warned Jason that Adam was investigating,his,3.9127979278564453
TwoEmbedding,warned,was investigating,6,6_MMF_his,mmf,MatchMatchMismatch,poss,The brother warned Jason that Victoria was investigating,his,4.016845226287842
TwoEmbedding,warned,was investigating,6,6_MFM_his,mfm,MatchMismatchMatch,poss,The brother warned Amanda that Adam was investigating,his,4.778826713562012
TwoEmbedding,warned,was investigating,6,6_MFF_his,mff,MatchMismatchMismatch,poss,The brother warned Amanda that Victoria was investigating,his,4.527752876281738
TwoEmbedding,warned,was investigating,6,6_FMM_his,fmm,MismatchMatchMatch,poss,Jennifer warned Jason that Adam was investigating,his,4.852269649505615
TwoEmbedding,warned,was investigating,6,6_FMF_his,fmf,MismatchMatchMismatch,poss,Jennifer warned Jason that Victoria was investigating,his,5.183206081390381
TwoEmbedding,warned,was investigating,6,6_FFM_his,ffm,MismatchMismatchMatch,poss,Jennifer warned Amanda that Adam was investigating,his,6.527227878570557
TwoEmbedding,warned,was investigating,6,6_FFF_his,fff,MismatchMismatchMismatch,poss,Jennifer warned Amanda that Victoria was investigating,his,7.604584217071533
TwoEmbedding,warned,can reference,7,7_MMM_him,mmm,MatchMatchMatch,obj,Daniel warned Timothy that this husband can reference,him,5.620054721832275
TwoEmbedding,warned,can reference,7,7_MMF_him,mmf,MatchMatchMismatch,obj,Daniel warned Timothy that Jodi can reference,him,4.027247905731201
TwoEmbedding,warned,can reference,7,7_MFM_him,mfm,MatchMismatchMatch,obj,Daniel warned Tiffany that this husband can reference,him,6.564619541168213
TwoEmbedding,warned,can reference,7,7_MFF_him,mff,MatchMismatchMismatch,obj,Daniel warned Tiffany that Jodi can reference,him,4.647501468658447
TwoEmbedding,warned,can reference,7,7_FMM_him,fmm,MismatchMatchMatch,obj,Donna warned Timothy that this husband can reference,him,6.121676921844482
TwoEmbedding,warned,can reference,7,7_FMF_him,fmf,MismatchMatchMismatch,obj,Donna warned Timothy that Jodi can reference,him,3.53009033203125
TwoEmbedding,warned,can reference,7,7_FFM_him,ffm,MismatchMismatchMatch,obj,Donna warned Tiffany that this husband can reference,him,7.067690372467041
TwoEmbedding,warned,can reference,7,7_FFF_him,fff,MismatchMismatchMismatch,obj,Donna warned Tiffany that Jodi can reference,him,5.253020286560059
TwoEmbedding,warned,can reference,7,7_MMM_his,mmm,MatchMatchMatch,poss,Daniel warned Timothy that this husband can reference,his,2.7524960041046143
TwoEmbedding,warned,can reference,7,7_MMF_his,mmf,MatchMatchMismatch,poss,Daniel warned Timothy that Jodi can reference,his,4.179506301879883
TwoEmbedding,warned,can reference,7,7_MFM_his,mfm,MatchMismatchMatch,poss,Daniel warned Tiffany that this husband can reference,his,2.97243332862854
TwoEmbedding,warned,can reference,7,7_MFF_his,mff,MatchMismatchMismatch,poss,Daniel warned Tiffany that Jodi can reference,his,5.3312273025512695
TwoEmbedding,warned,can reference,7,7_FMM_his,fmm,MismatchMatchMatch,poss,Donna warned Timothy that this husband can reference,his,2.8038368225097656
TwoEmbedding,warned,can reference,7,7_FMF_his,fmf,MismatchMatchMismatch,poss,Donna warned Timothy that Jodi can reference,his,4.511112213134766
TwoEmbedding,warned,can reference,7,7_FFM_his,ffm,MismatchMismatchMatch,poss,Donna warned Tiffany that this husband can reference,his,3.095160722732544
TwoEmbedding,warned,can reference,7,7_FFF_his,fff,MismatchMismatchMismatch,poss,Donna warned Tiffany that Jodi can reference,his,6.5837531089782715
TwoEmbedding,informs,didn't reference,8,8_MMM_him,mmm,MatchMatchMatch,obj,Dennis informs Scott that Guy didn't reference,him,3.309772253036499
TwoEmbedding,informs,didn't reference,8,8_MMF_him,mmf,MatchMatchMismatch,obj,Dennis informs Scott that Kristen didn't reference,him,2.963270664215088
TwoEmbedding,informs,didn't reference,8,8_MFM_him,mfm,MatchMismatchMatch,obj,Dennis informs Stacy that Guy didn't reference,him,4.161135196685791
TwoEmbedding,informs,didn't reference,8,8_MFF_him,mff,MatchMismatchMismatch,obj,Dennis informs Stacy that Kristen didn't reference,him,3.336545705795288
TwoEmbedding,informs,didn't reference,8,8_FMM_him,fmm,MismatchMatchMatch,obj,Christine informs Scott that Guy didn't reference,him,3.8642396926879883
TwoEmbedding,informs,didn't reference,8,8_FMF_him,fmf,MismatchMatchMismatch,obj,Christine informs Scott that Kristen didn't reference,him,3.102107048034668
TwoEmbedding,informs,didn't reference,8,8_FFM_him,ffm,MismatchMismatchMatch,obj,Christine informs Stacy that Guy didn't reference,him,5.271043300628662
TwoEmbedding,informs,didn't reference,8,8_FFF_him,fff,MismatchMismatchMismatch,obj,Christine informs Stacy that Kristen didn't reference,him,4.828787803649902
TwoEmbedding,informs,didn't reference,8,8_MMM_his,mmm,MatchMatchMatch,poss,Dennis informs Scott that Guy didn't reference,his,3.8519606590270996
TwoEmbedding,informs,didn't reference,8,8_MMF_his,mmf,MatchMatchMismatch,poss,Dennis informs Scott that Kristen didn't reference,his,4.245716571807861
TwoEmbedding,informs,didn't reference,8,8_MFM_his,mfm,MatchMismatchMatch,poss,Dennis informs Stacy that Guy didn't reference,his,4.053355693817139
TwoEmbedding,informs,didn't reference,8,8_MFF_his,mff,MatchMismatchMismatch,poss,Dennis informs Stacy that Kristen didn't reference,his,4.858523368835449
TwoEmbedding,informs,didn't reference,8,8_FMM_his,fmm,MismatchMatchMatch,poss,Christine informs Scott that Guy didn't reference,his,4.1166605949401855
TwoEmbedding,informs,didn't reference,8,8_FMF_his,fmf,MismatchMatchMismatch,poss,Christine informs Scott that Kristen didn't reference,his,4.714913368225098
TwoEmbedding,informs,didn't reference,8,8_FFM_his,ffm,MismatchMismatchMatch,poss,Christine informs Stacy that Guy didn't reference,his,4.685597896575928
TwoEmbedding,informs,didn't reference,8,8_FFF_his,fff,MismatchMismatchMismatch,poss,Christine informs Stacy that Kristen didn't reference,his,6.588690280914307
TwoEmbedding,alerted,forgave,9,9_MMM_him,mmm,MatchMatchMatch,obj,Eric alerted Walter that Curtis forgave,him,0.8262988924980164
TwoEmbedding,alerted,forgave,9,9_MMF_him,mmf,MatchMatchMismatch,obj,Eric alerted Walter that Jill forgave,him,0.6394984126091003
TwoEmbedding,alerted,forgave,9,9_MFM_him,mfm,MatchMismatchMatch,obj,Eric alerted Sharon that Curtis forgave,him,2.833298444747925
TwoEmbedding,alerted,forgave,9,9_MFF_him,mff,MatchMismatchMismatch,obj,Eric alerted Sharon that Jill forgave,him,1.826301097869873
TwoEmbedding,alerted,forgave,9,9_FMM_him,fmm,MismatchMatchMatch,obj,Heather alerted Walter that Curtis forgave,him,1.6321277618408203
TwoEmbedding,alerted,forgave,9,9_FMF_him,fmf,MismatchMatchMismatch,obj,Heather alerted Walter that Jill forgave,him,0.7023000717163086
TwoEmbedding,alerted,forgave,9,9_FFM_him,ffm,MismatchMismatchMatch,obj,Heather alerted Sharon that Curtis forgave,him,3.413214683532715
TwoEmbedding,alerted,forgave,9,9_FFF_him,fff,MismatchMismatchMismatch,obj,Heather alerted Sharon that Jill forgave,him,3.375530958175659
TwoEmbedding,alerted,forgave,9,9_MMM_his,mmm,MatchMatchMatch,poss,Eric alerted Walter that Curtis forgave,his,4.532846927642822
TwoEmbedding,alerted,forgave,9,9_MMF_his,mmf,MatchMatchMismatch,poss,Eric alerted Walter that Jill forgave,his,5.750442981719971
TwoEmbedding,alerted,forgave,9,9_MFM_his,mfm,MatchMismatchMatch,poss,Eric alerted Sharon that Curtis forgave,his,5.715931415557861
TwoEmbedding,alerted,forgave,9,9_MFF_his,mff,MatchMismatchMismatch,poss,Eric alerted Sharon that Jill forgave,his,7.569657325744629
TwoEmbedding,alerted,forgave,9,9_FMM_his,fmm,MismatchMatchMatch,poss,Heather alerted Walter that Curtis forgave,his,5.046393394470215
TwoEmbedding,alerted,forgave,9,9_FMF_his,fmf,MismatchMatchMismatch,poss,Heather alerted Walter that Jill forgave,his,6.113364219665527
TwoEmbedding,alerted,forgave,9,9_FFM_his,ffm,MismatchMismatchMatch,poss,Heather alerted Sharon that Curtis forgave,his,6.2151618003845215
TwoEmbedding,alerted,forgave,9,9_FFF_his,fff,MismatchMismatchMismatch,poss,Heather alerted Sharon that Jill forgave,his,9.549988746643066
TwoEmbedding,informs,astounds,10,10_MMM_him,mmm,MatchMatchMatch,obj,Stephen informs this guy that Mark astounds,him,0.33385100960731506
TwoEmbedding,informs,astounds,10,10_MMF_him,mmf,MatchMatchMismatch,obj,Stephen informs this guy that Tracy astounds,him,0.36383360624313354
TwoEmbedding,informs,astounds,10,10_MFM_him,mfm,MatchMismatchMatch,obj,Stephen informs Meredith that Mark astounds,him,2.095848321914673
TwoEmbedding,informs,astounds,10,10_MFF_him,mff,MatchMismatchMismatch,obj,Stephen informs Meredith that Tracy astounds,him,1.2054235935211182
TwoEmbedding,informs,astounds,10,10_FMM_him,fmm,MismatchMatchMatch,obj,Suzanne informs this guy that Mark astounds,him,2.697432041168213
TwoEmbedding,informs,astounds,10,10_FMF_him,fmf,MismatchMatchMismatch,obj,Suzanne informs this guy that Tracy astounds,him,1.1017967462539673
TwoEmbedding,informs,astounds,10,10_FFM_him,ffm,MismatchMismatchMatch,obj,Suzanne informs Meredith that Mark astounds,him,4.890720367431641
TwoEmbedding,informs,astounds,10,10_FFF_him,fff,MismatchMismatchMismatch,obj,Suzanne informs Meredith that Tracy astounds,him,4.821065902709961
TwoEmbedding,informs,astounds,10,10_MMM_his,mmm,MatchMatchMatch,poss,Stephen informs this guy that Mark astounds,his,6.178743362426758
TwoEmbedding,informs,astounds,10,10_MMF_his,mmf,MatchMatchMismatch,poss,Stephen informs this guy that Tracy astounds,his,6.124960422515869
TwoEmbedding,informs,astounds,10,10_MFM_his,mfm,MatchMismatchMatch,poss,Stephen informs Meredith that Mark astounds,his,6.500733375549316
TwoEmbedding,informs,astounds,10,10_MFF_his,mff,MatchMismatchMismatch,poss,Stephen informs Meredith that Tracy astounds,his,7.176820755004883
TwoEmbedding,informs,astounds,10,10_FMM_his,fmm,MismatchMatchMatch,poss,Suzanne informs this guy that Mark astounds,his,7.235504150390625
TwoEmbedding,informs,astounds,10,10_FMF_his,fmf,MismatchMatchMismatch,poss,Suzanne informs this guy that Tracy astounds,his,6.949481964111328
TwoEmbedding,informs,astounds,10,10_FFM_his,ffm,MismatchMismatchMatch,poss,Suzanne informs Meredith that Mark astounds,his,8.556842803955078
TwoEmbedding,informs,astounds,10,10_FFF_his,fff,MismatchMismatchMismatch,poss,Suzanne informs Meredith that Tracy astounds,his,11.114238739013672
TwoEmbedding,informed,isn't shocking,11,11_MMM_him,mmm,MatchMatchMatch,obj,Christopher informed Guy that Aaron isn't shocking,him,2.0658886432647705
TwoEmbedding,informed,isn't shocking,11,11_MMF_him,mmf,MatchMatchMismatch,obj,Christopher informed Guy that the woman isn't shocking,him,1.807902455329895
TwoEmbedding,informed,isn't shocking,11,11_MFM_him,mfm,MatchMismatchMatch,obj,Christopher informed Jill that Aaron isn't shocking,him,4.263034343719482
TwoEmbedding,informed,isn't shocking,11,11_MFF_him,mff,MatchMismatchMismatch,obj,Christopher informed Jill that the woman isn't shocking,him,2.588350296020508
TwoEmbedding,informed,isn't shocking,11,11_FMM_him,fmm,MismatchMatchMatch,obj,Stephanie informed Guy that Aaron isn't shocking,him,3.290985584259033
TwoEmbedding,informed,isn't shocking,11,11_FMF_him,fmf,MismatchMatchMismatch,obj,Stephanie informed Guy that the woman isn't shocking,him,1.8854610919952393
TwoEmbedding,informed,isn't shocking,11,11_FFM_him,ffm,MismatchMismatchMatch,obj,Stephanie informed Jill that Aaron isn't shocking,him,5.587039470672607
TwoEmbedding,informed,isn't shocking,11,11_FFF_him,fff,MismatchMismatchMismatch,obj,Stephanie informed Jill that the woman isn't shocking,him,4.42623233795166
TwoEmbedding,informed,isn't shocking,11,11_MMM_his,mmm,MatchMatchMatch,poss,Christopher informed Guy that Aaron isn't shocking,his,6.1177778244018555
TwoEmbedding,informed,isn't shocking,11,11_MMF_his,mmf,MatchMatchMismatch,poss,Christopher informed Guy that the woman isn't shocking,his,7.0812811851501465
TwoEmbedding,informed,isn't shocking,11,11_MFM_his,mfm,MatchMismatchMatch,poss,Christopher informed Jill that Aaron isn't shocking,his,6.752330303192139
