exp,verbMatrix,verbEmbed,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-xl_surp
OneEmbedding,was disliking,can't astound,2,2_MF_him,mf,MatchMismatch,obj,The guy was disliking that Sara can't astound,him,1.683428406715393
OneEmbedding,was disliking,can't astound,2,2_FM_him,fm,MismatchMatch,obj,Christina was disliking that Vincent can't astound,him,4.525933742523193
OneEmbedding,was disliking,can't astound,2,2_FF_him,ff,MismatchMismatch,obj,Christina was disliking that Sara can't astound,him,3.3313333988189697
OneEmbedding,was disliking,can't astound,2,2_MM_his,mm,MatchMatch,poss,The guy was disliking that Vincent can't astound,his,5.374640941619873
OneEmbedding,was disliking,can't astound,2,2_MF_his,mf,MatchMismatch,poss,The guy was disliking that Sara can't astound,his,8.238375663757324
OneEmbedding,was disliking,can't astound,2,2_FM_his,fm,MismatchMatch,poss,Christina was disliking that Vincent can't astound,his,5.98341178894043
OneEmbedding,was disliking,can't astound,2,2_FF_his,ff,MismatchMismatch,poss,Christina was disliking that Sara can't astound,his,10.014081001281738
OneEmbedding,wasn't expecting,fired,3,3_MM_him,mm,MatchMatch,obj,Rodney wasn't expecting that Marcus fired,him,2.924973964691162
OneEmbedding,wasn't expecting,fired,3,3_MF_him,mf,MatchMismatch,obj,Rodney wasn't expecting that Naomi fired,him,2.2814860343933105
OneEmbedding,wasn't expecting,fired,3,3_FM_him,fm,MismatchMatch,obj,Margaret wasn't expecting that Marcus fired,him,4.23174524307251
OneEmbedding,wasn't expecting,fired,3,3_FF_him,ff,MismatchMismatch,obj,Margaret wasn't expecting that Naomi fired,him,4.484890937805176
OneEmbedding,wasn't expecting,fired,3,3_MM_his,mm,MatchMatch,poss,Rodney wasn't expecting that Marcus fired,his,3.5296952724456787
OneEmbedding,wasn't expecting,fired,3,3_MF_his,mf,MatchMismatch,poss,Rodney wasn't expecting that Naomi fired,his,6.850302219390869
OneEmbedding,wasn't expecting,fired,3,3_FM_his,fm,MismatchMatch,poss,Margaret wasn't expecting that Marcus fired,his,4.072986125946045
OneEmbedding,wasn't expecting,fired,3,3_FF_his,ff,MismatchMismatch,poss,Margaret wasn't expecting that Naomi fired,his,8.817564010620117
OneEmbedding,had speculated,returns to,4,4_MM_him,mm,MatchMatch,obj,Aaron had speculated that Eric returns to,him,9.557827949523926
OneEmbedding,had speculated,returns to,4,4_MF_him,mf,MatchMismatch,obj,Aaron had speculated that Tracy returns to,him,9.355107307434082
OneEmbedding,had speculated,returns to,4,4_FM_him,fm,MismatchMatch,obj,Tamara had speculated that Eric returns to,him,9.288028717041016
OneEmbedding,had speculated,returns to,4,4_FF_him,ff,MismatchMismatch,obj,Tamara had speculated that Tracy returns to,him,9.1466064453125
OneEmbedding,had speculated,returns to,4,4_MM_his,mm,MatchMatch,poss,Aaron had speculated that Eric returns to,his,3.6244001388549805
OneEmbedding,had speculated,returns to,4,4_MF_his,mf,MatchMismatch,poss,Aaron had speculated that Tracy returns to,his,4.727993965148926
OneEmbedding,had speculated,returns to,4,4_FM_his,fm,MismatchMatch,poss,Tamara had speculated that Eric returns to,his,3.623117208480835
OneEmbedding,had speculated,returns to,4,4_FF_his,ff,MismatchMismatch,poss,Tamara had speculated that Tracy returns to,his,4.5521650314331055
OneEmbedding,conceals,wasn't alarming,5,5_MM_him,mm,MatchMatch,obj,Donald conceals that Scott wasn't alarming,him,3.2740886211395264
OneEmbedding,conceals,wasn't alarming,5,5_MF_him,mf,MatchMismatch,obj,Donald conceals that Alice wasn't alarming,him,2.3863329887390137
OneEmbedding,conceals,wasn't alarming,5,5_FM_him,fm,MismatchMatch,obj,Angela conceals that Scott wasn't alarming,him,5.127155780792236
OneEmbedding,conceals,wasn't alarming,5,5_FF_him,ff,MismatchMismatch,obj,Angela conceals that Alice wasn't alarming,him,4.533647537231445
OneEmbedding,conceals,wasn't alarming,5,5_MM_his,mm,MatchMatch,poss,Donald conceals that Scott wasn't alarming,his,4.602134704589844
OneEmbedding,conceals,wasn't alarming,5,5_MF_his,mf,MatchMismatch,poss,Donald conceals that Alice wasn't alarming,his,6.664178848266602
OneEmbedding,conceals,wasn't alarming,5,5_FM_his,fm,MismatchMatch,poss,Angela conceals that Scott wasn't alarming,his,6.4646711349487305
OneEmbedding,conceals,wasn't alarming,5,5_FF_his,ff,MismatchMismatch,poss,Angela conceals that Alice wasn't alarming,his,9.556947708129883
OneEmbedding,hadn't expected,was investigating,6,6_MM_him,mm,MatchMatch,obj,Jason hadn't expected that Adam was investigating,him,3.00254225730896
OneEmbedding,hadn't expected,was investigating,6,6_MF_him,mf,MatchMismatch,obj,Jason hadn't expected that Victoria was investigating,him,2.316549777984619
OneEmbedding,hadn't expected,was investigating,6,6_FM_him,fm,MismatchMatch,obj,Amanda hadn't expected that Adam was investigating,him,6.053498268127441
OneEmbedding,hadn't expected,was investigating,6,6_FF_him,ff,MismatchMismatch,obj,Amanda hadn't expected that Victoria was investigating,him,5.338972091674805
OneEmbedding,hadn't expected,was investigating,6,6_MM_his,mm,MatchMatch,poss,Jason hadn't expected that Adam was investigating,his,3.9708328247070312
OneEmbedding,hadn't expected,was investigating,6,6_MF_his,mf,MatchMismatch,poss,Jason hadn't expected that Victoria was investigating,his,4.3906707763671875
OneEmbedding,hadn't expected,was investigating,6,6_FM_his,fm,MismatchMatch,poss,Amanda hadn't expected that Adam was investigating,his,5.029338836669922
OneEmbedding,hadn't expected,was investigating,6,6_FF_his,ff,MismatchMismatch,poss,Amanda hadn't expected that Victoria was investigating,his,7.727328777313232
OneEmbedding,concluded,can reference,7,7_MM_him,mm,MatchMatch,obj,Timothy concluded that this husband can reference,him,7.493278503417969
OneEmbedding,concluded,can reference,7,7_MF_him,mf,MatchMismatch,obj,Timothy concluded that Jodi can reference,him,6.462738990783691
OneEmbedding,concluded,can reference,7,7_FM_him,fm,MismatchMatch,obj,Tiffany concluded that this husband can reference,him,7.930684566497803
OneEmbedding,concluded,can reference,7,7_FF_him,ff,MismatchMismatch,obj,Tiffany concluded that Jodi can reference,him,8.326240539550781
OneEmbedding,concluded,can reference,7,7_MM_his,mm,MatchMatch,poss,Timothy concluded that this husband can reference,his,2.971421957015991
OneEmbedding,concluded,can reference,7,7_MF_his,mf,MatchMismatch,poss,Timothy concluded that Jodi can reference,his,5.046616077423096
OneEmbedding,concluded,can reference,7,7_FM_his,fm,MismatchMatch,poss,Tiffany concluded that this husband can reference,his,3.207062244415283
OneEmbedding,concluded,can reference,7,7_FF_his,ff,MismatchMismatch,poss,Tiffany concluded that Jodi can reference,his,6.917479038238525
OneEmbedding,isn't knowing,didn't reference,8,8_MM_him,mm,MatchMatch,obj,Scott isn't knowing that Guy didn't reference,him,4.489831447601318
OneEmbedding,isn't knowing,didn't reference,8,8_MF_him,mf,MatchMismatch,obj,Scott isn't knowing that Kristen didn't reference,him,3.9955291748046875
OneEmbedding,isn't knowing,didn't reference,8,8_FM_him,fm,MismatchMatch,obj,Stacy isn't knowing that Guy didn't reference,him,5.568914890289307
OneEmbedding,isn't knowing,didn't reference,8,8_FF_him,ff,MismatchMismatch,obj,Stacy isn't knowing that Kristen didn't reference,him,5.294857501983643
OneEmbedding,isn't knowing,didn't reference,8,8_MM_his,mm,MatchMatch,poss,Scott isn't knowing that Guy didn't reference,his,4.247066020965576
OneEmbedding,isn't knowing,didn't reference,8,8_MF_his,mf,MatchMismatch,poss,Scott isn't knowing that Kristen didn't reference,his,5.3370795249938965
OneEmbedding,isn't knowing,didn't reference,8,8_FM_his,fm,MismatchMatch,poss,Stacy isn't knowing that Guy didn't reference,his,4.648458003997803
OneEmbedding,isn't knowing,didn't reference,8,8_FF_his,ff,MismatchMismatch,poss,Stacy isn't knowing that Kristen didn't reference,his,6.340519428253174
OneEmbedding,hasn't discovered,forgave,9,9_MM_him,mm,MatchMatch,obj,Walter hasn't discovered that Curtis forgave,him,2.063499689102173
OneEmbedding,hasn't discovered,forgave,9,9_MF_him,mf,MatchMismatch,obj,Walter hasn't discovered that Jill forgave,him,1.417466402053833
OneEmbedding,hasn't discovered,forgave,9,9_FM_him,fm,MismatchMatch,obj,Sharon hasn't discovered that Curtis forgave,him,2.627803087234497
OneEmbedding,hasn't discovered,forgave,9,9_FF_him,ff,MismatchMismatch,obj,Sharon hasn't discovered that Jill forgave,him,1.805477499961853
OneEmbedding,hasn't discovered,forgave,9,9_MM_his,mm,MatchMatch,poss,Walter hasn't discovered that Curtis forgave,his,3.9941353797912598
OneEmbedding,hasn't discovered,forgave,9,9_MF_his,mf,MatchMismatch,poss,Walter hasn't discovered that Jill forgave,his,7.715129852294922
OneEmbedding,hasn't discovered,forgave,9,9_FM_his,fm,MismatchMatch,poss,Sharon hasn't discovered that Curtis forgave,his,4.617741584777832
OneEmbedding,hasn't discovered,forgave,9,9_FF_his,ff,MismatchMismatch,poss,Sharon hasn't discovered that Jill forgave,his,7.971829891204834
OneEmbedding,agreed,astounds,10,10_MM_him,mm,MatchMatch,obj,This guy agreed that Mark astounds,him,3.924389600753784
OneEmbedding,agreed,astounds,10,10_MF_him,mf,MatchMismatch,obj,This guy agreed that Tracy astounds,him,3.3161652088165283
OneEmbedding,agreed,astounds,10,10_FM_him,fm,MismatchMatch,obj,Meredith agreed that Mark astounds,him,4.332675933837891
OneEmbedding,agreed,astounds,10,10_FF_him,ff,MismatchMismatch,obj,Meredith agreed that Tracy astounds,him,3.2188000679016113
OneEmbedding,agreed,astounds,10,10_MM_his,mm,MatchMatch,poss,This guy agreed that Mark astounds,his,7.552166938781738
OneEmbedding,agreed,astounds,10,10_MF_his,mf,MatchMismatch,poss,This guy agreed that Tracy astounds,his,8.142536163330078
OneEmbedding,agreed,astounds,10,10_FM_his,fm,MismatchMatch,poss,Meredith agreed that Mark astounds,his,6.31303596496582
OneEmbedding,agreed,astounds,10,10_FF_his,ff,MismatchMismatch,poss,Meredith agreed that Tracy astounds,his,7.111405372619629
OneEmbedding,claimed,isn't shocking,11,11_MM_him,mm,MatchMatch,obj,Guy claimed that Aaron isn't shocking,him,6.936092376708984
OneEmbedding,claimed,isn't shocking,11,11_MF_him,mf,MatchMismatch,obj,Guy claimed that the woman isn't shocking,him,8.327028274536133
OneEmbedding,claimed,isn't shocking,11,11_FM_him,fm,MismatchMatch,obj,Jill claimed that Aaron isn't shocking,him,7.706306457519531
OneEmbedding,claimed,isn't shocking,11,11_FF_him,ff,MismatchMismatch,obj,Jill claimed that the woman isn't shocking,him,9.049262046813965
OneEmbedding,claimed,isn't shocking,11,11_MM_his,mm,MatchMatch,poss,Guy claimed that Aaron isn't shocking,his,7.201785087585449
OneEmbedding,claimed,isn't shocking,11,11_MF_his,mf,MatchMismatch,poss,Guy claimed that the woman isn't shocking,his,10.520549774169922
OneEmbedding,claimed,isn't shocking,11,11_FM_his,fm,MismatchMatch,poss,Jill claimed that Aaron isn't shocking,his,7.6135783195495605
OneEmbedding,claimed,isn't shocking,11,11_FF_his,ff,MismatchMismatch,poss,Jill claimed that the woman isn't shocking,his,11.357587814331055
OneEmbedding,wrote,has boasted about,12,12_MM_him,mm,MatchMatch,obj,Walter wrote that Larry has boasted about,him,10.435343742370605
OneEmbedding,wrote,has boasted about,12,12_MF_him,mf,MatchMismatch,obj,Walter wrote that Helen has boasted about,him,9.444929122924805
OneEmbedding,wrote,has boasted about,12,12_FM_him,fm,MismatchMatch,obj,Elizabeth wrote that Larry has boasted about,him,9.924182891845703
OneEmbedding,wrote,has boasted about,12,12_FF_him,ff,MismatchMismatch,obj,Elizabeth wrote that Helen has boasted about,him,8.994486808776855
OneEmbedding,wrote,has boasted about,12,12_MM_his,mm,MatchMatch,poss,Walter wrote that Larry has boasted about,his,2.2586400508880615
OneEmbedding,wrote,has boasted about,12,12_MF_his,mf,MatchMismatch,poss,Walter wrote that Helen has boasted about,his,5.875219821929932
OneEmbedding,wrote,has boasted about,12,12_FM_his,fm,MismatchMatch,poss,Elizabeth wrote that Larry has boasted about,his,2.3273303508758545
OneEmbedding,wrote,has boasted about,12,12_FF_his,ff,MismatchMismatch,poss,Elizabeth wrote that Helen has boasted about,his,6.827804088592529
OneEmbedding,had concluded,leads,13,13_MM_him,mm,MatchMatch,obj,Phillip had concluded that Brett leads,him,6.731992721557617
OneEmbedding,had concluded,leads,13,13_MF_him,mf,MatchMismatch,obj,Phillip had concluded that that lady leads,him,4.028115272521973
OneEmbedding,had concluded,leads,13,13_FM_him,fm,MismatchMatch,obj,Julie had concluded that Brett leads,him,6.391226291656494
OneEmbedding,had concluded,leads,13,13_FF_him,ff,MismatchMismatch,obj,Julie had concluded that that lady leads,him,4.858998775482178
OneEmbedding,had concluded,leads,13,13_MM_his,mm,MatchMatch,poss,Phillip had concluded that Brett leads,his,5.1754560470581055
OneEmbedding,had concluded,leads,13,13_MF_his,mf,MatchMismatch,poss,Phillip had concluded that that lady leads,his,7.469742298126221
OneEmbedding,had concluded,leads,13,13_FM_his,fm,MismatchMatch,poss,Julie had concluded that Brett leads,his,5.631198883056641
OneEmbedding,had concluded,leads,13,13_FF_his,ff,MismatchMismatch,poss,Julie had concluded that that lady leads,his,8.775690078735352
OneEmbedding,has said,didn't shake,14,14_MM_him,mm,MatchMatch,obj,Aaron has said that Robert didn't shake,him,4.4439544677734375
OneEmbedding,has said,didn't shake,14,14_MF_him,mf,MatchMismatch,obj,Aaron has said that Carmen didn't shake,him,3.5811767578125
OneEmbedding,has said,didn't shake,14,14_FM_him,fm,MismatchMatch,obj,Donna has said that Robert didn't shake,him,9.281471252441406
OneEmbedding,has said,didn't shake,14,14_FF_him,ff,MismatchMismatch,obj,Donna has said that Carmen didn't shake,him,4.85318660736084
OneEmbedding,has said,didn't shake,14,14_MM_his,mm,MatchMatch,poss,Aaron has said that Robert didn't shake,his,2.133728265762329
OneEmbedding,has said,didn't shake,14,14_MF_his,mf,MatchMismatch,poss,Aaron has said that Carmen didn't shake,his,1.4521733522415161
OneEmbedding,has said,didn't shake,14,14_FM_his,fm,MismatchMatch,poss,Donna has said that Robert didn't shake,his,4.622755527496338
OneEmbedding,has said,didn't shake,14,14_FF_his,ff,MismatchMismatch,poss,Donna has said that Carmen didn't shake,his,3.4624550342559814
OneEmbedding,was expecting,doesn't observe,15,15_MM_him,mm,MatchMatch,obj,Keith was expecting that Bill doesn't observe,him,5.311691761016846
OneEmbedding,was expecting,doesn't observe,15,15_MF_him,mf,MatchMismatch,obj,Keith was expecting that Heather doesn't observe,him,3.317993402481079
OneEmbedding,was expecting,doesn't observe,15,15_FM_him,fm,MismatchMatch,obj,Katherine was expecting that Bill doesn't observe,him,7.645543575286865
OneEmbedding,was expecting,doesn't observe,15,15_FF_him,ff,MismatchMismatch,obj,Katherine was expecting that Heather doesn't observe,him,5.630249500274658
OneEmbedding,was expecting,doesn't observe,15,15_MM_his,mm,MatchMatch,poss,Keith was expecting that Bill doesn't observe,his,4.628698825836182
OneEmbedding,was expecting,doesn't observe,15,15_MF_his,mf,MatchMismatch,poss,Keith was expecting that Heather doesn't observe,his,4.89400577545166
OneEmbedding,was expecting,doesn't observe,15,15_FM_his,fm,MismatchMatch,poss,Katherine was expecting that Bill doesn't observe,his,4.556013584136963
OneEmbedding,was expecting,doesn't observe,15,15_FF_his,ff,MismatchMismatch,poss,Katherine was expecting that Heather doesn't observe,his,6.960575103759766
OneEmbedding,whispers,can't find,16,16_MM_him,mm,MatchMatch,obj,Roger whispers that Peter can't find,him,7.070562839508057
OneEmbedding,whispers,can't find,16,16_MF_him,mf,MatchMismatch,obj,Roger whispers that Holly can't find,him,5.760293960571289
OneEmbedding,whispers,can't find,16,16_FM_him,fm,MismatchMatch,obj,Debra whispers that Peter can't find,him,6.701664447784424
OneEmbedding,whispers,can't find,16,16_FF_him,ff,MismatchMismatch,obj,Debra whispers that Holly can't find,him,5.466184139251709
OneEmbedding,whispers,can't find,16,16_MM_his,mm,MatchMatch,poss,Roger whispers that Peter can't find,his,2.6872642040252686
OneEmbedding,whispers,can't find,16,16_MF_his,mf,MatchMismatch,poss,Roger whispers that Holly can't find,his,6.2579827308654785
OneEmbedding,whispers,can't find,16,16_FM_his,fm,MismatchMatch,poss,Debra whispers that Peter can't find,his,2.5372657775878906
OneEmbedding,whispers,can't find,16,16_FF_his,ff,MismatchMismatch,poss,Debra whispers that Holly can't find,his,6.760224342346191
OneEmbedding,thinks,should hide,17,17_MM_him,mm,MatchMatch,obj,Theodore thinks that Joel should hide,him,7.455487251281738
OneEmbedding,thinks,should hide,17,17_MF_him,mf,MatchMismatch,obj,Theodore thinks that Kirsten should hide,him,6.587176322937012
OneEmbedding,thinks,should hide,17,17_FM_him,fm,MismatchMatch,obj,Amelia thinks that Joel should hide,him,7.127455711364746
OneEmbedding,thinks,should hide,17,17_FF_him,ff,MismatchMismatch,obj,Amelia thinks that Kirsten should hide,him,7.652150630950928
OneEmbedding,thinks,should hide,17,17_MM_his,mm,MatchMatch,poss,Theodore thinks that Joel should hide,his,3.4912712574005127
OneEmbedding,thinks,should hide,17,17_MF_his,mf,MatchMismatch,poss,Theodore thinks that Kirsten should hide,his,6.708349704742432
OneEmbedding,thinks,should hide,17,17_FM_his,fm,MismatchMatch,poss,Amelia thinks that Joel should hide,his,3.480724573135376
OneEmbedding,thinks,should hide,17,17_FF_his,ff,MismatchMismatch,poss,Amelia thinks that Kirsten should hide,his,7.727294445037842
OneEmbedding,did claim,had praised,18,18_MM_him,mm,MatchMatch,obj,This ex-boyfriend did claim that Carl had praised,him,2.160767078399658
OneEmbedding,did claim,had praised,18,18_MF_him,mf,MatchMismatch,obj,This ex-boyfriend did claim that Teresa had praised,him,1.1691291332244873
OneEmbedding,did claim,had praised,18,18_FM_him,fm,MismatchMatch,obj,Anne did claim that Carl had praised,him,5.088198661804199
OneEmbedding,did claim,had praised,18,18_FF_him,ff,MismatchMismatch,obj,Anne did claim that Teresa had praised,him,2.7280991077423096
OneEmbedding,did claim,had praised,18,18_MM_his,mm,MatchMatch,poss,This ex-boyfriend did claim that Carl had praised,his,3.0797669887542725
OneEmbedding,did claim,had praised,18,18_MF_his,mf,MatchMismatch,poss,This ex-boyfriend did claim that Teresa had praised,his,2.7492411136627197
OneEmbedding,did claim,had praised,18,18_FM_his,fm,MismatchMatch,poss,Anne did claim that Carl had praised,his,5.590481281280518
OneEmbedding,did claim,had praised,18,18_FF_his,ff,MismatchMismatch,poss,Anne did claim that Teresa had praised,his,5.573338031768799
OneEmbedding,says,argued about,19,19_MM_him,mm,MatchMatch,obj,Benjamin says that Benjamin argued about,him,9.607162475585938
OneEmbedding,says,argued about,19,19_MF_him,mf,MatchMismatch,obj,Benjamin says that Jodi argued about,him,6.503973007202148
OneEmbedding,says,argued about,19,19_FM_him,fm,MismatchMatch,obj,Teresa says that Benjamin argued about,him,7.334341049194336
OneEmbedding,says,argued about,19,19_FF_him,ff,MismatchMismatch,obj,Teresa says that Jodi argued about,him,6.661740779876709
OneEmbedding,says,argued about,19,19_MM_his,mm,MatchMatch,poss,Benjamin says that Benjamin argued about,his,5.529434680938721
OneEmbedding,says,argued about,19,19_MF_his,mf,MatchMismatch,poss,Benjamin says that Jodi argued about,his,5.722301006317139
OneEmbedding,says,argued about,19,19_FM_his,fm,MismatchMatch,poss,Teresa says that Benjamin argued about,his,4.729421615600586
OneEmbedding,says,argued about,19,19_FF_his,ff,MismatchMismatch,poss,Teresa says that Jodi argued about,his,6.484596252441406
OneEmbedding,can conceal,isn't harming,20,20_MM_him,mm,MatchMatch,obj,Steve can conceal that Aaron isn't harming,him,4.778678894042969
OneEmbedding,can conceal,isn't harming,20,20_MF_him,mf,MatchMismatch,obj,Steve can conceal that Nina isn't harming,him,2.7714343070983887
OneEmbedding,can conceal,isn't harming,20,20_FM_him,fm,MismatchMatch,obj,Martha can conceal that Aaron isn't harming,him,5.8943772315979
OneEmbedding,can conceal,isn't harming,20,20_FF_him,ff,MismatchMismatch,obj,Martha can conceal that Nina isn't harming,him,3.7024624347686768
OneEmbedding,can conceal,isn't harming,20,20_MM_his,mm,MatchMatch,poss,Steve can conceal that Aaron isn't harming,his,4.88702917098999
OneEmbedding,can conceal,isn't harming,20,20_MF_his,mf,MatchMismatch,poss,Steve can conceal that Nina isn't harming,his,6.451736927032471
OneEmbedding,can conceal,isn't harming,20,20_FM_his,fm,MismatchMatch,poss,Martha can conceal that Aaron isn't harming,his,5.536450386047363
OneEmbedding,can conceal,isn't harming,20,20_FF_his,ff,MismatchMismatch,poss,Martha can conceal that Nina isn't harming,his,8.193572044372559
OneEmbedding,imagined,would hurt,21,21_MM_him,mm,MatchMatch,obj,Ronald imagined that William would hurt,him,3.3750267028808594
OneEmbedding,imagined,would hurt,21,21_MF_him,mf,MatchMismatch,obj,Ronald imagined that Christine would hurt,him,1.884878396987915
OneEmbedding,imagined,would hurt,21,21_FM_him,fm,MismatchMatch,obj,Jessica imagined that William would hurt,him,6.141493320465088
OneEmbedding,imagined,would hurt,21,21_FF_him,ff,MismatchMismatch,obj,Jessica imagined that Christine would hurt,him,3.074817180633545
OneEmbedding,imagined,would hurt,21,21_MM_his,mm,MatchMatch,poss,Ronald imagined that William would hurt,his,2.952721357345581
OneEmbedding,imagined,would hurt,21,21_MF_his,mf,MatchMismatch,poss,Ronald imagined that Christine would hurt,his,5.283848285675049
OneEmbedding,imagined,would hurt,21,21_FM_his,fm,MismatchMatch,poss,Jessica imagined that William would hurt,his,4.908656597137451
OneEmbedding,imagined,would hurt,21,21_FF_his,ff,MismatchMismatch,poss,Jessica imagined that Christine would hurt,his,8.0093355178833
OneEmbedding,has prayed,leaves,22,22_MM_him,mm,MatchMatch,obj,Marcus has prayed that William leaves,him,4.344171047210693
OneEmbedding,has prayed,leaves,22,22_MF_him,mf,MatchMismatch,obj,Marcus has prayed that Lori leaves,him,2.4625167846679688
OneEmbedding,has prayed,leaves,22,22_FM_him,fm,MismatchMatch,obj,Nancy has prayed that William leaves,him,6.35020112991333
OneEmbedding,has prayed,leaves,22,22_FF_him,ff,MismatchMismatch,obj,Nancy has prayed that Lori leaves,him,3.607635736465454
OneEmbedding,has prayed,leaves,22,22_MM_his,mm,MatchMatch,poss,Marcus has prayed that William leaves,his,3.3633456230163574
OneEmbedding,has prayed,leaves,22,22_MF_his,mf,MatchMismatch,poss,Marcus has prayed that Lori leaves,his,5.811315536499023
OneEmbedding,has prayed,leaves,22,22_FM_his,fm,MismatchMatch,poss,Nancy has prayed that William leaves,his,4.18626594543457
OneEmbedding,has prayed,leaves,22,22_FF_his,ff,MismatchMismatch,poss,Nancy has prayed that Lori leaves,his,7.704068660736084
OneEmbedding,has prayed,watches,23,23_MM_him,mm,MatchMatch,obj,Kenneth has prayed that Theodore watches,him,5.26918363571167
OneEmbedding,has prayed,watches,23,23_MF_him,mf,MatchMismatch,obj,Kenneth has prayed that Sonia watches,him,4.095481872558594
OneEmbedding,has prayed,watches,23,23_FM_him,fm,MismatchMatch,obj,Cynthia has prayed that Theodore watches,him,7.597279071807861
OneEmbedding,has prayed,watches,23,23_FF_him,ff,MismatchMismatch,obj,Cynthia has prayed that Sonia watches,him,6.404491424560547
OneEmbedding,has prayed,watches,23,23_MM_his,mm,MatchMatch,poss,Kenneth has prayed that Theodore watches,his,3.5506980419158936
OneEmbedding,has prayed,watches,23,23_MF_his,mf,MatchMismatch,poss,Kenneth has prayed that Sonia watches,his,5.9366455078125
OneEmbedding,has prayed,watches,23,23_FM_his,fm,MismatchMatch,poss,Cynthia has prayed that Theodore watches,his,4.781774044036865
OneEmbedding,has prayed,watches,23,23_FF_his,ff,MismatchMismatch,poss,Cynthia has prayed that Sonia watches,his,8.896712303161621
OneEmbedding,believes,can shoot,24,24_MM_him,mm,MatchMatch,obj,Edward believes that Samuel can shoot,him,6.6851911544799805
OneEmbedding,believes,can shoot,24,24_MF_him,mf,MatchMismatch,obj,Edward believes that Kristen can shoot,him,5.322491645812988
OneEmbedding,believes,can shoot,24,24_FM_him,fm,MismatchMatch,obj,Rachel believes that Samuel can shoot,him,7.007336139678955
OneEmbedding,believes,can shoot,24,24_FF_him,ff,MismatchMismatch,obj,Rachel believes that Kristen can shoot,him,7.587028503417969
OneEmbedding,believes,can shoot,24,24_MM_his,mm,MatchMatch,poss,Edward believes that Samuel can shoot,his,5.370800971984863
OneEmbedding,believes,can shoot,24,24_MF_his,mf,MatchMismatch,poss,Edward believes that Kristen can shoot,his,7.087166786193848
OneEmbedding,believes,can shoot,24,24_FM_his,fm,MismatchMatch,poss,Rachel believes that Samuel can shoot,his,5.007883548736572
OneEmbedding,believes,can shoot,24,24_FF_his,ff,MismatchMismatch,poss,Rachel believes that Kristen can shoot,his,8.783373832702637
OneEmbedding,is confessing,bit,25,25_MM_him,mm,MatchMatch,obj,Omar is confessing that Roger bit,him,1.9217957258224487
OneEmbedding,is confessing,bit,25,25_MF_him,mf,MatchMismatch,obj,Omar is confessing that Alice bit,him,1.0852715969085693
OneEmbedding,is confessing,bit,25,25_FM_him,fm,MismatchMatch,obj,Anne is confessing that Roger bit,him,6.554561614990234
OneEmbedding,is confessing,bit,25,25_FF_him,ff,MismatchMismatch,obj,Anne is confessing that Alice bit,him,3.155543804168701
OneEmbedding,is confessing,bit,25,25_MM_his,mm,MatchMatch,poss,Omar is confessing that Roger bit,his,2.393014430999756
OneEmbedding,is confessing,bit,25,25_MF_his,mf,MatchMismatch,poss,Omar is confessing that Alice bit,his,3.980001211166382
OneEmbedding,is confessing,bit,25,25_FM_his,fm,MismatchMatch,poss,Anne is confessing that Roger bit,his,5.827985763549805
