exp,verb,frameNum,uid,gender,cond,pronoun,sent,target,/data/gpt2-large_surp
simple,leaves,22,22_M_his,m,Match,poss,William leaves,his,4.769489765167236
simple,leaves,22,22_F_him,f,Mismatch,obj,Lori leaves,him,7.520535469055176
simple,leaves,22,22_F_his,f,Mismatch,poss,Lori leaves,his,5.1748833656311035
simple,watches,23,23_M_him,m,Match,obj,Theodore watches,him,4.936957359313965
simple,watches,23,23_M_his,m,Match,poss,Theodore watches,his,4.360711574554443
simple,watches,23,23_F_him,f,Mismatch,obj,Sonia watches,him,8.912087440490723
simple,watches,23,23_F_his,f,Mismatch,poss,Sonia watches,his,8.224271774291992
simple,can shoot,24,24_M_him,m,Match,obj,Samuel can shoot,him,8.233382225036621
simple,can shoot,24,24_M_his,m,Match,poss,Samuel can shoot,his,6.620347023010254
simple,can shoot,24,24_F_him,f,Mismatch,obj,Kristen can shoot,him,8.729231834411621
simple,can shoot,24,24_F_his,f,Mismatch,poss,Kristen can shoot,his,7.241383075714111
simple,bit,25,25_M_him,m,Match,obj,Roger bit,him,5.878503799438477
simple,bit,25,25_M_his,m,Match,poss,Roger bit,his,5.409204483032227
simple,bit,25,25_F_him,f,Mismatch,obj,Alice bit,him,11.059593200683594
simple,bit,25,25_F_his,f,Mismatch,poss,Alice bit,his,8.996088981628418
simple,observed,26,26_M_him,m,Match,obj,Walter observed,him,8.833501815795898
simple,observed,26,26_M_his,m,Match,poss,Walter observed,his,7.3495354652404785
simple,observed,26,26_F_him,f,Mismatch,obj,Bethany observed,him,6.785743713378906
simple,observed,26,26_F_his,f,Mismatch,poss,Bethany observed,his,8.117592811584473
simple,can't hire,27,27_M_him,m,Match,obj,Peter can't hire,him,4.663189888000488
simple,can't hire,27,27_M_his,m,Match,poss,Peter can't hire,his,5.929417610168457
simple,can't hire,27,27_F_him,f,Mismatch,obj,Cheryl can't hire,him,5.851515769958496
simple,can't hire,27,27_F_his,f,Mismatch,poss,Cheryl can't hire,his,9.525193214416504
simple,hadn't shot,28,28_M_him,m,Match,obj,Lawrence hadn't shot,him,4.79185152053833
simple,hadn't shot,28,28_M_his,m,Match,poss,Lawrence hadn't shot,his,3.969367504119873
simple,hadn't shot,28,28_F_him,f,Mismatch,obj,Andrea hadn't shot,him,5.053269386291504
simple,hadn't shot,28,28_F_his,f,Mismatch,poss,Andrea hadn't shot,his,5.219906806945801
simple,wasn't curing,29,29_M_him,m,Match,obj,Steven wasn't curing,him,5.382328510284424
simple,wasn't curing,29,29_M_his,m,Match,poss,Steven wasn't curing,his,4.0016045570373535
simple,wasn't curing,29,29_F_him,f,Mismatch,obj,Nina wasn't curing,him,4.499948024749756
simple,wasn't curing,29,29_F_his,f,Mismatch,poss,Nina wasn't curing,his,6.764005184173584
simple,finds,30,30_M_him,m,Match,obj,Timothy finds,him,6.412405490875244
simple,finds,30,30_M_his,m,Match,poss,Timothy finds,his,4.738227367401123
simple,finds,30,30_F_him,f,Mismatch,obj,Gina finds,him,5.420637130737305
simple,finds,30,30_F_his,f,Mismatch,poss,Gina finds,his,7.39638614654541
simple,wasn't distracting,31,31_M_him,m,Match,obj,Kevin wasn't distracting,him,3.8357930183410645
simple,wasn't distracting,31,31_M_his,m,Match,poss,Kevin wasn't distracting,his,5.772409915924072
simple,wasn't distracting,31,31_F_him,f,Mismatch,obj,Bethany wasn't distracting,him,4.523867130279541
simple,wasn't distracting,31,31_F_his,f,Mismatch,poss,Bethany wasn't distracting,his,8.84641170501709
simple,hears,32,32_M_him,m,Match,obj,Aaron hears,him,6.514297008514404
simple,hears,32,32_M_his,m,Match,poss,Aaron hears,his,5.561403274536133
simple,hears,32,32_F_him,f,Mismatch,obj,Barbara hears,him,6.410037040710449
simple,hears,32,32_F_his,f,Mismatch,poss,Barbara hears,his,6.270411491394043
simple,does astound,33,33_M_him,m,Match,obj,Carlos does astound,him,6.64818000793457
simple,does astound,33,33_M_his,m,Match,poss,Carlos does astound,his,7.9947991371154785
simple,does astound,33,33_F_him,f,Mismatch,obj,Linda does astound,him,7.529324054718018
simple,does astound,33,33_F_his,f,Mismatch,poss,Linda does astound,his,9.69408130645752
simple,hasn't fled from,34,34_M_him,m,Match,obj,Kevin hasn't fled from,him,6.971367359161377
simple,hasn't fled from,34,34_M_his,m,Match,poss,Kevin hasn't fled from,his,2.670769214630127
simple,hasn't fled from,34,34_F_him,f,Mismatch,obj,That girlfriend hasn't fled from,him,3.8377106189727783
simple,hasn't fled from,34,34_F_his,f,Mismatch,poss,That girlfriend hasn't fled from,his,6.282820701599121
simple,worries,35,35_M_him,m,Match,obj,Robert worries,him,9.315075874328613
simple,worries,35,35_M_his,m,Match,poss,Robert worries,his,7.301202774047852
simple,worries,35,35_F_him,f,Mismatch,obj,Tamara worries,him,10.470401763916016
simple,worries,35,35_F_his,f,Mismatch,poss,Tamara worries,his,7.906201362609863
simple,isn't kissing,36,36_M_him,m,Match,obj,Eric isn't kissing,him,5.396570205688477
simple,isn't kissing,36,36_M_his,m,Match,poss,Eric isn't kissing,his,3.9523799419403076
simple,isn't kissing,36,36_F_him,f,Mismatch,obj,Paula isn't kissing,him,4.671050548553467
simple,isn't kissing,36,36_F_his,f,Mismatch,poss,Paula isn't kissing,his,4.282236576080322
simple,will forgive,37,37_M_him,m,Match,obj,David will forgive,him,4.452270984649658
simple,will forgive,37,37_M_his,m,Match,poss,David will forgive,his,6.134026527404785
simple,will forgive,37,37_F_him,f,Mismatch,obj,Margaret will forgive,him,4.369093418121338
simple,will forgive,37,37_F_his,f,Mismatch,poss,Margaret will forgive,his,7.410486698150635
simple,doesn't respect,38,38_M_him,m,Match,obj,George doesn't respect,him,5.810981273651123
simple,doesn't respect,38,38_M_his,m,Match,poss,George doesn't respect,his,4.020355701446533
simple,doesn't respect,38,38_F_him,f,Mismatch,obj,Meredith doesn't respect,him,4.308994293212891
simple,doesn't respect,38,38_F_his,f,Mismatch,poss,Meredith doesn't respect,his,5.194828033447266
simple,hasn't watched,39,39_M_him,m,Match,obj,Matt hasn't watched,him,7.440201282501221
simple,hasn't watched,39,39_M_his,m,Match,poss,Matt hasn't watched,his,4.978928565979004
simple,hasn't watched,39,39_F_him,f,Mismatch,obj,The lady hasn't watched,him,7.158852577209473
simple,hasn't watched,39,39_F_his,f,Mismatch,poss,The lady hasn't watched,his,8.9212007522583
simple,is scanning,40,40_M_him,m,Match,obj,Kenneth is scanning,him,8.725650787353516
simple,is scanning,40,40_M_his,m,Match,poss,Kenneth is scanning,his,5.131535053253174
simple,is scanning,40,40_F_him,f,Mismatch,obj,Carrie is scanning,him,7.778789520263672
simple,is scanning,40,40_F_his,f,Mismatch,poss,Carrie is scanning,his,5.755552768707275
simple,wasn't hiding,41,41_M_him,m,Match,obj,Jason wasn't hiding,him,9.435399055480957
simple,wasn't hiding,41,41_M_his,m,Match,poss,Jason wasn't hiding,his,3.207881212234497
simple,wasn't hiding,41,41_F_him,f,Mismatch,obj,Tracy wasn't hiding,him,9.43088436126709
simple,wasn't hiding,41,41_F_his,f,Mismatch,poss,Tracy wasn't hiding,his,5.94197940826416
simple,won't work with,42,42_M_him,m,Match,obj,Daniel won't work with,him,6.217370986938477
simple,won't work with,42,42_M_his,m,Match,poss,Daniel won't work with,his,6.588132381439209
simple,won't work with,42,42_F_him,f,Mismatch,obj,Stacey won't work with,him,4.370599746704102
simple,won't work with,42,42_F_his,f,Mismatch,poss,Stacey won't work with,his,7.568960666656494
simple,didn't fire,43,43_M_him,m,Match,obj,Curtis didn't fire,him,4.588620185852051
simple,didn't fire,43,43_M_his,m,Match,poss,Curtis didn't fire,his,3.590254306793213
simple,didn't fire,43,43_F_him,f,Mismatch,obj,Rose didn't fire,him,3.0762388706207275
simple,didn't fire,43,43_F_his,f,Mismatch,poss,Rose didn't fire,his,4.387202262878418
simple,could question,44,44_M_him,m,Match,obj,Kevin could question,him,3.900820016860962
simple,could question,44,44_M_his,m,Match,poss,Kevin could question,his,4.329239368438721
simple,could question,44,44_F_him,f,Mismatch,obj,Debra could question,him,3.7848827838897705
simple,could question,44,44_F_his,f,Mismatch,poss,Debra could question,his,5.395318508148193
simple,isn't striking,45,45_M_him,m,Match,obj,This grandson isn't striking,him,5.172234535217285
simple,isn't striking,45,45_M_his,m,Match,poss,This grandson isn't striking,his,6.132353782653809
simple,isn't striking,45,45_F_him,f,Mismatch,obj,Maria isn't striking,him,6.123958110809326
simple,isn't striking,45,45_F_his,f,Mismatch,poss,Maria isn't striking,his,7.382019519805908
simple,wasn't scanning,46,46_M_him,m,Match,obj,Jerry wasn't scanning,him,7.260754585266113
simple,wasn't scanning,46,46_M_his,m,Match,poss,Jerry wasn't scanning,his,4.131999492645264
simple,wasn't scanning,46,46_F_him,f,Mismatch,obj,Victoria wasn't scanning,him,7.529658317565918
simple,wasn't scanning,46,46_F_his,f,Mismatch,poss,Victoria wasn't scanning,his,6.36552095413208
simple,left,47,47_M_him,m,Match,obj,Bruce left,him,8.967767715454102
simple,left,47,47_M_his,m,Match,poss,Bruce left,his,6.403857707977295
simple,left,47,47_F_him,f,Mismatch,obj,Sarah left,him,6.624828815460205
simple,left,47,47_F_his,f,Mismatch,poss,Sarah left,his,6.390832424163818
simple,drew,48,48_M_him,m,Match,obj,That grandson drew,him,6.826792240142822
simple,drew,48,48_M_his,m,Match,poss,That grandson drew,his,4.3343281745910645
simple,drew,48,48_F_him,f,Mismatch,obj,Judy drew,him,6.547303676605225
simple,drew,48,48_F_his,f,Mismatch,poss,Judy drew,his,4.934690952301025
simple,couldn't insult,49,49_M_him,m,Match,obj,Raymond couldn't insult,him,4.003113269805908
simple,couldn't insult,49,49_M_his,m,Match,poss,Raymond couldn't insult,his,3.6640076637268066
simple,couldn't insult,49,49_F_him,f,Mismatch,obj,Debra couldn't insult,him,3.2888717651367188
simple,couldn't insult,49,49_F_his,f,Mismatch,poss,Debra couldn't insult,his,5.6063232421875
simple,watches,50,50_M_him,m,Match,obj,Joseph watches,him,5.165073394775391
simple,watches,50,50_M_his,m,Match,poss,Joseph watches,his,4.650979042053223
simple,watches,50,50_F_him,f,Mismatch,obj,Laura watches,him,5.694982528686523
simple,watches,50,50_F_his,f,Mismatch,poss,Laura watches,his,6.771677017211914
simple,led,51,51_M_him,m,Match,obj,This boy led,him,5.440705299377441
simple,led,51,51_M_his,m,Match,poss,This boy led,his,5.276001453399658
simple,led,51,51_F_him,f,Mismatch,obj,That granddaughter led,him,3.737888813018799
simple,led,51,51_F_his,f,Mismatch,poss,That granddaughter led,his,7.719228744506836
simple,has hired,52,52_M_him,m,Match,obj,Gregory has hired,him,7.675708293914795
simple,has hired,52,52_M_his,m,Match,poss,Gregory has hired,his,5.86405611038208
simple,has hired,52,52_F_him,f,Mismatch,obj,Jill has hired,him,7.752483367919922
simple,has hired,52,52_F_his,f,Mismatch,poss,Jill has hired,his,8.409993171691895
simple,is researching,53,53_M_him,m,Match,obj,Frank is researching,him,10.65818977355957
simple,is researching,53,53_M_his,m,Match,poss,Frank is researching,his,6.013861656188965
simple,is researching,53,53_F_him,f,Mismatch,obj,Susan is researching,him,10.647747993469238
simple,is researching,53,53_F_his,f,Mismatch,poss,Susan is researching,his,8.065705299377441
simple,did question,54,54_M_him,m,Match,obj,Walter did question,him,6.71368408203125
simple,did question,54,54_M_his,m,Match,poss,Walter did question,his,4.607267379760742
simple,did question,54,54_F_him,f,Mismatch,obj,Marie did question,him,4.591678619384766
simple,did question,54,54_F_his,f,Mismatch,poss,Marie did question,his,5.041952610015869
simple,won't hear,55,55_M_him,m,Match,obj,Gregory won't hear,him,6.676584720611572
simple,won't hear,55,55_M_his,m,Match,poss,Gregory won't hear,his,6.47526216506958
simple,won't hear,55,55_F_him,f,Mismatch,obj,This grandmother won't hear,him,7.941000938415527
simple,won't hear,55,55_F_his,f,Mismatch,poss,This grandmother won't hear,his,9.56014633178711
simple,can praise,56,56_M_him,m,Match,obj,Patrick can praise,him,4.85953426361084
simple,can praise,56,56_M_his,m,Match,poss,Patrick can praise,his,3.0690455436706543
simple,can praise,56,56_F_him,f,Mismatch,obj,The dancer can praise,him,4.226334571838379
simple,can praise,56,56_F_his,f,Mismatch,poss,The dancer can praise,his,5.663084506988525
simple,is questioning,57,57_M_him,m,Match,obj,Carlos is questioning,him,6.25341796875
simple,is questioning,57,57_M_his,m,Match,poss,Carlos is questioning,his,4.078272819519043
simple,is questioning,57,57_F_him,f,Mismatch,obj,Suzanne is questioning,him,6.917080402374268
simple,is questioning,57,57_F_his,f,Mismatch,poss,Suzanne is questioning,his,5.836793422698975
simple,appreciates,58,58_M_him,m,Match,obj,Dennis appreciates,him,8.438326835632324
simple,appreciates,58,58_M_his,m,Match,poss,Dennis appreciates,his,5.006587028503418
simple,appreciates,58,58_F_him,f,Mismatch,obj,Holly appreciates,him,8.54012680053711
simple,appreciates,58,58_F_his,f,Mismatch,poss,Holly appreciates,his,6.1491289138793945
simple,hasn't known,59,59_M_him,m,Match,obj,Mitchell hasn't known,him,5.619607925415039
simple,hasn't known,59,59_M_his,m,Match,poss,Mitchell hasn't known,his,4.613309383392334
simple,hasn't known,59,59_F_him,f,Mismatch,obj,Tara hasn't known,him,5.656101226806641
simple,hasn't known,59,59_F_his,f,Mismatch,poss,Tara hasn't known,his,7.561835765838623
simple,does reference,60,60_M_him,m,Match,obj,This boyfriend does reference,him,6.696462154388428
simple,does reference,60,60_M_his,m,Match,poss,This boyfriend does reference,his,5.36136531829834
simple,does reference,60,60_F_him,f,Mismatch,obj,Angela does reference,him,7.153850555419922
simple,does reference,60,60_F_his,f,Mismatch,poss,Angela does reference,his,7.872315406799316
simple,might like,61,61_M_him,m,Match,obj,Brett might like,him,7.538545608520508
simple,might like,61,61_M_his,m,Match,poss,Brett might like,his,6.905658721923828
simple,might like,61,61_F_him,f,Mismatch,obj,That ex-girlfriend might like,him,4.67919397354126
simple,might like,61,61_F_his,f,Mismatch,poss,That ex-girlfriend might like,his,8.368917465209961
simple,wasn't noticing,62,62_M_him,m,Match,obj,William wasn't noticing,him,6.758494853973389
simple,wasn't noticing,62,62_M_his,m,Match,poss,William wasn't noticing,his,5.318813323974609
simple,wasn't noticing,62,62_F_him,f,Mismatch,obj,Cheryl wasn't noticing,him,6.300950527191162
simple,wasn't noticing,62,62_F_his,f,Mismatch,poss,Cheryl wasn't noticing,his,7.084883689880371
simple,hasn't watched,63,63_M_him,m,Match,obj,Timothy hasn't watched,him,8.115680694580078
simple,hasn't watched,63,63_M_his,m,Match,poss,Timothy hasn't watched,his,5.171206474304199
simple,hasn't watched,63,63_F_him,f,Mismatch,obj,Diana hasn't watched,him,7.230166435241699
simple,hasn't watched,63,63_F_his,f,Mismatch,poss,Diana hasn't watched,his,8.113981246948242
simple,would scan,64,64_M_him,m,Match,obj,Dennis would scan,him,7.5414299964904785
simple,would scan,64,64_M_his,m,Match,poss,Dennis would scan,his,3.7850258350372314
simple,would scan,64,64_F_him,f,Mismatch,obj,Margaret would scan,him,7.40801477432251
simple,would scan,64,64_F_his,f,Mismatch,poss,Margaret would scan,his,5.376705169677734
simple,had observed,65,65_M_him,m,Match,obj,Lawrence had observed,him,7.038032054901123
simple,had observed,65,65_M_his,m,Match,poss,Lawrence had observed,his,6.323671340942383
simple,had observed,65,65_F_him,f,Mismatch,obj,Bethany had observed,him,5.70873498916626
simple,had observed,65,65_F_his,f,Mismatch,poss,Bethany had observed,his,6.975063323974609
simple,understood,66,66_M_him,m,Match,obj,Donald understood,him,7.925593376159668
simple,understood,66,66_M_his,m,Match,poss,Donald understood,his,5.069269180297852
simple,understood,66,66_F_him,f,Mismatch,obj,This wife understood,him,5.7520270347595215
simple,understood,66,66_F_his,f,Mismatch,poss,This wife understood,his,7.0868988037109375
simple,is hiring,67,67_M_him,m,Match,obj,Dennis is hiring,him,8.099732398986816
simple,is hiring,67,67_M_his,m,Match,poss,Dennis is hiring,his,8.211043357849121
simple,is hiring,67,67_F_him,f,Mismatch,obj,Elaine is hiring,him,8.58360767364502
simple,is hiring,67,67_F_his,f,Mismatch,poss,Elaine is hiring,his,9.85381031036377
simple,hadn't embarrassed,68,68_M_him,m,Match,obj,This grandson hadn't embarrassed,him,3.597693920135498
simple,hadn't embarrassed,68,68_M_his,m,Match,poss,This grandson hadn't embarrassed,his,3.3708667755126953
simple,hadn't embarrassed,68,68_F_him,f,Mismatch,obj,Sharon hadn't embarrassed,him,3.497633218765259
simple,hadn't embarrassed,68,68_F_his,f,Mismatch,poss,Sharon hadn't embarrassed,his,8.655609130859375
simple,had thought about,69,69_M_him,m,Match,obj,Noah had thought about,him,6.461085319519043
simple,had thought about,69,69_M_his,m,Match,poss,Noah had thought about,his,5.542065620422363
simple,had thought about,69,69_F_him,f,Mismatch,obj,Erin had thought about,him,7.038965225219727
simple,had thought about,69,69_F_his,f,Mismatch,poss,Erin had thought about,his,6.1914496421813965
simple,hasn't impressed,70,70_M_him,m,Match,obj,That ex-boyfriend hasn't impressed,him,4.764232158660889
simple,hasn't impressed,70,70_M_his,m,Match,poss,That ex-boyfriend hasn't impressed,his,6.048058986663818
simple,hasn't impressed,70,70_F_him,f,Mismatch,obj,This actress hasn't impressed,him,7.055156707763672
simple,hasn't impressed,70,70_F_his,f,Mismatch,poss,This actress hasn't impressed,his,11.644664764404297
simple,had thought about,71,71_M_him,m,Match,obj,Adam had thought about,him,6.64844274520874
simple,had thought about,71,71_M_his,m,Match,poss,Adam had thought about,his,5.178212642669678
simple,had thought about,71,71_F_him,f,Mismatch,obj,Elaine had thought about,him,6.917713165283203
simple,had thought about,71,71_F_his,f,Mismatch,poss,Elaine had thought about,his,8.166077613830566
simple,catches,72,72_M_him,m,Match,obj,Gary catches,him,5.780378818511963
simple,catches,72,72_M_his,m,Match,poss,Gary catches,his,5.130250930786133
simple,catches,72,72_F_him,f,Mismatch,obj,Susan catches,him,4.552470684051514
simple,catches,72,72_F_his,f,Mismatch,poss,Susan catches,his,6.75167989730835
simple,is holding,73,73_M_him,m,Match,obj,Paul is holding,him,7.872447490692139
simple,is holding,73,73_M_his,m,Match,poss,Paul is holding,his,4.113783836364746
simple,is holding,73,73_F_him,f,Mismatch,obj,Carolyn is holding,him,7.175343036651611
simple,is holding,73,73_F_his,f,Mismatch,poss,Carolyn is holding,his,7.127767086029053
simple,doesn't talk to,74,74_M_him,m,Match,obj,Curtis doesn't talk to,him,4.739631175994873
simple,doesn't talk to,74,74_M_his,m,Match,poss,Curtis doesn't talk to,his,4.54463529586792
simple,doesn't talk to,74,74_F_him,f,Mismatch,obj,Kendra doesn't talk to,him,4.029291152954102
simple,doesn't talk to,74,74_F_his,f,Mismatch,poss,Kendra doesn't talk to,his,4.544750213623047
simple,has understood,75,75_M_him,m,Match,obj,This boy has understood,him,6.672027111053467
simple,has understood,75,75_M_his,m,Match,poss,This boy has understood,his,4.511682987213135
simple,has understood,75,75_F_him,f,Mismatch,obj,Emily has understood,him,7.616914749145508
simple,has understood,75,75_F_his,f,Mismatch,poss,Emily has understood,his,7.097477436065674
simple,wouldn't hide,76,76_M_him,m,Match,obj,Walter wouldn't hide,him,8.960749626159668
simple,wouldn't hide,76,76_M_his,m,Match,poss,Walter wouldn't hide,his,2.0605366230010986
simple,wouldn't hide,76,76_F_him,f,Mismatch,obj,Connie wouldn't hide,him,8.954243659973145
simple,wouldn't hide,76,76_F_his,f,Mismatch,poss,Connie wouldn't hide,his,5.043490886688232
simple,hadn't examined,77,77_M_him,m,Match,obj,Stephen hadn't examined,him,5.117067813873291
simple,hadn't examined,77,77_M_his,m,Match,poss,Stephen hadn't examined,his,3.6645867824554443
simple,hadn't examined,77,77_F_him,f,Mismatch,obj,Cynthia hadn't examined,him,4.344974994659424
simple,hadn't examined,77,77_F_his,f,Mismatch,poss,Cynthia hadn't examined,his,5.381639003753662
simple,hires,78,78_M_him,m,Match,obj,Jason hires,him,5.822782039642334
simple,hires,78,78_M_his,m,Match,poss,Jason hires,his,5.247132301330566
